product_id,bm_number,product_name,product_dsc,category_name,brand_name
3657,BM1A7F8,Surfacepad For Iphone 6 Camel Leather Cover TS-12-1427,,Accessories,Legacy Brand
2818,BM0O4A8,Test Lead Kit with Sheathed Right Angle Banana Plug and (5) Test Probes with Replaceable Tips (4WPZ7,,Test Leads and Kits,Legacy Brand
2821,BM0O4D5,Chain Pulley Block,,Pullers,Legacy Brand
2789,BM0Z0Z8,"ADJUSTABLE WRENCH, 150mm-6 - BM0Z0Z8",,Adjustable Wrenches,Legacy Brand
3409,BM1A6V5,S/Dvr Precision Set 6Pc,,Accessories,Legacy Brand
2803,BM1A8L9,Hydraulic Coupler Socket Bbs500-0,,Sockets,Legacy Brand
3410,BM1A6V3,Cushion Grip 6Pc Set-Carded,,Accessories,Legacy Brand
3412,BM1A6U9,"Vde Combination Plier, 200mm-8",,Specialty Pliers,Legacy Brand
3415,BM1A6U4,"Adjustable Wrench, 375mm-15",,Adjustable Wrenches,Legacy Brand
3416,BM1A6U3,"Adjustable Wrench, 250mm-10",,Adjustable Wrenches,Legacy Brand
3417,BM1A6U2,Pipe Wrench 600mm-24,,Adjustable Wrenches,Legacy Brand
2826,BM1A6F7,Swim Fin,,Accessories,Legacy Brand
3421,BM1A6T8,"Combination Spanner, 9mm",,Combination Wrenches,Legacy Brand
2835,BM1A9B3,0.4mm Thikness Fibre Glass Fire Blanket (1.8 X 1.2 Mtr Size),,Accessories,Legacy Brand
2850,BM1A8L7,Part # Stsp125-In,,Accessories,Legacy Brand
2856,BM1A8K9,Part # Ka400-1N - Electric Pad Sander,,Accessories,Legacy Brand
3428,BM1A6S9,"Combination Spanner, 17mm",,Combination Wrenches,Legacy Brand
3429,BM1A6S8,"Combination Spanner, 18mm",,Combination Wrenches,Legacy Brand
3021,BM0O4A7,Part # 66-120 - SPARK DETECTING S/D 100-500V Make: Stanley,,Screwdrivers,Legacy Brand
2911,BM1A3Q7,Plugbug World - 10 Watt Usb Global Travel Charger 12-1211,,Phone Accessories,Legacy Brand
2916,BM1A9A9,Neck Brace,,Accessories,Legacy Brand
3430,BM1A6S7,"Combination Spanner, 19mm",,Combination Wrenches,Legacy Brand
3041,BM1A8T1,Jerry Can 20L,,Accessories,Legacy Brand
3450,BM1A7H0,"IST Make - Diving Booties Bt - 9055, Size 13",,Accessories,Legacy Brand
3453,BM1A6N9,"IST Make, Diving Booties Bt, 9055, Size 8",,Accessories,Legacy Brand
2925,BM1A8U6,"8 X 8"" Mesh Safety Scramble Net With 18mm P.P. Rope Border",,Accessories,Legacy Brand
3044,BM1A8T0,Fire Escape Mask,,Accessories,Legacy Brand
3065,BM0L8P9,Handle Hex Key (Inch sizes)-Length mm -Least Max. Opening mm -Std. - BM0L8P9,,Hex and Torx Keys and Sets,Legacy Brand
3016,BM0O5X7,Part # 94-348 - 6.0mm 2-Way T-hdl Hex Key Make: Stanley,,Hex and Torx Keys and Sets,Legacy Brand
3581,BM0O3Z8,Digital Vernier caliper - 300 MM,,Vernier Calipers,Legacy Brand
3584,BM1A6B0,Adjustable Wrench 6 In. Chrome Cushion,,Adjustable Wrenches,Legacy Brand
3454,BM0O4E2,HYGROSTAT - MAKE :KIMO-FRANCE - Model : HST-S,,Accessories,Legacy Brand
3457,BM1A7E1,M.S. Sheets 1.0 mm X 125 mm X 75 mm,,Accessories,Legacy Brand
3586,BM1A4R1,Handle Hinge 1/2 Dr 18 5/8 In Chrome,,Accessories,Legacy Brand
3599,BM1A6O8,"Dynaflex 5 - Cut Resistant Gloves, Gray, L, Pr Level 5",,Cut-Resistant Gloves,Legacy Brand
3047,BM1A8S0,Aviation Air Cruisers Vests - Ac-2000 (Vacuum Packed),,Accessories,Legacy Brand
3070,BM0O4D1,"Trim and Touch Up Roller, Latex Paints",,Accessories,Legacy Brand
3593,BM1A7P4,Push On Hose Barb 1/4 In Id,,Other Hoses,Legacy Brand
3098,BM1A7V1,"100042471 Gauge, Pressure",,Pressure Gauges,Legacy Brand
3086,BM0O4B5,Electrosoft make class 0 electrical hand glove,,Electrical Gloves,Legacy Brand
3087,BM1A8I5,Neoprene Suit Full 5 mm Size: XXL,,Accessories,Legacy Brand
3134,BM1A8H2,Cofee Mug,,Accessories,Legacy Brand
3629,BM1A6F0,Emergency Light - Emergency Light As Per Sample For Cabin,,Tower Lights and Accessories,Legacy Brand
3135,BM1A8H1,Cap,,Accessories,Legacy Brand
3137,BM1A7Z3,7Pc Soldering Kit Case Box 25Watt,,Accessories,Legacy Brand
3140,BM1A8A3,Measuring Jug,,Accessories,Legacy Brand
3458,BM1A7D8,"Teflon Panels, Size 6.00 mm, Thikness X 25 mm X 25 mm",,Accessories,Legacy Brand
3459,BM1A7D7,"Teflon Panels, Size 5.00 mm, Thikness X 25 mm X 25 mm",,Accessories,Legacy Brand
3461,BM1A7D5,"Teflon Panels, Size 3.00 mm, Thikness X 25 mm X 25 mm",,Accessories,Legacy Brand
3463,BM1A7D3,"Teflon Panels, Size 2.00 mm, Thikness X 25 mm X 25 mm",,Accessories,Legacy Brand
3124,BM1A7H5,Toggle Switch Spst 2 Conn. Maint. On/Off,,Specialty Switches,Legacy Brand
3133,BM1A8H3,Mouse Pad,,Mouse and Mouse Pads,Legacy Brand
3127,BM1A8G9,Ht-150 Mini Hydraulic Crimper 4-150M,,Accessories,Legacy Brand
3633,BM1A3M4,4408 Red Wing Men'S Oxford Black,,Accessories,Legacy Brand
3149,BM1A7W8,"Short Hex Keys, Metric, 10 mm",,Hex and Torx Keys and Sets,Legacy Brand
3155,BM1A7Y7,Single Open Ended Spanner - BM1A7Y7,,Open End Wrenches,Legacy Brand
3156,BM1A7Y8,Single Open Ended Spanner - BM1A7Y8,,Open End Wrenches,Legacy Brand
3162,BM1A8E8,600 W Variable Speed Blower STPT600-IN,,Accessories,Legacy Brand
3164,BM1A7X3,Wire Stripper 160 mmPerfect To Strip Multiple,,Wire Strippers and Slitters,Legacy Brand
3634,BM1A8M3,"4408 Red Wing Men'S Oxford Black"" Indian Standard Size-8",,Accessories,Legacy Brand
3464,BM1A7D2,"Teflon Panels, Size 1.50 mm, Thikness X 25 mm X 25 mm",,Accessories,Legacy Brand
3465,BM1A7D1,"Teflon Panels, Size 1.00 mm, Thikness X 25 mm X 25 mm",,Accessories,Legacy Brand
3467,BM1A7C9,"Teflon Panels, Size 0.25 mm, Thikness X 25 mm X 25 mm",,Accessories,Legacy Brand
3469,BM1A6P1,Chemgene (Hld4L) S1-7508,,Accessories,Legacy Brand
3476,BM1A7O7,Fuse 2A Class Cc Atqr 600Vac/300Vdc,,Specialty Fuses,Legacy Brand
3479,BM1A7O4,Fuse 1/2A Class Cc Atqr 600Vac/300Vdc,,Specialty Fuses,Legacy Brand
3481,BM1A7C3,"Toughened Borosilicate Glass, Size 16mm Dia 10mm Thi",,Accessories,Legacy Brand
3483,BM1A6M2,"Gear Pump, Base Frame With Accessories And Coupling",,Hydraulic Gear Pumps,Legacy Brand
3484,BM1A7C7,"4-Point Rotary Release Modified (Standard Length) - Pilot, Mid # Xnsursys24Dar",,Accessories,Legacy Brand
3485,BM1A7C6,"4-Point Lift Lever Release Modified (Standard Length), Mid # Xnsursys24Dar",,Accessories,Legacy Brand
3194,BM1A8E3,Extension Power Cable Reel Industrial,,Specialty Cables,Legacy Brand
3206,BM1A7X1,"2 Point X 1-1/2"" 100 Plus Phillips Tip Stubby Screwdriver",,Screwdrivers,Legacy Brand
3221,BM1A8G5,Cross Head Screw Driver Set With Impact Cap 1/2/3,,Screwdrivers,Legacy Brand
3255,BM1A8F4,"Liberty Safety Shoes, Warrior, 7198-01, Size 8",,Steel Toe Boots and Shoes,Legacy Brand
3228,BM1A7N6,Nonsparking Hex Key L 12mm 5 In L,,Hex and Torx Keys and Sets,Legacy Brand
3233,BM1A7X2,Flat Nose Plier 160mm + Wire Cutter,,Nose Pliers,Legacy Brand
3256,BM1A8F3,"Liberty Safety Shoes, Warrior, 7198-01, Size 7",,Steel Toe Boots and Shoes,Legacy Brand
3239,BM1A7Y4,Long Combination Wrenches 12-Point,,Adjustable Wrenches,Legacy Brand
3258,BM1A8F5,"Liberty Safety Shoes, Warrior, 7198-01, Size 9",,Steel Toe Boots and Shoes,Legacy Brand
3259,BM1A8F2,"Portable Aluminum Trolley 900- 600- 250 mm, Made In The USA",,Accessories,Legacy Brand
3635,BM1A3M5,"4479 Red Wing Men'S Oxford"" Size -Uk 08 / Us 8.5",,Accessories,Legacy Brand
3252,BM1A6O6,"Unit- T - Multimeter, Size Regular UT-39B",,Miscellaneous,Legacy Brand
3640,BM1A6J5,Hex Cap Screw Gr 8 3/8-16X3/4 Pk25,,Hex Head Screws,Legacy Brand
3641,BM1A7E2,Plug Bug World-10 Watt Usb Global Charger TS-12-1211,,Plug Adapters,Legacy Brand
3268,BM1A8M7,Insulator - 100110293,,Insulation Displacement Connectors,Legacy Brand
3310,BM1A8A7,O Ring F2749900,,O-Rings and Accessories,Legacy Brand
3316,BM1A8B1,Wet & Dry Vacuum Cleaner 1800W Power Input WV1400,,Accessories,Legacy Brand
3325,BM0O4B6,Safety Glasses Clear Scratch-Resistant - BM0O4B6,,Safety Glasses,Legacy Brand
3642,BM1A7E3,Hirise For Macbook-Adjustable Stand TS-12-1222,,Accessories,Legacy Brand
3402,BM1A6X4,Ball Pein Hammer 340Gms-12,,Ball Hammers,Legacy Brand
3651,BM1A7F2,Bookarc For Mac Pro Stand TS-12-1420,,Accessories,Legacy Brand
3434,BM1A6S1,"Combination Spanner, 32mm",,Combination Wrenches,Legacy Brand
3489,BM1A6P7,7421190824 Mitsuba Make ( Made In Thailand) V-Ribbed (1340 K10),,Accessories,Legacy Brand
3490,BM1A6P8,1442010 8 Pk 1900 Hutchinson Make ( France ) V-Belt,,Accessories,Legacy Brand
3492,BM0L8K2,Cleaner/Degreaser 1 gal Sassafrass,,Grease Removers,Legacy Brand
3532,BM1A6L5,Secondary Fuel Filter 123207403524,,Filter Accessories,Legacy Brand
3533,BM1A6L4,Primay Fuel Filter 605411880004,,Filter Accessories,Legacy Brand
3535,BM1A6M7,Fuel Pre Filter (5Ltrs) 105413100059 105413100062,,Filter Accessories,Legacy Brand
3652,BM1A7F3,Hirise Deluxe For Iphone-Silver TS-12-1421,,Accessories,Legacy Brand
3541,BM1A6Y8,D0545 Chemical Resistant Glove 14 L Sz 8 Pr,,Cryogenic Gloves,Legacy Brand
3600,BM1A6O7,Vented Bump Cap S-28- Color Green,,Accessories,Legacy Brand
3606,BM0O4B2,Storm Pro2 Storm Tracker Hand Held Unit,,Accessories,Legacy Brand
3653,BM1A7F4,Hirise Deluxe For Iphone-Black TS-12-1422,,Accessories,Legacy Brand
3613,BM1A6D4,Glass Type Fuses-Impa: 79 36 48,,Specialty Fuses,Legacy Brand
3614,BM1A6H7,Emperor Brand Safety Shoes Duke Module Size 12,,Plain Toe Boots and Shoes,Legacy Brand
3615,BM1A6H5,Emperor Brand Safety Shoes Duke Module Size 11,,Plain Toe Boots and Shoes,Legacy Brand
3616,BM1A6H4,Emperor Brand Safety Shoes Duke Module Size 10,,Plain Toe Boots and Shoes,Legacy Brand
3619,BM1A6H0,Emperor Brand Safety Shoes Duke Module Size 7,,Plain Toe Boots and Shoes,Legacy Brand
3662,BM1A7G3,Book For Iphone 6 Black-All In One TS-12-1433,,Accessories,Legacy Brand
3627,BM1A6I5,"Safety Shoes, Brand Tiger, Model Lorex Low Ankle",,Plain Toe Boots and Shoes,Legacy Brand
3631,BM1A6H6,Odor Neutralizer Gel 1 Lb. Clear,,Accessories,Legacy Brand
3632,BM1A4P1,16 Persons Capacity Liferaft With Cylinder,,Cylinders,Legacy Brand
3637,BM1A7I6,Wire Mesh Sling L 6 Ft. Vll 2300 Lb,,Wire Slings,Legacy Brand
3638,BM1A7Q0,Spring Pin Slot Stl 24Xm5 L Pk 100,,Accessories,Legacy Brand
3644,BM1A7E5,Bookarc For Macbook Vertical Laptop TS-12-1224,,Accessories,Legacy Brand
3645,BM1A7E6,Ghost Stand For Macbook TS-12-1308,,Accessories,Legacy Brand
3646,BM1A7E7,Compass 2 For Ipad Mini-Silver Portable Stand TS-12-1312,,Accessories,Legacy Brand
3648,BM1A7E9,Book Travel Journal TS-12-1319,,Accessories,Legacy Brand
3650,BM1A7F1,Baselift Intergrated Stand & Lamp Pad TS-12-1419,,Other Lights,Legacy Brand
3655,BM1A7F6,Surfacepad For Iphone 6 Black Leather Cover TS-12-1424,,Accessories,Legacy Brand
3658,BM1A7F9,Surfacepad For Iphone 6 Plus Black Leather Cover TS-12-1428,,Accessories,Legacy Brand
3660,BM1A7G1,Surfacepad For Iphone 6 Plus Camel Leather Cover TS-12-1431,,Accessories,Legacy Brand
3663,BM1A7G4,Book For Iphone 6 Plus Brown-All In One TS-12-1434,,Accessories,Legacy Brand
3664,BM1A7G5,Book For Iphone 6 Plus Black-All In One TS-12-1435,,Accessories,Legacy Brand
3666,BM1A7R7,Joystick Operator 22mm 4 Dir Momentary,,Accessories,Legacy Brand
3811,BM1A8Q1,"Cotton Dotted Hand Gloves, Item Code: Gl-013 - Midas Safety, Grade 45",,Coated Gloves,Legacy Brand
3668,BM1A6D1,Expanding Sealant Tape 3Inx6 Ft 76.2 Mil,,Gasket Sealants,Legacy Brand
3680,BM1A7H3,Hose Clamp Dia 1.500X 0.162 Ylw Pk 25,,Clamp Meters,Legacy Brand
3683,BM1A6V6,Universal Ac/Dc Mtr 1/2Hp 10 000Rpm 115V,,Accessories,Legacy Brand
3737,BM1A8O9,Coverall/Boiler Suit - BM1A8O9,,Work Coveralls,Legacy Brand
3746,BM1A7P1,Lubricator Mist 1 In,,Accessories,Legacy Brand
3747,BM1A6G9,Grease Gun Coupler 1/8Innpt Pk3,,Grease Guns and Accessories,Legacy Brand
3693,BM1A8P7,"Gas Springs 125N, Model No.-M2M2F52-070, 227-Oxx-200N",,Accessories,Legacy Brand
3694,BM1A8P8,"Gas Springs 200N, Model No.-M2M2F52-070, 227-Oxx-125N",,Accessories,Legacy Brand
3695,BM1A7L5,D1448 Lightweight Glove Poly/Cottn Men'S L Pr,,Cotton and Polyester Gloves,Legacy Brand
3821,BM1A7M0,D1811 Disposable Gloves Nitrile L Teal Pk100,,Disposable Gloves,Legacy Brand
3697,BM1A7I0,"Mechanics Gloves, Utility, M, Orange/Yellow, Pr",,Cotton and Polyester Gloves,Legacy Brand
