id,aliasname,address,sap_id,created_at,updated_at
2421,"Koch Chemical Tech",,547,"2017-09-25 11:11:17","2018-05-08 10:50:27"
2422,"Kisaan Die Tech",,245,"2017-10-12 09:32:30","2018-05-08 10:49:04"
2423,"Kurpa Electronics",,368,"2017-09-25 07:24:02","2018-05-08 10:49:37"
2424,"KEC International",,1018,"2017-10-05 11:47:30","2018-05-08 10:52:36"
2425,"KEC Bearings",,489,"2017-10-03 07:03:50","2018-05-08 10:50:11"
2426,Kelloggs,,387,"2017-10-03 06:33:34","2018-05-08 10:49:43"
2427,"Kenway Infratech",,1033,"2017-10-24 12:47:29","2018-05-08 10:52:41"
2428,"Kevin Enterprises",,803,"2017-09-25 12:29:55","2018-05-08 10:51:39"
2429,"Kiran Fasteners",,132,"2017-09-16 09:07:05","2018-05-08 10:48:25"
2430,"K-Flex India",,1069,"2017-12-11 10:05:42","2018-05-08 10:52:49"
2431,S.S.Khardekar,,882,"2017-11-16 05:15:25","2018-05-08 10:52:03"
2432,"Khas Enterprises",,1245,"2017-10-25 09:18:48","2018-05-08 10:53:30"
2433,"Kailash Hospital",,1487,"2017-11-21 12:55:15","2018-05-08 11:00:37"
2434,"Khusheim Co.",,1161,"2017-07-17 12:42:06","2018-05-08 10:53:10"
2435,"Kinjal Industries",,324,"2017-11-24 11:55:57","2018-05-08 10:49:26"
2436,"Kishor Industries",,499,"2017-10-17 08:53:48","2018-05-08 10:50:13"
2437,"Kiran Industries",,902,"2017-09-19 07:17:39","2018-05-08 10:52:09"
2438,"Kapsons Industries",,419,"2017-09-18 06:57:13","2018-05-08 10:49:51"
2439,"Kider India",,908,"2017-09-14 11:26:39","2018-05-08 10:52:11"
2440,"KION India",,1172,"2017-07-17 12:42:06","2018-05-08 10:53:13"
2441,"Kirpekar Engineering",,1186,"2017-07-17 12:42:06","2018-05-08 10:53:15"
2442,"K. K. Nag Pvt. Ltd.",,1198,"2017-10-25 07:55:28","2018-05-08 10:53:19"
2443,"KK Spun",,1084,"2017-12-11 10:09:53","2018-05-08 10:52:53"
2444,"K. M. Enterprise",,417,"2018-01-08 05:50:55","2018-05-08 10:49:50"
2445,"KMG Agro Foods",,485,"2017-10-16 12:59:03","2018-05-08 10:50:09"
2446,"Kawa Machine Tools",,1409,"2017-10-10 06:59:38","2018-05-08 10:56:55"
2447,"Kansai Nerolac",,1403,"2017-10-10 06:02:09","2018-05-08 10:56:44"
2448,"King Pipes-Fittings",,306,"2017-09-25 06:19:16","2018-05-08 10:49:22"
2449,"Kulkarni Power Tools",,,"2017-07-17 12:42:06","2018-05-08 10:48:47"
2450,"K. R. Enterprises",,1290,"2017-12-15 10:32:22","2018-05-08 10:53:41"
2451,"K. R. Industries",,652,"2017-09-18 09:46:06","2018-05-08 10:50:56"
2452,"K. R. Rubberite",,236,"2017-09-18 05:31:06","2018-05-08 10:49:02"
2453,"Krupa Electronics",,1003,"2018-01-31 12:23:12","2018-05-08 10:52:32"
2454,"KTC Pump",,1413,"2017-10-10 07:10:44","2018-05-08 10:57:05"
2455,"KV Fire Chemicals",,1246,"2017-09-26 12:06:06","2018-05-08 10:53:31"
2456,"Kolhapur Zilla",,851,"2017-08-24 12:38:35","2018-05-08 10:51:55"
2457,"L.M. Wind Power",,1395,"2017-09-28 09:07:08","2018-05-08 10:56:24"
2458,"Langley Apparel",,1458,"2017-11-17 11:57:13","2018-05-08 10:59:16"
2459,"Lanco Kondapalli",,1289,"2017-07-17 12:42:06","2018-05-08 10:53:41"
2460,"LeasePlan India",,355,"2018-03-21 09:43:13","2018-05-08 10:49:33"
2461,"Lechler India",,1301,"2017-07-17 12:42:06","2018-05-08 10:53:45"
2462,"LEEBOY Construction",,1097,"2018-02-03 09:13:59","2018-05-08 10:52:56"
2463,"Leo Earthmovers",,1460,"2017-11-17 12:02:07","2018-05-08 10:59:21"
2464,Lumitronic,,574,"2018-01-17 12:50:39","2018-05-08 10:50:34"
2465,"Link Engineering",,545,"2017-11-20 05:20:15","2018-05-08 10:50:26"
2466,"Liugong India",,1313,"2017-07-17 12:42:06","2018-05-08 10:53:49"
2467,"L. K. Machinery",,1230,"2017-07-17 12:42:06","2018-05-08 10:53:26"
2468,"Leo Network Power",,645,"2017-11-27 12:25:46","2018-05-08 10:50:55"
2469,"Lokesh Machines",,1233,"2017-09-16 05:59:21","2018-05-08 10:53:27"
2470,"Lona Industries",,1062,"2017-09-19 09:40:24","2018-05-08 10:52:47"
2471,"Lotus Security",,597,"2017-08-17 08:55:06","2018-05-08 10:50:40"
2472,"L.P.S Services",,539,"2017-11-08 07:33:23","2018-05-08 10:50:26"
2473,"Luxury Prod Trends",,1180,"2017-12-13 06:08:31","2018-05-08 10:53:14"
2474,"Lovely Professional",,116,"2017-07-17 12:42:06","2018-05-08 10:48:11"
2475,"Lucky Star",,351,"2018-01-05 10:05:33","2018-05-08 10:49:33"
2476,"J.P. Singhal",,1546,"2018-03-08 12:44:00","2018-05-08 11:03:30"
2477,"India Nippon Elec.",,1540,"2018-03-07 12:02:36","2018-05-08 11:03:11"
2478,"LSR Speciality Oils",,288,"2017-09-18 05:41:09","2018-05-08 10:49:17"
2479,"Leister Technologies",,1030,"2017-12-11 09:12:23","2018-05-08 10:52:41"
2480,"Make and Bake",,500,"2017-10-03 09:17:37","2018-05-08 10:50:15"
2481,"M3M India",,1376,"2017-11-21 10:37:29","2018-05-08 10:54:24"
2482,"Maheshwari Agencies",,907,"2018-01-30 10:01:17","2018-05-08 10:52:11"
2483,"Magal Engg Tech",,136,"2017-07-17 12:42:06","2018-05-08 10:58:53"
2484,"Magarpatta Clubs",,149,"2017-07-17 12:42:06","2018-05-08 10:58:57"
2485,Magicbricks,,880,"2017-08-28 06:34:49","2018-10-01 10:40:11"
2486,"Magma Steel",,983,"2017-07-17 12:42:06","2018-05-08 10:52:28"
2487,"Mahadev Manufactures",,1358,"2017-09-27 10:04:47","2018-05-08 10:54:05"
2488,"Mahavir Trading",,1457,"2017-07-17 12:42:06","2018-05-08 10:59:14"
2489,"Mahindra Stiller",,1280,"2017-10-25 10:25:41","2018-05-08 10:53:39"
2490,"Manas Automotive",,1010,"2017-07-17 12:42:06","2018-05-08 10:52:34"
2491,"Mangalam Organics",,890,"2017-09-19 07:13:58","2018-05-08 10:52:06"
2492,"Manlift India",,1166,"2017-09-20 05:10:10","2018-05-08 10:53:11"
2493,"Marshall Technocast",,232,"2017-11-22 12:15:56","2018-05-08 10:49:00"
2494,"MAS Infrapower",,617,"2017-09-12 07:29:34","2018-05-08 10:50:46"
2495,"Master Fluid Soln",,1090,"2017-11-16 06:15:11","2018-05-08 10:52:55"
2496,"Matoshree Agro",,1459,"2017-07-17 12:42:06","2018-05-08 10:59:20"
2497,"Mavani Engineering",,1461,"2017-07-17 12:42:06","2018-05-08 10:59:25"
2498,"Max Machinery",,514,"1970-01-01 00:00:00","2018-05-08 10:50:18"
2499,"Maxxis Rubber India",,,"2017-07-17 12:42:06","2018-05-08 10:48:51"
2500,"M.B.A. Consulting",,243,"2017-11-22 12:26:59","2018-05-08 10:49:04"
2501,"Mahaganpati Bev",,1304,"2017-10-10 05:36:41","2018-05-08 10:53:46"
2502,"Malhotra Constn.",,1254,"2017-09-21 12:00:04","2018-05-08 10:53:31"
2503,"Malhotra Construction",,262,"2017-09-18 05:37:02","2018-05-08 10:49:09"
