Po number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Project Code,Tax Amount (SC),,
40210873,8 Aug 18,Avishkar,Based On Sales Orders 10210674.,7 Aug 18,25924,968.8,100% advance against proforma invoice,Indian Rupee,1,Closed,No,25924-Medical Center Equipment -Henkel-3,103.8,,
40210874,8 Aug 18,Popatlal and Co,Based On Sales Orders 10210701.,23 Aug 18,26121,7788,100% Advance,Indian Rupee,1,Closed,No,26121-Fwd: 510000425 | BulkMRO| Plant 1 | Schedule for Aug 2018,1188,,
40210875,8 Aug 18,Nidhi Enterprises,Based On Sales Orders 10210676.,16 Aug 18,25548,10060.68,7 Days PDC,Indian Rupee,1,Closed,No,25548-Fwd: Need Quotation,1534.68,,
40210876,8 Aug 18,Shabbir Trading Corporation,Based On Sales Orders 10210676.,16 Aug 18,25548,4117.44,21 days PDC,Indian Rupee,1,Open,No,25548-Fwd: Need Quotation,628.08,,
40210877,8 Aug 18,Param Associates,Based On Sales Orders 10210676.,16 Aug 18,25548,5064.15,Advance payment when material is ready,Indian Rupee,1,Closed,No,25548-Fwd: Need Quotation,772.5,,
40210878,8 Aug 18,Lift Arts,Based On Sales Orders 10210702.,14 Aug 18,25431,3186,30 Days Credit,Indian Rupee,1,Closed,No,25431-Request for Rope Ladder.,486,,
40210879,8 Aug 18,Sunder Electronics Instrumentation Engineers,Based On Sales Orders 10210700.,14 Aug 18,25528,4366,100% advance against proforma invoice,Indian Rupee,1,Closed,No,25528-Request for Quote for Supply of Conductivity Meter (Make: Aster Smart CT-600) With Sensor.,666,,
40210880,8 Aug 18,Brisk Electro Sales Pvt. Ltd.,Based On Sales Orders 10210693.,17 Aug 18,25696,7203.9,100% Advance Along With PI,Indian Rupee,1,Closed,No,25696-Fwd: Quotation required for YAMATAKE MAKE LIMIT SWITCH SL1-A,1098.9,,
40210881,8 Aug 18,The Bombay Textile Research Association,Based On Sales Orders 10210710.,15 Aug 18,26062,1209.5,100% Advance,Indian Rupee,1,Closed,Yes,26062-Fwd: PI,184.5,,
40210882,9 Aug 18,Max Systems Pvt. Ltd.,Based On Sales Orders 10210711.,15 Aug 18,26153,11210,15 days credit,Indian Rupee,1,Closed,No,26153-Regarding non functioning of UPS at AIIMS Raipur,1710,,
40210883,9 Aug 18,Centa Transmissions Ltd.,Based On Sales Orders 10210697.,13 Sep 18,25047,145547.73,50% Advance 50 % Before Delivery,British Pound,88.3178,Closed,No,25047-Fwd: RE: Coupling used with 4 cylinder engine,0,,
40210884,9 Aug 18,Hitech Corporation Ltd.,Based On Sales Orders 10210709.,15 Aug 18,26117,110438.25,100% Advance,Indian Rupee,1,Closed,No,26117-New Requirement,16846.52,,
40210885,9 Aug 18,Meharsons Electronics Pvt. Ltd.,Based On Sales Orders 10210714.,13 Aug 18,26131,28920,15 Days PDC,Indian Rupee,1,Closed,No,26131-Please Order and arrange AC for PGI hematology,6326.25,,
40210886,9 Aug 18,Krishan Brothers,Based On Sales Orders 10210712.,22 Aug 18,25629,3929.4,100% Advance Along With PI,Indian Rupee,1,Closed,No,25629-Request for Quote for Supply of Wire Cutter Make: KNIPEX Model: 79 02 120 ESD,599.4,,
40210887,9 Aug 18,Sagar Stationery Stores,Based On Sales Orders 10210687.,6 Aug 18,25331,708,100% advance against proforma invoice,Indian Rupee,1,Closed,No,25331-RFQ for Cable tie,108,,
40210888,9 Aug 18,Hitech Corporation Ltd.,Based On Sales Orders 10210707.,20 Aug 18,25797,61611.58,100% advance against proforma invoice,Indian Rupee,1,Closed,No,25797-Fwd: PO 4591451080 => Bulk Mro Indus,9398.38,,
40210889,9 Aug 18,Rangoli Plastics Pvt. Ltd.,Based On Sales Orders 10210690.,10 Aug 18,25815,130980,30 Days Credit,Indian Rupee,1,Closed,No,25815-Inquiry for PLASTIC CARBOY,19980,,
40210890,9 Aug 18,Element14 India Pvt. Ltd.,Based On Sales Orders 10210708.,24 Aug 18,25995,2578.57,100% advance,Indian Rupee,1,Closed,No,25995-Fwd: Action Required: New Request 3114 submitted,393.34,,
40210891,9 Aug 18,Gokul Traders,Based On Sales Orders 10210704.,4 Sep 18,25794,41864.04,40% advance and 60% before dispatch,Indian Rupee,1,Closed,No,25794-Fwd: FW: Quotation,6386.04,,
40210892,9 Aug 18,Geekays India,Based On Sales Orders 10210705.,15 Aug 18,25236,0,100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,25236-Inquiry for calibration of Gas Detector,0,,
40210893,10 Aug 18,Prolific Engineers,Based On Sales Orders 10210706.,14 Sep 18,25926,41795.6,40% Advance and Balance against PI before Delivery,Indian Rupee,1,Open,No,25926-Fwd: Die requirement,6375.6,,
40210894,10 Aug 18,Ruchit Enterprise,Based On Sales Orders 10210719.,6 Sep 18,21149,132688.06,15 Days PDC,Indian Rupee,1,Closed,No,21149-Fwd: RFQ for Paint Booth Consumables- II,20240.56,,
40210895,10 Aug 18,Divine Engineering,Based On Sales Orders 10210717.,14 Aug 18,25837,6835.74,25 days after delivery,Indian Rupee,1,Closed,No,25837-Please provide me quotation for below parts,1042.74,,
40210896,11 Aug 18,Nathani Steels,Based On Sales Orders 10210722.,29 Aug 18,26160,5074,7 Days PDC,Indian Rupee,1,Closed,No,26160-Fwd: Order Management - New Purchase Order: 4591462441 received from Henkel Adhesives Technol,774,,
40210897,11 Aug 18,BSB Edge Pvt. Ltd.,Based On Sales Orders 10210720.,27 Aug 18,25905,3313.67,100% advance against proforma invoice,Indian Rupee,1,Closed,Yes,25905-FW: Need Quotation,157.79,,
40210898,11 Aug 18,B. J. Scientific Co.,,11 Aug 18,,1402.73,100 %Payment in advance before dispatch,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,213.98,,
40210899,11 Aug 18,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10210721.,18 Aug 18,25909,5900,100% advance against proforma invoice,Indian Rupee,1,Closed,No,25909-New Inquiry Plastic Carboy,900,,
40210900,11 Aug 18,Stanley Black and Decker India Pvt. Ltd.,,11 Aug 18,,3153.72,45 days after delivery,Indian Rupee,1,Open,No,99998 - Open PO,481.08,,
40210901,11 Aug 18,Shreenathji Welding And Safety Pvt. Ltd.,Based On Sales Orders 10210716.,15 Aug 18,26178,12503.58,30 Days Credit,Indian Rupee,1,Closed,No,26178-SAFETY PRODUCTS,1596.08,,
40210902,11 Aug 18,Fix Parts Online,Based On Sales Orders 10210718.,1 Sep 18,21449,25110.39,30 Days Credit,Euro,78.92,Closed,Yes,21449-New Inquiry,3830.4,,
40210903,13 Aug 18,Atul Ltd.,Based On Sales Orders 10210724.,17 Aug 18,25769,7080,100% Advance,Indian Rupee,1,Closed,No,25769-Requirement of Lab test_Hinjewadi,1080,,
40210904,13 Aug 18,Bharat Trading Company,Based On Sales Orders 10210730.,11 Aug 18,25613,56924.38,15 days after delivery,Indian Rupee,1,Closed,No,25613-FW: reg: Cost required,8683.38,,
40210905,13 Aug 18,S.H.M Tools and Hardware Mart,Based On Sales Orders 10210730.,11 Aug 18,25613,58376.96,15 days after delivery,Indian Rupee,1,Closed,No,25613-FW: reg: Cost required,8904.96,,
40210906,13 Aug 18,Divine Engineering,Based On Sales Orders 10210732.,17 Aug 18,26263,39772.82,25 days after delivery,Indian Rupee,1,Closed,No,26263-Fwd: Quotation needed for spares,6067.02,,
40210907,13 Aug 18,Bitsy Infotech Pvt. Ltd.,Based On Sales Orders 10210732.,17 Aug 18,26263,236,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26263-Fwd: Quotation needed for spares,36,,
40210908,13 Aug 18,Stationery House,Based On Sales Orders 10210723.,13 Aug 18,26229,1593,100% Against Delivery,Indian Rupee,1,Closed,No,26229-Order for Business Card Holders,243,,
40210909,13 Aug 18,Altaf H Vali Electronics Pvt. Ltd.,,13 Aug 18,25944,12990,100% Advance,Indian Rupee,1,Closed,No,25944-Fwd: RFQ for Sony Cybershot  Model DSC-WX220/B 18.2MP Digital Camera ( Black ),2841.56,,
40210910,13 Aug 18,Sandip Heavy Lifters & Movers,Based On Sales Orders 10210713.,10 Aug 18,25988,3728.8,100% advance against proforma invoice,Indian Rupee,1,Open,No,25988-Fwd: [External],568.8,,
40210911,13 Aug 18,Hakimi Enterprises,Based On Sales Orders 10210726.,31 Aug 18,20636,8060.8,15 Days PDC,Indian Rupee,1,Closed,No,20636-Fwd: Enquiry for Tools JVC :: GE Transportation Marhowra Bihar India,700.8,,
40210912,13 Aug 18,Kewalson,Based On Sales Orders 10210726.,31 Aug 18,20636,59179.2,15 days after delivery,Indian Rupee,1,Closed,No,20636-Fwd: Enquiry for Tools JVC :: GE Transportation Marhowra Bihar India,6739.2,,
40210913,13 Aug 18,Shreenathji Welding And Safety Pvt. Ltd.,Based On Sales Orders 10210726.,31 Aug 18,20636,28320,30 days after delivery,Indian Rupee,1,Open,No,20636-Fwd: Enquiry for Tools JVC :: GE Transportation Marhowra Bihar India,4320,,
40210914,13 Aug 18,AVGN Infotech,Based On Sales Orders 10210728.,13 Aug 18,26112,46303.2,100% Against Delivery,Indian Rupee,1,Closed,No,26112-Fwd: IMP: Invoice request: CCTV,7063.2,,
40210915,13 Aug 18,MAN Enterprises,Based On Sales Orders 10210726.,31 Aug 18,20636,11800,100% advance against proforma invoice,Indian Rupee,1,Closed,No,20636-Fwd: Enquiry for Tools JVC :: GE Transportation Marhowra Bihar India,1800,,
40210916,14 Aug 18,Central Institute of Plastics Engineering & Technology ( CIPET ),Based On Sales Orders 10210727.,14 Aug 18,25776,8260,100% Against Delivery,Indian Rupee,1,Closed,No,25776-Requirement of Lab test_Hinjewadi,1260,,
40210917,14 Aug 18,Manibhadra Electricals Pvt. Ltd.,Based On Sales Orders 10210729.,17 Aug 18,26143,2596,100% Against Delivery,Indian Rupee,1,Closed,No,26143-cable requirement,396,,
40210918,14 Aug 18,Sf Marine Offshore and Industrial Supply Co.,Based On Sales Orders 10210735.,17 Aug 18,25679,10454.8,100% advance,Indian Rupee,1,Closed,No,25679-REQUEST FOR QUOTATION : CHOP SAW SLICE CUTTER,1594.8,,
40210919,7 Aug 18,Hasmukh Electrical and Hardware Stores,Based On Sales Orders 10210679.,14 Aug 18,25878,18526,30 Days PDC,Indian Rupee,1,Closed,No,25878-Fwd: PROFORMA-INVOICE,2826,,
40210920,14 Aug 18,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10210736.,16 Aug 18,26252,344937.6,100% Advance,Indian Rupee,1,Open,No,26252-New Inquiry Plastic Pail,52617.6,,
40210921,14 Aug 18,As-Schneider Middle East FZE,Based On Sales Orders 10610274.,13 Sep 18,25042,43353.53,100% Advance Along With PI,Euro,73.7305,Closed,No,25042-J 638_Enquiry for AS-Schneider make Shut-off valves,0,,
40210922,14 Aug 18,Rajesh Trade Centre,Based On Sales Orders 10210743.,25 Aug 18,25838,64852.8,100% Advance,Indian Rupee,1,Closed,No,25838-Bearing Requirement,9892.8,,
40210923,14 Aug 18,Nocturna Ltd,Based On Sales Orders 10210750.,31 Aug 18,25723,33978.3,100% advance against proforma invoice,British Pound,89.285,Closed,Yes,25723-Enquiry for Night Vision handheld Camera ( Binocular),0,,
40210924,16 Aug 18,Avishkar,,16 Aug 18,,728,100% advance against proforma invoice,Indian Rupee,1,Open,No,25945-Medical Center Equipment -Henkel-5,78,,
40210925,16 Aug 18,Samarth Industries,Based On Sales Orders 10210732.,17 Aug 18,26263,3540,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26263-Fwd: Quotation needed for spares,540,,
40210926,16 Aug 18,Laboratory for Advanced Research in Polymeric Materials ( LARPM ),Based On Sales Orders 10210745.,14 Aug 18,25817,3894,100% Advance,Indian Rupee,1,Closed,No,25817-Requirement of Lab test_Hinjewadi,594,,
40210927,16 Aug 18,Mitsu Chem Plast Limited,Based On Sales Orders 10210731.,15 Aug 18,26003,9260,100% Advance,Indian Rupee,1,Closed,No,26003-RFQ for Spinal Board,1412.54,,
40210928,16 Aug 18,Shakti Electric and Hardware and Stores,Based On Sales Orders 10210683.,19 Aug 18,25610,1062,100% Against Delivery,Indian Rupee,1,Closed,No,25610-Waste Bin. 200 Ltr Barrel. & Stand Req,162,,
40210929,16 Aug 18,Ingersoll Rand International India Ltd,Based On Sales Orders 10210741.,21 Aug 18,25247,89208,50% Advance,Indian Rupee,1,Closed,Yes,25247-RE: [EXT] AMC Proposal for Henkel Hinjewadi Pune_NVH Lab Trane Chillers,13608,,
40210930,16 Aug 18,Deluxe Electrical Corporation,Based On Sales Orders 10210751.,21 Aug 18,26012,7316,30 Days Credit,Indian Rupee,1,Closed,No,26012-Testo Thermohygrometer,1116,,
40210931,16 Aug 18,Aqua Vision,,16 Aug 18,,0,Net-30,Indian Rupee,1,Open,No,8348-Fwd: FW: Lab Documents,0,,
40210932,16 Aug 18,Orlab Instruments Pvt. Ltd.,,16 Aug 18,,17286.08,100% Advance,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,1852.08,,
40210933,16 Aug 18,Vismay's Design,Based On Sales Orders 10210738.,16 Aug 18,26285,7405,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26285-RE: [External] copy of bill name : BULK MRO,0,,
40210934,16 Aug 18,MGS Technologies,Based On Sales Orders 10210737.,27 Aug 18,26273,73685.1,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26273-FW: [External] offer for FX 2 arm,11240.1,,
40210935,16 Aug 18,Jal Jyoti International,Based On Sales Orders 10210742.,3 Sep 18,26025,33377.48,30 days after delivery,Indian Rupee,1,Closed,No,26025-Request Number: 3117 Urgent,5091.48,,
40210936,16 Aug 18,Bharat Trading Company,Based On Sales Orders 10210734.,11 Aug 18,26142,143475.02,15 days after delivery,Indian Rupee,1,Closed,No,26142-PO 4500348957,21886.02,,
40210937,16 Aug 18,Trades Global,Based On Sales Orders 10210733.,20 Aug 18,26152,12980,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26152-FW: Vacuum sealer order,1980,,
40210938,16 Aug 18,Bothra Electric and Refrigeration Co.,,16 Aug 18,,80240,100% advance against proforma invoice,Indian Rupee,1,Open,No,20942-Emerson make compressor,12240,,
40210939,17 Aug 18,Mohanlal Ghanshamdas,Based On Sales Orders 10210752.,23 Aug 18,26228,6136,100% Advance,Indian Rupee,1,Closed,No,26228-link,936,,
40210940,17 Aug 18,Compressor Point,,17 Aug 18,,3304,100% Advance,Indian Rupee,1,Open,No,20942-Emerson make compressor,504,,
40210941,17 Aug 18,BSB Edge Pvt. Ltd.,,17 Aug 18,,3313.67,100% advance against proforma invoice,Indian Rupee,1,Closed,No,25905-FW: Need Quotation,157.79,,
40210942,17 Aug 18,Safety Solutions,,17 Aug 18,,3835,100% advance against proforma invoice,Indian Rupee,1,Closed,No,25236-Inquiry for calibration of Gas Detector,585,,
40210943,17 Aug 18,Crown Rubber Works,Based On Sales Orders 10210754.,6 Sep 18,26274,103887.2,7 Days PDC,Indian Rupee,1,Open,No,26274-Fwd: Fw: Fwd: FW: Quotation,15847.2,,
40210944,17 Aug 18,Aqua Vision,,17 Aug 18,,1003,100% Advance,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,153,,
40210945,17 Aug 18,Jal Jyoti International,,17 Aug 18,,12604.48,100% advance against proforma invoice,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,1350.48,,
40210946,17 Aug 18,Garg Scientific Glass Industries,,17 Aug 18,,4720,100% advance before delivery,Indian Rupee,1,Closed,No,8348-Fwd: FW: Lab Documents,720,,
40210947,17 Aug 18,ABM Corp.,Based On Sales Orders 10210755.,21 Sep 18,25733,37301.26,100% Advance,Indian Rupee,1,Open,No,25733-Fwd: RFQ for PPE,1776.26,,
40210948,17 Aug 18,S. M. TRADERS,Based On Sales Orders 10210749.,16 Aug 18,26289,1086.08,100% After Delivery,Indian Rupee,1,Closed,No,26289-Inquiry for tape dispensor,165.68,,
40210949,18 Aug 18,Nathani Steels,Based On Sales Orders 10210761.,21 Aug 18,26287,2537,7 Days PDC,Indian Rupee,1,Closed,No,26287-Fwd: Order Management - New Purchase Order: 4591465465 received from Henkel Adhesives Technol,387,,
40210950,18 Aug 18,Bosch Ltd.,Based On Sales Orders 10210757.,7 Sep 18,25780,4875.76,100% Advance,Indian Rupee,1,Closed,No,25780-RFQ | Electric Grinder,743.76,,
40210951,18 Aug 18,Shree Krishna Signs,Based On Sales Orders 10210759.,24 Aug 18,20914,274350,100% Against Delivery,Indian Rupee,1,Closed,No,20914-Quotation,41850,,
40210952,18 Aug 18,Wayona Corporation,Based On Sales Orders 10210763.,20 Aug 18,26214,4130,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26214-Samsung Tabs AND Car Charger,630,,
40210953,18 Aug 18,Digilab India,Based On Sales Orders 10210762.,31 Aug 18,26175,35362.24,100% Advance,Indian Rupee,1,Closed,No,26175-Fwd: costing for fluke make milliamp process meter,5394.24,,
40210954,18 Aug 18,Atlas Protective Products,Based On Sales Orders 10210755.,21 Sep 18,25733,27300,100% Advance,Indian Rupee,1,Closed,Yes,25733-Fwd: RFQ for PPE,1300,,
40210955,18 Aug 18,Rajesh Trade Centre,Based On Sales Orders 10210760.,24 Aug 18,25876,147068.12,30 Days PDC,Indian Rupee,1,Closed,No,25876-Enquiry- Bearings,22434.12,,
40210956,18 Aug 18,Rajesh Trade Centre,Based On Sales Orders 10210758.,28 Aug 18,25297,107403.6,50% advance 50% on delivery,Indian Rupee,1,Closed,No,25297-Quote _Consumable GE Wind.,16383.6,,
40210957,18 Aug 18,Alba Sales Corporation,Based On Sales Orders 10210758.,28 Aug 18,25297,65844,30 Days PDC,Indian Rupee,1,Closed,No,25297-Quote _Consumable GE Wind.,10044,,
40210958,18 Aug 18,Kakamari Tools and Equipments,Based On Sales Orders 10210758.,28 Aug 18,25297,7522.5,Net-30,Indian Rupee,1,Closed,No,25297-Quote _Consumable GE Wind.,1147.5,,
40210959,20 Aug 18,Surya Industries,Based On Sales Orders 10210768.,24 Aug 18,21466,13216,100% Against Delivery,Indian Rupee,1,Closed,No,21466-Fwd: Quotation for template,2016,,
40210960,20 Aug 18,OPS Utility Services Pvt. Ltd.,Based On Sales Orders 10210769.,20 Aug 18,26357,109744.95,100% Against Delivery,Indian Rupee,1,Closed,No,26357-Fwd: Bolero bill for the month of July 2018,5225.95,,
40210961,20 Aug 18,Malti Enterprise,Based On Sales Orders 10210770.,27 Aug 18,26432,168114.6,100% After Delivery,Indian Rupee,1,Closed,Yes,26432-Millipore DI water supplies,25644.6,,
40210962,20 Aug 18,Bosch Ltd.,,20 Aug 18,,12998.88,100% advance against proforma invoice,Indian Rupee,1,Closed,No,21460-Workshop requirements,1982.88,,
40210963,20 Aug 18,Flexibles,Based On Sales Orders 10210765.,20 Sep 18,25698,37070.88,15 Days PDC,Indian Rupee,1,Closed,Yes,25698-Offer required for 1inch teflon hose pipes,5654.88,,
40210964,20 Aug 18,Tribotech,Based On Sales Orders 10210756.,6 Sep 18,25693,395276.4,7 Days PDC,Indian Rupee,1,Closed,No,25693-Fwd: FW: Lase alignment tool - Easy-Laser E-420,60296.4,,
40210965,20 Aug 18,Safety Solutions,,20 Aug 18,,77253.75,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26179-New inquiry Shoes,3678.75,,
40210966,21 Aug 18,Flexibles,Based On Sales Orders 10210766.,20 Sep 18,26430,12023.96,15 days after delivery,Indian Rupee,1,Closed,Yes,26430-Offer required for 1inch teflon hose pipes,1834.16,,
40210967,21 Aug 18,Sunrise Eservices,Based On Sales Orders 10210774.,27 Aug 18,26368,6844,100% Advance Along With PI,Indian Rupee,1,Closed,No,26368-Fwd: Action Required: New Request 3166 submitted,1044,,
40210968,21 Aug 18,Rajdeep Plastic Containers India Pvt Ltd,Based On Sales Orders 10210764.,29 Sep 18,26423,8260,100% advance against proforma invoice,Indian Rupee,1,Open,No,26423-Fwd: PO 4591447691 => Bulk Mro Indust,1260,,
40210969,21 Aug 18,W. W. Grainger Inc.,Based On Sales Orders 10210335.,20 Jun 18,18668,17191.27,45 days after delivery,US Dollar,69.7132,Closed,No,18668-Fwd: RFQ for Platform area tools,0,,
40210970,21 Aug 18,Dinesh Enterprises,Based On Sales Orders 10210775.,21 Aug 18,26472,2832,100% advance,Indian Rupee,1,Closed,No,26472-quotation for hoses,432,,
40210971,21 Aug 18,Elegant enterprise,Based On Sales Orders 10210761.,21 Aug 18,26287,6361.6,7 days after delivery,Indian Rupee,1,Closed,No,26287-Fwd: Order Management - New Purchase Order: 4591465465 received from Henkel Adhesives Technol,681.6,,
40210972,21 Aug 18,Redington (India) Limited,,21 Aug 18,,76049.93,100% Advance Along With PI,Indian Rupee,1,Open,No,26214-Samsung Tabs AND Car Charger,11600.84,,
40210973,22 Aug 18,Economy Engineering Corporation,Based On Sales Orders 10210767.,30 Aug 18,26223,19470,100% advance against proforma invoice,Indian Rupee,1,Closed,No,26223-Fwd: Action Required: New Request 3148 submitted,2970,,
40210974,22 Aug 18,Nilkamal Ltd.,Based On Sales Orders 10210777.,5 Oct 18,19735,146272.8,30 days after delivery,Indian Rupee,1,Closed,No,19735-Supply of Nilkamal Scissor lift platform,22312.8,,
40210975,22 Aug 18,Bharat Trading Company,Based On Sales Orders 10210778.,23 Aug 18,26342,20355,15 days after delivery,Indian Rupee,1,Closed,No,26342-PO 4500349416,3105,,
40210976,22 Aug 18,Mahesh Trading Corporation,Based On Sales Orders 10210778.,23 Aug 18,26342,23322.41,7 Days PDC,Indian Rupee,1,Closed,No,26342-PO 4500349416,3557.66,,
40210977,22 Aug 18,Bharat Trading Company,Based On Sales Orders 10210779.,23 Aug 18,26339,15197.22,15 days after delivery,Indian Rupee,1,Closed,No,26339-PO 4500349318,2318.22,,
40210978,22 Aug 18,A. K.Traders,Based On Sales Orders 10210683.,19 Aug 18,25610,3894,100% Advance,Indian Rupee,1,Closed,No,25610-Waste Bin. 200 Ltr Barrel. & Stand Req,594,,
40210979,22 Aug 18,Dietrich Schwabe,Based On Sales Orders 10610290.,15 Oct 18,26268,53386.64,100% Against PI at the time of delivery,Euro,81.0485,Closed,No,26268-RFQ /GE Power/Filter & Valve/Various Project,0,,
40210980,23 Aug 18,Jai Gopal Steel,Based On Sales Orders 10210784.,29 Aug 18,26389,166875.6,100% After Delivery,Indian Rupee,1,Closed,No,26389-FINAL QUOTATION FOR RAILINGS,25455.6,,
40210981,23 Aug 18,Kartik Garments,Based On Sales Orders 10210776.,25 Aug 18,25879,672,7 Days PDC,Indian Rupee,1,Closed,Yes,25879-Fwd: Order Management - New Purchase Order: 4591415907 received from Henkel Adhesives Technol,32,,
40210982,23 Aug 18,Yash Traders,Based On Sales Orders 10210783.,31 Aug 18,26278,1899.8,100% Advance,Indian Rupee,1,Closed,No,26278-RFQ for Motorola FW 200 L,289.8,,
40210983,23 Aug 18,Tirlochan Pandey,Based On Sales Orders 10210773.,20 Aug 18,25286,34281.36,100% Against Delivery,Indian Rupee,1,Closed,No,25286-Lunch and Dinner,5229.36,,
40210984,23 Aug 18,Divine Engineering,Based On Sales Orders 10210785.,6 Sep 18,21421,98356.68,25 days after delivery,Indian Rupee,1,Closed,No,21421-Quotation needed for flexi hoses,15003.58,,
40210985,24 Aug 18,Mahalaxmi Enterprises,Based On Sales Orders 10210789.,27 Aug 18,25170,39840,100% Against Delivery,Indian Rupee,1,Closed,No,25170-Fwd: Tax Invoice 7 to 9,5760,,
40210986,24 Aug 18,Mahalaxmi Enterprises,Based On Sales Orders 10210782.,27 Aug 18,26542,10325,100% Against Delivery,Indian Rupee,1,Closed,No,26542-Fwd: Tax Invoice 7 to 9,1575,,
40210987,24 Aug 18,Vishal Enterprises,Based On Sales Orders 10210794.,25 Aug 18,25839,51330,100% Advance,Indian Rupee,1,Closed,No,25839-Fwd: Required quotation for cable protector.,7830,,
40210988,24 Aug 18,Laser lab India Pvt. Ltd.,Based On Sales Orders 10210795.,27 Aug 18,26551,34220,100% Advance,Indian Rupee,1,Closed,No,26551-FW: [EXT] Re: Epilog Laser Cutting Machine- Service engineer visit.,5220,,
40210989,24 Aug 18,Abhijit Enterprises,Based On Sales Orders 10210794.,25 Aug 18,25839,12980,100% Advance,Indian Rupee,1,Closed,Yes,25839-Fwd: Required quotation for cable protector.,1980,,
40210990,24 Aug 18,Reflectosafe,Based On Sales Orders 10210790.,31 Aug 18,21401,18900,15 days credit,Indian Rupee,1,Closed,No,21401-Fwd: [EXT] Re: Quotation for Safety Items,900,,
40210991,24 Aug 18,Bhairav Chemist,Based On Sales Orders 10210788.,27 Aug 18,26200,1050,100% Against Delivery,Indian Rupee,1,Closed,No,26200-Fwd: Quote required - First Aid Supply,0,,
40210992,24 Aug 18,Accent Industries Ltd.,,21 Sep 18,,27300,100% Advance,Indian Rupee,1,Open,No,25733-Fwd: RFQ for PPE,1300,,
40210993,24 Aug 18,Siddheshwar Enterprises,Based On Sales Orders 10210787.,27 Aug 18,26234,1416,100% Advance,Indian Rupee,1,Open,No,26234-Fwd: Fine blasting,216,,
40210994,24 Aug 18,Tradelinks Marketing Services,Based On Sales Orders 10210798.,27 Aug 18,26637,1604.8,15 Days PDC,Indian Rupee,1,Closed,Yes,26637-Bulk head assymbly,244.8,,
40210995,24 Aug 18,Mott Corporation,Based On Sales Orders 10210786.,24 Sep 18,26301,61968.4,100% Against PI at the time of delivery,US Dollar,70.1,Closed,No,26301-FW: [External] FW: TT17766 - Applied Materials - FW: Form submission from: Products/Markets/C,0,,
40210996,24 Aug 18,Sawalka Kel Pvt. Ltd.,Based On Sales Orders 10210791.,31 Aug 18,26387,35376.4,100% Against PI at the time of delivery,Indian Rupee,1,Closed,No,26387-Fwd: Purchase Order #530013383,5396.4,,
40210997,24 Aug 18,Sawalka Kel Pvt. Ltd.,Based On Sales Orders 10210791.,14 Sep 18,26387,34196.4,100% Against PI at the time of delivery,Indian Rupee,1,Closed,Yes,26387-Fwd: Purchase Order #530013383,5216.4,,
40210998,24 Aug 18,Creative Engineers,,24 Aug 18,26387,53153.1,100% Against Delivery,Indian Rupee,1,Closed,No,26387-Fwd: Purchase Order #530013383,8108.1,,
40210999,27 Aug 18,Sumitron Exports Pvt. Ltd.,Based On Sales Orders 10210797.,8 Oct 18,25053,59808,100% Advance Along With PI,Indian Rupee,1,Closed,No,25053-Request for Quote for Supply of Wipes (TEXWTX-1091) Make- ITW,6408,,
40211000,27 Aug 18,Shah Electric Spare Product,Based On Sales Orders 10210796.,27 Aug 18,25951,12970,30 Days PDC,Indian Rupee,1,Closed,No,25951-Enquiry dtd 31.07.2018 - Lighting items for VVF Taloja,1470,,
40211001,27 Aug 18,Lakshya Infotech,Based On Sales Orders 10210793.,30 Aug 18,26288,49973,15 Days PDC,Indian Rupee,1,Closed,No,26288-Re: Scanner Quotation,7623,,
40211002,27 Aug 18,3D Product Development Pvt. Ltd.,Based On Sales Orders 10210802.,3 Sep 18,26585,17464,100% Advance,Indian Rupee,1,Closed,No,26585-Action Required: New Request 3194 submitted,2664,,
40211003,27 Aug 18,Ashwini Enterprises,Based On Sales Orders 10210804.,29 Aug 18,25978,1681.5,100% Against Delivery,Indian Rupee,1,Closed,Yes,25978-RFQ for Hoist Lubricant,256.5,,
40211004,27 Aug 18,Com Core Connexions Pvt. Ltd.,Based On Sales Orders 10210801.,3 Sep 18,26600,2655,100% Advance,Indian Rupee,1,Closed,No,26600- Action Required: New Request 3199 submitted,405,,
40211005,27 Aug 18,AL-CAN Exports Pvt. Ltd.,Based On Sales Orders 10210800.,28 Aug 18,26041,29216.8,100% Advance,Indian Rupee,1,Closed,No,26041-RFQ : Diving Cylinder,4456.8,,
