Po number,Date,Vendor,Remarks,Due Date,Project,Document Total,Payment Terms Code,Document Currency,Document Rate,Document Status,Canceled,Project Code,Tax Amount (SC),,
3300662,1 Jun 18,Design Elegance,,1 Jun 18,,111457.96,Net-30,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,17002.06,,
3300667,1 Jun 18,Alpha Engineering,,1 Jun 18,,221910.33,100% Against Delivery,Indian Rupee,1,Closed,Yes,8681-Fwd: FW: Scan of Dwg,33850.73,,
3300677,1 Jun 18,Alpha Engineering,,1 Jun 18,,221910.33,100% Against Delivery,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,33850.73,,
3300680,1 Jun 18,Jost'S Engineering Co. Ltd.,,1 Jun 18,,437760,50% advance 50% on delivery,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,95760,,
3300696,1 Jun 18,Renuka Enterprises,,1 Jun 18,,98967.04,50% advance 50% on delivery,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,15239.04,,
3300707,1 Jun 18,Metravi Instruments Pvt. Ltd.,,1 Jun 18,,7864.7,100% Against Delivery,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,1199.7,,
3300730,1 Jun 18,Deluxe Electrical Corporation,,1 Jun 18,,68204,100% After Delivery,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,10404,,
3300733,1 Jun 18,Patani Brothers,,1 Jun 18,,9881.03,100% advance against proforma invoice,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,1507.28,,
3300734,1 Jun 18,Videology,,1 Jun 18,,27352.4,100% advance against proforma invoice,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,4172.4,,
3300747,1 Jun 18,G.V. Electronics,,1 Jun 18,,4885.2,100% advance against proforma invoice,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,745.2,,
3300755,21 Nov 17,Analytica Equipments (India) Pvt. Ltd,,9 Jan 18,,1343598.74,75% with PI and 25% before delivery,Indian Rupee,1,Open,No,8348-Fwd: FW: Lab Documents,204955.74,,
3300756,1 Jun 18,Mekaster Tools Ltd.,,1 Jun 18,,11391.02,100% advance against proforma invoice,Indian Rupee,1,Open,No,8681-Fwd: FW: Scan of Dwg,1737.62,,
3300767,23 Nov 17,B.a.g.g.i. (S.r.l.),,12 Jun 18,,59880710.03,Net-30,US Dollar,64.7359,Open,No,15005-Process Analyzers,0,,
3300884,15 Dec 17,Industeel France,Based On Sales Orders 10210128.,13 Apr 18,,5073396.44,Net-30,Euro,75.6919,Closed,No,15029-10 nos. 32615 from Industeel,0,,
3300918,21 Dec 17,Industeel France,,21 Dec 17,,10005766.79,Net-30,Euro,76.088,Open,No,15029-10 nos. 32615 from Industeel,0,,
3300947,27 Dec 17,Prismtech Packaging Solutions Pvt. Ltd.,,28 Dec 17,,106200,50 % Advanced Along with Purchase Order  50% After dispatch within 10 Days,Indian Rupee,1,Closed,No,16309-RFQ: Packaging Machine Spares_Jejuri,16200,,
3300964,2 Jan 18,HM Digital India Pvt. Ltd.,,3 Jan 18,,28320,100% advance against proforma invoice,Indian Rupee,1,Closed,No,13562-Quotation for TDS meter | Conductivity tester,4320,,
3300990,5 Jan 18,Neelam Enterprises,,5 Jan 18,,130921,Net-30,Indian Rupee,1,Closed,No,16092-Offer for Emerson Semi sealed compressor,19971,,
3301020,10 Jan 18,New Era Engineering,,10 Jan 18,,20178,Net-30,Indian Rupee,1,Open,No,10831-Quote for VSR Filter on urgent basis for CTIPL Dewas Plant.,3078,,
3301022,10 Jan 18,Stanley Black and Decker India Pvt. Ltd.,,10 Jan 18,,8723.74,Net-30,Indian Rupee,1,Open,No,16033-Fwd: Quotation for Hardware and tools,1330.74,,
3301038,11 Jan 18,Huntsman International India Pvt. Ltd.,,11 Jan 18,,62776000,Net-30,Indian Rupee,1,Open,No,10872-Accelerated Amines,9576000.00,,
3301047,12 Jan 18,Shriram Institute For Industrial Research,,12 Jan 18,,26078,Net-30,Indian Rupee,1,Open,No,16885-RE: Action Required: New Request 2315 submitted -- Third Party Buy,3978,,
3301075,15 Jan 18,Krishan Brothers,,15 Jan 18,,52769.6,Net-30,Indian Rupee,1,Open,No,15529-Fwd: Additional Tools list,8049.6,,
3301150,23 Jan 18,Bostan Engineering.,,23 Jan 18,,5376,Net-30,Indian Rupee,1,Closed,No,17291-FW: Purch.O. n° 2100008676-77003276-BULK MRO INDUSTRIA,576,,
3301196,2 Feb 18,Starlite Engineer Co.,,2 Feb 18,,154733.4,100% advance against proforma invoice,Indian Rupee,1,Open,No,17619-Fwd: PO 4700899972_Loctite 401_Bulk MRO,23603.4,,
3301202,3 Feb 18,Jyoti Architectural Products Pvt. Ltd.,,3 Feb 18,,4566.6,Net-30,Indian Rupee,1,Open,No,17034-RFQ: Wheels for gas welding trolley,696.6,,
3301213,7 Feb 18,Reflectosafe,,7 Feb 18,,79800,Net-30,Indian Rupee,1,Closed,No,17321-Esd certified shoes and reflectice jackets : Generated from opportunity,3800,,
3301240,31 May 18,Ravi Transmission Products,,31 May 18,,81420,100% advance against proforma invoice,Indian Rupee,1,Open,No,16997-Fwd: Quote for INA Make Roller for CTIPL Dewas Plant. 94248.,12420,,
3301242,5 Jul 18,Beneq Oy,,5 Jul 18,,1041710.7,Net-30,Euro,80.07,Closed,No,19236-Beneq,0,,
3301243,5 Jul 18,Innovative Design and Manufacturing Solutions,,5 Jul 18,,34047.72,Net-30,Indian Rupee,1,Closed,Yes,19720-Air velocity and temperature transmitter,5193.72,,
3301244,5 Jul 18,Ellsworth Adhesives India Pvt. Ltd.,,5 Jul 18,,16520,Net-30,Indian Rupee,1,Closed,No,19784-Requirement - URGENT DOW CORNING,2520,,
3301246,7 May 18,Hardcastle Petrofer Pvt. Ltd.,,7 May 18,,72854.48,Net-30,Indian Rupee,1,Closed,No,19277-New Quote: Hiclean,11113.48,,
3301247,7 May 18,Sumit B Mhatre,,7 May 18,,90000,100% Against Delivery,Indian Rupee,1,Closed,No,19358-Fwd: FW: [EXT] Re: Need estimate - creative designing,0,,
3301248,5 Jul 18,Vijay Sales,,5 Jul 18,,7200,Net-30,Indian Rupee,1,Closed,No,19618-FW: 65 ltrs Refrigerator for Bipin's cabin,1575,,
3301249,7 May 18,Reflectosafe,,7 May 18,,59850,Net-30,Indian Rupee,1,Closed,No,19841 - Open PO,2850,,
3301250,7 May 18,Huntsman International India Pvt. Ltd.,,7 May 18,,179360,Net-30,Indian Rupee,1,Open,No,19880-Accelerated Amines Replacement,27360,,
3301251,7 May 18,Khas Enterprises,,7 May 18,,501.5,100% against delivery,Indian Rupee,1,Closed,No,19831-PPE requirement,76.5,,
3301252,5 Jul 18,Hindustan Hardware,,5 Jul 18,,3882.2,Net-30,Indian Rupee,1,Closed,No,19843-Fwd: PO_4500343169,592.2,,
3301253,5 Jul 18,Hindustan Hardware,,5 Jul 18,,76311.2,Net-30,Indian Rupee,1,Closed,No,19756-Fwd: PO_4300029020,11640.7,,
3301254,8 May 18,Bullows Paint Equipment Pvt. Ltd.,,8 May 18,,743400,30% Advance along with PO. 60% Against proforma prior to despatch with full tax. 10% PDC 30days at t,Indian Rupee,1,Closed,No,19691 - Open PO,113400.00,,
3301255,8 May 18,TUV Rheinland (India) Pvt. Ltd.,,8 May 18,,29500,Net-30,Indian Rupee,1,Closed,No,19635-slot for ESD testing,4500,,
3301256,20 Apr 18,Shree Laxmi Enterprises,,20 Apr 18,,7096.91,50% Against PI and 50% after 45 Days,Indian Rupee,1,Closed,No,19766-Fwd: FW: Message from,1082.58,,
3301257,9 May 18,Seed Enterprises,,9 May 18,,83780,100% Advance,Indian Rupee,1,Closed,No,19707-2764- STANDARD CONTROL PANEL,12780,,
3301258,9 May 18,HRS Process Systems Ltd.,,20 Jun 18,,65536.02,100% advance against proforma invoice,Indian Rupee,1,Closed,No,18468-Fwd: Request for quotation 67031 Funke HEAT EXCHANGER,9997.02,,
3301259,9 May 18,Shefa Industries,,16 May 18,,88500,30% advance 70% on delivery,Indian Rupee,1,Closed,No,19803-Meet : Generated from opportunity - Haste alloy C 276 Bowl,13500,,
3301260,9 May 18,J.K.Knitwear,,30 May 18,,84525,30 Days Credit,Indian Rupee,1,Closed,No,19626-Imp: RFQ for Black T-Shirts with company Logo  Imp: RFQ for Black T-Shirts with company Logo,4025,,
3301261,9 May 18,Cadetronics,,9 May 18,,4130,15 days after delivery,Indian Rupee,1,Closed,No,19209-Service Engineer Visit_Henkel-Turbhe,630,,
3301262,9 May 18,Khas Enterprises,,12 May 18,,13335,100% Against Delivery,Indian Rupee,1,Closed,No,19451-Inquiry for heat resistant gloves : Generated from opportunity,635,,
3301264,9 May 18,Golden Dyechem,,20 May 18,,5791074.2,100 %Payment in advance before dispatch,Indian Rupee,1,Closed,No,19922-Fwd: Sample - MEG / TEG.,883384.20,,
