inquiry_number,order_number,created_at,quote_type,After Change Status,Before Change Status,
20922,,4 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20900,,4 Jun 18,bmro,Quotation Sent,Regret,FALSE
20915,,4 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20896,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20897,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20899,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20898,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20889,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20895,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20893,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20894,,2 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20848,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20849,"1,06,10,61,41,06,10,610",1 Jun 18,bmro,Order Won,Order Lost,FALSE
20878,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20856,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20871,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20875,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20870,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20872,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20874,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20863,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20866,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20864,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20868,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20853,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20858,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20861,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20847,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20869,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20865,,1 Jun 18,bmro,Quotation Sent,Order Lost,FALSE
20821,,31 May 18,bmro,Quotation Sent,Regret,FALSE
20815,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20816,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20810,,31 May 18,bmro,Quotation Sent,Regret,FALSE
20812,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20820,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20829,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20818,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20825,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20817,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20832,,31 May 18,bmro,Quotation Sent,Order Lost,FALSE
20773,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20781,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20793,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20794,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20769,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20775,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20796,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20795,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20789,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20790,,30 May 18,bmro,Quotation Sent,Order Lost,FALSE
20725,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20727,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20735,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20731,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20729,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20751,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20724,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20765,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20746,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20748,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20726,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20730,,29 May 18,bmro,Quotation Sent,Order Lost,FALSE
20682,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20723,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20681,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20684,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20694,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20715,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20702,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20719,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20718,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20713,,28 May 18,bmro,Quotation Sent,Order Lost,FALSE
20646,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20661,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20660,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20650,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20654,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20675,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20667,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20671,,25 May 18,bmro,Quotation Sent,Regret,FALSE
20653,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20657,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20659,,25 May 18,bmro,Quotation Sent,Order Lost,FALSE
20613,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20616,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20614,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20609,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20623,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20642,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20608,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20622,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20617,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20615,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20628,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20630,,24 May 18,bmro,Quotation Sent,Order Lost,FALSE
20579,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20586,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20588,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20603,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20602,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20503,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20505,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20605,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
21360,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20598,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20580,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20504,,23 May 18,bmro,Quotation Sent,Order Lost,FALSE
20165,,22 May 18,bmro,Quotation Sent,Order Lost,FALSE
20171,,22 May 18,bmro,Quotation Sent,Regret,FALSE
20497,,22 May 18,bmro,Quotation Sent,Order Lost,FALSE
20496,,22 May 18,bmro,Order Lost,Regret,FALSE
20487,,22 May 18,bmro,Quotation Sent,Order Lost,FALSE
20498,,22 May 18,bmro,Quotation Sent,Order Lost,FALSE
20490,,22 May 18,bmro,Quotation Sent,Order Lost,FALSE
20157,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20149,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20143,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20138,,21 May 18,bmro,Quotation Sent,Regret,FALSE
20134,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20136,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20137,,21 May 18,bmro,Quotation Sent,Regret,FALSE
20141,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20154,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20162,,21 May 18,bmro,Quotation Sent,Regret,FALSE
20156,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20159,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20153,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20140,,21 May 18,bmro,Quotation Sent,Order Lost,FALSE
20118,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20107,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20110,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20093,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20122,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20105,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20123,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20119,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20101,,18 May 18,bmro,Quotation Sent,Order Lost,FALSE
20077,,17 May 18,bmro,Quotation Sent,Order Lost,FALSE
20080,,17 May 18,bmro,Quotation Sent,Order Lost,FALSE
20084,,17 May 18,bmro,Quotation Sent,Order Lost,FALSE
20057,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20059,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20052,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20053,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20062,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20056,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20055,,16 May 18,bmro,Quotation Sent,Regret,FALSE
20060,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20061,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20051,,16 May 18,bmro,Quotation Sent,Order Lost,FALSE
20028,,15 May 18,bmro,Quotation Sent,Order Lost,FALSE
20030,,15 May 18,bmro,Quotation Sent,Order Lost,FALSE
20043,,15 May 18,bmro,Quotation Sent,Order Lost,FALSE
20032,,15 May 18,bmro,Quotation Sent,Order Lost,FALSE
20008,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20019,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20005,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20006,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20009,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20015,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20013,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20012,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20014,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20011,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20000,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
20016,,14 May 18,bmro,Quotation Sent,Regret,FALSE
20010,,14 May 18,bmro,Quotation Sent,Order Lost,FALSE
19985,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19978,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19984,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19992,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19990,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19983,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19986,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19976,,11 May 18,bmro,Order Lost,Regret,FALSE
19994,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19988,,11 May 18,bmro,Quotation Sent,Order Lost,FALSE
19949,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19970,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19965,,10 May 18,bmro,Quotation Sent,Regret,FALSE
19972,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19953,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19963,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19958,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19961,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19947,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19952,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19950,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19948,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19960,,10 May 18,bmro,Quotation Sent,Order Lost,FALSE
19934,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19933,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19918,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19927,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19925,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19929,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19939,,9 May 18,bmro,Quotation Sent,Regret,FALSE
19946,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19920,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19945,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19936,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19941,,9 May 18,bmro,Quotation Sent,Order Lost,FALSE
19904,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19905,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19901,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19893,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19896,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19910,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19891,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19908,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19912,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19887,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19902,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19894,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19897,,8 May 18,bmro,Quotation Sent,Order Lost,FALSE
19844,,7 May 18,bmro,Quotation Sent,Order Lost,FALSE
19846,,7 May 18,bmro,Quotation Sent,Order Lost,FALSE
19882,,7 May 18,bmro,Quotation Sent,Order Lost,FALSE
19879,,7 May 18,bmro,Quotation Sent,Regret,FALSE
19853,,7 May 18,bmro,Quotation Sent,Order Lost,FALSE
19855,,7 May 18,bmro,Quotation Sent,Order Lost,FALSE
19833,,5 May 18,bmro,Quotation Sent,Order Lost,FALSE
19837,,5 May 18,bmro,Quotation Sent,Order Lost,FALSE
19818,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19824,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19811,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19827,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19817,,4 May 18,bmro,Quotation Sent,Regret,FALSE
19821,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19822,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19828,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19816,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19823,,4 May 18,bmro,Quotation Sent,Order Lost,FALSE
19779,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19771,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19808,,3 May 18,ong,Quotation Sent,Order Lost,FALSE
19777,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19776,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19807,,3 May 18,bmro,Quotation Sent,Regret,FALSE
19801,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19804,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19789,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19782,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19783,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19799,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19800,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19805,,3 May 18,bmro,Quotation Sent,Order Lost,FALSE
19751,,2 May 18,bmro,Quotation Sent,Order Lost,FALSE
19786,,2 May 18,bmro,Quotation Sent,Order Lost,FALSE
19761,,2 May 18,bmro,Quotation Sent,Order Lost,FALSE
19759,,2 May 18,bmro,Quotation Sent,Order Lost,FALSE
19746,,2 May 18,bmro,Quotation Sent,Order Lost,FALSE
19733,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19730,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19729,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19732,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19725,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19723,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19713,,30 Apr 18,bmro,Quotation Sent,Regret,FALSE
19736,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19731,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19721,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19727,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19737,,30 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19696,,27 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19697,,27 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19706,,27 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19708,,27 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19709,,27 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19703,,27 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19671,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19685,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19664,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19662,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19665,,26 Apr 18,bmro,Quotation Sent,Regret,FALSE
19667,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19672,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19670,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19674,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19675,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19673,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19679,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19677,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19681,,26 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19657,,25 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19652,,25 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19646,,25 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19655,,25 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19648,,25 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19658,,25 Apr 18,bmro,Quotation Sent,Regret,FALSE
19656,,25 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19624,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19619,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19628,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19617,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19622,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19623,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19632,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19615,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19621,,24 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19589,,23 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19606,,23 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19603,,23 Apr 18,bmro,Quotation Sent,Regret,FALSE
19598,,23 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19590,,23 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19607,,23 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19591,,23 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19604,,23 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19582,,21 Apr 18,bmro,Quotation Sent,Regret,FALSE
19552,,20 Apr 18,bmro,Quotation Sent,Regret,FALSE
19572,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19553,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19577,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19576,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19571,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19561,,20 Apr 18,bmro,Quotation Sent,Regret,FALSE
19554,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19579,,20 Apr 18,bmro,Quotation Sent,Regret,FALSE
19568,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19555,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19566,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19557,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19560,,20 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19525,,19 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19535,,19 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19542,,19 Apr 18,bmro,Quotation Sent,Regret,FALSE
19538,,19 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19520,,19 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19514,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19511,,18 Apr 18,bmro,Quotation Sent,Regret,FALSE
19495,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19496,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19498,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19513,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19505,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19506,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19502,,18 Apr 18,bmro,Quotation Sent,Regret,FALSE
19517,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19499,,18 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19480,,17 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19482,,17 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19491,,17 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19449,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19461,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19452,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19465,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19442,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19453,,16 Apr 18,bmro,Quotation Sent,Regret,FALSE
19462,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19447,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19450,,16 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19440,,14 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19437,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19427,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19432,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19430,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19425,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19426,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19421,,13 Apr 18,ong,Quotation Sent,Regret,FALSE
19417,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19418,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19435,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19424,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19431,,13 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19397,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19400,,12 Apr 18,bmro,Quotation Sent,Regret,FALSE
19404,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19383,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19395,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19387,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19398,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19407,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19386,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19408,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19394,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19385,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19406,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19388,,12 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19366,,11 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19376,,11 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19373,,11 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19375,,11 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19365,,11 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19367,,11 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19377,,11 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19338,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19355,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19348,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19332,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19336,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19335,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19337,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19341,,10 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19353,,10 Apr 18,bmro,Expected Order,Order Lost,FALSE
19313,,9 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19320,,9 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19322,,9 Apr 18,bmro,Quotation Sent,Regret,FALSE
19318,,9 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19327,,9 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19305,,7 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19303,,7 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19307,,7 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19306,,7 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19278,,6 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19292,,6 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19296,,6 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19293,,6 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19297,,6 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19248,,5 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19262,,5 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19256,,5 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
19265,,5 Apr 18,bmro,Quotation Sent,Order Lost,FALSE
