"inquiry_number","Price","Freight","Freight Cost","Commercial Terms & Conditions","Payment Terms","Packing and Forwarding"
"27632","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.             ","90 days after delivery","Included"
"27631","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","60 days after delivery","Included"
"27630","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.       ","60 days after delivery","Included"
"27629","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.    
5. Installation & Commissioning charges extra.        ","60 days after delivery","Included"
"27628","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","30 days after delivery","Included"
"27627","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","30 days after delivery","Included"
"27626","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","30 days after delivery","Included"
"27625","","","","","",""
"27624","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.       ","60 days after delivery","Included"
"27623","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","30 days after delivery","Included"
"27622","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","30 days after delivery","Included"
"27621","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","30 days after delivery","Included"
"27620","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.         ","30 days after delivery","Included"
"27619","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.    ","45 days after delivery","Included"
"27618","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","25% Advance and 75% before Delivery","Included"
"27617","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","60 days after delivery","Included"
"27616","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","60 days after delivery","Included"
"27615","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.               ","45 days after delivery","Included"
"27614","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.           ","60 days after delivery","Included"
"27613","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.            ","60 days after delivery","Included"
"27612","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.         ","60 days after delivery","Included"
"27611","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","100% advance against proforma invoice","Included"
"27610","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","30 days after delivery","Included"
"27609","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","Supply Chain Finance","Included"
"27608","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","50% Against PI and 50% after 45 Days","Included"
"27607","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","60 days after delivery","Included"
"27606","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                ","45 days after delivery","Included"
"27605","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","50% Against PI and 50% after 45 Days","Included"
"27604","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","45 days after delivery","Included"
"27603","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.
5.Freight Extra at actual   ","30 days after delivery","Not Included"
"27602","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","30 days after delivery","Included"
"27601","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.","60 days after delivery","Included"
"27600","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.             ","30 days after delivery","Included"
"27599","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.    ","30 days after delivery","Included"
"27598","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","45 days after delivery","Included"
"27597","","","","","",""
"27596","","","","","",""
"27595","","","","","",""
"27594","","","","","",""
"27593","","","","","",""
"27592","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                ","60 days after delivery","Included"
"27591","","","","","",""
"27590","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.
5.Freight Extra at actual     ","30 days after delivery","Not Included"
"27589","","","","","",""
"27588","","","","","",""
"27587","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","30 days after delivery","Included"
"27586","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                      ","45 days after delivery","Included"
"27585","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","60 days after delivery","Included"
"27584","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","60 days after delivery","Included"
"27583","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.    ","30 days after delivery","Included"
"27582","","","","","",""
"27581","","","","","",""
"27580","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.         ","45 days after delivery","Included"
"27579","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.              ","Supply Chain Finance","Included"
"27578","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","Supply Chain Finance","Included"
"27577","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","60 days after delivery","Included"
"27576","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.          ","Supply Chain Finance","Included"
"27575","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.
5.Freight extra at actual  ","30 days after delivery","Not Included"
"27574","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","50% Against PI and 50% after 45 Days","Included"
"27573","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","60 days after delivery","Included"
"27572","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.
5.Warranty 12 months from the date of Supply.             ","Supply Chain Finance","Included"
"27571","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.      ","30 days after delivery","Included"
"27570","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.         ","60 days after delivery","Included"
"27569","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.           ","Supply Chain Finance","Included"
"27568","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.   ","45 days after delivery","Included"
"27567","","","","","",""
"27566","","","","","",""
"27565","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","60 days after delivery","Included"
"27564","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.   ","100% against delivery","Included"
"27563","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","","Included"
"27562","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","100% advance against proforma invoice","Included"
"27561","","","","","",""
"27560","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.           ","30 days after delivery","Included"
"27559","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.
5.Freight Extra at actual                                      ","30 days after delivery","Included"
"27558","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","60 days after delivery","Included"
"27557","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.              ","30 days after delivery","Included"
"27556","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","100% advance against proforma invoice","Included"
"27555","","","","","",""
"27554","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.    ","30 days after delivery","Included"
"27553","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.         ","Supply Chain Finance","Included"
"27552","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.            ","Supply Chain Finance","Included"
"27551","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.             ","Supply Chain Finance","Included"
"27550","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","30 days after delivery","Included"
"27549","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.          ","30 days after delivery","Included"
"27548","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","60 days after delivery","Included"
"27547","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.   ","30 days after delivery","Included"
"27546","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                       ","100% advance against proforma invoice","Included"
"27545","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","30 days after delivery","Included"
"27544","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                       ","100% against delivery","Included"
"27543","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.              ","90 Days PDC","Included"
"27542","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","30 days after delivery","Included"
"27541","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                                      ","30 days after delivery","Included"
"27540","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","","Included"
"27539","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","45 days after delivery","Included"
"27538","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.  ","60 days after delivery","Included"
"27537","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","30 days after delivery","Included"
"27536","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                  ","30 days after delivery","Included"
"27535","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","30 days after delivery","Included"
"27534","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.      ","60 days after delivery","Included"
"27533","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","60 days after delivery","Included"
"27532","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.     ","60 days after delivery","Included"
"27531","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries. ","60 days after delivery","Included"
"27530","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.                                        ","60 days after delivery","Included"
"27529","","","","","",""
"27528","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","100% Before dispatch","Included"
"27527","Door Delivery","Included","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.   ","30 days after delivery","Included"
"27526","EXW","Extra as per Actual","","1. Cost does not include any additional certification if required as per Indian regulations. 
2. Any errors in Quotation including HSN codes&#44; GST Tax rate must be notified before placing order.
3. Order once placed cannot be changed.
4. Bulk MRO does not accept any financial penalties for late deliveries.        ","Supply Chain Finance","Included"
"27525","","","","","",""
