address_uid,company_uid
9204,SC-8662
2616,903
2616,903
1338,58
1338,58
4733,1468
4733,1468
3542,1115
3542,1115
5531,1584
5531,1584
9754,SC-9154
9754,SC-9154
1666,158
1666,158
1874,259
1874,259
4352,474
4352,474
4353,474
4353,474
1229,SC-02620
1229,SC-02620
9740,SC-9143
9740,SC-9143
203,SC-01840
203,SC-01840
8877,SC-8343
8877,SC-8343
9338,SC-02035
9338,SC-02035
9206,SC-8664
9206,SC-8664
6402,1827
6402,1827
1667,159
1667,159
4741,1469
4741,1469
9476,SC-8909
9476,SC-8909
1880,260
1880,260
8942,SC-8404
8942,SC-8404
8943,SC-8405
8943,SC-8405
1339,60
1339,60
1340,60
1340,60
1155,475
1155,475
1670,160
1670,160
4224,SC-7494
4224,SC-7494
4742,1470
4742,1470
3306,1009
3306,1009
2093,593
2093,593
1341,61
1341,61
3543,1116
3543,1116
1881,261
1881,261
9477,SC-8910
9477,SC-8910
1671,161
1671,161
A208455,SC-208133
A208455,SC-208133
1882,262
1882,262
3548,1117
3548,1117
8944,SC-8407
8944,SC-8407
1668,162
1668,162
4759,1472
4759,1472
8925,SC-8389
8925,SC-8389
8884,SC-8349
8884,SC-8349
6328,1785
6328,1785
9353,SC-8802
9353,SC-8802
1316,372
1316,372
3307,1011
3307,1011
1883,263
1883,263
9354,SC-8802
9354,SC-8802
3549,1118
3549,1118
9810,SC-9201
9810,SC-9201
2096,596
2096,596
9478,SC-8911
9478,SC-8911
9479,SC-8912
9479,SC-8912
8926,SC-8390
8926,SC-8390
9735,SC-9138
9735,SC-9138
9320,SC-6695
9320,SC-6695
A208458,SC-208134
A208458,SC-208134
1317,373
1317,373
3311,1013
3311,1013
317,SC-00011
317,SC-00011
6659,1950
6659,1950
1219,13
1219,13
9360,SC-8808
9360,SC-8808
A208438,1950
A208438,1950
9400,SC-8843
9400,SC-8843
1138,477
1138,477
1996,477
1996,477
A210024,SC-208420
A210024,SC-208420
4775,1474
4775,1474
5002,1474
5002,1474
3553,1119
3553,1119
1405,66
1405,66
1675,164
1675,164
4194,SC-7454
4194,SC-7454
1826,478
1826,478
A206573,207609
A206573,207609
Bill to,207609
Bill to,207609
3363,SC-6525
3363,SC-6525
9474,SC-8907
9474,SC-8907
9285,SC-8740
9285,SC-8740
9435,SC-8876
9435,SC-8876
9157,SC-8613
9157,SC-8613
1337,57
1337,57
9564,SC-9001
9564,SC-9001
9050,SC-8506
9050,SC-8506
9565,SC-9002
9565,SC-9002
A210034,SC-6525
A210034,SC-6525
A210035,SC-208422
A210035,SC-208422
1355,SC-03413
1355,SC-03413
4803,1475
4803,1475
3555,1120
3555,1120
1406,67
1406,67
8526,SC-7921
8526,SC-7921
1801,479
1801,479
2633,479
2633,479
2634,479
2634,479
2860,479
2860,479
A208049,SC-208057
A208049,SC-208057
A210037,SC-208423
A210037,SC-208423
A210025,SC-208421
A210025,SC-208421
8899,SC-8364
8899,SC-8364
A208050,SC-208058
A208050,SC-208058
A208051,SC-208059
A208051,SC-208059
9286,SC-8737
9286,SC-8737
9287,SC-8742
9287,SC-8742
1820,214
1820,214
A208052,SC-208060
A208052,SC-208060
A208054,SC-208061
A208054,SC-208061
9225,SC-8682
9225,SC-8682
6355,1797
6355,1797
1047,SC-02441
1047,SC-02441
9566,SC-02532
9566,SC-02532
9288,SC-8743
9288,SC-8743
921,SC-02321
921,SC-02321
Bill to,207604
Bill to,207604
9453,SC-8890
9453,SC-8890
9454,SC-8890
9454,SC-8890
9413,SC-8852
9413,SC-8852
9414,SC-8853
9414,SC-8853
A208729,1027
A208729,1027
A209236,SC-208234
A209236,SC-208234
2764,514
2764,514
1416,377
1416,377
A208021,514
A208021,514
3566,1122
3566,1122
1500,69
1500,69
1501,69
1501,69
1698,167
1698,167
4804,1476
4804,1476
5140,1476
5140,1476
A209914,SC-208399
A209914,SC-208399
1465,378
1465,378
6215,1727
6215,1727
5559,1594
5559,1594
1415,70
1415,70
4817,1477
4817,1477
1161,483
1161,483
1220,13
1220,13
1221,13
1221,13
1222,13
1222,13
1223,13
1223,13
3568,1124
3568,1124
1892,267
1892,267
1485,379
1485,379
5560,1595
5560,1595
2283,703
2283,703
1417,71
1417,71
1901,268
1901,268
1483,380
1483,380
4830,1478
4830,1478
5561,1596
5561,1596
3791,1241
3791,1241
3571,1125
3571,1125
1187,485
1187,485
2127,485
2127,485
1418,72
1418,72
1490,381
1490,381
5562,1597
5562,1597
3793,1242
3793,1242
1705,170
1705,170
2216,486
2216,486
4819,1479
4819,1479
2116,602
2116,602
2248,668
2248,668
2613,668
2613,668
1493,382
1493,382
3604,1127
3604,1127
1419,73
1419,73
1420,73
1420,73
1712,171
1712,171
4821,1480
4821,1480
1331,53
1331,53
5563,1598
5563,1598
3795,1243
3795,1243
1906,270
1906,270
2527,53
2527,53
1499,383
1499,383
A207978,SC-208041
A207978,SC-208041
1716,172
1716,172
5566,1599
5566,1599
2121,605
2121,605
6216,1727
6216,1727
6217,1727
6217,1727
1908,271
1908,271
1909,271
1909,271
9567,SC-9003
9567,SC-9003
6218,1728
6218,1728
6219,1728
6219,1728
6220,1728
6220,1728
5065,13
5065,13
8879,SC-8344
8879,SC-8344
8801,SC-8281
8801,SC-8281
8869,SC-8281
8869,SC-8281
6221,1728
6221,1728
6222,1728
6222,1728
2617,668
2617,668
4910,1509
4910,1509
8984,SC-8447
8984,SC-8447
6223,1728
6223,1728
1827,219
1827,219
8994,SC-8455
8994,SC-8455
A208053,514
A208053,514
6224,1728
6224,1728
6225,1728
6225,1728
A208055,SC-208062
A208055,SC-208062
8922,SC-8386
8922,SC-8386
6226,1729
6226,1729
6227,1729
6227,1729
6229,1730
6229,1730
5009,1526
5009,1526
1471,SC-4593
1471,SC-4593
6199,1719
6199,1719
2618,668
2618,668
9046,SC-8501
9046,SC-8501
A208056,SC-208063
A208056,SC-208063
1479,105
1479,105
5192,1547
5192,1547
A210060,SC-4593
A210060,SC-4593
8753,SC-8237
8753,SC-8237
A208059,SC-208065
A208059,SC-208065
5033,1529
5033,1529
A208060,SC-208066
A208060,SC-208066
A210061,SC-208424
A210061,SC-208424
A208073,208067
A208073,208067
8541,SC-01840
8541,SC-01840
5186,1538
5186,1538
6579,1918
6579,1918
6580,1918
6580,1918
6581,1918
6581,1918
A210062,SC-208425
A210062,SC-208425
5080,13
5080,13
9380,SC-8824
9380,SC-8824
1207,447
1207,447
8902,SC-8367
8902,SC-8367
5082,13
5082,13
5094,13
5094,13
A206567,SC-7546
A206567,SC-7546
5107,13
5107,13
A207642,SC-207971
A207642,SC-207971
5112,668
5112,668
A206803,SC-7546
A206803,SC-7546
4822,1481
4822,1481
1710,173
1710,173
3619,1129
3619,1129
1630,386
1630,386
5567,1600
5567,1600
1424,75
1424,75
2122,606
2122,606
1635,387
1635,387
3622,1130
3622,1130
A206866,SC-8824
A206866,SC-8824
1425,76
1425,76
1715,174
1715,174
4824,1483
4824,1483
1669,390
1669,390
3630,1131
3630,1131
3631,1131
3631,1131
5569,1602
5569,1602
A208078,SC-208069
A208078,SC-208069
5665,1678
5665,1678
5111,13
5111,13
1141,491
1141,491
9760,SC-9160
9760,SC-9160
2125,609
2125,609
1799,197
1799,197
2171,197
2171,197
5135,197
5135,197
5129,13
5129,13
3444,SC-6618
3444,SC-6618
9614,SC-8769
9614,SC-8769
9315,SC-8767
9315,SC-8767
6509,1867
6509,1867
9469,SC-8904
9469,SC-8904
5276,13
5276,13
9913,SC-9279
9913,SC-9279
4188,SC-7448
4188,SC-7448
580,SC-01948
580,SC-01948
8302,SC-7448
8302,SC-7448
9610,SC-9038
9610,SC-9038
A208079,SC-7448
A208079,SC-7448
9920,SC-9281
9920,SC-9281
4381,1416
4381,1416
A207473,SC-207930
A207473,SC-207930
A208080,SC-208070
A208080,SC-208070
9178,SC-8636
9178,SC-8636
9529,SC-8970
9529,SC-8970
9186,SC-8643
9186,SC-8643
8999,SC-8460
8999,SC-8460
A208081,SC-208071
A208081,SC-208071
2380,40
2380,40
9375,SC-8821
9375,SC-8821
1952,302
1952,302
6644,1943
6644,1943
8848,SC-8319
8848,SC-8319
9898,SC-9267
9898,SC-9267
A208082,302
A208082,302
9041,SC-8496
9041,SC-8496
A210293,208461
A210293,208461
