inquiry_no,alias,order_number,report_total,mis_date
20934,Crosslay Remedies,10910029,76270,11-Jun-2018
20937,GE,10210635,64000,27-Jul-2018
20938,HSIL,10910026,12500,5-Jun-2018
20939,AMAT,10210387,46158,14-Jun-2018
20942,GE Power Systems,10610139,85000,15-Jun-2018
20943,John Energy,10210339,3297050,6-Jun-2018
20944,Beckman Coulter,10210398,2500,15-Jun-2018
20947,Piramal,11210016,7969.05,7-Jun-2018
20948,AMAT,10210370,8723.8,12-Jun-2018
20956,AMAT,10210412,229660,18-Jun-2018
20959,GE,10610175,5935,25-Jun-2018
20965,Piramal,10210408,472750,18-Jun-2018
20966,Asahi India Glass,10910059,105600,1-Aug-2018
20971,GE Power Systems,10610151,48944,19-Jun-2018
20972,AMAT,10210336,26316,6-Jun-2018
20973,GE,10210462,996595,28-Jun-2018
20973,GE,10210462,-996595,1-Aug-2018
20973,GE,10210846,996595,31-Aug-2018
20975,Cummins,10210580,65839.5,19-Jul-2018
20975,Cummins,10210580,-65839.5,1-Aug-2018
20975,Cummins,10210696,113432.35,7-Aug-2018
20980,Piramal,11210017,53340,11-Jun-2018
20981,GE Power Systems,10610138,15987,14-Jun-2018
20983,Henkel,10210670,5386,1-Aug-2018
20984,Henkel,10210348,12011.64,7-Jun-2018
20987,Bharti Airtel,10910028,2076,8-Jun-2018
20988,IR,10610131,171900,13-Jun-2018
20989,Piramal,10210356,312120.1,11-Jun-2018
20990,Piramal,10210347,150158.1,7-Jun-2018
20993,Cummins,10210467,228887,2-Jul-2018
20995,Henkel,10210345,202500,7-Jun-2018
20996,Cummins,10210478,26024,4-Jul-2018
20997,Stanley Engineered,10211125,190000.01,16-Oct-2018
21001,IR,10610166,19000,22-Jun-2018
21003,Henkel,10210372,32232,13-Jun-2018
21005,Henkel,10210375,17915.62,13-Jun-2018
21009,Henkel,10910031,15645,11-Jun-2018
21011,Henkel,10210430,15842.06,21-Jun-2018
21015,GE,10610174,33600,25-Jun-2018
21016,GHCL,10610217,40674,16-Jul-2018
21017,GHCL,10610121,481,11-Jun-2018
21018,GHCL,10610119,3286.62,11-Jun-2018
21019,GHCL,10610125,774,12-Jun-2018
21020,GHCL,10610126,3746,12-Jun-2018
21022,Henkel,10210567,4200,17-Jul-2018
21023,GHCL,10610123,15302.15,12-Jun-2018
21024,GHCL,10610252,32946,24-Jul-2018
21026,Compass India Support,10910035,117766.36,13-Jun-2018
21028,IR,10610242,7314,21-Jul-2018
21030,GHCL,10610135,3150,13-Jun-2018
21033,GHCL,10610128,509,12-Jun-2018
21037,Cummins,10210561,124793,17-Jul-2018
21040,Bharat Container,10210382,6118,13-Jun-2018
21044,Piramal,11210018,34650,11-Jun-2018
21045,Stanley Engineered,10210405,12210,18-Jun-2018
21046,Piramal,10210358,69409.8,11-Jun-2018
21048,Henkel,10210364,2126,11-Jun-2018
21049,Henkel,10210450,26316,27-Jun-2018
21050,AMAT,10210435,10000,12-Jun-2018
21054,Duroshox,10210374,4820,11-Jun-2018
21059,Piramal,11210039,50740,17-Jul-2018
21060,Cummins - Recon India,10210422,32800,20-Jun-2018
21061,Cummins,10210428,27400,21-Jun-2018
21065,Henkel,10210459,21500,28-Jun-2018
21066,Piramal,10210369,2560,12-Jun-2018
21070,John Energy,10610127,117500,13-Jun-2018
21073,IR,10610168,2800,22-Jun-2018
21075,Cummins,10210414,10300,19-Jun-2018
21077,Piramal,11210019,110,12-Jun-2018
21080,GHCL,10610153,17295,19-Jun-2018
21083,Bharti Airtel,10910032,2076,12-Jun-2018
21087,Henkel,10210458,40036.8,28-Jun-2018
21091,Cummins,10210568,21136,18-Jul-2018
21092,SSI,10210477,18948,4-Jul-2018
21093,SSI,10210395,23368,14-Jun-2018
21097,Piramal,10210367,2297.7,12-Jun-2018
21099,Covestro,10210560,284500,17-Jul-2018
21100,AMAT,10210417,2278,19-Jun-2018
21103,IR,10610124,19995,12-Jun-2018
21105,AMAT,10210556,41000,16-Jul-2018
21107,Bharti Airtel,10910033,6920,12-Jun-2018
21108,Henkel,10210429,72751,21-Jun-2018
21109,Piramal,10210415,103740.95,18-Jun-2018
21117,Henkel,10210426,24027.16,21-Jun-2018
21118,ABB India,10610150,46046,18-Jun-2018
21120,Cummins,10210516,31294,9-Jul-2018
21121,ABB India,10610140,144012.4,15-Jun-2018
21122,AMAT,10210558,32368,13-Jun-2018
21123,GHCL,10610177,4772,26-Jun-2018
21124,Cummins,10210830,9138.12,29-Aug-2018
21128,Henkel,10210472,9789,2-Jul-2018
21130,Bharti Airtel,10910034,2076,13-Jun-2018
21132,ABB India,10610181,14190,28-Jun-2018
21134,GE Power Systems,10610132,87400,13-Jun-2018
21135,IR,10610155,5113.5,20-Jun-2018
21137,ABB India,10610171,10387.5,24-Jun-2018
21141,IR,10610137,2800,14-Jun-2018
21149,GE,10210719,170000,9-Aug-2018
21150,Henkel,10210403,23681,16-Jun-2018
21156,AMAT,10210388,3620,14-Jun-2018
21161,GE Power Systems,10610149,75920,18-Jun-2018
21162,Cummins,10210441,11464,25-Jun-2018
21163,Cummins,10210629,32372,26-Jul-2018
21165,Henkel,10210520,310526,9-Jul-2018
21171,Henkel,10210400,98418,15-Jun-2018
21172,ZF India,10210390,88000,14-Jun-2018
21174,Nhava Sheva,10210454,15087,27-Jun-2018
21176,Piramal,10210396,13151,15-Jun-2018
21179,Ascott Beverly Park Hospitality,10210980,510000,25-Sep-2018
21186,Adino Telecom,10210444,9150,26-Jun-2018
21190,Nhava Sheva,10210492,12651.4,4-Jul-2018
21191,Beckman Coulter,10210625,17666,9-Jul-2018
21192,Piramal,11210034,7439,28-Jun-2018
21193,Piramal,11210027,47612.5,29-Jun-2018
21195,Godrej,10210411,43520,18-Jun-2018
21201,Henkel,10210504,18000,6-Jul-2018
21202,Plasser India,10610143,40699,16-Jun-2018
21209,GHCL,10610141,10848.8,16-Jun-2018
21210,Nhava Sheva,10210406,8989,18-Jun-2018
21210,Nhava Sheva,10210499,726.58,6-Jul-2018
21214,IR,10610144,77220,18-Jun-2018
21215,AMAT,10210617,32434,24-Jul-2018
21216,ABB India,10610142,54080,16-Jun-2018
21221,ABB India,10610148,3000,18-Jun-2018
21224,ABB India,10610145,760,18-Jun-2018
21225,Adino Telecom,10210418,5846.1,19-Jun-2018
21226,Duroshox,10210650,41497.5,1-Aug-2018
21228,ZF India,10210439,14407,25-Jun-2018
21229,IR,10610239,10379.4,21-Jul-2018
21231,Henkel,10910043,1456781,4-Jul-2018
21236,AMAT,10210413,50277,18-Jun-2018
21240,Cummins,10210497,3414,5-Jul-2018
21241,Henkel,10210433,23188,21-Jun-2018
21242,AMAT,10210436,773819,25-Jun-2018
21243,Henkel,10210640,8000,30-Jul-2018
21244,Henkel,10210494,49790.06,4-Jul-2018
21247,DHL,10910095,43111,1-Sep-2018
21250,Asahi India Glass,10610200,1003,9-Jul-2018
21255,Henkel,10910038,202493,20-Jun-2018
21264,Piramal,11210024,2835,26-Jun-2018
21269,VVF India,10210438,6150.27,25-Jun-2018
21270,GE Power Systems,10610154,3789473,20-Jun-2018
21272,Piramal,11210022,24000,20-Jun-2018
21275,Covestro,10210600,8500,12-Jul-2018
21276,Henkel,10210491,4671.1,5-Jul-2018
21278,Piramal,11210030,10300,4-Jul-2018
21287,John Energy,10610173,28194,25-Jun-2018
21293,Henkel,10210449,24930,27-Jun-2018
21294,Piramal,10210424,142950,20-Jun-2018
21295,SSI,10210474,194737,3-Jul-2018
21297,GE,10210425,1358574,21-Jun-2018
21301,ABB India,10610184,1250,20-Jun-2018
21301,ABB India,10610184,1500,29-Jun-2018
21302,Piramal,11210037,8366,14-Jul-2018
21304,IR,10610198,38497.8,7-Jul-2018
21307,Piramal,10210427,9000,21-Jun-2018
21310,Godrej,10210457,2253,28-Jun-2018
21313,GHCL,10610159,4533.25,20-Jun-2018
21315,BDI (GE Healthcare),10210564,108790,17-Jul-2018
21325,Piramal,10210432,85970,21-Jun-2018
21326,Piramal,10210434,32579.4,22-Jun-2018
21329,Henkel,10210511,5400,7-Jul-2018
21331,IR,10610160,14400,21-Jun-2018
21336,ABB India,10610167,28465,22-Jun-2018
21337,IR,10610162,7750,21-Jun-2018
21347,Cummins,10210574,28055.1,18-Jul-2018
21349,GE,10610186,17497.5,29-Jun-2018
21350,AMAT,10210596,294200,21-Jul-2018
21353,AMAT,10210464,9894,29-Jun-2018
21354,Henkel,10210592,18440,20-Jul-2018
21356,Godrej,10210447,1300,27-Jun-2018
21359,Beckman Coulter,10210519,39132,10-Jul-2018
21361,Beckman Coulter,10210634,26279,4-Jul-2018
21364,IR,10610165,6000,22-Jun-2018
21365,GE Power Systems,10610363,560677,10-Sep-2018
21366,Duroshox,10210480,14044,4-Jul-2018
21367,Sai Indo Metal Resources,10211055,29095.29,6-Oct-2018
21369,IR,10610170,1560,22-Jun-2018
21376,Godrej,10210571,173550,18-Jul-2018
21378,GE,10610188,18360,2-Jul-2018
21381,Nivea India,10610211,24430,12-Jul-2018
21390,Cummins,10210553,2529.4,16-Jul-2018
21399,Piramal,11210023,9571.78,26-Jun-2018
21401,Henkel,10210790,21000,23-Aug-2018
21404,ABB India,10610176,1050,26-Jun-2018
21405,Cummins,10210692,73756,7-Aug-2018
21413,IEC-TSL,10210445,3368421,26-Jun-2018
21416,Piramal,10210545,3870,26-Jun-2018
21419,ABB India,10610209,125040,11-Jul-2018
21419,ABB India,10610224,75080,17-Jul-2018
21421,Cummins,10210785,92750,22-Aug-2018
21423,Graziano,10910047,100439.78,6-Jul-2018
21425,Graziano,10910052,115500,10-Jul-2018
21426,Henkel,10910040,365815,28-Jun-2018
21442,IR,10610179,6440,27-Jun-2018
21445,Piramal,10210448,168335.4,27-Jun-2018
21446,Godrej,10210456,2253,1-Jul-2018
21447,Entertainment City,10910064,113136,6-Aug-2018
21447,Entertainment City,10910064,-113136,1-Oct-2018
21455,Henkel,10210469,176072,2-Jul-2018
21455,Henkel,10210469,-176072,1-Aug-2018
21455,Henkel,10210771,176072,20-Aug-2018
21458,Henkel,10211015,62000.28,1-Oct-2018
21460,GE,10610298,59947.15,16-Aug-2018
21460,GE,10610299,15647,16-Aug-2018
21462,Bharti Airtel,10910041,4350,2-Jul-2018
21463,Godrej,10210495,3445,5-Jul-2018
21464,ABB India,10610195,11500.44,4-Jul-2018
21466,Henkel,10210768,11789,31-Jul-2018
21468,AMAT,10210463,5120,28-Jun-2018
21469,Henkel,10210996,57728,5-Jul-2018
21473,Covestro,10210604,9075,23-Jul-2018
21473,Covestro,10210604,-9075,1-Aug-2018
21473,Covestro,10910074,9075,10-Aug-2018
21481,GTC,10210647,2434,1-Aug-2018
21482,GHCL,10610206,14340.35,11-Jul-2018
21486,Henkel,10210475,26917,3-Jul-2018
21487,GE Power Systems,10610180,63722,28-Jun-2018
21491,Piramal,11210029,12718.3,30-Jun-2018
21492,Henkel,10210655,21110.2,1-Aug-2018
21499,Cummins,10210632,65463,27-Jul-2018
21501,IR,10610190,13826,2-Jul-2018
21508,IR,10610183,54000,29-Jun-2018
25001,Piramal,11210028,38906.25,30-Jun-2018
25001,Piramal,11210042,1060,30-Jun-2018
25003,GE Power Systems,10610212,553614.54,13-Jul-2018
25005,Piramal,11210056,125000,14-Aug-2018
25007,Piramal,10210541,111234,13-Jul-2018
25009,Cummins,10210668,14667,2-Aug-2018
25012,AMAT,10210513,61190,6-Jul-2018
25014,GAIL,10210715,91985,9-Aug-2018
25015,AMAT,10210465,4976.57,29-Jun-2018
25021,GE Power Systems,10610185,66552,29-Jun-2018
25022,Beckman Coulter,10210471,247394,2-Jul-2018
25025,Henkel,10210576,12000,18-Jul-2018
25031,Henkel,10210466,94000,30-Jun-2018
25038,PNP Maritime,10210806,4250,27-Aug-2018
25039,GE Power Systems,10610203,332310,10-Jul-2018
25042,Avadh Engineering,10610274,90042,2-Aug-2018
25042,Avadh Engineering,10610274,-90042,6-Oct-2018
25042,Avadh Industries,10610436,90042,8-Oct-2018
25043,Henkel,10210470,10057,30-Jun-2018
25044,GE Power Systems,10610375,43200,12-Sep-2018
25046,Sparsh Welfare Trust,10910057,31520,23-Jul-2018
25047,Cummins,10210697,233945,7-Aug-2018
25049,PRATYARPANA,10210630,113762.95,27-Jul-2018
25052,GE Power Systems,10610259,350384.75,27-Jul-2018
25053,BEL Optronic,10210797,52074,24-Aug-2018
25068,ABB India,10610244,25918,23-Jul-2018
25069,IR,10610309,20128,21-Aug-2018
25069,IR,10610314,20128,22-Aug-2018
25071,Nivea India,10610189,8750,2-Jul-2018
25073,GHCL,10610223,11780,17-Jul-2018
25076,GHCL,10610208,6050,11-Jul-2018
25077,GHCL,10610213,3286,16-Jul-2018
25081,SSI,10210479,206318,4-Jul-2018
25084,ZF India,10210486,47027,4-Jul-2018
25085,Henkel,10210534,262086,12-Jul-2018
25088,ABB India,10610196,11303.4,5-Jul-2018
25089,GE Power Systems,10610191,25000,2-Jul-2018
25090,Henkel,10210603,23285,23-Jul-2018
25097,IEC-TSL,10610194,3368421,4-Jul-2018
25102,SSI,10210524,1610.52,11-Jul-2018
25106,Graziano,10910116,33950,27-Sep-2018
25111,Trident Computer,10210550,213096,13-Jul-2018
25112,Asahi India Glass,10910049,9978,7-Jul-2018
25114,IR,10610273,4000,6-Aug-2018
25116,Henkel,10210476,94500,3-Jul-2018
25117,Henkel,10210485,14910.66,4-Jul-2018
25119,Nhava Sheva,10210507,11972,6-Jul-2018
25120,Cummins - Recon India,10210641,42815,1-Aug-2018
25125,JINDAL,10210535,7165,12-Jul-2018
25129,Henkel,10210537,6002,12-Jul-2018
25130,GHCL,10610192,3746,4-Jul-2018
25137,AMAT,10210490,15957,4-Jul-2018
25139,BEL Optronic,10210590,37002,20-Jul-2018
25146,Henkel,10210587,8700,20-Jul-2018
25155,Rail Coach,10211114,269407.16,15-Oct-2018
25157,IR,10610226,2700,17-Jul-2018
25160,Piramal,10210487,39900,4-Jul-2018
25162,AMAT,10210508,7500,7-Jul-2018
25167,AMAT,10210489,2040,4-Jul-2018
25169,IR,10610335,34788,29-Aug-2018
25170,Henkel,10210789,35873.16,23-Aug-2018
25171,GHCL,10610231,70000,18-Jul-2018
25172,IR,10610254,28156,25-Jul-2018
25175,Beckman Coulter,10210532,24973.08,12-Jul-2018
25180,Piramal,11210032,7482.54,10-Jul-2018
25185,Covestro,10210607,5325,23-Jul-2018
25187,Bharti Airtel,10910046,1450,5-Jul-2018
25188,Piramal,10210527,375602.5,11-Jul-2018
25189,AMAT,10210506,9894,7-Jul-2018
25190,Beckman Coulter,10210694,94057,7-Aug-2018
25191,Bharti Airtel,10910045,725,5-Jul-2018
25197,Piramal,10210502,63328,6-Jul-2018
25198,GE Power Systems,10610240,14046.9,20-Jul-2018
25208,Piramal,10210500,23374,6-Jul-2018
25211,Piramal,10210623,121750,25-Jul-2018
25212,AMAT,10210968,6588,24-Sep-2018
25216,Parveen Industries,10210615,98750,24-Jul-2018
25218,AMAT,10210526,15426,11-Jul-2018
25219,Demosha Chemicals,10210515,7308,9-Jul-2018
25221,Piramal,11210043,10909.03,23-Jul-2018
25225,GE Power Systems,10610255,276325,26-Jul-2018
25231,GE,10610267,106226,1-Aug-2018
25234,SSI,10210503,8519,6-Jul-2018
25235,Bharti Airtel,10910048,2175,7-Jul-2018
25236,Henkel,10210705,5000,8-Aug-2018
25237,John Energy,10210505,875380,6-Jul-2018
25239,GE Power Systems,10610207,31578,11-Jul-2018
25240,IR,10610246,52568,23-Jul-2018
25247,Henkel,10210741,79580,14-Aug-2018
25248,Piramal,11210031,8140,9-Jul-2018
25250,Henkel,10210662,31973.94,1-Aug-2018
25253,IR,10610199,6440,7-Jul-2018
25254,Beckman Coulter,10210575,5371,18-Jul-2018
25266,AMAT,10210628,48205.32,26-Jul-2018
25273,Cummins,10211057,37913,6-Oct-2018
25274,Henkel,10210521,99602,9-Jul-2018
25283,Henkel,10210593,5558,20-Jul-2018
25284,Cummins,10210914,31611.1,12-Sep-2018
25286,Henkel,10210773,30581,20-Aug-2018
25290,Piramal,10210523,10912,11-Jul-2018
25297,GE,10210758,237496.84,17-Aug-2018
25301,Maharashtra Seamless,10210636,2955,18-Jul-2018
25304,Bharti Airtel,10910050,2175,10-Jul-2018
25305,Bharti Airtel,10910051,2175,10-Jul-2018
25307,Stanley Engineered,10210536,15450,12-Jul-2018
25308,Cummins,10210912,52700,12-Sep-2018
25311,GE,10610214,18640,13-Jul-2018
25325,Piramal,10210565,10044,17-Jul-2018
25326,ABB India,10610361,10900,6-Sep-2018
25328,Covestro,10910071,48510,8-Aug-2018
25329,Henkel,10210559,295935,16-Jul-2018
25329,Henkel,10210559,-291225,1-Aug-2018
25329,Henkel,10210780,314125,22-Aug-2018
25331,Adino Telecom,10210687,2435.04,6-Aug-2018
25336,ABB India,10610236,360,18-Jul-2018
25337,IR,10610312,27060,22-Aug-2018
25339,Panexcell Clinical,10210551,9166,14-Jul-2018
25342,Piramal,11210033,19480,12-Jul-2018
25343,GE,10610276,7230,7-Aug-2018
25347,Henkel,10210591,9706,20-Jul-2018
25359,JSE,10210554,1369844,12-Jul-2018
25360,JSE,10210601,1681011,23-Jul-2018
25361,Covestro,10210586,5775,20-Jul-2018
25367,Cummins,10210552,2987.84,16-Jul-2018
25371,Henkel,10210544,342740,13-Jul-2018
25373,RIL,10211165,260000,1-Aug-2018
25376,AMAT,10210538,9566,12-Jul-2018
25380,BEL Optronic,10210620,29320,25-Jul-2018
25383,Cummins,10210893,399000,11-Sep-2018
25387,AMAT,10210581,12125,19-Jul-2018
25388,Henkel,10210614,167070.03,24-Jul-2018
25390,Piramal,11210036,88275,13-Jul-2018
25397,Piramal,11210035,1350,13-Jul-2018
25401,Henkel,10210540,1400,13-Jul-2018
25403,SSI,10210563,936.16,17-Jul-2018
25406,Piramal,10210546,119494.4,13-Jul-2018
25414,Asahi India Glass,10610416,15260,25-Sep-2018
25417,Bharti Airtel,10910054,2175,13-Jul-2018
25421,Piramal,10210548,2400,13-Jul-2018
25422,Henkel,10210624,147368,25-Jul-2018
25431,Henkel,10210702,4626,7-Aug-2018
25432,Henkel,10210616,36842,24-Jul-2018
25451,AVI Worldwide,10211108,76538.4,13-Oct-2018
25461,GHCL,10610215,515.33,16-Jul-2018
25464,IR,10610263,11400,30-Jul-2018
25468,IR,10610234,24685,18-Jul-2018
25474,AMAT,10210557,7778,16-Jul-2018
25477,GlaxoSmithKline,10910091,357000,30-Aug-2018
25480,Henkel,10210582,360000,19-Jul-2018
25481,Henkel,10910082,271549,21-Aug-2018
25489,Reliance,10210911,53750,12-Sep-2018
25491,IR,10610218,19706,16-Jul-2018
25497,HUL,10210703,327800,7-Aug-2018
25502,VVF India,10210698,8250,7-Aug-2018
25504,AMAT,10210594,9680,20-Jul-2018
25507,Bharti Airtel,10910055,2175,17-Jul-2018
25509,IR,10610220,700,17-Jul-2018
25512,IR,10610222,57386,17-Jul-2018
25516,IR,10610251,7500,24-Jul-2018
25520,GHCL,10610225,14725,17-Jul-2018
25522,GE Power Systems,10610257,206700,26-Jul-2018
25525,Beckman Coulter,10210595,88354,20-Jul-2018
25526,Cummins,10210585,6256.1,20-Jul-2018
25527,GHCL,10610227,5890,17-Jul-2018
25528,BEL Optronic,10210700,4262,7-Aug-2018
25529,Beckman Coulter,10210613,79807,24-Jul-2018
25530,Cummins,10210570,52824,18-Jul-2018
25535,Godrej,10210573,21200,18-Jul-2018
25537,GHCL,10610238,10265,19-Jul-2018
25538,Godrej,10210572,30060,18-Jul-2018
25540,GHCL,10610243,1103.1,23-Jul-2018
25542,Piramal,10210597,166386.7,21-Jul-2018
25548,IndiaFIRST Robotics,10210676,53613.35,2-Aug-2018
25550,Piramal,10210598,29944,21-Jul-2018
25551,ZF India,10210663,4880,1-Aug-2018
25552,GE Power Systems,10610228,85904.4,18-Jul-2018
25556,GE Power Systems,10610250,45320,24-Jul-2018
25560,AMAT,10210605,852849.46,23-Jul-2018
25561,AMAT,10210609,271189,23-Jul-2018
25562,John Energy,10610233,42500,18-Jul-2018
25564,GE,10210579,1470616,18-Jul-2018
25567,GE,10610280,20634,8-Aug-2018
25568,IR,10610262,5850,28-Jul-2018
25574,Maschio,10210643,7330,1-Aug-2018
25575,Maschio,10210644,225000,1-Aug-2018
25578,Maschio,10210646,1428,31-May-2018
25579,IR,10610318,84801,23-Aug-2018
25580,Henkel,10210584,23737,20-Jul-2018
25581,Reliance,10210915,65180.66,12-Sep-2018
25589,Piramal,11210041,17798.71,19-Jul-2018
25593,Nivea India,10610264,6333.3,31-May-2018
25598,Piramal,11210053,33150,14-Aug-2018
25601,Piramal,11210054,75806,14-Aug-2018
25603,Piramal,11210040,6290.15,19-Jul-2018
25610,AMAT,10210683,21168,6-Aug-2018
25613,Piramal,10210730,126532.5,11-Aug-2018
25628,Henkel,10210589,6388,20-Jul-2018
25629,BEL Optronic,10210712,3943,8-Aug-2018
25633,GHCL,10610245,11837.76,23-Jul-2018
25634,GE Power Systems,10610241,62478,21-Jul-2018
25639,Micron Enterprises,10610283,10527.5,8-Aug-2018
25641,AMAT,10210642,61776.23,1-Aug-2018
25642,AMAT,10210619,93772,24-Jul-2018
25643,AMAT,10210611,152659,23-Jul-2018
25653,IR,10610414,12500,25-Sep-2018
25654,Henkel,10210608,148250,23-Jul-2018
25658,ABB India,10610291,17100,12-Aug-2018
25666,Henkel,10210653,140685,30-Jun-2018
25674,Cummins,10210827,13500,29-Aug-2018
25677,IR,10610265,16500,30-Jul-2018
25679,AIC Lab Equipments,10210735,10086,10-Aug-2018
25681,GHCL,10610247,819,23-Jul-2018
25682,IR,10610248,2893.2,23-Jul-2018
25691,Henkel,10210638,3300,30-Jul-2018
25693,Cummins,10210756,368800,17-Aug-2018
25696,Cummins,10210693,6705,7-Aug-2018
25697,Godrej,10210606,560000,24-Jul-2018
25698,Henkel,10210765,35860,18-Aug-2018
25698,Henkel,10210765,-35860,1-Sep-2018
25699,Cummins,10211093,590000,10-Oct-2018
25702,Johnson Matthey Chem. India,10211058,19800,6-Oct-2018
25704,Henkel,10210618,7921,25-Jul-2018
25706,Piramal,10210610,3240,23-Jul-2018
25711,Henkel,10210645,117262.5,1-Aug-2018
25712,GHCL,10610249,90.5,23-Jul-2018
25723,RIL,10210750,50071,14-Aug-2018
25724,Piramal,11210044,14459.3,24-Jul-2018
25727,Cummins,10210863,15094.1,5-Sep-2018
25732,IR,10610366,7944,10-Sep-2018
25733,ZF India,10210817,68900,28-Aug-2018
25739,Crosslay Remedies,10910155,12650,2-Nov-2018
25744,GHCL,10610253,32946,24-Jul-2018
25748,GE,10610390,111728,19-Sep-2018
25750,Piramal,11210046,46670,1-Aug-2018
25754,Covestro,10910060,30700,31-May-2018
25765,Cummins,10210685,39993,6-Aug-2018
25767,Piramal,10210622,49126.5,25-Jul-2018
25768,AMAT,10210627,5732,25-Jul-2018
25769,Henkel,10210724,6316,10-Aug-2018
25776,Henkel,10210727,7369,10-Aug-2018
25780,Duroshox,10210757,6600,17-Aug-2018
25781,AMAT,10210626,20842,26-Jul-2018
25784,GE,10610275,20156,6-Aug-2018
25786,Piramal,11210045,9666,26-Jul-2018
25793,Graziano,10910058,35500,26-Jul-2018
25794,ZF India,10210704,41565,7-Aug-2018
25795,Cummins,10210637,48334,27-Jul-2018
25797,Henkel,10210707,84740.8,8-Aug-2018
25798,Huntsman,10210684,118948,6-Aug-2018
25801,GE Power Systems,10610256,14910,26-Jul-2018
25809,AMAT,10210688,12436,6-Aug-2018
25815,Henkel,10210690,168720.5,6-Aug-2018
25817,Henkel,10210745,3895,14-Aug-2018
25819,Cummins,10210903,138045,12-Sep-2018
25824,Cummins,10210815,125204.2,28-Aug-2018
25825,Covestro,10910068,1100,8-Aug-2018
25827,Covestro,10910061,7800,1-Aug-2018
25834,Henkel,10210960,94440,21-Sep-2018
25836,Cummins,10210651,138157,1-Aug-2018
25837,Cummins,10210717,7184.71,9-Aug-2018
25838,GE,10210743,69120,14-Aug-2018
25839,Cummins,10210794,62878,23-Aug-2018
25848,Godrej,10210639,90300,1-Sep-2018
25851,JSE,10210633,1469400,27-Jul-2018
25853,AMAT,10210680,115140.2,6-Aug-2018
25854,Oerlikon,10210664,8032,1-Aug-2018
25855,Piramal,10210654,1081400,1-Aug-2018
25858,Cummins,10210850,7298,3-Sep-2018
25861,IR,10610261,29582,30-Jul-2018
25865,Graziano,10910066,264000,8-Aug-2018
25876,JLL,10210760,139614.66,17-Aug-2018
25878,AMAT,10210679,16700,6-Aug-2018
25879,Henkel,10210776,800,21-Aug-2018
25880,Henkel,10211046,53415.24,5-Oct-2018
25880,Henkel,10211069,6000,8-Oct-2018
25880,Henkel,10211112,1154.24,15-Oct-2018
25880,Henkel,10211124,46636,16-Oct-2018
25883,SSI,10210652,24300,20-Jul-2018
25884,GHCL,10610292,175180,14-Aug-2018
25887,Cummins,10210925,16187.16,17-Sep-2018
25888,Beckman Coulter,10210656,29474,1-Aug-2018
25889,GE Power Systems,10610268,80091,1-Aug-2018
25898,Asahi India Glass,10910089,61600,24-Aug-2018
25903,Covestro,10910070,14800,8-Aug-2018
25905,Henkel,10210753,3321,17-Aug-2018
25906,Cummins,10210649,70437,1-Aug-2018
25909,Henkel,10210721,13849,10-Aug-2018
25910,Beckman Coulter,10210695,34409,7-Aug-2018
25911,Metso,10610287,11640,13-Aug-2018
25914,AMAT,10210675,7447,2-Aug-2018
25918,Henkel,10210672,18150,2-Aug-2018
25924,Henkel,10210674,2229,2-Aug-2018
25925,Henkel,10210671,5138,2-Aug-2018
25926,Huntsman,10210706,37204,8-Aug-2018
25929,Piramal,10210657,45804,1-Aug-2018
25939,IR,10610360,4457.16,6-Sep-2018
25944,RIL,10210748,10801,14-Aug-2018
25945,Henkel,10210673,2409,2-Aug-2018
25947,Piramal,11210047,8158,6-Aug-2018
25949,Covestro,10910062,20550,1-Aug-2018
25949,Covestro,10910063,20550,1-Aug-2018
25950,Henkel,10210725,136684,10-Aug-2018
25951,VVF India,10210796,13222.28,24-Aug-2018
25953,John Energy,10610266,42500,1-Aug-2018
25954,IR,10610315,3200,22-Aug-2018
25957,GE,10610269,8923.64,2-Aug-2018
25958,SSI,10210881,515873,7-Sep-2018
25965,AMAT,10210658,7447,1-Aug-2018
25966,IR,10610387,12000,18-Sep-2018
25969,Piramal,10210661,18432,1-Aug-2018
25971,AMAT,10210678,10500,6-Aug-2018
25973,IR,10610271,1944,6-Aug-2018
25974,GE Power Systems,10610272,89460,6-Aug-2018
25975,Beckman Coulter,10210666,171482,2-Aug-2018
25978,SSI,10210804,1941.5,27-Aug-2018
25988,AMAT,10210713,3362,9-Aug-2018
25994,GE,10610406,54219,24-Sep-2018
25995,AMAT,10210708,2856.34,8-Aug-2018
25999,GE,10610339,39564,30-Aug-2018
26002,Piramal,10210667,6210.5,2-Aug-2018
26003,SSI,10210731,8618,11-Aug-2018
26005,JSE,10210665,1038400,2-Aug-2018
26012,Oerlikon,10210751,7014,14-Aug-2018
26017,GE Power Systems,10610270,185725,2-Aug-2018
26018,AMAT,10210681,456218,6-Aug-2018
26019,GE,10211182,28089,24-Oct-2018
26025,AMAT,10210742,31984,14-Aug-2018
26027,Rexel India,10210744,255920,14-Aug-2018
26034,Graziano,10910094,72876.65,1-Sep-2018
26037,Piramal,10210689,125654,6-Aug-2018
26041,SSI,10210800,26064,27-Aug-2018
26052,Henkel,10211210,11500,1-Nov-2018
26057,Bharti Airtel,10910065,2175,6-Aug-2018
26058,Henkel,10210682,94500,6-Aug-2018
26062,Henkel,10210710,1078.94,8-Aug-2018
26062,Henkel,10210710,-1078.94,6-Oct-2018
26062,Henkel,10211065,1078.94,8-Oct-2018
26068,Cummins,10211178,1070758,26-Oct-2018
26072,Henkel,10210686,62082.37,6-Aug-2018
