inquiry_no,alias,order_number,report_total,mis_date
18840,KazStroy,10200216,-1938320,27-Oct-2018
18842,John Energy,10610021,82000,11-Apr-2018
18843,Henkel,10210193,16540,9-May-2018
18848,C and E Ltd.,10210016,600,4-Apr-2018
18856,Henkel,10210069,52254,16-Apr-2018
18882,IR,10610027,7950,17-Apr-2018
18894,Asahi India Glass,10910002,36400,4-Apr-2018
18895,Cummins,10200228,109364,1-Apr-2018
18896,Henkel,10210042,44325,11-Apr-2018
18910,Henkel,10210156,409108,3-Jun-2018
18911,GE Power Systems,10610006,37800,5-Apr-2018
18913,IR,10610092,71068,10-Apr-2018
18914,Henkel,10210019,87000,5-Apr-2018
18918,C and E Ltd.,10210005,3500,3-Apr-2018
19182,IR,10710006,57386,19-May-2018
19185,IR,10610066,11804,4-May-2018
19190,Maschio,10210181,132940.2,1-Jun-2018
19191,Henkel,10210049,342431.09,10-Apr-2018
19193,Henkel,10210092,50210,16-Apr-2018
19198,Piramal,10210002,6135,3-Apr-2018
19202,Troikaa Pharma,10210179,25486,8-May-2018
19203,GE Power Systems,10610003,33528,3-Apr-2018
19204,IR,10610029,22680,17-Apr-2018
19206,DHL,10910001,136479.68,3-Apr-2018
19209,Henkel,10210189,3684,9-May-2018
19215,Cummins,10210165,11260,5-May-2018
19219,Cummins,10210079,13222,17-Apr-2018
19220,IR,10610048,47292,30-Apr-2018
19221,Henkel,10210060,21576.32,13-Apr-2018
19225,Cummins,10210136,42000,30-Apr-2018
19228,GE Power Systems,10610005,46725,5-Apr-2018
19229,GE Power Systems,10610023,42020,3-Apr-2018
19231,JSE,10210009,1916498.82,4-Apr-2018
19232,SSI,10210084,216410,1-Jun-2018
19236,AMAT,10210161,1424166,5-May-2018
19240,GE Power Systems,10610024,15800,16-Apr-2018
19241,Henkel,10210052,22839.56,10-Apr-2018
19242,Henkel,10210130,31647,26-Apr-2018
19250,IR,10610007,2020,5-Apr-2018
19253,VVF India,10210073,1590.79,17-Apr-2018
19254,GE,10210313,13283,1-Jun-2018
19260,GE Power Systems,10610010,23350,9-Apr-2018
19276,Henkel,10210024,60000,6-Apr-2018
19277,Henkel,10210167,94500,7-May-2018
19289,C and E Ltd.,10210047,8225,11-Apr-2018
19290,Henkel,10210082,98128,18-Apr-2018
19294,GE Power Systems,10610022,652550,4-Apr-2018
19301,AMAT,10210244,5960,22-May-2018
19314,Henkel,10210035,56250,5-Apr-2018
19316,Cummins,10210329,16675,5-Jun-2018
19321,GE Power Systems,10610011,73105,9-Apr-2018
19323,AMAT,10210058,21579,12-Apr-2018
19325,Godrej,10210044,21800,10-Apr-2018
19326,Godrej,10210046,4022,12-Apr-2018
19328,Cummins,10210063,6582.62,16-Apr-2018
19329,Cummins,10210117,27280,24-Apr-2018
19339,IR,10610054,3530.64,30-Apr-2018
19340,Henkel,10210059,7058.85,13-Apr-2018
19342,Bharti Airtel,10910003,2076,10-Apr-2018
19343,Godrej,10210054,6416,12-Apr-2018
19344,Cummins,10210213,8985,15-May-2018
19345,AMAT,10210080,60752,18-Apr-2018
19346,Cummins,10210075,12500,17-Apr-2018
19347,AMAT,10210096,45972.65,20-Apr-2018
19350,Cummins,10210285,8626,31-May-2018
19351,IR,10610018,6640,10-Apr-2018
19352,Deep Industries,10410001,15600,1-Jun-2018
19356,Henkel,10210220,6484.5,17-May-2018
19357,GE,10210055,77366,12-Apr-2018
19358,Henkel,10210172,94734,7-May-2018
19359,JINDAL,10210076,8505,17-Apr-2018
19360,AMAT,10210065,26596,16-Apr-2018
19361,AMAT,10210078,7202,17-Apr-2018
19363,Henkel,10210245,37269.98,22-May-2018
19364,Bharti Airtel,10910004,692,11-Apr-2018
19368,Bharti Airtel,10910006,692,11-Apr-2018
19369,Bharti Airtel,10910005,692,11-Apr-2018
19370,Bharti Airtel,11010001,2076,18-Apr-2018
19371,IR,10610038,3300,20-Apr-2018
19374,AMAT,10210085,15851,17-Apr-2018
19384,AMAT,10210163,24052,5-May-2018
19390,Sukan,10610071,20485.34,4-May-2018
19391,Cummins,10210331,1727.04,5-Jun-2018
19392,IR,10610037,20360,12-Apr-2018
19401,Godrej,10210068,3800,16-Apr-2018
19402,Godrej,10210116,11730,24-Apr-2018
19403,AMAT,10210132,82979,26-Apr-2018
19405,Godrej,10210066,21529,14-Apr-2018
19409,Henkel,10210194,3790,9-May-2018
19412,GE Power Systems,10210151,1806240,1-Jun-2018
19412,GE Power Systems,10210151,-1806240,1-Jul-2018
19412,GE Power Systems,10610230,2304502,18-Jul-2018
19423,Maharashtra Seamless,10210443,52313,26-Jun-2018
19434,Henkel,10210090,2500,18-Apr-2018
19441,Godrej,10210386,8882,13-Jun-2018
19444,Cummins,10210098,46140,21-Apr-2018
19445,Cummins,10210159,10895,4-May-2018
19446,AMAT,10210133,13764,26-Apr-2018
19448,Johnson Matthey Chem. India,10210510,35000,7-Jul-2018
19451,Henkel,10210182,14000,8-May-2018
19454,Unique Industrials,10210071,120719,1-May-2018
19456,Cummins,10210287,69661.84,27-Apr-2018
19457,GE,10610036,775.2,1-May-2018
19458,Henkel,10210207,150000,12-Jun-2018
19467,Cummins,10210222,490000,17-May-2018
19469,IR,10610033,25940,16-Apr-2018
19470,Hyosung,10210072,2600,17-Apr-2018
19473,GE Power Systems,10610057,10104,2-May-2018
19474,GAIL,10210131,39000,29-May-2018
19475,AMAT,10210129,67849.87,18-Apr-2018
19477,Henkel,10210231,212500,1-Jun-2018
19483,John Energy,10610063,20500,3-May-2018
19484,John Energy,10610062,20500,3-May-2018
19485,John Energy,10610064,20500,4-May-2018
19486,John Energy,10610065,20500,4-May-2018
19487,John Energy,10610068,20500,4-May-2018
19488,John Energy,10610069,20500,4-May-2018
19489,John Energy,10610067,20500,4-May-2018
19490,AMAT,10210509,353659.8,1-May-2018
19494,Henkel,11010003,700000,15-Jun-2018
19500,IR,10610031,10680,18-Apr-2018
19503,GE,10210153,13750,3-May-2018
19507,Cummins,10210206,20730,15-May-2018
19508,Henkel,10210155,12949.07,3-May-2018
19510,Deep Industries,10410002,11846.68,18-Apr-2018
19515,IR,10610201,66250,9-Jul-2018
19521,AMAT,10210122,138396,1-May-2018
19522,Xpro India,10210112,26836,24-Apr-2018
19523,Henkel,10210453,522711.79,1-Jun-2018
19523,Henkel,10210453,-522711.79,1-Aug-2018
19523,Henkel,10210677,369088.92,6-Aug-2018
19524,Demosha Chemicals,10210091,9546,20-Apr-2018
19526,Bharti Airtel,10910010,10380,19-Apr-2018
19527,GE,10210087,124341,19-Apr-2018
19528,Bharti Airtel,10910009,6920,19-Apr-2018
19531,Cummins,10210340,13050,7-Jun-2018
19537,GE Power Systems,10610047,480524.47,25-May-2018
19541,GE,10210256,249784,1-Jun-2018
19544,Bharti Airtel,10910011,2076,20-Apr-2018
19545,Cummins,10210097,19500,20-Apr-2018
19546,Henkel,10210145,4699,2-May-2018
19547,Trident Computer,10210089,194061,19-Apr-2018
19556,Indian Navy,10210311,43686.1,1-Jun-2018
19558,IR,10610087,39691,23-May-2018
19562,JINDAL,10210144,43360,2-May-2018
19563,Cummins,10210143,11480,2-May-2018
19564,SSI,10210113,32894.5,18-May-2018
19567,Henkel,10210210,5203.6,15-May-2018
19570,Indian Navy,10210289,47300,31-May-2018
19578,GE Power Systems,10610039,1100,21-Apr-2018
19584,Henkel,10210265,6104.64,25-May-2018
19585,KazStroy,10210125,332483,25-Apr-2018
19592,Kubota,10210105,25153.5,20-Apr-2018
19595,JSE,10210102,1259670,23-Apr-2018
19597,Henkel,10210114,3281.5,20-Apr-2018
19601,Henkel,10210104,230000,23-Apr-2018
19602,JSE,10210103,2036160,23-Apr-2018
19608,Henkel,10210142,16677,2-May-2018
19609,JSE,10210108,564457,23-Apr-2018
19610,JSE,10210109,416754,23-Apr-2018
19616,KazStroy,10210198,1412584,15-May-2018
19618,AMAT,10210170,8750,7-May-2018
19620,Deep Industries,10610072,8380,11-May-2018
19626,SSI,10210190,84736.6,9-May-2018
19631,Cummins,10210419,7000,19-Jun-2018
19633,SSI,10210160,7974,30-Apr-2018
19635,AMAT,10210185,26596,8-May-2018
19636,Cummins,10210316,4000,4-Jun-2018
19636,Cummins,10210316,-800,1-Aug-2018
19642,GE,10210139,1088388,16-May-2018
19647,Henkel,10210274,7500,29-May-2018
19653,Adino Telecom,10210192,119760,9-May-2018
19654,Henkel,10910015,35661,19-May-2018
19666,IR,10610043,48000,25-Apr-2018
19668,GE Power Systems,10610103,717233.16,1-Jun-2018
19668,GE Power Systems,10610219,34627,16-Jul-2018
19678,Cummins,10210237,28980,19-May-2018
19686,Henkel,10210201,22107,14-May-2018
19690,Henkel,10910024,968421,4-Jun-2018
19691,Henkel,10210290,663158,1-Jun-2018
19692,Henkel,10210257,4791,24-May-2018
19693,RIL,10210223,5294,17-May-2018
19698,IR,10610049,16250,30-Apr-2018
19699,IR,10610055,48432,30-Apr-2018
19700,Rex Industries,10210196,1375000,10-May-2018
19702,AMAT,10210307,17368,1-Jun-2018
19705,IR,10610100,47808,30-May-2018
19707,AMAT,10210187,76596,9-May-2018
19714,IR,10610053,6800,30-Apr-2018
19715,Cummins,10210380,16300,13-Jun-2018
19716,Cummins,10210482,19706,4-Jul-2018
19717,GE Power Systems,10610052,204547.5,30-Apr-2018
19717,GE Power Systems,10610052,-175486.5,1-Aug-2018
19717,GE Power Systems,10610302,88000,30-Apr-2018
19717,GE Power Systems,10610302,0,18-Aug-2018
19717,GE Power Systems,10610389,3130,19-Sep-2018
19718,Henkel,10210152,70000,3-May-2018
19720,AMAT,10210169,32005,7-May-2018
19722,Henkel,10210141,3753,2-May-2018
19724,Cummins,10210209,19016,15-May-2018
19728,AMAT,10210162,26596,5-May-2018
19735,ISRO,10210777,146274,22-Aug-2018
19740,IR,10610094,40160,30-May-2018
19752,Piramal,10210343,92356.2,7-Jun-2018
19754,Cummins,10210300,27000,1-Jun-2018
19755,GE Power Systems,10610058,1368,2-May-2018
19756,Piramal,10210171,67631.01,7-May-2018
19757,Piramal,11210006,21131.5,22-May-2018
19758,Asahi India Glass,10910039,27283,25-Jun-2018
19766,Henkel,10210262,102215.97,25-May-2018
19767,IR,10610070,6640,4-May-2018
19769,Trident Computer,10210150,198932,2-May-2018
19781,HYATT,10910016,3750,22-May-2018
19784,AMAT,10210173,15532.3,7-May-2018
19787,Henkel,10210154,56250,3-May-2018
19788,Henkel,10210293,41839.3,3-May-2018
19788,Henkel,10210303,41839.3,3-May-2018
19791,GE Power Systems,10610061,3800,3-May-2018
19793,GE,10210243,320758.24,8-Jun-2018
19795,Cummins,10210211,2600,15-May-2018
19802,AMAT,10210308,62625,1-Jun-2018
19803,Johnson Matthey Chem. India,10210180,83522,8-May-2018
19810,Duroshox,10210371,2750,12-Jun-2018
19815,IR,10210184,8146.9,8-May-2018
19825,GE,10210583,32502,20-Jul-2018
19826,GE,10210312,60000,1-Jun-2018
19829,AMAT,10210166,151070,5-May-2018
19831,Henkel,10210178,475,7-May-2018
19836,SSI,10210188,48516,9-May-2018
19838,Cummins,10210261,307300,1-Jun-2018
19839,Andhra Electronics,10210385,14000,14-Jun-2018
19840,Nhava Sheva,10210277,6032,29-May-2018
19842,Cummins,10210442,11000,25-Jun-2018
19843,Piramal,10210175,3178.3,7-May-2018
19845,Piramal,11210026,10750,29-Jun-2018
19847,GE,10610113,29706,6-Jun-2018
19848,GE Power Systems,10610187,60000,30-Jun-2018
19849,GE Power Systems,10610193,14400,4-Jul-2018
19849,GE Power Systems,10610216,14400,16-Jul-2018
19849,GE Power Systems,10610221,9600,17-Jul-2018
19849,GE Power Systems,10610235,4500,18-Jul-2018
19849,GE Power Systems,10610351,4500,4-Sep-2018
19849,GE Power Systems,10610356,21600,5-Sep-2018
19849,GE Power Systems,10610388,1200,19-Sep-2018
19856,GE Power Systems,10610258,41192,26-Jul-2018
19857,GE Power Systems,10610205,22425,10-Jul-2018
19860,Piramal,11210004,7580,18-May-2018
19861,AMAT,10210203,102132,12-Jun-2018
19862,Deep Industries,10610073,8380,11-May-2018
19863,Deep Industries,10610074,8380,11-May-2018
19865,Deep Industries,10610075,8380,11-May-2018
19866,GE Power Systems,10610133,299860,13-Jun-2018
19875,Cummins,10211179,120000,26-Oct-2018
19876,GE,10610115,353932.43,6-Jun-2018
19877,Graziano,10910023,79237.07,4-Jun-2018
19878,GE,10610116,27500,6-Jun-2018
19881,Henkel,10210240,2121.7,1-Jun-2018
19883,Rexel India,10710003,23774,17-May-2018
19885,Henkel,10210660,899967.42,1-Aug-2018
19888,Cummins,10210234,125000,1-Jun-2018
19892,Cummins,10210460,3702.22,23-May-2018
19899,Cummins,10210286,24500,31-May-2018
19903,Cummins,10210337,23080,6-Jun-2018
19907,Henkel,10210350,35610.18,8-Jun-2018
19909,Bharti Airtel,11010002,2768,17-May-2018
19911,Cummins,10210529,61801,11-Jul-2018
19913,Cummins,10210402,21850,1-Jun-2018
19917,IR,10610095,138923.5,5-Jun-2018
19921,GE,10610093,195935,5-Jun-2018
19922,John Energy,10210224,5120200,11-May-2018
19923,Hyosung,10210191,10000,9-May-2018
19926,Dhiren Traders,10610079,44400,14-May-2018
19931,SSI,10210233,240000,18-May-2018
19937,Piramal,11210003,3441.1,12-May-2018
19940,Cummins,10210420,105227,20-Jun-2018
19942,AMAT,10210199,266489,11-May-2018
19944,Piramal,11210010,2460,28-May-2018
19957,Godrej,10210217,27000,17-May-2018
19959,GE,10610082,11040,14-May-2018
19959,GE,10710005,11040,14-May-2018
19966,Godrej,10210238,1930,19-May-2018
19967,GE,10610101,30637,30-May-2018
19968,Henkel,10210493,6608,5-Jul-2018
