address_uid,company_uid,street1,pincode,city_name,country_code,State,gst,,
8882,SC-8347,"68-rashmi Park Bungalow, Dhumaal Nagar, Waliv Road, Vasai (E)",401208,Palghar,IN,MH,,,
8882,SC-8347,"68-rashmi Park Bungalow, Dhumaal Nagar, Waliv Road, Vasai (E)",401208,Palghar,IN,MH,,,
3755,1213,"72, Siddhi Vinayak Estate, Opp.Ramdev Kitchen Express, Shah Alloys Cross Road, Village. Santej,",382721,Gandhinagar,IN,GJ,,,
3755,1213,"72, Siddhi Vinayak Estate, Opp.Ramdev Kitchen Express, Shah Alloys Cross Road, Village. Santej,",382721,Gandhinagar,IN,GJ,,,
2040,351,"Art Guild House, 3Rd Floor, Unit No. 6and7, Phoenix Market City,15 L.B.S Marg , Kurla (West)",400070,Mumbai,IN,MH,,,
2040,351,"Art Guild House, 3Rd Floor, Unit No. 6and7, Phoenix Market City,15 L.B.S Marg , Kurla (West)",400070,Mumbai,IN,MH,,,
1853,243,"Central Avenue,  Hiranandani Gardens,Powai",400076,Mumbai,IN,MH,,,
1853,243,"Central Avenue,  Hiranandani Gardens,Powai",400076,Mumbai,IN,MH,,,
2425,776,"Survey No. 38/1, Bhaichand Mehta Ind.. Estate, Vavdi, Gondal Road",360004,Rajkot,IN,GJ,,,
2425,776,"Survey No. 38/1, Bhaichand Mehta Ind.. Estate, Vavdi, Gondal Road",360004,Rajkot,IN,GJ,,,
2426,776,"Survey No. 38/1, Bhaichand Mehta Ind.. Estate, Vavdi, Gondal Road",360004,Rajkot,IN,GJ,,,
2426,776,"Survey No. 38/1, Bhaichand Mehta Ind.. Estate, Vavdi, Gondal Road",360004,Rajkot,IN,GJ,,,
3019,992,"C-6, Basement, D Unit Rajouri Garden",110027,New Delhi,IN,DL,,,
3019,992,"C-6, Basement, D Unit Rajouri Garden",110027,New Delhi,IN,DL,,,
1623,143,"6/236,Divyadarshan Colony,Gorwa Road",390003,Vadodara,IN,GJ,,,
1623,143,"6/236,Divyadarshan Colony,Gorwa Road",390003,Vadodara,IN,GJ,,,
1186,576,"36 A, Industrial Area N.I.T.",121001,Faridabad,IN,HR,06AABCP6528J1ZA,,
1186,576,"36 A, Industrial Area N.I.T.",121001,Faridabad,IN,HR,06AABCP6528J1ZA,,
3479,1100,"Plot No. 21/2, Site-II, Loni Road,  Mohan Nagar",201007,Ghaziabad,IN,UP,,,
3479,1100,"Plot No. 21/2, Site-II, Loni Road,  Mohan Nagar",201007,Ghaziabad,IN,UP,,,
1320,42,A62 /63 Flat No - 116 Mansaram Park Uttam Nagar,110059,New Delhi,IN,DL,,,
1320,42,A62 /63 Flat No - 116 Mansaram Park Uttam Nagar,110059,New Delhi,IN,DL,,,
4623,1451,"301-303 Synergy Square, Krishna Industrial Estate Gorwa",390016,Vadodara,IN,GJ,,,
4623,1451,"301-303 Synergy Square, Krishna Industrial Estate Gorwa",390016,Vadodara,IN,GJ,,,
1781,458,"The Qube, B 401/404 and A 402, CTS No 1498 A/2 Village Marol,  Sahar Road , Andheri East",400059,Mumbai,IN,MH,,,
1781,458,"The Qube, B 401/404 and A 402, CTS No 1498 A/2 Village Marol,  Sahar Road , Andheri East",400059,Mumbai,IN,MH,,,
3756,1214,"4th Floor, The Centrium Bldg., Phoenix Mall,  L.B.S. Road, Kurla (W)",400070,Mumbai,IN,MH,,,
3756,1214,"4th Floor, The Centrium Bldg., Phoenix Mall,  L.B.S. Road, Kurla (W)",400070,Mumbai,IN,MH,,,
2041,352,"104 ,Vijay Industrial Premises Society L., 1St Floor, I.B.Patel Rd., (Opp. Gopal House) Goregaon",400063,Mumbai,IN,MH,,,
2041,352,"104 ,Vijay Industrial Premises Society L., 1St Floor, I.B.Patel Rd., (Opp. Gopal House) Goregaon",400063,Mumbai,IN,MH,,,
A209675,SC-208363,"102, 1st Floor, A Wing,  Prathamesh Building, Raghuvanshi Mill compound Lower Parel,",400013,Mumbai,IN,MH,27AAAFF5397H1Z7,,
A209675,SC-208363,"102, 1st Floor, A Wing,  Prathamesh Building, Raghuvanshi Mill compound Lower Parel,",400013,Mumbai,IN,MH,27AAAFF5397H1Z7,,
9793,SC-9187,"SOURCE HOUSE, Plot No 14, Road 16,  Sector 1",410206,New Panvel,IN,MH,27AAYCS9458D1ZI,,
9793,SC-9187,"SOURCE HOUSE, Plot No 14, Road 16,  Sector 1",410206,New Panvel,IN,MH,27AAYCS9458D1ZI,,
