category_legacy_id,product_legacy_id
930,95204
1206,95204
1235,95204
930,95205
1206,95205
1235,95205
930,95214
1206,95214
1235,95214
930,95215
1206,95215
1235,95215
930,95221
1206,95221
1235,95221
930,95223
1206,95223
1235,95223
930,95225
1206,95225
1235,95225
930,95233
1206,95233
1235,95233
930,95242
1206,95242
1232,95242
930,95244
1206,95244
1232,95244
930,95251
1206,95251
1231,95251
930,95252
1206,95252
1231,95252
930,95254
1206,95254
1231,95254
930,95255
1206,95255
1231,95255
930,95257
1206,95257
1231,95257
930,95258
1206,95258
1231,95258
930,95259
1206,95259
1231,95259
930,95260
1206,95260
1231,95260
930,95261
1206,95261
1231,95261
930,95262
1206,95262
1231,95262
930,95273
1206,95273
1229,95273
930,95275
1206,95275
1229,95275
930,95277
1206,95277
1229,95277
930,95294
1206,95294
1227,95294
930,95296
1206,95296
1227,95296
930,95298
1206,95298
1226,95298
930,95299
1206,95299
1226,95299
930,95302
1206,95302
1226,95302
930,95304
1206,95304
1226,95304
930,95306
1206,95306
1226,95306
930,95307
1206,95307
1226,95307
930,95308
1206,95308
1226,95308
930,95309
1206,95309
1226,95309
930,95325
1206,95325
1223,95325
930,95331
1206,95331
1223,95331
930,95332
1206,95332
1223,95332
1223,95334
930,95336
1206,95336
1223,95336
930,95341
1206,95341
1214,95341
930,95342
1206,95342
1214,95342
930,95343
1206,95343
1214,95343
930,95347
1206,95347
1214,95347
930,95351
1206,95351
1214,95351
930,95353
1206,95353
1214,95353
930,95354
1206,95354
1214,95354
930,95356
1206,95356
1213,95356
930,95357
1206,95357
1213,95357
930,95359
1206,95359
1213,95359
930,95360
1206,95360
1213,95360
930,95369
1206,95369
1210,95369
930,95371
1206,95371
1210,95371
930,95372
1206,95372
1210,95372
930,95373
1206,95373
1210,95373
930,95374
1206,95374
1210,95374
930,95375
1206,95375
1210,95375
930,95377
1206,95377
1209,95377
930,95381
1206,95381
1208,95381
930,95384
1206,95384
1208,95384
930,95385
1191,95385
1201,95385
930,95386
1191,95386
1201,95386
930,95387
1191,95387
1201,95387
930,95389
1191,95389
1195,95389
930,95391
1191,95391
1193,95391
930,95393
1191,95393
1193,95393
930,95394
1166,95394
1178,95394
930,95395
1166,95395
1178,95395
930,95396
1166,95396
1178,95396
930,95397
1166,95397
1178,95397
930,95398
1166,95398
1178,95398
930,95399
1166,95399
1178,95399
930,95400
1166,95400
1178,95400
930,95402
1166,95402
1178,95402
930,95403
1166,95403
1178,95403
930,95404
1166,95404
1178,95404
930,95405
1166,95405
1178,95405
930,95406
1166,95406
1178,95406
930,95407
1166,95407
1178,95407
930,95408
1166,95408
1178,95408
930,95409
1166,95409
1176,95409
930,95410
1166,95410
1176,95410
930,95411
1166,95411
1176,95411
930,95414
1166,95414
1176,95414
930,95415
1166,95415
1176,95415
930,95417
1166,95417
1176,95417
1176,95423
930,95424
1166,95424
1175,95424
930,95425
1166,95425
1175,95425
930,95426
1166,95426
1175,95426
930,95427
1166,95427
1175,95427
930,95436
1166,95436
1172,95436
930,95437
1166,95437
1171,95437
930,95442
1166,95442
1168,95442
930,95443
1166,95443
1168,95443
930,95445
1166,95445
1168,95445
930,95447
1166,95447
1168,95447
930,95448
1148,95448
4031,95448
930,95449
1148,95449
4031,95449
930,95450
1148,95450
4031,95450
930,95451
1148,95451
4031,95451
930,95452
1148,95452
4031,95452
930,95454
1148,95454
4031,95454
930,95456
1148,95456
4031,95456
930,95457
1148,95457
4031,95457
930,95458
1148,95458
4031,95458
930,95459
1148,95459
4031,95459
930,95461
1148,95461
4031,95461
930,95462
1148,95462
4031,95462
930,95470
1148,95470
4031,95470
930,95481
1148,95481
1150,95481
930,95482
1148,95482
1150,95482
930,95489
1159,95489
