#,Date,Customer,Remarks,Due Date,Branch,Document Status,Document Total (FC),Document Total (SC),Document Status,Canceled,Total Discount,Total Discount (FC),Total Discount (SC),Ship To,Bill to,Applied WTax,Document Total,Tax Amount (SC),Project,Inside Sales Owner,
99999088,4 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 269.,1 Feb 18,Gujarat,,0,"87,485.20",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,87485.2,13345.2,,Piyush Yadav,
99999076,2 Apr 18,Cummins Technologies India Pvt. Ltd.,Based On Sales Quotations 267.,21 Sep 17,Maharashtra,,0,"26,196.00",Closed,No,0,0,0,Industrial Area No. 2 A B RoadDewas Madhya Pradesh 455001 India,Industrial Area No. 2 A B RoadDewas Madhya Pradesh 455001 India,0,26196,3996,,Sarika Tanawade,
99999062,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 482.,2 Feb 18,Gujarat,,0,"1,51,143.84",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,151143.84,23055.84,,Neel Patel,
99999059,2 Apr 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 265.,28 Feb 18,Gujarat,,0,"35,364.60",Open,No,0,0,0,21-30 GIDC Estate NarodaAhmadabad Gujarat 382330 India,21-30 GIDC Estate NarodaAhmadabad Gujarat 382330 India,0,35364.6,5394.6,,Prit Patel,
99999052,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 78.,20 Jan 18,Gujarat,,0,"1,18,519.20",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,118519.20,18079.2,,Neel Patel,
99999051,2 Apr 18,Piramal Enterprises Ltd.,Based On Sales Quotations 263.,7 Mar 18,Maharashtra,,0,"8,920.80",Closed,No,0,0,0,Digwal VillageKohir MandalSangareddy Telangana 502321 India,Digwal VillageKohir MandalSangareddy Telangana 502321 India,0,8920.8,1360.8,,Dipali Ghanvat,
99999050,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 261.,2 Oct 17,Gujarat,,0,"12,748.80",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,12748.8,2788.8,,Avni Shah,
99999049,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 79.,8 Nov 17,Gujarat,,0,"15,151.20",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,15151.2,2311.2,,Avni Shah,
99999046,2 Apr 18,GE Power Conversion India Pvt. Ltd.,Based On Sales Quotations 325.,4 Jan 18,Maharashtra,,0,"1,52,622.38",Open,No,0,0,0,Ramnath Tower Plot No.29 (SP) 7th Floor Thiru Vi Ka Industrial Estate Ekkantuthangal GuindyChennai Tamil Nadu 600032 India,Ramnath Tower Plot No.29 (SP) 7th Floor Thiru Vi Ka Industrial Estate Ekkantuthangal GuindyChennai Tamil Nadu 600032 India,0,152622.38,23281.38,,Swati Bhosale,
99999045,2 Apr 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 260.,17 Mar 18,Gujarat,,0,"5,36,994.59",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,Plot No.SM-37 Sanand-II Industrial Estate SanandAhmedabad Gujarat 382110 India,0,536994.59,81914.44,,Piyush Yadav,
