#,Date,Customer,Remarks,Due Date,Branch,Document Status,Document Total (FC),Document Total (SC),Document Status,Canceled,Total Discount,Total Discount (FC),Total Discount (SC),Ship To,Bill to,Applied WTax,Document Total,Tax Amount (SC),Project,Inside Sales Owner,
10610233,18 Jul 18,John Energy Ltd.,Based On Sales Quotations 1443.,15 Aug 18,Gujarat,,0,"50,150.00",Closed,No,0,0,0,S-126 RIICO Industrial Area Barmer 344001 Rajasthan,S-126 RIICO Industrial Area Barmer 344001 Rajasthan,0,50150,7650,25562,Neel Patel,
10610232,18 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1440.,31 Jul 18,Gujarat,,0,"93,585.80",Closed,Yes,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,93585.8,14275.8,25556,Avni Shah,
10610231,18 Jul 18,GHCL Ltd.,Based On Sales Quotations 1208.,27 Jul 18,Gujarat,,0,"82,600.00",Closed,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,82600,12600,25171,Prit Patel,
10610230,18 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1438.,28 Jun 18,Gujarat,,0,"29,49,762.56",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,2949762.56,645260.56,19412,Suhas Nair,
10610229,18 Jul 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 1436.,28 Jun 18,Gujarat,,0,"29,49,762.56",Closed,Yes,0,0,0,Plot No- SM-37 Sanand II - Industrial Estate  Sanand  District Ahmedabad Ahmedabad 382110 Gujarat,Plot No- SM-37 Sanand II - Industrial Estate  Sanand  District Ahmedabad Ahmedabad 382110 Gujarat,0,2949762.56,645260.56,19412,Suhas Nair,
10610228,18 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1434.,31 Jul 18,Gujarat,,0,"1,01,367.20",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,101367.20,15462.8,25552,Avni Shah,
10610227,17 Jul 18,GHCL Ltd.,Based On Sales Quotations 1427.,27 Jul 18,Gujarat,,0,"6,949.02",Closed,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,6949.02,1060.02,25527,Prit Patel,
10610226,17 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1428.,18 Jul 18,Gujarat,,0,"3,186.00",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,3186,486,25157,Harsh Patel,
10610225,17 Jul 18,GHCL Ltd.,Based On Sales Quotations 1419.,27 Jul 18,Gujarat,,0,"17,372.56",Closed,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,17372.56,2650.06,25520,Prit Patel,
10610224,17 Jul 18,ABB India Ltd.,Based On Sales Quotations 1065.,31 Aug 18,Gujarat,,0,"88,594.40",Closed,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,88594.4,13514.4,21419,Piyush Yadav,
10610223,17 Jul 18,GHCL Ltd.,Based On Sales Quotations 1413.,30 Jul 18,Gujarat,,0,"13,898.04",Closed,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,Soda Ash Division Sutrapada Veraval 362275 Gujarat,0,13898.04,2120.04,25073,Prit Patel,
10610222,17 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1414.,24 Aug 18,Gujarat,,0,"64,272.72",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,64272.72,6886.36,25512,Prit Patel,
10610221,17 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1160.,26 Jul 18,Gujarat,,0,"11,328.00",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,11328,1728,19849,Avni Shah,
10610220,17 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1411.,19 Jul 18,Gujarat,,0,896.00,Closed,No,0,0,0,4-5 GIDC Estate Naroda Ahmedabad 382330 Gujarat,4-5 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,896,196,25509,Suhas Nair,
10610219,16 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1381.,31 May 18,Gujarat,,0,"40,859.60",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,40859.6,6232.82,19668,Avni Shah,
10610218,16 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1384.,20 Jul 18,Gujarat,,0,"24,678.68",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,24678.68,4972.68,25491,Suhas Nair,
10610217,16 Jul 18,GHCL Ltd.,Based On Sales Quotations 768.,27 Jul 18,Gujarat,,0,"47,995.32",Closed,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,47995.32,7321.32,21016,Prit Patel,
10610216,16 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1160.,26 Jul 18,Gujarat,,0,"16,992.00",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,16992,2592,19849,Avni Shah,
10610215,16 Jul 18,GHCL Ltd.,Based On Sales Quotations 1362.,27 Jul 18,Gujarat,,0,608.09,Open,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,608.09,92.76,25461,Prit Patel,
10610214,13 Jul 18,GE T and D India Ltd.,Based On Sales Quotations 1344.,26 Jul 18,Gujarat,,0,"21,989.66",Closed,No,0,0,0,Milestone 87 Vadodara Halol Highway Kotambi Post Office Jarod Vadodara 391510 Gujarat,Milestone 87 Vadodara Halol Highway Kotambi Post Office Jarod Vadodara 391510 Gujarat,0,21989.66,3354.36,25311,Jigar Patel,
10610213,16 Jul 18,GHCL Ltd.,Based On Sales Quotations 1360.,20 Jul 18,Gujarat,,0,"3,877.48",Closed,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,3877.48,591.48,25077,Prit Patel,
10610212,13 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1324.,14 Jul 18,Gujarat,,0,"6,83,662.44",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,683662.44,130046.54,25003,Harsh Patel,
10610211,12 Jul 18,Nivea India Pvt. Ltd.,Based On Sales Quotations 1305.,27 Jul 18,Gujarat,,0,"28,826.96",Closed,No,0,0,0,NIVEA India Pvt. Ltd.   BDF Manufacturing India SM-9/1 Sanand II Industrial Estate Ahmedabad 382110 Gujarat,NIVEA India Pvt. Ltd.   BDF Manufacturing India SM-9/1 Sanand II Industrial Estate Ahmedabad 382110 Gujarat,0,28826.96,4397.34,21381,Avni Shah,
10610210,11 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 556.,25 Jul 18,Gujarat,,0,"33,040.00",Open,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,33040,5040,20799,Harsh Patel,
10610209,11 Jul 18,ABB India Ltd.,Based On Sales Quotations 1065.,31 Aug 18,Gujarat,,0,"1,47,547.20",Closed,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,147547.20,22507.2,21419,Piyush Yadav,
10610208,11 Jul 18,GHCL Ltd.,Based On Sales Quotations 1291.,2 Aug 18,Gujarat,,0,"7,139.00",Open,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,7139,1089,25076,Prit Patel,
10610207,11 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1276.,25 Jul 18,Gujarat,,0,"37,263.18",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,37263.18,5684.22,25239,Avni Shah,
10610206,11 Jul 18,GHCL Ltd.,Based On Sales Quotations 1246.,2 Aug 18,Gujarat,,0,"16,921.63",Open,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,Soda Ash Division Sutrapada Veraval 362275 Gujarat,0,16921.63,2581.28,21482,Prit Patel,
10610205,10 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1274.,19 Jul 18,Gujarat,,0,"26,461.50",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,26461.5,4036.5,19857,Avni Shah,
10610204,10 Jul 18,GE T and D India Ltd.,Based On Sales Quotations 1268.,20 Jul 18,Gujarat,,0,"18,712.21",Closed,No,0,0,0,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,0,18712.21,2854.42,20167,Prit Patel,
10610203,10 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1128.,31 Jul 18,Gujarat,,0,"3,92,126.43",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,392126.43,59815.9,25039,Avni Shah,
10610202,10 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 491.,29 Jun 18,Gujarat,,0,"8,63,363.24",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,863363.24,108708.24,20755,Avni Shah,
10610201,9 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 448.,11 Jul 18,Gujarat,,0,"78,175.00",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,78175,11925,19515,Prit Patel,
10610200,9 Jul 18,Asahi India Glass Ltd.,Based On Sales Quotations 1248.,12 Jul 18,Gujarat,,0,"1,183.54",Closed,No,0,0,0,Kadi Dist Mehsana E141516 Mascot industrial Park at. Jadhavpura Kadi – Vitthalpur highway Kadi Jadhavpura Ta. Mehsana 38271 Gujarat,Kadi Dist Mehsana E141516 Mascot industrial Park at. Jadhavpura Kadi – Vitthalpur highway Kadi Jadhavpura Ta. Mehsana 38271 Gujarat,0,1183.54,180.54,21250,Dhrumil Patel,
10610199,7 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1237.,27 Jul 18,Gujarat,,0,"7,599.20",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,7599.2,1159.2,25253,Prit Patel,
10610198,7 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1227.,9 Jul 18,Gujarat,,0,"44,298.30",Open,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,44298.3,5800.5,21304,Prit Patel,
10610197,5 Jul 18,Alstom Bharat Forge Power Pvt. Ltd.,Based On Sales Quotations 441.,5 Jun 18,Gujarat,,0,"2,230.20",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,2230.2,340.2,18502,Piyush Yadav,
10610196,5 Jul 18,ABB India Ltd.,Based On Sales Quotations 1152.,2 Aug 18,Gujarat,,0,"13,337.08",Open,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,13337.08,2034.48,25088,Neel Patel,
10610195,4 Jul 18,ABB India Ltd.,Based On Sales Quotations 1163.,25 Jul 18,Gujarat,,0,"13,172.88",Closed,No,0,0,0,D-222/29 TTC Industrial Area MIDC Nerul Navi Mumbai 400706 Maharashtra,Plot No.79 Street No.17 MIDC Industrial Area Satpur Nasik 422007 Maharashtra,0,13172.88,1671.97,21464,Neel Patel,
10610194,4 Jul 18,IEC-TSL Ingenious Energy LLP,Based On Sales Quotations 1169.,5 Jul 18,Gujarat,,0,"35,36,842.10",Closed,Yes,0,0,0,waste management plant Village: Lamdeng imphal west manipur Imphal 795005 Manipur,waste management plant Village: Lamdeng imphal west manipur Imphal 795005 Manipur,0,3536842.10,168421.05,25097,Rajani Ong,
10610193,4 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1160.,26 Jul 18,Gujarat,,0,"16,992.00",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,16992,2592,19849,Avni Shah,
10610192,4 Jul 18,GHCL Ltd.,Based On Sales Quotations 1161.,12 Jul 18,Gujarat,,0,"4,420.28",Open,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,GHCL House Opp. Punjabi Hall Navrangpura Ahmedabad 380009 Gujarat,0,4420.28,674.28,25130,Prit Patel,
10610191,2 Jul 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1140.,18 Jul 18,Gujarat,,0,"29,500.00",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,29500,4500,25089,Avni Shah,
10610190,2 Jul 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1148.,11 Jul 18,Gujarat,,0,"16,314.68",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,16314.68,2488.68,21501,Harsh Patel,
10610189,2 Jul 18,Nivea India Pvt. Ltd.,Based On Sales Quotations 1133.,2 Jul 18,Gujarat,,0,"10,325.00",Closed,No,0,0,0,NIVEA India Pvt. Ltd.   BDF Manufacturing India SM-9/1 Sanand II Industrial Estate Ahmedabad 382110 Gujarat,NIVEA India Pvt. Ltd.   BDF Manufacturing India SM-9/1 Sanand II Industrial Estate Ahmedabad 382110 Gujarat,0,10325,1575,25071,Avni Shah,
10610188,2 Jul 18,GE T and D India Ltd.,Based On Sales Quotations 1123.,20 Jul 18,Gujarat,,0,"23,500.80",Closed,No,0,0,0,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,0,23500.8,5140.8,21378,Dhrumil Patel,
10610187,30 Jun 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1088.,30 Aug 18,Gujarat,,0,"70,800.00",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,70800,10800,19848,Avni Shah,
10610186,29 Jun 18,GE Power India Ltd.,Based On Sales Quotations 1102.,26 Jul 18,Gujarat,,0,"20,650.02",Closed,No,0,0,0,Plot No. Sm-37 Sanand II Industrial Estate Sanand District Ahmedabad 382110 Gujarat,Plot No. Sm-37 Sanand II Industrial Estate Sanand District Ahmedabad 382110 Gujarat,0,20650.02,3150.02,21349,Avni Shah,
10610185,29 Jun 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1107.,29 Jul 18,Gujarat,,0,"78,531.36",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,78531.36,11979.36,25021,Avni Shah,
10610184,29 Jun 18,ABB India Ltd.,Based On Sales Quotations 1110.,29 Jun 18,Gujarat,,0,"3,245.00",Closed,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,3245,495,21301,Dhrumil Patel,
10610183,29 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1099.,13 Jul 18,Gujarat,,0,"63,720.00",Open,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,63720,9720,21508,Prit Patel,
10610182,29 Jun 18,Nivea India Pvt. Ltd.,Based On Sales Quotations 1069.,27 Jul 18,Gujarat,,0,"31,269.92",Closed,Yes,0,0,0,NIVEA India Pvt. Ltd.   BDF Manufacturing India SM-9/1 Sanand II Industrial Estate Ahmedabad 382110 Gujarat,NIVEA India Pvt. Ltd.   BDF Manufacturing India SM-9/1 Sanand II Industrial Estate Ahmedabad 382110 Gujarat,0,31269.92,6840.3,21381,Avni Shah,
10610181,28 Jun 18,ABB India Ltd.,Based On Sales Quotations 1093.,29 Jun 18,Gujarat,,0,"16,744.20",Closed,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,16744.2,2554.2,21132,Piyush Yadav,
10610180,28 Jun 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1081.,3 Jul 18,Gujarat,,0,"81,564.92",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,81564.92,17842.32,21487,Avni Shah,
10610179,27 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1054.,27 Jun 18,Gujarat,,0,"7,599.20",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,7599.2,1159.2,21442,Prit Patel,
10610178,27 Jun 18,GE T and D India Ltd.,Based On Sales Quotations 426.,20 Jul 18,Gujarat,,0,"18,712.21",Closed,Yes,0,0,0,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,0,18712.21,2854.42,20167,Prit Patel,
10610177,26 Jun 18,GHCL Ltd.,Based On Sales Quotations 890.,21 Jun 18,Gujarat,,0,"5,630.96",Closed,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,Soda Ash Division Sutrapada Veraval 362275 Gujarat,0,5630.96,858.96,21123,Prit Patel,
10610176,26 Jun 18,ABB India Ltd.,Based On Sales Quotations 1050.,30 Jun 18,Gujarat,,0,"1,176.00",Closed,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,1176,126,21404,Piyush Yadav,
10610175,25 Jun 18,GE T and D India Ltd.,Based On Sales Quotations 784.,29 Jun 18,Gujarat,,0,"7,003.30",Closed,No,0,0,0,Milestone 87 Vadodara Halol Highway Kotambi Post Office Jarod Vadodara 391510 Gujarat,Milestone 87 Vadodara Halol Highway Kotambi Post Office Jarod Vadodara 391510 Gujarat,0,7003.3,1068.3,20959,Prit Patel,
10610174,25 Jun 18,GE T and D India Ltd.,Based On Sales Quotations 785.,12 Jul 18,Gujarat,,0,"39,648.00",Closed,No,0,0,0,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,Naini WorksMirzapur RoadNain Allahabad 211008 Uttar Pradesh,0,39648,6048,21015,Prit Patel,
10610173,25 Jun 18,John Energy Ltd.,Based On Sales Quotations 1033.,23 Aug 18,Gujarat,,0,"33,268.92",Open,No,0,0,0,Ahmedabad- Meshana Highway Jagudan Meshana 387210 Gujarat,220 G.I.D.C. Phase I|B/H Arts Collage Nagalpur Mehsana 384002 Gujarat,0,33268.92,5074.92,21287,Neel Patel,
10610172,25 Jun 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 1030.,30 Jun 18,Gujarat,,0,"4,17,651.31",Open,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,417651.31,63709.52,20722,Avni Shah,
10610171,24 Jun 18,ABB India Ltd.,Based On Sales Quotations 1025.,30 Jun 18,Gujarat,,0,"12,257.26",Closed,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,12257.26,1869.76,21137,Piyush Yadav,
10610170,22 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1024.,29 Jun 18,Gujarat,,0,"1,747.20",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,1747.2,187.2,21369,Prit Patel,
10610169,22 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1022.,20 Jul 18,Gujarat,,0,"1,38,288.22",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,138288.22,21094.82,20109,Prit Patel,
10610168,22 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 841.,26 Jun 18,Gujarat,,0,"3,304.00",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,3304,504,21073,Prit Patel,
10610167,22 Jun 18,ABB India Ltd.,Based On Sales Quotations 1010.,30 Jun 18,Gujarat,,0,"33,588.70",Open,No,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,33588.7,5123.7,21336,Piyush Yadav,
10610166,22 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 762.,29 Jun 18,Gujarat,,0,"22,420.00",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,22420,3420,21001,Prit Patel,
10610165,22 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1015.,29 Jun 18,Gujarat,,0,"7,080.00",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,7080,1080,21364,Prit Patel,
10610164,22 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1011.,5 Jul 19,Gujarat,,0,"30,194.11",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,30194.11,4605.88,20038,Prit Patel,
10610163,22 Jun 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 575.,30 Jun 18,Gujarat,,0,"4,17,651.31",Closed,Yes,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,417651.31,63709.52,20722,Avni Shah,
10610162,21 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 1002.,23 Jun 18,Gujarat,,0,"9,145.00",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,9145,1395,21337,Prit Patel,
10610161,21 Jun 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 399.,5 Jun 18,Gujarat,,0,"22,921.50",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,22921.5,3496.5,18742,Piyush Yadav,
10610160,21 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 991.,25 Jun 18,Gujarat,,0,"18,432.00",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,18432,4032,21331,Prit Patel,
10610159,20 Jun 18,GHCL Ltd.,Based On Sales Quotations 983.,30 Jul 18,Gujarat,,0,"5,349.23",Open,No,0,0,0,Soda Ash Division Sutrapada Veraval 362275 Gujarat,Soda Ash Division Sutrapada Veraval 362275 Gujarat,0,5349.23,815.98,21313,Prit Patel,
10610158,20 Jun 18,GE Power Systems India Pvt. Ltd.,Based On Sales Quotations 980.,29 Jun 18,Gujarat,,0,"2,08,888.32",Closed,No,0,0,0,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,Plot No.SM-37 Sanand-II Industrial Estate Sanand Ahmedabad 382110 Gujarat,0,208888.32,31864.32,20166,Dhrumil Patel,
10610157,20 Jun 18,ABB India Ltd.,Based On Sales Quotations 975.,29 Jun 18,Gujarat,,0,"3,245.00",Closed,Yes,0,0,0,PPTR-Small Pwr Trfmr VAD work National Highway No.8 Maneja Vadodara 390013 Gujarat,No.8 National Highway Maneja Vadodara 390013 Gujarat,0,3245,495,21301,Dhrumil Patel,
10610156,20 Jun 18,Ingersoll Rand (India) Ltd.,Based On Sales Quotations 185.,20 Jun 18,Gujarat,,0,"74,363.60",Closed,No,0,0,0,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,21-30 GIDC Estate Naroda Ahmedabad 382330 Gujarat,0,74363.6,11343.6,18549,Prit Patel,
