Code,Manufacturer Name,Data Source,User Signature
243,KURLON,O,1
244,CHECKMATE,O,1
245,OHAUS,O,1
246,KANGAROO,O,1
247,HELICOIL,O,1
248,WATSON MARLOW,O,1
249,USHA MARTIN,O,1
250,CAMLIN/FABER CASTLE,O,1
251,MARKAR,O,1
252,ALTOS,O,1
253,OLFA,O,1
254,APPLIED ANALYTICS,O,1
255,DWYER,O,1
256,ECLIPS MAGNETICS,O,1
257,KINDLE,O,1
258,HYLOC,O,1
259,SCHNEIDER ELECTRIC,O,1
260,NATIONAL INSTRUMENTS,O,1
261,PFERD,O,1
262,KESTER,O,1
263,EMDILITH,O,1
264,IMPERIAL,O,1
265,FUJI,O,1
266,GB TOOLS,O,1
267,MOMENTIVE,O,1
268,PIX,O,1
269,ORIENTAL,O,1
270,DOW CORNING,O,1
272,CASCO,O,1
273,CHEMTREND,O,1
274,PHOENIX THUNDER,O,1
275,RENCAST,O,1
276,OMARSTAR,O,1
277,GAITSU,O,1
278,PARKER HANNIFIN,O,1
279,NJS,O,1
280,CLECO,O,1
281,BLACK & DECKER,O,1
282,SYSKA,O,1
283,PFEIFFER,O,1
284,ATS,O,1
285,INDIAN,O,1
286,SPL,O,1
287,PULS,O,1
288,TDK-LAMBDA,O,1
289,ME,O,1
290,MIDWEST ACORN NUT,O,1
291,AKAPP,O,1
292,VATS,O,1
293,KEYENCE,O,1
294,DURALCO,O,1
295,JHALANI EXPERT,O,1
296,SCHNORR,O,1
297,CONTINENTAL,O,1
298,SCIENTIFIC DEVICES,O,1
299,JB,O,1
300,SENATOR,O,1
301,COOPER LIGHTING,O,1
302,FLOW CONTROL,O,1
303,SHREEJI INDUSTRIES,O,1
304,L & T,O,1
305,STERIUNO,O,1
306,ANCHOR PENTA,O,1
307,SHREE BALAJI,O,1
308,BATA,O,1
309,HINDUSTAN PETROLEUM,O,1
310,DAIKIN,O,1
311,ELECTROLUX,O,1
312,DBI-SALA,O,1
313,ANCHOR ROMA,O,1
314,INDIAN TOOLS,O,1
315,CAMLIN,O,1
316,HYLOBOND,O,1
317,LOC-LINE,O,1
318,WICHITECH,O,1
319,MASTER LOCK,O,1
320,CHAMBAL,O,1
321,TECHSOUTH,O,1
322,MAINI,O,1
323,CMT,O,1
324,MARCK,O,1
325,JOHNSON CONTROLS,O,1
326,MULTITEC,O,1
327,OEM,O,1
328,KLUBER LUBRICATION,O,1
329,WYPALL,O,1
330,JM,O,1
331,BULWARK,O,1
332,JST,O,1
333,EUREKA FORBES,O,1
334,WORKTOES,O,1
335,WAREE,O,1
336,HALDER,O,1
338,ROGER & MORIS,O,1
339,EIS,O,1
340,YOGDEEP,O,1
341,HORIBA,O,1
342,Techno,O,1
343,SPM,O,1
344,WQ,O,1
345,MASTER,O,1
346,BULLOWS,O,1
347,GRAPH DATUM,O,1
348,APLAB,O,1
349,ASHOK,O,1
350,BUCHER,O,1
351,POLYSIL,O,1
352,NULIFE,O,1
353,MITUTOYO-CHINA,O,1
354,HIWIN,O,1
355,NIDO,O,1
356,SIKAFLEX,O,1
357,BUSSMANN,O,1
358,TOTAL,O,1
359,LIFEBUOY,O,1
360,TANIS,O,1
361,FEVI KWICK,O,1
362,MICRO EPSILON,O,1
363,INDO MAKSSON,O,1
364,WONDER,O,1
365,LAPP,O,1
366,Casio,O,1
368,JETECH TOOL,O,1
369,OREVA,O,1
370,KISSAN,O,1
371,FROBES,O,1
372,YATO,O,1
373,WITT,O,1
374,AIRWICK,O,1
375,TOOLSTAR,O,1
376,JOGGER,O,1
377,VITINY,O,1
378,CONTECH,O,1
379,MEGASONIC,O,1
380,CROWN,O,1
381,VESTAR,O,1
382,HAVELLS,O,1
383,MAGIC,O,1
384,VENITEX,O,1
385,ONPIN,O,1
386,ENDRESS HAUSER,O,1
387,WATTS,O,1
388,SENSINOVA,O,1
389,DMC,O,1
390,RENATA,O,1
391,SSK,O,1
392,EVERFRESH,O,1
393,ATLAS COPCO,O,1
394,NAM POWER BRUSH,O,1
395,HOWARDS,O,1
396,INGERSOLL RAND,O,1
397,QUANTA,O,1
398,MURR ELEKTRONIK,O,1
399,CAMBRO,O,1
400,ACCUSENSE,O,1
401,KAYSONS,O,1
402,MERIT,O,1
403,Maclocks,O,1
404,ELCOMETER,O,1
405,SWASTIK,O,1
406,CLARO,O,1
407,ROCA,O,1
408,POWERFLEX,O,1
409,TIME,O,1
410,POSI LOCK,O,1
411,BSE,O,1
412,ALLEN BRADLEY,O,1
413,ARTLINE,O,1
414,EMKARATE,O,1
415,Sunny,O,1
416,KSS,O,1
417,BK PRECISION,O,1
418,CROUZET,O,1
419,ALLIED,O,1
420,REISHAUER,O,1
421,S K,O,1
422,HAZET,O,1
423,OCEAN CONTROL,O,1
424,BUSSMAN,O,1
425,KITAGAWA,O,1
426,IKAROS,O,1
427,KINGTONY,O,1
428,EMERSON COPELAND,O,1
429,DAPRO,O,1
430,HIMALAYA,O,1
431,TSC,O,1
432,TOKYO-KEIKI,O,1
433,OAYKAY,O,1
434,KRM LOTO,O,1
435,MARVEL,O,1
436,ASTRAL,O,1
437,PACIFIC,O,1
438,VICKERS,O,1
439,TOTEM,O,1
440,NB,O,1
441,PROS,O,1
442,PENGUIN,O,1
443,ALLEGRO,O,1
444,GENERAL,O,1
445,FITLINE,O,1
446,FLU-CON,O,1
447,DILO,O,1
448,OLAER,O,1
449,HIOKI,O,1
450,EM POWER,O,1
451,CARBORUNDOM,O,1
452,KUSUM MECO,O,1
453,SCOTCH,O,1
454,CHAMP,O,1
455,DREMEL,O,1
456,SOURIAU,O,1
457,TECHFEEL,O,1
458,LEMO,O,1
460,JOHN OAKEY,O,1
461,BETA,O,1
462,BANNER,O,1
463,JAI BALAJI,O,1
464,ELECTRO MACHINES,O,1
465,DENSO,O,1
466,PILZ,O,1
467,NOVAJET,O,1
468,THERMO FISHER SCIENTIFIC,O,1
469,JORGENSON,O,1
470,BRACO,O,1
471,MARSH BELLOFRAM,O,1
472,Post It,O,1
473,TEDEA,O,1
474,ALCATEL,O,1
475,YAMATAKE,O,1
476,BETE,O,1
477,CGL,O,1
478,Kimsoft,O,1
479,ITEC,O,1
480,ESAB VORDIAN,O,1
481,MAXLIT,O,1
482,L  T,O,1
483,GENERAL TOOLS,O,1
484,AERO,O,1
485,WAGH BAKRI,O,1
486,BALLY,O,1
487,UNI KLINGER,O,1
488,CONNECTWELL,O,1
489,BELL HYDROMATICS,O,1
490,CAFE BROOKE,O,1
491,PROFACE,O,1
492,BASSO,O,1
493,GRIPHOLD,O,1
494,PB SWISS,O,1
495,PPI,O,1
496,NIHAN,O,1
497,PFE,O,1
498,SPIRAX,O,1
499,HIT,O,1
500,MNM,O,1
501,BULKMRO APPROVED,O,1
502,PORTASPEC,O,1
503,VIGOR TECH USA,O,1
504,SAI ARC,O,1
505,SHAVISION,O,1
506,ELTECH,O,1
507,SP,O,1
508,CAMEL,O,1
509,STEEL GRIP,O,1
510,OPPO,O,1
511,FENIX,O,1
512,BHARAT BIJLEE,O,1
513,RUTLAND,O,1
514,SUNLONG,O,1
515,DYNAVAC,O,1
516,DEVILBISS,O,1
517,KOHINOOR,O,1
518,NOKIA,O,1
519,IPOL,O,1
520,ROLEX,O,1
521,PEM,O,1
522,KMR,O,1
523,JAQUAR,O,1
524,ASHOK LEYLAND,O,1
525,HIGHTEMP,O,1
526,QUIRKY,O,1
527,BELKIN,O,1
528,CARE,O,1
529,BIKESERVICE,O,1
530,A1,O,1
531,ALL OUT,O,1
532,CATU,O,1
533,CISCO,O,1
534,WIRAKA,O,1
535,McCOY,O,1
536,JACKTECH HYDRAULICS,O,1
537,ARAMITH PREMIER,O,1
538,LETATWIN,O,1
539,SHARP,O,1
540,MAXIMATOR,O,1
541,JINDAL,O,1
542,SATO,O,1
544,NICROBRAZ,O,1
545,LEUZE,O,1
546,LENORD,O,1
547,FAAC,O,1
548,HEAPRO,O,1
549,WHATMAN,O,1
550,HELLERMANN TYTON,O,1
551,ROCKLANDER,O,1
552,ASTRA,O,1
553,STREAMLIGHT,O,1
554,MICRO PNEUMATIC,O,1
