LookUp,inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total
,1,,100000443,BM1A8M0,Amazon.com,10,10-Jan-15,44%,"4,194.00",2360.80,,SELEC FROM PRODUCT,SELEC FROM PRODUCT,12.50%,"5,243",47182.50
,1,,100000443,BM1A8M2,Amazon.com,5,10-Jan-15,38%,"1,055.00",649.40,,,,13.00%,686,5960.75
,1,,100000443,BM1A8M1,Amazon.com,5,10-Jan-15,43%,"1,312.00",746.20,,,,13.00%,853,7412.80
,2,,100000444,BM1A7M2,W. W. Grainger Inc.,200,20-Jan-15,-113%,81,104.00,,,,13.00%,"2,106",18306.00
,2,,100000444,BM1A4Q8,W. W. Grainger Inc.,500,20-Jan-15,-53%,88,81.25,,,,13.00%,"5,720",49720.00
,2,,100000444,BM1A7I9,W. W. Grainger Inc.,600,20-Jan-15,9%,975,536.25,,,,13.00%,"76,050",661050.00
,25,,100000765-1,BM1A7H4,W. W. Grainger Inc.,5,22-Jan-15,82%,"2,340.00",400.40,,,,13.00%,"1,521",13221.00
,2978,,100000241,BM0Z1A1,OKI Bering Middle East FZE,2,18-Feb-15,48%,"19,811.50",7123.00,,,,2.00%,792,40415.46
,3329,,100000187,BM1A5H9,Yusuf Enterprises,1,19-Feb-15,47%,"3,822.00",1884.00,,,,13.00%,497,4318.86
,3329,,100000187,BM1A5I1,Anuj Electricals Pvt. Ltd.,20,19-Feb-15,24%,140.95,100.00,,,,13.00%,366,3185.47
,3329,,100000187,BM1A5H7,Smith Engineering Co.,1,19-Feb-15,39%,"1,623.00",917.00,,,,13.00%,211,1833.99
,3329,,100000187,BM1A5H6,Aditya Stainless (India),50,19-Feb-15,39%,10.04,5.70,,,,13.00%,65,567.26
,3329,,100000187,BM1A5I0,Hemal Trading Co.,2,19-Feb-15,-66%,"2,821.50",4350.00,,,,13.00%,734,6376.59
,3329,,100000187,BM1A5I2,Prestige Agencies,2,19-Feb-15,42%,836,450.00,,,,13.00%,217,1889.36
,3329,,100000187,BM1A5H5,Aditya Stainless (India),25,19-Feb-15,55%,11.36,4.76,,,,13.00%,37,320.92
,3329,,100000187,BM1A5H8,Aditya Stainless (India),50,19-Feb-15,54%,8.8,3.80,,,,13.00%,57,497.20
,48,,100000527-1,BM1A7J7,W. W. Grainger Inc.,4,27-Feb-15,58%,"2,500.00",975.00,,,,13.00%,"1,300",11300.00
,53,,100000529,BM1A7N1,W. W. Grainger Inc.,1,27-Feb-15,34%,"6,950.00",4225.00,,,,13.00%,904,7853.50
,66,,100000530-1,BM1A7A5,W. W. Grainger Inc.,2,27-Feb-15,31%,"1,020.00",650.00,,,,13.00%,265,2305.20
,66,,100000530-1,BM1A7A4,W. W. Grainger Inc.,1,27-Feb-15,36%,"6,550.00",3900.00,,,,13.00%,852,7401.50
,67,,100000534,BM1A7L8,W. W. Grainger Inc.,18,27-Feb-15,31%,508,325.00,,,,13.00%,"1,189",10332.72
,27,,100000526,BM1A7J2,Grainger Industrial Supply India Pvt. Ltd.,1,02-Mar-15,8%,"3,390.00",2040.00,,,,13.00%,441,3830.70
,27,,100000526,BM1A7J2,Grainger Industrial Supply India Pvt. Ltd.,1,02-Mar-15,8%,"3,390.00",2040.00,,,,13.00%,441,3830.70
,27,,100000526,BM1A7Q5,W. W. Grainger Inc.,2,02-Mar-15,13%,"5,685.00",3250.00,,,,13.00%,"1,478",12848.10
,27,,100000526,BM1A6F9,W. W. Grainger Inc.,2,02-Mar-15,23%,"79,906.00",33800.00,,,,13.00%,"20,776",180587.56
,27,,100000526,BM1A6A2,W. W. Grainger Inc.,2,02-Mar-15,36%,"29,563.00",10400.00,,,,13.00%,"7,686",66812.38
,27,,100000526,BM1A6A9,W. W. Grainger Inc.,4,02-Mar-15,49%,"6,522.00",1820.00,,,,13.00%,"3,391",29479.44
,27,,100000526,BM1A7I7,W. W. Grainger Inc.,2,02-Mar-15,52%,"63,997.00",16900.00,,,,13.00%,"16,639",144633.22
,213,,100000546,BM1A8M4,Dkr Impex Pvt. Ltd.,6,03-Mar-15,6%,620,540.00,,,,13.00%,484,4203.60
,203,,100000485,BM1A7N0,W. W. Grainger Inc.,300,04-Mar-15,-4%,145,127.00,,,,13.00%,"5,655",49155.00
,222,,100000516,BM1A7U1,W. W. Grainger Inc.,4,04-Mar-15,27%,"3,123.00",1560.00,,,,13.00%,"1,624",14115.96
,246,,100001359,BM1A7J8,W. W. Grainger Inc.,6,04-Mar-15,34%,736,408.00,,,,13.00%,574,4990.08
,246,,100001359,BM1A6B0,W. W. Grainger Inc.,4,04-Mar-15,47%,"1,665.00",744.00,,,,13.00%,866,7525.80
,246,,100001359,BM1A7Q6,W. W. Grainger Inc.,2,04-Mar-15,52%,"4,860.00",1964.00,,,,13.00%,"1,264",10983.60
,14,,100000523,BM1A7L4,W. W. Grainger Inc.,4,07-Mar-15,33%,797,454.00,,,,13.00%,414,3602.44
,145,,100000540,BM1A7Q4,W. W. Grainger Inc.,1,09-Mar-15,-258%,"4,632.00",2246.00,,,,13.00%,602,5234.16
,211,,100000545,BM1A6M0,Alpha Overseas Int. Pvt Ltd,2,09-Mar-15,53%,"2,898.00",1260.00,,,,2.00%,116,5911.92
,211,,100000545,BM1A6M0,Alpha Overseas Int. Pvt Ltd,1,09-Mar-15,50%,"2,898.00",1260.00,,,,2.00%,58,2955.96
,228,,100000552,BM1A6B6,W. W. Grainger Inc.,1,09-Mar-15,11%,"1,120.00",844.00,,,,13.00%,146,1265.60
,228,,100000552,BM1A7M1,W. W. Grainger Inc.,1,09-Mar-15,24%,"1,233.00",408.00,,,,13.00%,160,1393.29
,228,,100000552,BM1A6B7,W. W. Grainger Inc.,1,09-Mar-15,7%,"1,806.00",877.00,,,,13.00%,235,2040.78
,228,,100000552,BM1A7P8,W. W. Grainger Inc.,1,09-Mar-15,13%,"1,919.00",642.00,,,,13.00%,249,2168.47
,228,,100000552,BM1A6C8,W. W. Grainger Inc.,1,09-Mar-15,12%,"2,519.00",838.00,,,,13.00%,327,2846.47
,228,,100000552,BM1A7M1,W. W. Grainger Inc.,1,09-Mar-15,24%,"1,233.00",408.00,,,,13.00%,160,1393.29
,228,,100000552,BM1A7P9,W. W. Grainger Inc.,1,09-Mar-15,13%,"1,680.00",547.00,,,,13.00%,218,1898.40
,228,,100000552,BM1A7U5,W. W. Grainger Inc.,1,09-Mar-15,8%,"1,255.00",390.00,,,,13.00%,163,1418.15
,90,,100000538,BM1A7R4,W. W. Grainger Inc.,2,10-Mar-15,58%,"5,220.00",2055.00,,,,2.00%,209,10648.80
,90,,100000538,BM1A7R4,W. W. Grainger Inc.,2,10-Mar-15,42%,"3,843.00",2055.00,,,,2.00%,154,7839.72
,139,,100000539,BM1A7M0,W. W. Grainger Inc.,1,10-Mar-15,17%,"2,640.00",770.00,,,,13.00%,343,2983.20
,200,,100000543,BM1A7K0,W. W. Grainger Inc.,1,10-Mar-15,19%,"75,000.00",42250.00,,,,13.00%,"9,750",84750.00
,235,,100001360,BM1A7C1,W. W. Grainger Inc.,1,10-Mar-15,58%,"23,592.00",8430.00,,,,13.00%,"3,067",26658.96
,235,,100001360,BM1A7C2,W. W. Grainger Inc.,1,10-Mar-15,63%,"61,607.00",19524.00,,,,13.00%,"8,009",69615.91
,11,,100000446,BM1A7N0,W. W. Grainger Inc.,28,11-Mar-15,-4%,145,127.00,,,,13.00%,528,4587.80
,171,,100000481,BM1A7H8,W. W. Grainger Inc.,1,11-Mar-15,41%,969,390.00,,,,2.00%,19,988.38
,254,,100000559,BM1A8Q1,A.S.K. Enterprises,50,11-Mar-15,-121%,17,35.00,,,,13.00%,111,960.50
,254,,100000559,BM1A8Q2,A.S.K. Enterprises,10,11-Mar-15,6%,131,115.00,,,,13.00%,170,1480.30
,254,,100000559,BM1A8Q0,A.S.K. Enterprises,20,11-Mar-15,6%,103,90.00,,,,13.00%,268,2327.80
,254,,100000559,BM1A8Q3,Dynamic Engineering Co.,20,11-Mar-15,20%,194,145.00,,,,13.00%,504,4384.40
,254,,100000559,BM1A8Q5,No Supplier Details,10,11-Mar-15,22%,194,140.00,,,,13.00%,252,2192.20
,254,,100000559,BM1A8Q4,No Supplier Details,10,11-Mar-15,22%,194,140.00,,,,13.00%,252,2192.20
,254,,100000559,BM1A8Q6,Dynamic Engineering Co.,10,11-Mar-15,29%,188,125.00,,,,13.00%,244,2124.40
,254,,100000559,BM1A8P9,A.S.K. Enterprises,50,11-Mar-15,54%,40,17.00,,,,13.00%,260,2260.00
,270,,100000570,BM1A7L6,W. W. Grainger Inc.,1,11-Mar-15,28%,"10,472.00",5460.00,,,,13.00%,"1,446",11833.36
,96,,100000979,BM1A7K6,W. W. Grainger Inc.,1,12-Mar-15,13%,"2,150.00",1267.00,,,,13.00%,280,2429.50
,99,,100000978,BM1A7J6,W. W. Grainger Inc.,1,12-Mar-15,12%,"2,650.00",1592.00,,,,13.00%,345,2994.50
,269,,100000567,BM1A3M2,W. W. Grainger Inc.,20,14-Mar-15,32%,"45,000.00",28600.00,,,,0.00%,-,900000.00
,281,,100000499,BM1A6E8,W. W. Grainger Inc.,35,16-Mar-15,-45%,27,29.00,,,,13.00%,123,1067.85
,281,,100000499,BM1A7R0,W. W. Grainger Inc.,15,16-Mar-15,10%,438,294.00,,,,13.00%,854,7424.10
,281,,100000499,BM1A7P2,W. W. Grainger Inc.,2,16-Mar-15,11%,945,625.00,,,,13.00%,246,2135.70
,281,,100000499,BM1A7I5,W. W. Grainger Inc.,4,16-Mar-15,27%,"1,710.00",922.00,,,,13.00%,889,7729.20
,283,,100000573,BM1A7L2,W. W. Grainger Inc.,12,16-Mar-15,21%,"3,043.00",1820.00,,,,13.00%,"4,747",41263.08
,283,,100000573,BM1A7L1,Grainger Industrial Supply India Pvt. Ltd.,8,16-Mar-15,5%,"3,043.00",1904.00,,,,13.00%,"3,165",27508.72
,283,,100000573,BM1A7L3,Grainger Industrial Supply India Pvt. Ltd.,4,16-Mar-15,5%,"3,043.00",1904.00,,,,13.00%,"1,582",13754.36
,297,,100000576,BM1A7N9,W. W. Grainger Inc.,1,16-Mar-15,16%,"8,100.00",4636.00,,,,13.00%,"1,053",9153.00
,307,,100000583,BM1A8N9,Valisons and Co.,1,17-Mar-15,-65%,"1,428.00",2197.00,,,,13.00%,186,1613.64
,307,,100000583,BM1A8N7,Hadeed Corporation,2,17-Mar-15,-8%,"1,900.00",1900.00,,,,13.00%,494,4294.00
,307,,100000583,BM1A8N5,Hadeed Corporation,1,17-Mar-15,-7%,"3,100.00",3100.00,,,,13.00%,403,3503.00
,271,,100000495,BM1A6A1,W. W. Grainger Inc.,5,18-Mar-15,29%,969,488.00,,,,2.00%,97,4941.90
,305,,100000581,BM1A7N0,W. W. Grainger Inc.,600,18-Mar-15,-3%,145,127.00,,,,13.00%,"11,310",98310.00
,314,,100000585,BM1A4Q7,W. W. Grainger Inc.,1,18-Mar-15,55%,"9,030.00",2925.00,,,,13.00%,"1,247",10203.90
,377,,100000598,BM1A4Q9,W. W. Grainger Inc.,10,20-Mar-15,29%,790,443.30,,,,13.00%,"1,094",8927.00
,147,,100000541,BM1A6P9,W. W. Grainger Inc.,5,24-Mar-15,14%,"1,412.00",531.00,,,,13.00%,918,7977.80
,253,,100000557,BM1A7R1,W. W. Grainger Inc.,2,24-Mar-15,40%,"5,007.00",2201.00,,,,13.00%,"1,302",11315.82
,253,,100000557,BM1A4R5,W. W. Grainger Inc.,1,24-Mar-15,45%,"32,428.00",13126.00,,,,13.00%,"4,216",36643.64
,309,,100000502,BM1A6E1,W. W. Grainger Inc.,1,27-Mar-15,25%,"10,832.00",5936.00,,,,13.00%,"1,408",12240.16
,350,,100000515,BM1A6P3,W. W. Grainger Inc.,1,27-Mar-15,25%,"3,951.00",1950.00,,,,13.00%,514,4464.63
,217,,100000517,BM1A3M1,Safex Systems,140,28-Mar-15,36%,402,240.00,,,,13.00%,"7,316",63596.40
,30,,100000456,BM1A7N5,W. W. Grainger Inc.,6,30-Mar-15,11%,825,618.83,,,,13.00%,644,5593.50
,30,,100000456,BM1A7N4,W. W. Grainger Inc.,6,30-Mar-15,11%,825,618.83,,,,13.00%,644,5593.50
,34,,100000457,BM1A7Q3,W. W. Grainger Inc.,1,30-Mar-15,53%,"3,100.00",1234.00,,,,13.00%,403,3503.00
,138,,100001365,BM1A7S1,W. W. Grainger Inc.,4,30-Mar-15,48%,"1,962.00",817.00,,,,13.00%,"1,020",8868.24
,138,,100001365,BM1A6A4,W. W. Grainger Inc.,4,30-Mar-15,51%,"2,220.00",865.25,,,,13.00%,"1,154",10034.40
,402,,100000604,BM1A7H6,W. W. Grainger Inc.,2,30-Mar-15,33%,"10,115.00",5216.00,,,,13.00%,"2,793",22859.90
,3,,100000520,BM1A7Q9,W. W. Grainger Inc.,6,31-Mar-15,60%,"2,465.00",835.83,,,,13.00%,"1,923",16712.70
,12,,100000448,BM1A9G5,W. W. Grainger Inc.,2,31-Mar-15,59%,"2,000.00",640.00,,,,13.00%,520,4520.00
,15,,100000450,BM1A7S2,W. W. Grainger Inc.,30,31-Mar-15,1%,"2,517.50",2112.50,,,,13.00%,"9,818",85343.25
,82,,100000536,BM1A7S9,W. W. Grainger Inc.,1,31-Mar-15,54%,"3,250.00",1298.00,,,,2.00%,65,3315.00
,82,,100000536,BM1A7S8,W. W. Grainger Inc.,2,31-Mar-15,54%,"3,250.00",1298.00,,,,2.00%,130,6630.00
,82,,100000536,BM1A7S7,W. W. Grainger Inc.,1,31-Mar-15,54%,"3,250.00",1298.00,,,,2.00%,65,3315.00
,84,,100000537,BM1A7M4,W. W. Grainger Inc.,2,31-Mar-15,33%,378,216.00,,,,13.00%,98,854.28
,86,,100000459,BM1A7K1,W. W. Grainger Inc.,4,31-Mar-15,49%,450,195.00,,,,2.00%,36,1836.00
,100,,100000977,BM1A7S6,W. W. Grainger Inc.,2,31-Mar-15,39%,"1,200.00",618.00,,,,13.00%,312,2712.00
,100,,100000977,BM1A6B3,W. W. Grainger Inc.,2,31-Mar-15,47%,"3,150.00",1422.00,,,,13.00%,819,7119.00
,100,,100000977,BM1A6B4,W. W. Grainger Inc.,2,31-Mar-15,50%,950,401.00,,,,13.00%,247,2147.00
,103,,100001363,BM1A7U3,W. W. Grainger Inc.,4,31-Mar-15,25%,"13,855.00",8805.00,,,,13.00%,"7,205",62624.60
,103,,100001363,BM1A7U4,W. W. Grainger Inc.,4,31-Mar-15,25%,"4,675.00",2959.50,,,,13.00%,"2,431",21131.00
,103,,100001363,BM1A7O1,W. W. Grainger Inc.,3,31-Mar-15,35%,502,276.33,,,,13.00%,196,1701.78
,107,,100001364,BM1A6A5,W. W. Grainger Inc.,12,31-Mar-15,8%,728,569.42,,,,13.00%,"1,136",9871.68
,129,,100000469,BM1A6V4,W. W. Grainger Inc.,1,31-Mar-15,56%,"10,325.00",3836.00,,,,13.00%,"1,342",11667.25
,159,,100000542,BM1A6A8,W. W. Grainger Inc.,3,31-Mar-15,56%,"7,062.00",2600.00,,,,13.00%,"2,754",23940.18
,159,,100000542,BM1A7M5,W. W. Grainger Inc.,3,31-Mar-15,57%,"7,091.00",2600.00,,,,13.00%,"2,765",24038.49
,159,,100000542,BM1A7M6,W. W. Grainger Inc.,3,31-Mar-15,57%,"7,223.00",2600.00,,,,13.00%,"2,817",24485.97
,159,,100000542,BM1A7M7,W. W. Grainger Inc.,3,31-Mar-15,70%,"10,358.00",2600.00,,,,13.00%,"4,040",35113.62
,271,,100000495,BM1A3M3,Amazon.com,20,31-Mar-15,49%,"2,700.00",943.00,,,,2.00%,"1,080",55080.00
,321,,100000586,BM1A7S4,W. W. Grainger Inc.,1,31-Mar-15,40%,"3,185.00",1511.00,,,,13.00%,440,3599.05
,405,,100000608,BM1A6E4,W. W. Grainger Inc.,4,01-Apr-15,3%,"2,450.00",1795.00,,,,13.00%,"1,353",11074.00
,405,,100000608,BM1A6Q2,W. W. Grainger Inc.,2,01-Apr-15,36%,"8,400.00",4062.00,,,,13.00%,"2,319",18984.00
,395,,100000599,BM1A7U0,W. W. Grainger Inc.,60,03-Apr-15,58%,"2,250.00",685.75,,,,5.00%,"6,750",141750.00
,395,,100000599,BM1A7R3,Grainger Industrial Supply India Pvt. Ltd.,200,03-Apr-15,1%,145,64.09,,,,5.00%,"1,450",30450.00
,395,,100000599,BM1A7R3,Grainger Industrial Supply India Pvt. Ltd.,100,03-Apr-15,-47%,145,64.09,,,,5.00%,756,15225.00
,213,,100000546,BM1A8M8,Dkr Impex Pvt. Ltd.,125,07-Apr-15,-16%,499,540.00,,,,13.00%,"8,109",70483.75
,469,,100000615,BM1A7N0,W. W. Grainger Inc.,79,07-Apr-15,-3%,145,127.00,,,,13.00%,"1,489",12944.15
,470,,100000617,BM1A7N0,W. W. Grainger Inc.,8,07-Apr-15,-3%,145,127.00,,,,13.00%,151,1310.80
,432,,100000613,BM1A8O5,E-Square Alliance Pvt. Ltd.,10,08-Apr-15,55%,295,139.80,,,,13.00%,434,3333.50
,432,,100000613,BM1A8O4,E-Square Alliance Pvt. Ltd.,10,08-Apr-15,55%,295,139.80,,,,13.00%,434,3333.50
,432,,100000613,BM1A8O7,E-Square Alliance Pvt. Ltd.,4,08-Apr-15,55%,"2,400.00",1137.50,,,,13.00%,"1,412",10848.00
,432,,100000613,BM1A8O6,E-Square Alliance Pvt. Ltd.,5,08-Apr-15,55%,550,259.40,,,,13.00%,405,3107.50
,452,,100000511,BM1A5Z2,W. W. Grainger Inc.,2,08-Apr-15,5%,"1,200.00",584.00,,,,13.00%,312,2712.00
,480,,100000503,BM1A7P5,W. W. Grainger Inc.,40,08-Apr-15,37%,100,47.00,,,,13.00%,520,4520.00
,373,,100000509,BM1A6B2,W. W. Grainger Inc.,10,09-Apr-15,35%,"2,400.00",1172.00,,,,13.00%,"3,120",27120.00
,478,,100000507,BM1A6G9,W. W. Grainger Inc.,2,09-Apr-15,33%,"1,000.00",538.00,,,,13.00%,260,2260.00
,10,,100000521,BM1A8P3,J.K.Knitwear,151,11-Apr-15,-7%,215,215.00,,,,5.00%,"1,623",34088.25
,10,,100000521,BM1A8P2,J.K.Knitwear,101,11-Apr-15,-7%,215,215.00,,,,5.00%,"1,086",22800.75
,426,,100000612,BM1A8P5,Fibre To Fashion,25,11-Apr-15,13%,230,190.00,,,,5.00%,295,6037.50
,426,,100000612,BM1A8P4,No Supplier Details,25,11-Apr-15,-5%,230,230.00,,,,5.00%,295,6037.50
,426,,100000612,BM1A8P3,J.K.Knitwear,50,11-Apr-15,2%,230,215.00,,,,5.00%,590,12075.00
,426,,100000612,BM1A8P2,J.K.Knitwear,75,11-Apr-15,2%,230,215.00,,,,5.00%,884,18112.50
,426,,100000612,BM1A8P1,No Supplier Details,25,11-Apr-15,-5%,230,230.00,,,,5.00%,295,6037.50
,425,,100000512,BM1A8P6,Petal Touch,15,15-Apr-15,14%,300,240.00,,,,5.00%,225,4725.00
,453,,100000508,BM1A8P0,Sanctum Work Wear Pvt Ltd,2,15-Apr-15,-1%,850,800.00,,,,5.00%,85,1785.00
,453,,100000508,BM1A8O9,Sanctum Work Wear Pvt. Ltd.,32,15-Apr-15,-1%,850,800.00,,,,5.00%,"1,360",28560.00
,453,,100000508,BM1A8O8,Sanctum Work Wear Pvt. Ltd.,16,15-Apr-15,-1%,850,800.00,,,,5.00%,680,14280.00
,404,,100000606,BM1A7D9,W. W. Grainger Inc.,1,17-Apr-15,64%,"13,287.00",3575.00,,,,13.00%,"1,727",15014.31
,472,,100000619,BM1A7Q7,W. W. Grainger Inc.,15,17-Apr-15,26%,"3,331.00",1840.00,,,,13.00%,"6,495",56460.45
,16,,100000525,BM1A7S0,W. W. Grainger Inc.,1,23-Apr-15,25%,"10,833.00",7016.00,,,,13.00%,"1,408",12241.29
,16,,100000525,BM1A7S5,W. W. Grainger Inc.,1,23-Apr-15,25%,331,213.00,,,,13.00%,43,374.03
,16,,100000525,BM1A7S3,Grainger Industrial Supply India Pvt. Ltd.,1,23-Apr-15,19%,177,117.00,,,,13.00%,23,200.01
,16,,100000525,BM1A7S3,Grainger Industrial Supply India Pvt. Ltd.,1,23-Apr-15,19%,177,117.00,,,,13.00%,23,200.01
,809,,100000630,BM1A8P3,J.K.Knitwear,150,23-Apr-15,2%,230,215.00,,,,5.00%,"1,769",36225.00
,809,,100000630,BM1A8P2,J.K.Knitwear,150,23-Apr-15,2%,230,215.00,,,,5.00%,"1,769",36225.00
,809,,100000630,BM1A6B1,No Supplier Details,100,23-Apr-15,13%,230,190.00,,,,5.00%,"1,179",24150.00
,688,,100000470,BM1A4P3,Varay Image Runners,1,25-Apr-15,-7%,"22,500.00",22500.00,,,,13.00%,"2,925",25425.00
,82,,100000536,BM1A7S9,W. W. Grainger Inc.,1,27-Apr-15,54%,"3,250.00",1298.00,,,,2.00%,65,3315.00
,511,,100000497,BM1A7L0,W. W. Grainger Inc.,1,28-Apr-15,89%,"42,000.00",2467.00,,,,13.00%,"5,460",47460.00
,207,,100000544,BM1A4P4,Mccann Infosys,18,29-Apr-15,72%,"105,500.00",21804.89,,,,13.00%,"246,870",2145870.00
,672,,100000472,BM1A7H1,W. W. Grainger Inc.,5,30-Apr-15,19%,543,258.80,,,,13.00%,372,3067.95
,672,,100000472,BM1A7P3,W. W. Grainger Inc.,3,30-Apr-15,23%,"3,376.00",1485.33,,,,13.00%,"1,343",11444.64
,722,,100000463,BM1A7T0,W. W. Grainger Inc.,3,04-May-15,15%,"1,470.00",693.67,,,,2.00%,88,4498.20
,287,,100000500,BM1A6A7,W. W. Grainger Inc.,4,05-May-15,5%,"1,211.00",693.50,,,,13.00%,682,5473.72
,515,,100000496,BM1A5Z6,W. W. Grainger Inc.,6,06-May-15,9%,356.33,128.67,,,,13.00%,278,2415.92
,515,,100000496,BM1A5Z7,W. W. Grainger Inc.,6,06-May-15,8%,353,128.67,,,,13.00%,275,2393.34
,515,,100000496,BM1A5Z8,Grainger Industrial Supply India Pvt. Ltd.,6,06-May-15,3%,353,134.83,,,,13.00%,275,2393.34
,515,,100000496,BM1A5Z9,W. W. Grainger Inc.,6,06-May-15,4%,336.33,128.67,,,,13.00%,262,2280.32
,919,,100000647,BM1A7N0,W. W. Grainger Inc.,28,06-May-15,7%,145,127.00,,,,13.00%,582,4587.80
,919,,100000647,BM1A7N0,W. W. Grainger Inc.,155,06-May-15,10%,145,127.00,,,,13.00%,"2,922",25396.75
,919,,100000647,BM1A7N0,W. W. Grainger Inc.,185,06-May-15,10%,145,127.00,,,,13.00%,"3,487",30312.25
,919,,100000647,BM1A7N0,W. W. Grainger Inc.,115,06-May-15,11%,145,127.00,,,,13.00%,"2,213",18842.75
,407,,200178,BM1A7I2,W. W. Grainger Inc.,94,07-May-15,31%,"2,146.00",1462.00,,,,13.00%,"26,224",227948.12
,407,,200178,BM1A7I1,W. W. Grainger Inc.,55,07-May-15,74%,"2,146.00",537.00,,,,13.00%,"15,344",133373.90
,784,,100000460,BM1A7L5,No Supplier Details,250,07-May-15,42%,53.33,28.70,,,,13.00%,"1,733",15065.73
,311,,100000504,BM1A8P8,Super Systems,2,10-May-15,40%,630,350.00,,,,2.00%,25,1285.20
,311,,100000504,BM1A8P7,Super Systems,6,10-May-15,40%,630,350.00,,,,2.00%,76,3855.60
,886,,100000634,BM1A7S3,No Supplier Details,1,16-May-15,34%,177,108.00,,,,2.00%,4,180.54
,886,,100000634,BM1A7S0,W. W. Grainger Inc.,1,16-May-15,34%,"10,833.00",7016.00,,,,2.00%,217,11049.66
,886,,100000634,BM1A7S5,W. W. Grainger Inc.,1,16-May-15,34%,331,213.00,,,,2.00%,7,337.62
,886,,100000634,BM1A7S3,No Supplier Details,1,16-May-15,34%,177,108.00,,,,2.00%,4,180.54
,791,,100000458,BM1A6J4,Northwest River Supplier- USA,9,18-May-15,32%,"45,000.00",25737.00,,,,13.00%,"52,650",457650.00
,791,,100000458,BM1A3M2,W. W. Grainger Inc.,8,18-May-15,24%,"45,000.00",28600.00,,,,13.00%,"46,800",406800.00
,585,,100000483,BM1A7H2,W. W. Grainger Inc.,2,19-May-15,31%,"1,308.00",596.00,,,,13.00%,363,2956.08
,585,,100000483,BM1A7H3,W. W. Grainger Inc.,2,19-May-15,31%,"1,749.00",786.50,,,,13.00%,477,3952.74
,959,,100000661,BM1A6C9,Sha Kundanmal Misrimal,40,21-May-15,25%,220,160.00,,,,5.00%,460,9240.00
,960,,100000664,BM1A6C7,Sha Kundanmal Misrimal,1,21-May-15,32%,504,320.00,,,,13.00%,66,569.52
,271,,100000495,BM1A6D1,W. W. Grainger Inc.,2,23-May-15,-42%,"3,463.00",3500.00,,,,2.00%,139,7064.52
,271,,100000495,BM1A6D0,W. W. Grainger Inc.,2,23-May-15,-28%,"2,242.00",2055.00,,,,2.00%,90,4573.68
,1007,,100000667,BM1A7E5,Twelve South,12,26-May-15,6%,"2,330.00",1595.33,,,,13.00%,"3,635",31594.80
,1007,,100000667,BM1A7F8,Twelve South,36,26-May-15,6%,"1,865.00",1276.17,,,,13.00%,"8,728",75868.20
,1007,,100000667,BM1A7F7,Twelve South,36,26-May-15,6%,"1,865.00",1276.17,,,,13.00%,"8,728",75868.20
,1007,,100000667,BM1A7F6,Twelve South,36,26-May-15,6%,"1,865.00",1276.17,,,,13.00%,"8,728",75868.20
,1007,,100000667,BM1A7F1,Twelve South,48,26-May-15,6%,"1,865.00",1276.17,,,,5.00%,"4,476",93996.00
,1007,,100000667,BM1A7E8,Twelve South,36,26-May-15,6%,"1,865.00",1276.17,,,,5.00%,"3,357",70497.00
,1007,,100000667,BM1A7E7,Twelve South,36,26-May-15,-17%,"1,865.00",1595.36,,,,5.00%,"3,357",70497.00
,1007,,100000667,BM1A7E3,Twelve South,18,26-May-15,6%,"3,265.00",2233.72,,,,5.00%,"2,939",61708.50
,1007,,100000667,BM1A7E9,Twelve South,6,26-May-15,6%,"4,665.00",3191.33,,,,5.00%,"1,400",29389.50
,1007,,100000667,BM1A7G6,Twelve South,12,26-May-15,6%,"2,800.00",1914.50,,,,5.00%,"1,680",35280.00
,1007,,100000667,BM1A7F4,Twelve South,12,26-May-15,6%,"2,800.00",1914.58,,,,5.00%,"1,680",35280.00
,1007,,100000667,BM1A7F3,Twelve South,12,26-May-15,6%,"2,800.00",1914.58,,,,5.00%,"1,680",35280.00
,1007,,100000667,BM1A7G5,Twelve South,36,26-May-15,6%,"2,800.00",1914.56,,,,13.00%,"13,104",113904.00
,1007,,100000667,BM1A7G4,Twelve South,36,26-May-15,6%,"2,800.00",1914.56,,,,13.00%,"13,104",113904.00
,1007,,100000667,BM1A7G3,Twelve South,36,26-May-15,6%,"2,800.00",1914.56,,,,13.00%,"13,104",113904.00
,1007,,100000667,BM1A7G2,Twelve South,36,26-May-15,6%,"2,800.00",1914.56,,,,13.00%,"13,104",113904.00
,1007,,100000667,BM1A7F2,Twelve South,6,26-May-15,6%,"2,800.00",1914.67,,,,5.00%,840,17640.00
,1007,,100000667,BM1A7E2,Twelve South,24,26-May-15,6%,"2,100.00",1435.79,,,,5.00%,"2,520",52920.00
,1007,,100000667,BM1A7E4,Twelve South,6,26-May-15,6%,"3,735.00",2553.00,,,,5.00%,"1,121",23530.50
,1007,,100000667,BM1A7G1,Twelve South,36,26-May-15,6%,"2,335.00",1595.33,,,,13.00%,"10,928",94987.80
,1007,,100000667,BM1A7G0,Twelve South,36,26-May-15,25%,"2,335.00",1276.17,,,,13.00%,"10,928",94987.80
,1007,,100000667,BM1A7F9,Twelve South,36,26-May-15,6%,"2,335.00",1595.36,,,,13.00%,"10,928",94987.80
