invoice_number,mis_date,inquiry_number,company,report_total,month_code,order_number
21210001,17-May-2018,19843,Piramal,3178.3,201805,10210175
21210002,18-May-2018,19937,Piramal,3441.1,201805,11210003
21210012,11-Jun-2018,20102,Piramal,6631.2,201806,11210012
20610038,11-May-2018,19473,GE Power Systems,10104,201805,10610057
20610039,11-May-2018,18742,GE Power Systems,10500,201805,10610060
20610040,11-May-2018,10852,Rexel India,14720,201805,99999027
21210004,25-May-2018,20124,Piramal,4884,201805,11210005
21210013,15-Jun-2018,20947,Piramal,7969.05,201806,11210016
20710059,19-Apr-2018,18017,IR,315275,201804,10300023
20710058,19-Apr-2018,19351,IR,6640,201804,10610018
20710057,19-Apr-2018,19250,IR,2020,201804,10610007
20710060,20-Apr-2018,18417,IR,9539.76,201804,99999024
20211147,10-Oct-2018,26451,Hyosung,1600,201810,10210772
20710062,20-Apr-2018,19500,IR,5340,201804,10610031
20710061,20-Apr-2018,17834,IR,114052,201804,10610017
20710071,24-Apr-2018,19204,IR,22680,201804,10610029
20210352,12-Jun-2018,19458,Henkel,150000,201806,10210207
20211129,9-Oct-2018,25880,Henkel,6000,201810,10211069
20610049,16-May-2018,19228,GE Power Systems,46725,201805,10610005
20710070,24-Apr-2018,18882,IR,7950,201804,10610027
20610051,16-May-2018,12624,GE Power Systems,2140,201805,2003641
20610052,16-May-2018,9877,GE Power Systems,2538,201805,2000034
20610012,26-Apr-2018,19392,IR,15355,201804,10610037
20210325,7-Jun-2018,19702,AMAT,17368.42,201806,10210307
20610053,19-May-2018,19483,John Energy,20500,201805,10610063
20610054,19-May-2018,19486,John Energy,20500,201805,10610065
20610055,19-May-2018,19487,John Energy,20500,201805,10610068
20610056,19-May-2018,19959,GE,11040,201805,10610082
20610008,26-Apr-2018,19371,IR,3300,201804,10610038
20610058,19-May-2018,19390,John Energy,20500,201805,10610062
20610631,31-Oct-2018,28605,GE,583000,201810,10610496
20610059,22-May-2018,19863,Deep Industries,8380,201805,10610074
21910029,10-Oct-2018,26835,Piramal,22953,201810,11410015
20610013,26-Apr-2018,19469,IR,18120,201804,10610033
21210005,25-May-2018,19860,Piramal,7580,201805,11210004
