Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
8631,201556,6790,7741
8632,201647,82176,93681
8633,201540,368,421
8636,201614,95186,109464
8638,201543,20223,21234
8640,201544,15353,17503
8643,201545-1,175310,184076
8658,201564,23061,26520
8662,201600,24610,25841
8665,201547,6840,7250
8666,201548,15390,16313
8667,201549,13110,13897
8668,201550,4560,4834
8670,201551,10830,11480
8671,201552,10830,11480
8674,2000148,20336,26030
8675,2000931,16736,17573
8677,201663,24843,28321
8679,201720,29264,29849
8680,201554,5400,5400
8681,10210389,3290432,3920769
8682,201558,1933,2204
8689,201560,7200,7200
8694,201562,56126,58995
8698,2000179-1,15218,18251
8701,201567,3500,3675
8705,201593,10923,12452
8706,201581,105084,120847
8709,201573-1,121380,127449
8710,202048,7667,8740
8713,201570,8423,9602
8718,201574,2800,2940
8721,201577,97500,111150
8724,201674,200458,228522
8728,201582,36397,41493
8730,2000380-2,242438,286013
8731,201584,7778,8167
8733,201675,237600,273240
8738,201585,27000,28436
8739,201753,231476,263883
8740,201591,32474,37020
8741,201807,246342,259409
8742,201881,21186,22457
8743,201589,16600,18924
8744,201590,22100,23205
8751,201659,700,735
8753,201855,3466,3951
8754,201686,2200,2310
8755,201597,19750,22515
8757,201592-1,155040,178296
8760,201809-1,4486,4710
8761,201723,124178,141563
8762,201617,124178,141563
8765,201715,21739,25000
8777,201598,10800,10800
8779,201599,630,668
8782,201744,1334,1534
8785,201883,77760,81648
8788,201641,18837,21474
8790,201601,820,861
8795,201607,25920,29808
8805,201613,43850,49989
8806,2000073,84115,103263
8806,2003611,530661,622145
8808,201619,81600,93840
8809,201624,247095,259450
8810,2002747,9587500,9587500
8817,201828,102123,107292
8818,201615,12240,13694
8820,201670,18008,18008
8823,201654,97463,111108
8827,201662,876,929
8832,2000060,19793,25335
8832,99999083,19793,25335
8836,2000102,196305,231640
8838,201625,69908,79695
8839,201626,8400,8820
8842,201728,75293,79810
8844,201733,6631,7559
8845,201628,10800,10800
8850,201630,25918,29806
8852,2000185,55463,70993
8853,201735,2850,2993
8854,201637,29352,33462
8857,201903,269580,318104
8865,201650,1609,1834
8867,201638-1,14034,16067
8868,201773,38964,41302
8869,201808,34570,39410
8874,201636,5664,6208
8878,201772,74200,85330
8881,201639,8811,10045
8883,201640,7200,7200
8886,2000275,42610,49026
8890,201642,398464,454248
8894,201831,29900,34086
8898,2000112-3,138000,176640
8900,201644,4375,4463
8902,201818,28357,32327
8903,2001264,10470,12355
8904,201771-1,40470,40470
8907,201648,27570,28949
8912,201658,13751,14439
8915,201652,326498,354313
8922,2000274,45059,53170
8923,201668-1,238339,271707
8927,201726,18848,21487
8928,201676-1,273158,311400
8928,201676-2,3158,3632
8930,201743,131958,150432
8931,201655,448800,516120
8934,201680,4379,4992
8939,201805,44560,44560
8940,201713,19200,20352
8946,2000025,89460,105563
8946,99999086,596400,596400
8948,201718,85847,86840
8949,2000324,80012,102415
8952,201664,4120,4738
8953,201669,59501,62476
8965,201667,61200,69768
8968,Not Booked,15218,18251
8970,201748,16125,18383
8971,201671,39706,42663
8975,2000099,149252,156715
8985,201681,3294,3755
8986,201683,2024,2308
8989,201698,51768,58966
8990,201690-2,55544,63321
8992,2000277,413265,526221
8992,99999002,1284,1643
8995,201816,7100,7455
8996,201727,269995,283495
9002,201695,74800,86020
9003,201691,7956,9070
9006,201804-2,69276,79667
9011,201705,4616,5262
9012,201692,7896,9001
9016,201699,1575,1796
9022,201781,7890,8995
9023,201696,3800,4332
9026,201697,70104,80620
9028,201803,6170,6479
9034,202004,4500,4725
9037,2000375,1800,2016
9038,201739,15470,17636
9039,202083,20419,23278
9040,201767,83884,95821
9047,2000065-1,970396,1166126
9048,201751,3954,4547
9050,201758,14960,17054
9056,201702,7778,8167
9063,201732,89065,102425
9064,201913,1706,1791
9069,201703,13552,15585
9071,2000078,252316,322964
9073,201704,22500,25650
9074,2000181,8500,10880
9075,201717,6400,7296
9078,201708,4560,5198
9079,201755,119917,136705
9082,201711,9092,10106
9084,201712,5400,5400
9092,201719,2100,2394
9096,200015,1945600,1945600
9099,201899,10500,12075
9102,201722-1,3714,4271
9107,202039,68439,78021
9119,201734,123165,129323
9120,201912,14000,16100
9122,201806,91941,96538
9129,201910,59995,61292
9133,2000295,76854,94802
9137,201833,32304,34370
9139,2000156,38348,45251
9141,201737,7469,8515
9146,201779,202500,202500
9148,201760,23265,26522
9149,2000569,134203,158359
9153,201766,2720,3128
9157,201736,72557,82715
9158,2000459,85929,109989
9160,201896,3634,4143
9162,201742,86400,90720
9163,201754,8400,9660
9168,201745-2,408910,433445
9174,201770,13370,14039
9175,201747,2750,2888
9181,201764,110927,126457
9183,2000066,8184,10476
9185,2000446,20000,23600
9186,201790-1,440670,503678
9189,10210100,68228,87332
9190,202016,6660,7592
9195,201750,400,420
9196,201752,5925,6755
9197,201768,19834,22481
9198,201776,37500,37500
9205,201856,1123,1123
9207,201793,23540,24717
9212,201774-1,52320,59645
9213,201761,23265,26522
9216,201759,10105,11132
9221,201794,16536,18851
9223,202024,15600,17784
9224,201775,3555,3768
9226,2000021,167913,214929
