Inquiry Number,SO #,SUM of Selling Price (as per SO / AR Invoice),SUM of Gross Total Selling
10867,2000507,7576,9697
10868,2000680,6540,7717
10870,2000592,144000,169920
10872,10210043,57750000,68145000
10874,2000506,4924,5810
10888,2000581,20800,24544
10890,2000586,8788,11248
10891,2000894,17365,20491
10893,2001764,803873,948570
10894,2000516,4427,5667
10895,2000841,67867,80083
10896,2000779,14744,17665
10897,2000738,14615,17246
10897,2003636,75840,89491
10897,210200088,2370,2797
10902,2000524,437,515
10903,2000527,437,515
10904,2000564,16567,21206
10905,2000528,437,515
10906,2000530,860,1014
10907,2000751,3750,4425
10913,2000532,672,793
10914,2000533,673,794
10915,2000534,673,794
10916,2003317,8888,10488
10925,2000538,50400,59472
10928,2001056,13864,16360
10929,2000675,19995,23594
10938,2000560,6199,7935
10940,2000547,12310,14526
10947,2000612,4632,5465
10950,2000896,48836,62510
10952,2000615,15204,19301
10959,2000575,33600,39648
10960,2000570,173699,204965
10960,2003627,45200,53336
10961,2000708,1407066,1660338
10962,2000558,4000,4720
10965,2000993,4306,5081
10972,2000572,1944,2177
10975,2003387,65335,77095
10976,2000573,13500,15930
10980,2000950,2000,2360
10987,2001251,2136,2520
10988,2000995,10500,13440
10990,2000714,13763,16240
10994,2000884,14000,16520
11000,2000935,53216,62795
11003,2000583,6840,7182
11005,2000584,422,498
11006,2000890,362168,427358
11007,2000585,446,526
11009,2000593,55579,71141
11010,2000709,89200,99904
11011,10210110,1328091,1328091
11012,2000587,280,330
11013,2000588,422,498
11014,2000589,446,526
11015,2000611,366827,432856
11018,2000715,20000,25600
11019,2000609,445592,445592
11022,2000597,422,498
11023,2000599,673,794
11024,2000642,10526,13473
11025,2002638,10284,12135
11029,2000604,422,498
11032,2000607,4980,6374
11032,2003629,4980,6374
11032,99999050,9960,12749
11035,2000695,23150,27317
11041,2000614,522,616
11043,2000616,2048,2417
11052,2000753,37100,47488
11063,2002096,46179,54491
11065,2002064,11412,13466
11070,2000621,97752,115347
11070,99999006,191256,244808
11071,2000627,2400,2832
11072,2000641,84386,99575
11073,2000622,425,501
11078,2002227,14050,17984
11080,2000623,2310,2726
11081,2000624,233,275
11082,2000625,673,794
11087,2000700,9560,11281
11087,99999074,6040,7127
11092,2001932,2460640,2903555
11097,2001918,42534,42534
11113,2001373,113684,134147
11120,10210542,4240622,4240622
11120,10210543,5474509,5474509
11128,2000857,119695,141240
11131,2000796,7124,9119
11133,2001657,17294,20407
11146,2000646,67065,79137
11146,99999075,1185,1398
11149,2000645,62170,73361
11150,2001025,6651,7848
11154,2000702,326389,385139
11159,2000798,3648,4305
11179,2000652,5975,7051
11180,2000692,27176,30437
11181,2002685,18750,22125
11184,2000654,673,794
11193,2000656,24000,28320
11194,2001317,17099,20177
11195,2001320,40089,47305
11197,2002052,23750,28025
11199,2001265,3502,3922
11200,2000720,775,915
11204,2001748,34040,34040
11218,2002613,7625,8998
11223,2000800,3500,4130
11227,2000897,12311,15758
11231,2000664,421,496
11233,2000665,344,406
11234,2001867,1300,1534
11235,2002121,61700,72806
11237,2000666,421,496
11239,2000667,2988,3526
11240,2000668,421,496
11241,2002092,2440,2879
11250,2000999,18129,19035
11254,2000671,743,876
11263,2000976,4620,5914
11264,2001760,52265,61673
11266,2000673,522,616
11270,2001035-1,22030,25995
11275,2000674,522,616
11276,2000676,594,701
11297,2000677,594,701
11300,2000752,202878,239396
11305,2000879,30600,39168
11307,2000679,522,616
11312,2000682,399,471
11313,2000683,399,471
11314,2000684,399,471
11315,2000721,4900,6272
11317,2000713,10880,11424
11318,2000685,1045,1233
11319,2000990,154440,162162
11326,2003163,4889,5769
11351,2000799,76991,90849
11353,2000765-1,1294,1656
11354,2000764,27600,35328
11356,2000693,559080,715622
11358,2000842,3000,3840
11359,2000697,1269715,1498264
11360,2000696,422,498
11362,2000712,790902,933264
11365,2000698,438,516
11371,2000701,522,616
11379,2001730,35007,41308
11384,2000941,5208,6667
11407,2000706,193370,227623
11407,99999007,65356,65356
11415,2000953,56406,72200
11417,2000771,3168,3548
11431,2000710,233,275
11432,2000711,272,321
11439,2000719,517,543
11440,2000717,841,992
11441,2000840,25952,33082
11447,2003277,8065,9517
11447,2003671,24195,28550
11476,2001007,4529,5797
11477,2000898,18750,24000
11480,2000992,8737,10310
11481,2001010,7053,8323
11490,2000902,1556,1836
11492,2000725,8132,8707
11494,2000834,5500,6160
11499,2001062,912,1076
11505,2001885,58900,58900
11511,2000729,28578,36580
11517,2000730,522,616
11518,2000819,28000,33040
11520,2000733,15600,18408
11539,2001088,4750,5605
11544,2001005,107549,126908
11545,2001001,25991,33268
11546,2000750,4605,5434
11547,2000735,2310,2726
11548,2000736,2478,2924
11551,2000739,6640,7835
11552,2000829,92100,117888
11553,2000808-3,172400,203432
11554,2000740,398,470
11555,2000741,522,616
11557,2000744,398,470
11558,2000742,673,794
11560,2000743,398,470
11561,2000745,2310,2726
11562,2000748,425,501
11563,2000749,4117,4721
11567,2000817,151690,151690
11568,2000760,385688,455112
11569,2000758,7500,7875
11570,2000754,344,406
11572,2000755,620,732
11574,2000756,2988,3526
11575,2000757,620,732
11578,2000759,233,275
11581,2000761,337,398
11584,2000762,1003,1184
11586,2002256,43686,51549
11610,2000767,11068,14166
11611,2000766,2226,2626
11612,2000768,5312,6800
11614,2000769,1188,1402
11615,2000770,2499,2949
11617,2000772,1103,1301
11618,2000773,337,398
11620,2000774,446,526
11622,2000775,5480,6467
11623,2000776,742,876
11629,2000777,337,398
11631,2000778,319,376
11632,2001931,130870,154427
11634,2000780,666,786
11635,2000782,938,1107
11636,2000783,420,496
11637,10210111,111252,111252
11638,2000784,420,496
11639,2000788,420,496
11641,2000792,2226,2626
11644,2000793,272,321
11645,2000794,305,360
11656,2001047,6706,7913
11668,2001113,13364,17106
11673,2000805,41600,49088
11674,2000802,2141,2526
11675,2000803,420,496
11677,2000804,420,496
11680,2000806,420,496
11682,2000807,337,398
11683,2000809,344,406
11685,2000810,420,496
11686,2000811,3714,4382
11689,2000812,3714,4382
11690,2000813,522,616
11711,2001827,94252,120643
11716,2001795,3574,4437
11717,2000825,446,526
11719,2000826,297,351
11726,2001793,6800,8024
11733,2000832,293,346
11734,2000833,420,496
11738,2001019,2133,2516
11741,2000835,742,876
11754,2000837,19492,23001
11755,2000838,15560,18361
11756,2001018,12794,12794
11757,2001916,15849,18702
11797,2001879,1750,1838
11799,2001029,55515,65508
11801,2000893,19950,23541
11809,2001342,1793,2116
11812,2001077,22410,26489
11814,2001677,82993,97146
11818,2000844,6260,7387
11820,2001292,6115,7185
11821,2000845,463,546
11826,2000846,466,550
11828,2000847,272,321
11831,2001157,11189,13202
11832,2000848,341,402
11833,2000849,233,275
11834,2000850,233,275
11835,2000851,305,360
11836,2000852,1473,1738
11837,2000854,398,470
11838,2000853,697,823
11839,2000855,2395,2826
11843,2000856,1143,1348
11845,2001232,52052,66627
11846,2000858,344,406
11847,2000859,399,471
11848,2000860,2421,2857
11850,2000861,797,940
11852,2000862,736,869
11853,2000863,1143,1348
11854,2000864,564,666
11855,2000865,1103,1301
11857,2000866,488,576
11858,2000867,272,321
11860,2000868,1143,1348
11861,2000870,666,786
11862,2000871,2631,3105
11864,2000872,399,471
11867,2000873,233,275
11870,2000874,1143,1348
11873,2000875,2141,2526
11877,2000876,60000,70800
11894,2000878,344,406
11895,2002597,14396,16987
11898,2000880,217,256
11899,2000881,275,324
11901,2000883,253,298
11906,2000885,4000,4720
11909,2000886,1671,1972
11910,2000887,531,626
11912,2000888,742,876
11914,2000889,420,496
11915,2000891,398,470
11917,2000892,522,616
11918,2001016,14000,15680
11919,10200033,5635,7213
11920,2000895,233,275
11924,2002600,44617,52648
11938,2001333,308456,363978
11955,2002076,575000,678500
11958,2001674,13757,16233
11966,2001330,76696,90501
11971,2001123,315788,372630
11972,2000899,747,881
11973,2000900,293,346
11974,2000901,1143,1348
11975,2000903,344,406
11976,2000904,666,786
11977,2001051,3805,4261
11978,2000906,293,346
11979,2000905,463,546
11980,2000907,446,526
11981,2000908,310,366
11982,2000909,1802,2126
11983,2000910,272,321
11985,2000911,759,896
11986,2001206,1221700,1441606
11986,99999098,64300,75874
11987,2000913,233,275
11988,2000912,1990,2348
11989,2000914,1802,2126
11990,2000925,544,642
11991,2000915,337,398
11993,2000916,337,398
11996,2000917,398,470
11998,2000918,798,942
12001,2000919,488,576
12002,2000920,463,546
12004,2000921,230,272
12007,2000922,255,301
12008,2000923,488,576
12010,2000924,310,366
12011,2000926,233,275
12013,2000927,398,470
12014,2000928,230,272
12016,2000929,2141,2526
12021,2000930,293,346
12041,2000933,735,867
12042,2000934,233,275
12043,2000936,217,256
12044,2000937,466,550
12046,2000938,233,275
12047,2000939,488,576
12048,2000940,735,867
12049,2000942,15929,19900
12050,2000943,489,577
12052,2000944,233,275
12053,2000945,233,275
12054,2000947,337,398
12055,2001034,8000,9440
12056,2000948,233,275
12057,2000949,488,576
12058,2000951,398,470
12059,2000975,31053,36643
12060,2000952,291,343
12061,2001014,3040,3891
12065,2000955,1143,1348
12070,2000957,505,596
12071,2000958,337,398
12072,2000959,291,343
12073,2000960,2395,2826
12074,2000961,797,940
12075,2000962,399,471
12076,2000963,505,596
12077,2000964,293,346
12080,2000965,340,401
12088,2000966,399,471
12089,2000967,466,550
12090,2000968,734,866
12091,2000969,233,275
12092,2000970,233,275
12093,2000971,233,275
12095,2000972,1143,1348
12096,2000973,398,470
12097,2000974,514,606
12098,2001003,1575,2016
12099,2000977,750,788
12099,99999073,750,788
12123,2000978,233,275
12125,2000979,233,275
12126,2000980,735,867
12127,2000981,233,275
12129,2000982,736,869
12130,2000983,798,942
12135,2000985,358,423
12141,2000986,272,321
12144,2000987,398,470
12146,2000988,337,398
12149,2000989,463,546
12150,2003177,29306,34581
12153,2001006,17400,19488
12155,2000994,6600,8448
12156,2000996,463,546
12158,2000998,1760,2077
12159,2001000,261,308
12164,2001002,399,471
12190,2001055,14239,16802
12192,2001829,244350,288333
12193,2001060,7879,9297
12199,2001012,84386,99575
12204,2001053,35164,45010
12204,99999071,68,87
12209,2001054,34484,40691
12210,2002712,15201,17937
12211,2001261,1568842,1851234
12213,2001389,9574,11297
12228,2001017,7450,8791
12233,2001189,39164,46700
12234,2002088,180861,213416
12235,2001020,623,735
12236,2001021,442,521
12238,2001022,1600,1888
12241,2001023,4000,4720
12246,2001826,25313,29869
12247,2001162,168364,198670
12268,2001032,5600,6608
12269,2001107,13621,16073
12275,2001098,463,546
12276,2001041,130447,153927
12279,2001042,4076,4810
12281,2001294,14720,17370
12286,2001380,20250,23895
12287,2001362,10912,13967
12299,2002071,18236,23342
12300,2001192,13750,15400
12300,99999069,38170,42750
12302,2001045,36660,43259
12303,2000035,2527000,2653350
12304,2001248,348950,390824
12316,2001661,29512,36627
12317,2002056,37500,44250
12324,2001695,39516,46629
12328,2001290,61895,73037
12335,2001673,181264,213892
12342,2001072,364875,430553
12342,99999070,2625,3098
12355,2001654,54828,70180
12361,2001323,18968,22382
12367,2003118,24474,24474
12372,2001058,700,826
12373,2001059,281,332
12374,2001381,12798,15101
12378,2001061,281,332
12380,2001063,522,616
12381,2001064,2395,2826
12382,2001065,359,424
12383,2001066,735,867
12386,2001068,1096,1293
12387,2001069,1388,1638
12388,2001070,291,343
12389,2001071,305,360
12395,2001073,695,820
12396,2001074,293,346
12397,2001075,233,275
12399,2001076,695,820
12400,2001078,695,820
12401,2001079,705,832
12402,2001080,1676,1977
12403,2001081,191,225
12405,2001083,252,297
12406,2001084,305,360
12407,2001096,463,546
12408,2001085,2368,2794
12409,2001087,398,470
12410,2001086,339,400
12411,2001094,254,300
12414,2001089,470,555
12417,2001090,261,308
12418,2001091,695,820
12419,2001240,2295,2570
12421,2001092,623,735
12424,2001093,275,324
12426,2001095,293,346
12427,2001097,381,450
12428,2001099,659,778
12430,2001100,381,450
12431,2001101,877,1035
12432,2002812,20813,25162
12433,2001102,221,261
12434,2001103,381,450
12436,2001104,221,261
12441,2002008,10622791,10622791
12442,2002571,10579415,10609113
12443,10210792,42437054,45467024
12455,2001241,19400,24832
12456,2001391,9600,11328
12457,2001133,15770,20126
12458,2001106,230,272
12459,2001108,463,546
12461,2001110,217,256
12462,2001109,274,323
12463,2001111,661,780
12464,2002045,3914,4619
12465,2001112,695,820
12466,2001115,274,323
12467,2001114,573,676
12468,2001116,877,1035
12470,2001117,695,820
12471,2001118,695,820
12473,2001119,274,323
12475,2001120,695,820
12477,2001121,252,297
12478,2001122,263,310
12480,2001124,336,397
12481,2001125,1760,2077
12482,2001126,747,881
12483,2001847,35625,42038
12484,2001127,1760,2077
12485,2001128,1186,1399
12487,2001129,1887,2226
12489,2001130,1887,2226
12490,2001131,2474,2919
12491,2001132,1990,2348
12493,2001134,746,880
12494,2001135,695,820
12495,2001136,695,820
12496,2001137,1990,2348
12497,2001138,1990,2348
12499,2001139,1970,2324
12500,2001140,1970,2324
12501,2001141,2056,2426
12502,2001732,9340,11021
12503,2001143,2056,2426
12504,2001144,2056,2426
12506,2001146,877,1035
12507,2001147,2056,2426
12508,2001148,2421,2857
12509,2001149,747,881
12510,2001150,2056,2426
12511,2001151,220,260
12512,2001152,220,260
12513,2001153,377,445
12514,2001154,2056,2426
12515,2001155,220,260
12517,2001156,220,260
12519,2001158,2056,2426
12520,2001159,2342,2763
12521,2001161,377,445
12524,2001163,336,397
12526,2001164,364,430
12527,2001165,807,952
12528,2001166,419,495
12529,2001167,365,431
12530,2001168,252,297
12531,2001169,365,431
12532,2001170,263,310
12533,2001171,2282,2693
12535,2001172,9851,11624
12536,2001173,263,310
12537,2001174,1038,1225
12539,2001175,661,780
12545,2001176,379,447
12546,2001177,419,495
12547,2001178,336,397
12548,2001179,316,373
12549,2001180,1100,1298
12550,2001181,220,260
12552,2001182,336,397
12553,2001183,220,260
12561,2001242,10260,10773
12562,2001250,11952,14635
12565,2001184,252,297
12566,2001185,364,430
12568,2001186,695,820
12569,2001187,1652,1949
12571,2001190,695,820
12572,2001188,407,480
12573,2001193,260400,307272
12577,2001191,365,431
12581,2001194,364,430
12583,2001195,365,431
12584,2001196,1760,2077
12585,2001197,763,900
12586,2001198,408,481
12588,2001199,408,481
12589,2001200,2282,2693
12590,2001201,336,397
12591,2001202,568,670
12592,2001203,264,311
12594,2001204,275,324
12596,2001205,317,374
12599,2001209,365,431
12601,2001210,763,900
12602,2001211,747,881
12605,2001212,281,331
12616,2001214,442,521
12617,2001215,980,1156
12618,2001216,223,263
12619,2001217,365,431
12621,2001218,265,313
12622,2001219,293,346
12623,2001768,4800,5664
12624,2001775,2140,2525
12624,2003641,62060,73231
12626,2001221,265,313
12627,2001222,408,481
12628,2001225,432,510
12629,2001226,407,480
12641,2001239,695,820
12642,2001228,381,450
12645,2001229,339,400
12646,2001230,259,306
12647,2001231,695,820
12648,2001233,695,820
12649,2001234,264,311
12650,2001235,620,732
12651,2001236,1737,2049
12652,2001238,1312,1548
12656,2001243,4000,4720
12657,2001244,5600,6608
12664,2001703,22529,28837
12665,2001246,700,826
12667,2001247,364,430
12668,2001249,1354,1597
12669,2001260,661,780
12671,2002000,15550,17732
12694,2001705,8400,9912
12696,2001254,263,310
12699,2001289,172000,202960
12700,2001255,694,819
12701,2001256,274,323
12702,2001257,620,732
12703,2001258,336,397
12704,2001259,1197,1413
12711,2001274,60000,70800
12713,2001324,750,788
12713,99999068,9735,10222
12714,2001268,661,780
12715,2001269,274,323
12716,2001270,407,480
12717,2001307,16221,18296
12718,2001271,364,430
12719,2001272,364,430
12720,2001273,877,1035
12721,2001275,1718,2027
12722,2001276,364,430
12723,2001277,274,323
12724,2001278,364,430
12725,2001280,222,262
12726,2001281,274,323
12727,2001282,1354,1597
12728,2001283,661,780
12729,2001293,4892,5773
12730,2001284,12034,14200
12732,2001285,694,819
12733,2001286,1754,2069
12734,2001287,377,445
12735,2001288,331,390
12740,2001337,1611,1691
12761,2001295,620,732
12762,2001296,293,346
12763,2001297,364,430
12764,2001298,694,819
12765,2001299,1737,2049
12767,2001300,340,401
12768,2001301,695,820
12769,2001302,364,430
12770,2001303,1354,1597
12771,2003178,5033,5939
12774,2003170,39721,46871
12777,2003171,6849,8081
12779,2003172,10681,12604
12780,2001311,4125320,4867878
12781,2003173,15775,18614
12782,2001312,825064,973576
12783,2003174,34642,40878
12785,2003175,18403,21716
12787,2001717,247681,292264
12788,2003176,8343,9844
12790,2002491,8889,10489
12793,2001319,2978,3335
12794,2001361,2900,3422
12795,2001384,5860,6915
12801,2001350,8920,10526
12804,2001322,8676,10238
12805,2001321,8000,9440
12806,2001345,9105,10245
12820,2002171,30723,39325
12826,2001325,195801,231045
12829,2001326,659,778
12831,2002001,14844,19000
12834,2001344,9193,10848
12835,2001327,252,297
12836,2001329,381,450
12837,2001785,109081,139624
12840,2001335,9641,11376
12842,2001386,9474,11179
12843,2001371,2400,2832
12851,2001854,78452,100419
12852,2001339,695,820
12853,2001340,695,820
12855,2001341,221,261
12856,2001388,7658,9036
12857,2001343,1760,2077
12875,2001704,118093,139349
12885,2001352,67200,79296
12894,2001346,408,481
12895,2002144,36300,42834
12898,2001351,408,481
12918,2001354,9187,11392
12919,2001353,408,481
12920,2001355,221,261
12924,2001356,9210,10868
12926,2001357,407,480
12927,2001359,364,430
12928,2001360,424,500
12947,2001363,39040,45885
12947,99999012,4760,5571
12948,2002549,26007,30688
12949,2001893,5460,6443
12954,2001364,252,297
12955,2001365,274,323
12957,2001366,364,430
12958,2001367,2282,2693
12960,2001368,219,259
12964,2001370,11124,13126
12969,2002104,15342,19638
12981,2002105,17570,20733
12981,210200097,4850,5723
13035,2001676,114434,135032
13035,99999036,66697,78702
13035,210200096,13580,16024
13038,2001610,294862,347937
13040,2001877,4619,5450
13044,2001708,26316,31053
13063,2001392,274,323
13064,2001393,364,430
13065,2001394,209,247
13066,2001395,377,445
13067,2001396,694,819
13068,2001397,377,445
13069,2001398,377,445
13070,2001399,694,819
13071,2001400,263,310
13072,2001401,281,331
13073,2001402,364,430
13074,2001403,2420,2856
13075,2001404,694,819
13076,2001405,309,365
13077,2001406,2056,2426
13078,2001407,2056,2426
13079,2001408,623,735
13080,2001409,694,819
13081,2001410,4658,5496
13082,2001411,917,1082
13083,2001412,212,250
13084,2001413,377,445
13085,2001414,254,300
13086,2001415,280,330
13087,2001416,212,250
13088,2001417,694,819
13089,2001418,694,819
13091,2001420,212,250
13092,2001421,212,250
13093,2001422,309,365
13094,2001423,212,250
13095,2001424,212,250
13096,2001425,424,500
13097,2001426,636,750
13098,2001427,212,250
13099,2001428,620,732
13100,2001429,212,250
13101,2001430,212,250
13102,2001431,4562,5383
13103,2001432,263,310
13104,2001433,297,350
13105,2001434,212,250
13106,2001435,263,310
13107,2001436,254,300
13108,2001437,2221,2621
13109,2001438,212,250
13110,2001439,466,550
13111,2001440,7945,9375
13112,2001441,267,315
13113,2001442,424,500
13114,2001443,212,250
13115,2001444,212,250
13116,2001445,961,1134
13117,2001446,247,291
13118,2001447,212,250
13119,2001448,263,310
13120,2001449,1354,1598
13121,2001450,252,297
13122,2001451,213,251
13123,2001452,694,819
13124,2001453,339,400
13125,2001454,2281,2692
13126,2001455,803,948
13127,2001456,1354,1598
13128,2001457,309,365
13129,2001458,377,445
13130,2001459,1354,1598
13131,2001460,678,800
13132,2001461,620,732
13133,2001462,247,291
13134,2001463,620,732
13135,2001464,305,360
13136,2001465,747,881
13137,2001466,620,732
13138,2001467,364,430
13139,2001468,1100,1298
13140,2001469,678,800
13141,2001470,694,819
13142,2001471,923,1089
13143,2001472,2281,2692
13144,2001473,252,297
13145,2001474,419,495
13146,2001475,364,430
13147,2001476,631,745
13148,2001477,252,297
13149,2001478,267,315
13150,2001479,267,315
13151,2001480,678,800
13152,2001481,631,745
13153,2001482,1354,1598
13154,2001483,678,800
13155,2001484,533,629
13156,2001485,379,447
13157,2001486,631,745
13158,2001487,1354,1598
13159,2001488,336,397
13160,2001489,407,480
13161,2001490,213,251
13162,2001491,377,445
13163,2001492,213,251
13164,2001493,213,251
13165,2001494,377,445
13166,2001495,213,251
13167,2001496,213,251
13168,2001497,631,745
13169,2001498,213,251
13170,2001499,2281,2692
13171,2001500,364,430
13172,2001501,267,315
13173,2001502,364,430
13174,2001503,377,445
13175,2001504,212,250
13176,2001505,212,250
13177,2001506,267,315
13178,2001507,754,890
13179,2001508,336,397
13180,2001509,212,250
13181,2001510,267,315
13182,2001511,694,819
13183,2001512,2329,2748
13184,2001514,620,732
13185,2001515,379,447
13186,2001516,212,250
13187,2001517,1354,1598
13188,2001518,263,310
13189,2001519,1100,1298
13190,2001520,377,445
13191,2001521,2281,2692
13192,2001522,261,308
13193,2001523,267,315
13194,2001524,212,250
13195,2001525,212,250
13196,2001526,212,250
13197,2001527,309,365
13198,2001528,747,881
13199,2001529,419,495
13200,2001530,364,430
13201,2001531,267,315
13202,2001532,212,250
13203,2001533,1652,1949
13204,2001534,212,250
13205,2001535,620,732
13206,2001536,212,250
13207,2001537,212,250
13208,2001538,212,250
13209,2001539,407,480
13210,2001540,877,1035
13211,2001541,714,842
13212,2001542,267,315
13213,2001543,379,447
13214,2001544,1007,1188
13215,2001545,1652,1949
13216,2001546,377,445
13217,2001547,1354,1598
13218,2001548,780,920
13219,2001549,309,365
13220,2001550,364,430
13221,2001551,224,264
13222,2001552,306,361
13223,2001553,224,264
13224,2001554,224,264
13225,2001555,694,819
13226,2001556,407,480
13227,2001557,224,264
13228,2001558,631,745
13229,2001559,1652,1949
13230,2001560,224,264
13231,2001561,224,264
13232,2001562,1335,1575
13233,2001563,364,430
13234,2001564,224,264
13235,2001565,364,430
13236,2001566,224,264
13237,2001567,407,480
13238,2001702,60520,71414
13239,2001568,252,297
13240,2001569,252,297
13241,2001570,267,315
13242,2001571,267,315
13243,2001572,931,1099
13244,2001573,224,264
13245,2001574,364,430
13246,2001575,309,365
13247,2001576,364,430
13248,2001577,1131,1335
13249,2001578,224,264
13250,2001579,263,310
13251,2001580,224,264
13252,2001581,364,430
13253,2001582,261,308
13254,2001583,1354,1598
13255,2001584,224,264
13256,2001585,2329,2748
13257,2001586,224,264
13258,2001587,364,430
13259,2001588,294,347
13260,2001589,694,819
13261,2001590,336,397
13262,2001591,1737,2049
13263,2001592,631,745
13264,2001593,267,315
13265,2001594,419,495
13266,2001595,364,430
13267,2001596,263,310
13268,2001597,631,745
13269,2001598,631,745
13270,2001599,377,445
13271,2001600,263,310
13272,2001601,377,445
13273,2001602,631,745
13274,2001603,377,445
13275,2001604,377,445
13276,2001605,694,819
13277,2001606,364,430
13278,2001607,1652,1949
13280,2001693,6840,7182
13282,2001613,264,311
13283,2001614,533,629
13284,2001615,364,430
13285,2001616,364,430
13286,2001617,377,445
13287,2001618,377,445
13288,2001619,267,315
13289,2001620,224,264
13290,2001621,263,310
13291,2001622,402,474
13292,2001623,631,745
13293,2001624,377,445
13294,2001625,305,360
13295,2001626,2325,2744
13296,2001627,224,264
13297,2001628,305,360
13298,2001629,2420,2856
13299,2001630,377,445
13300,2001631,673,794
13301,2001632,263,310
13302,2001633,263,310
13303,2001634,377,445
13304,2001635,224,264
13305,2001636,377,445
13306,2001637,364,430
13307,2001638,631,745
13308,2001639,224,264
13309,2001640,694,819
13310,2001641,694,819
13311,2001642,266,314
13312,2001643,1388,1638
13313,2001644,252,297
13314,2001645,694,819
13315,2001646,223,263
13316,2001647,2420,2856
13317,2001648,223,263
13318,2001649,223,263
13319,2001650,631,745
13320,2001651,320,378
13321,2001652,223,263
13325,2002095,5882,6941
13330,2001733,183982,217099
13333,2001655,168772,199151
13334,2001994,26752,31567
13345,2003027,449434,449434
13356,2001662,23836,28126
13357,2001663,8559,10099
13358,2001664,620,732
13359,2001665,1737,2049
13360,2001666,620,732
13361,2001667,620,732
13362,2001668,533,629
13363,2001669,223,263
13364,2001670,1577,1861
13365,2001671,223,263
13366,2001672,377,445
13378,2003066,3672,3926
13386,2002932,44800,52864
13387,2001687,300450,354531
13392,2001694,57160,67448
13393,2001696,11869,14630
13428,2001678,620,732
13429,2001679,694,819
13430,2001680,377,445
13431,2001681,364,430
13432,2001682,252,297
13433,2001683,364,430
13434,2001684,631,745
13435,2001685,694,819
13438,2001771,78947,93157
13439,2002748,81200,95816
13440,2001706,55853,71492
13444,2001816,37500,44250
13448,2001688,261,308
13449,2001689,747,881
13450,2001690,223,263
13451,2001691,223,263
13457,2001692,894,1055
13464,2002112,4980,5876
13486,2001698,694,819
13487,2001699,379,447
13488,2001700,265,313
13489,2001701,364,430
13490,2001710,16842,19874
13495,10200145,278391,328501
13499,2001806,171369,179937
13500,2001707,49343,58225
13503,2002206,6824,8052
13504,2002222,20598,26365
13510,2001989,30728,39332
13516,2002437,153132,180695
13519,2001712,161445,190505
13537,2001713,223,263
13538,2001714,223,263
13539,2001715,1009,1191
13540,2001716,223,263
13544,2001773,2532,3241
13545,2001720,50400,59472
13550,2002809,735,867
13551,2001811,53103,62662
13552,2001809,15728,18559
13553,2001752,1873860,2211154
13562,2002860,31400,37052
13580,2001725,25450,30031
13582,2001731,56250,63000
13583,2001724,5805,5805
13588,2001726,395,466
13589,2001756,50250,59295
13592,2001988,40000,47200
13611,2001727,15800,18644
13613,2001728,419,495
13614,2001729,407,480
13619,2002572,1592200,1596414
13635,2001734,407,480
13636,2001735,364,430
13637,2001736,1682,1985
13638,2001737,364,430
13639,2001738,252,297
13640,2001739,377,445
13641,2001740,1439,1698
13642,2001741,1354,1598
13643,2001742,377,445
13644,2001743,377,445
13645,2001744,364,430
13646,2001745,694,819
13647,2001746,222,262
13652,2001892,2562,3233
13662,2001753,264,312
13663,2001754,364,430
13669,2001963,11781,13902
13694,2001757,377,445
13704,2001758,222,262
13707,2001799,7900,9322
13710,2001862,591688,757361
13713,2002136,16156,19064
13717,2002142,14391,16982
13719,2001759,9600,10080
13720,2002020,11500,13570
13725,2002034,30109,35528
13731,2001761,1509,1780
13732,2001762,379,447
13734,2002223,18947,22357
13735,2001865,35539,40220
13736,2001776,1680,1982
13737,2001763,694,819
13740,2002465,10317,12174
13745,2002608,28180,33252
13764,2001765,631,745
13765,2001766,377,445
13767,2001767,294,347
13770,2002011,14000,16520
13771,2001821,3240,3823
13775,10910020,180000,212400
13780,2001864,12126,14309
13782,2001866,122208,144205
13784,2002002,2400,2832
13811,2001784,16999,17849
13819,2001778,407,480
13820,2001779,1354,1598
13824,2001780,220,260
13825,2001781,694,819
13827,2001959,27760,32757
13832,2001792,2588,3313
13833,2002551,7559,8920
13834,2001822,20237,25903
13836,2001787,259,306
13837,2001788,264,311
13838,2001789,747,881
13839,2001790,694,819
13840,2001791,803,948
13841,2001897,6618,8471
13843,2001805,10858,12812
13846,2001800,8690,10254
13846,99999011,3160,3729
13848,2001860,6000,7080
13869,2001801,263,310
13877,2001802,212,250
13878,2001803,364,430
13879,2001804,364,430
13889,2002249,5920,6986
13892,2001956,31320,36958
13897,2001991,12187,14381
13901,2001817,3693,4265
13902,2001873,24496,28684
13905,2002032,3600,4248
13908,2001818,2976,3351
13908,99999010,2013,2255
13910,2001812,3348,3950
13911,2001819,19100,24448
13911,99999067,1125,1440
13912,2001814,694,819
13913,2001815,631,745
13916,2001960,14399,16127
13919,2002771,992046,1170614
13959,2001823,336,397
13960,2001824,631,745
13961,2001825,377,445
13964,2001880,1500,1770
13965,2002573,3460,4083
13978,2001830,212,250
13979,2001831,267,315
13980,2001832,212,250
13981,2001833,263,310
13982,2001834,293,346
13986,2001835,364,430
13987,2001836,651,768
13988,2001837,892,1052
13989,2001838,252,297
13990,2001839,364,430
13991,2001840,222,262
13992,2001841,222,262
13993,2001842,568,670
13994,2001843,222,262
13995,2001844,877,1035
13996,2001845,631,745
13997,2001846,364,430
