PO#,Inq No.,inquiry date,company_name,,,,,,,,,,,,,,,,,,,,,,,,
40212561,31669,11-Feb-19,Henkel Adhesive Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212566,31193,28-Jan-19,Applied Materials India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211416,26884,01-Sep-18,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211847,18416,08-Mar-18,GE Power Conversion India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211893,27504,24-Sep-18,Covestro India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40211928,28619,31-Oct-18,Cummins Technologies India Pvt. Ltd. - Recon India,,,,,,,,,,,,,,,,,,,,,,,,
40211990,28865,13-Nov-18,ZF India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40910145,30203,26-Dec-18,Tata Steel BSL Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40910151,29816,13-Dec-18,Cummins Generator Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212063,28627,31-Oct-18,Covestro India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212137,28163,15-Oct-18,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212144,29997,18-Dec-18,Cummins India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212154,26239,10-Aug-18,NTPC Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212156,29391,29-Nov-18,Cummins Technologies India Pvt. Ltd. - Recon India,,,,,,,,,,,,,,,,,,,,,,,,
40212162,30096,20-Dec-18,GE Diesel Locomotive Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212163,30096,20-Dec-18,GE Diesel Locomotive Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212184,30716,14-Jan-19,Procter & Gamble Home Products Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212190,30299,29-Dec-18,SRF Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212205,30241,27-Dec-18,DHL Supply Chain India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212210,30534,08-Jan-19,ZF India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212268,30729,14-Jan-19,GE India Industrial Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212288,30973,21-Jan-19,Pipeline Infrastructure Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212289,30973,21-Jan-19,Pipeline Infrastructure Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212339,30138,24-Dec-18,Flextronics Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212342,30388,03-Jan-19,Jones Lang Lasalle Property Consultants India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212353,31218,28-Jan-19,Hyosung T and D India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212358,31234,28-Jan-19,Beckman Coulter India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212359,31234,28-Jan-19,Beckman Coulter India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212364,30277,28-Dec-18,Cummins Generator Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212365,30277,28-Dec-18,Cummins Generator Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212366,30277,28-Dec-18,Cummins Generator Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212384,30305,31-Dec-18,Survival Systems India,,,,,,,,,,,,,,,,,,,,,,,,
40212388,30262,28-Dec-18,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212389,30262,28-Dec-18,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40910197,31422,02-Feb-19,Covestro India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212400,31347,31-Jan-19,Pipeline Infrastructure Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212402,31347,31-Jan-19,Pipeline Infrastructure Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212418,31485,05-Feb-19,Flextronics Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212460,31630,08-Feb-19,Jones Lang Lasalle Property Consultants India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212465,30551,08-Jan-19,Eaton India Innovation Center LLP,,,,,,,,,,,,,,,,,,,,,,,,
40212470,30446,04-Jan-19,Reliance Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212478,31661,11-Feb-19,Karl Mayer India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212479,31661,11-Feb-19,Karl Mayer India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212482,31517,05-Feb-19,Ashirvad Pipes Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212483,31517,05-Feb-19,Ashirvad Pipes Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212488,30767,16-Jan-19,Reliance Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212492,30876,18-Jan-19,Reliance Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212521,31370,01-Feb-19,Beckman Coulter India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212522,31370,01-Feb-19,Beckman Coulter India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212523,31370,01-Feb-19,Beckman Coulter India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40910214,31761,13-Feb-19,Bharti Airtel Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212525,29468,01-Dec-18,Cummins Generator Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212515,30623,10-Jan-19,Cummins India Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212499,30599,09-Jan-19,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212500,30599,09-Jan-19,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40910211,31757,13-Feb-19,Jade EServices Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40910212,31757,13-Feb-19,Jade EServices Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212532,31665,11-Feb-19,Survival Systems India,,,,,,,,,,,,,,,,,,,,,,,,
40211463,26399,17-Aug-18,ZF India Pvt. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,
40212535,31698,12-Feb-19,DHL Supply Chain India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,23-Feb-19,,Vignesh,,,
40212536,30485,07-Jan-19,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,22-Feb-19,,Farhan,,,
40212541,31509,05-Feb-19,Cummins Technologies India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material ready for pickup,22-Feb-19,,Farhan,,,
40212548,29942,17-Dec-18,Assam Air Products Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,21-Feb-19,,Vignesh,,,
40212551,29942,17-Dec-18,Assam Air Products Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,21-Feb-19,,Vignesh,,,
40212552,29942,17-Dec-18,Assam Air Products Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,21-Feb-19,,Vignesh,,,
40212554,31841,15-Feb-19,GE Diesel Locomotive Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,22-Feb-19,,Vignesh,,,
40212555,29942,17-Dec-18,Assam Air Products Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,21-Feb-19,,Vignesh,,,
40212556,31667,11-Feb-19,Survival Systems India,,,,,,,,,,,,,,,,,,Material ready for pickup,22-Feb-19,,Farhan,BM,BM Warehouse,43517
40910216,29572,05-Dec-18,Graziano Trasmissioni India Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,21-Feb-19,,Vignesh,,,
40212564,31741,13-Feb-19,Supermax personal Care Pvt. Ltd.,,,,,,,,,,,,,,,,,,Material not ready,21-Feb-19,,Vignesh,,,
