LookUp,inquiry number,quote number,order number,product sku,supplier,quantity,created at,margin percentage bc,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate bc,tax rate,tax amount,total
,8625,,2000077,BM1A9M7,Vaibhavi Enterprise,2,01-Jul-2017,0.08,8.15,1889,1650,,,,0.18,18,680.04,4458.04
,8625,,2000077,BM9E5A8,Impex Tools,2,01-Jul-2017,0.07,7.14,4583,4050,,,,0.18,18,1649.88,10815.88
,8625,,2000077,BM9E5B1,Impex Tools,2,01-Jul-2017,0.08,7.73,2256,1980,,,,0.18,18,812.16,5324.16
,8625,,2000077,BM9E5B2,Impex Tools,2,01-Jul-2017,0.1,9.51,1256,1080,,,,0.18,18,452.16,2964.16
,9071,,2000078,BM9E9B5,Ferro Foundries Pvt. Ltd.,1,01-Jul-2017,0.07,6.86,252316,235000,,,,0.28,28,70648.48,322964.48
,9146,,201779,BM9B6U4,Hvd Distributors Pvt. Ltd.,15,01-Jul-2017,0.23,23.28,13500,9750,,,,0,0,0,202500
,9226,,2000021,BM9F1F1,Project Sales Corporation,1,01-Jul-2017,0.16,15.91,167913,133650,,,,0.28,28,47015.64,214928.64
,9313,,201801,BM9F2B8,Disha Enterprises,4480,01-Jul-2017,0.04,3.63,40,36.75,,,,0.05,5,8960,188160
,9313,,201801,BM9F2B9,Disha Enterprises,1900,01-Jul-2017,0.04,4.26,40,36.5,,,,0.05,5,3800,79800
,9313,,201801,BM9F2C1,Disha Enterprises,7900,01-Jul-2017,0.01,1.45,50.5,47.5,,,,0.05,5,19947.5,418897.5
,9313,,201801,BM9F2C2,Disha Enterprises,4000,01-Jul-2017,0.01,1.45,50.5,47.5,,,,0.05,5,10100,212100
,9313,,201801,BM9F2C3,Disha Enterprises,1100,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,2585,54285
,9313,,201801,BM9F2C4,Disha Enterprises,2720,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,6392,134232
,9313,,201801,BM9F2C5,Disha Enterprises,220,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,517,10857
,9313,,201801,BM9F2C6,Disha Enterprises,200,01-Jul-2017,0.03,2.96,47,43.5,,,,0.05,5,470,9870
,9313,,201801,BM9F2C7,Disha Enterprises,3040,01-Jul-2017,0.03,2.95,47,43.5,,,,0.05,5,7144,150024
,9342,,2000405,BM9F7S2,Protego India Pvt. Ltd.,1,01-Jul-2017,0.29,29.18,267535,189468,,,,0,0,0,267535
,9342,,2000405,BM9F7S3,Protego India Pvt. Ltd.,1,01-Jul-2017,0.29,29.18,267535,189468,,,,0,0,0,267535
,9342,,2000405,BM9F7S4,Protego India Pvt. Ltd.,1,01-Jul-2017,0.29,29.18,267535,189468,,,,0,0,0,267535
,9447,,201853,BM0K8T8,Shreenathji Welding And Safety Pvt. Ltd.,100,01-Jul-2017,0.11,10.5,10,8.5,,,,0.15,15,150,1150
,9472,,2000070,BM9F5B1,A. V. Plastic Equipments Pvt. Ltd.,1,01-Jul-2017,0.07,6.97,744713,692825,,,,0.28,28,208519.64,953232.64
,9472,,2000070,BM9F5B2,A. V. Plastic Equipments Pvt. Ltd.,1,01-Jul-2017,0.07,6.7,968583,903725,,,,0.28,28,271203.24,1239786.24
,9555,,202007,BM9F5E1,Jaiman Metalloys Llp,4855,01-Jul-2017,0.13,12.65,322.49,311,,,,0.02,2,31313.779,1597002.729
,9566,,201900,BM9F5G2,Ati Flat Rolled Products,2118,01-Jul-2017,0.01,1.49,865.25,852.377242681775,,,,0,0,0,1832599.5
,9566,,201900,BM9F5G3,Ati Flat Rolled Products,799,01-Jul-2017,0.01,1.49,865.25,852.376720901126,,,,0,0,0,691334.75
,9635,,2000002,BM9G1B9,Aeroservices Ltd.,1800,01-Jul-2017,0.26,26.47,720,488.64,,,,0.28,28,362880,1658880
,9674,,202038,BM9F6T3,Industeel France,1815,01-Jul-2017,0.06,5.91,770.67,725.150887052342,,,,0,0,0,1398766.05
,9674,,202038,BM9F6T3,Industeel France,4235,01-Jul-2017,0.02,1.79,738.39,725.151121605667,,,,0,0,0,3127081.65
,9764,,201996,BM1A0E4,Jay Mahalaxmi Traders,300,01-Jul-2017,0.62,62.12,2.3,1.25,,,,0.14,14,96.6,786.6
,9907,,2000032,BM9G2S1,Dewdry Industries,1,03-Jul-2017,0.06,5.5,455026,430000,,,,0.12,12,54603.12,509629.12
,9440,,2000008,BM9F3S3,Volga Agency,2,04-Jul-2017,0.17,17.2,2227,1744,,,,0.18,18,801.72,5255.72
,9929,,2000011,BM9G3F5,Atlas Enterprise,15,05-Jul-2017,0.17,17.28,114.85,95,,,,0.18,18,310.095,2032.845
,9929,,2000011,BM9G3F6,Atlas Enterprise,8,05-Jul-2017,0.17,17.28,175.3,145,,,,0.18,18,252.432,1654.832
,9929,,2000011,BM9G3F7,Atlas Enterprise,5,05-Jul-2017,0.17,17.29,215.2,178,,,,0.18,18,193.68,1269.68
,9929,,2000011,BM9G3F8,Atlas Enterprise,3,05-Jul-2017,0.17,17.27,1511,1250,,,,0.18,18,815.94,5348.94
,9929,,2000011,BM9G3F9,Atlas Enterprise,10,05-Jul-2017,0.17,17.26,1269,1050,,,,0.18,18,2284.2,14974.2
,9929,,2000011,BM9G3G1,Atlas Enterprise,5,05-Jul-2017,0.17,17.28,1088,900,,,,0.18,18,979.2,6419.2
,9929,,2000011,BM9G3G2,Atlas Enterprise,10,05-Jul-2017,0.17,17.29,193.44,160,,,,0.18,18,348.192,2282.592
,10022,,2000015,BM9G3D8,Steel Case India,8,05-Jul-2017,0.05,5,19459,18486,,,,0.28,28,43588.16,199260.16
,10022,,2000015,BM9G3D9,Steel Case India,6,05-Jul-2017,0.05,5,7064,6711,,,,0.28,28,11867.52,54251.52
,10022,,2000015,BM9G3E1,Steel Case India,2,05-Jul-2017,0.05,5,10301,9786,,,,0.28,28,5768.56,26370.56
,10022,,2000015,BM9G3E2,Steel Case India,16,05-Jul-2017,0.05,5,8861,8418,,,,0.28,28,39697.28,181473.28
,10022,,2000015,BM9G3E3,Steel Case India,8,05-Jul-2017,0.05,5,13300,12635,,,,0.18,18,19152,125552
,10051,,2000030,BM9G3U3,B & R Industrial Automation Pvt Ltd,1,06-Jul-2017,0.06,5.51,78389,70550,,,,0.28,28,21948.92,100337.92
,10084,,99999085,BM9F7Q8,Madras Tools,5,06-Jul-2017,0.15,14.99,962,817.8,,,,0.18,18,865.8,5675.8
,10084,,2000041,BM9F7Q9,Madras Tools,5,06-Jul-2017,0.11,10.5,962,817.8,,,,0.18,18,865.8,5675.8
,10084,,2000041,BM9F7R1,Madras Tools,5,06-Jul-2017,0.11,10.5,1223,1039.6,,,,0.18,18,1100.7,7215.7
,10084,,2000041,BM9F7R2,Madras Tools,5,06-Jul-2017,0.11,10.5,1002,851.8,,,,0.18,18,901.8,5911.8
,10084,,2000041,BM9F7R3,Madras Tools,5,06-Jul-2017,0.11,10.5,756,642.6,,,,0.18,18,680.4,4460.4
,8480,,10210041,BM9E1H8,Electrical Control Sysem,5,07-Jul-2017,0.17,17.18,178.94,148.2,,,,0.18,18,161.046,1055.746
,8480,,10210041,BM9E3N7,Aayushi Enterprises,3,07-Jul-2017,0.16,15.88,108.77,91.5,,,,0.18,18,58.7358,385.0458
,8480,,10210041,BM9E3N8,Aayushi Enterprises,3,07-Jul-2017,0.16,15.88,108.77,91.5,,,,0.18,18,58.7358,385.0458
,8480,,10210041,BM9E3N9,Aayushi Enterprises,3,07-Jul-2017,0.16,16.16,186.06,156,,,,0.18,18,100.4724,658.6524
,8480,,10210041,BM9E3P1,Sharon Controls India Pvt. Ltd.,1,07-Jul-2017,0.3,29.55,171.75,121,,,,0.18,18,30.915,202.665
,8480,,10210041,BM9E3P2,Sharon Controls India Pvt. Ltd.,1,07-Jul-2017,0.26,25.93,1350,1000,,,,0.18,18,243,1593
,8480,,10210041,BM9E3P3,Standard Electric Co,6,07-Jul-2017,0.1,9.8,219.52,198,,,,0.18,18,237.0816,1554.2016
,8480,,10210041,BM9E3P4,Standard Electric Co,3,07-Jul-2017,0.1,9.79,1156,1042.8,,,,0.18,18,624.24,4092.24
,8480,,10210041,BM9E3P5,Standard Electric Co,4,07-Jul-2017,0.1,9.8,881.74,795.3,,,,0.18,18,634.8528,4161.8128
,8480,,10210041,BM9E3P6,Standard Electric Co,8,07-Jul-2017,0.1,9.81,7958,7177.5,,,,0.18,18,11459.52,75123.52
,8480,,10210041,BM9E3P7,Standard Electric Co,2,07-Jul-2017,0.1,9.87,1054,950,,,,0.18,18,379.44,2487.44
,8480,,10210041,BM9E3Q1,S.R. Enterprises,11,07-Jul-2017,0.1,9.8,964.56,870,,,,0.18,18,1909.8288,12519.9888
,8480,,10210041,BM9E3Q2,Standard Electric Co,5,07-Jul-2017,0.1,9.81,1070,965,,,,0.18,18,963,6313
,8480,,10210041,BM9E4L5,Paragon Electricals,3,07-Jul-2017,0.46,45.81,3737,2025,,,,0.18,18,2017.98,13228.98
,8480,,10210041,BM9E4L6,Atlantic Sales and Service,2,07-Jul-2017,0.08,8,706.52,650,,,,0.18,18,254.3472,1667.3872
,8480,,10210041,BM9E4L7,Dodia Electricals,20,07-Jul-2017,0.2,20,81.25,65,,,,0.18,18,292.5,1917.5
,8480,,10210041,BM9E4L8,Shashi EngiCon Pvt. Ltd.,1,07-Jul-2017,0.1,9.81,12340,11130,,,,0.18,18,2221.2,14561.2
,8480,,10210041,BM9G4R4,PRATHAM INDUSTRIAL CORPORATION,10,07-Jul-2017,0.32,32.09,153.52,104.25,,,,0.18,18,276.336,1811.536
,8480,,10210041,BM9G4R5,PRATHAM INDUSTRIAL CORPORATION,10,07-Jul-2017,0.32,32.49,35,23.63,,,,0.18,18,63,413
,8674,,2000148,BM9F5T1,Prime Products,16,07-Jul-2017,0.24,24,1271,908.875,,,,0.28,28,5694.08,26030.08
,8922,,2000274,BM9E7T5,G.I.Lokhandwala,90,07-Jul-2017,0.2,20.45,153.22,115,,,,0.18,18,2482.164,16271.964
,8922,,2000274,BM9E7T6,G.I.Lokhandwala,115,07-Jul-2017,0.2,20.45,153.22,115,,,,0.18,18,3171.654,20791.954
,8922,,2000274,BM9E7T7,G.I.Lokhandwala,90,07-Jul-2017,0.13,13.21,99.64,82,,,,0.18,18,1614.168,10581.768
,8922,,2000274,BM9E7T8,G.I.Lokhandwala,60,07-Jul-2017,0.01,1.31,78.02,73.5,,,,0.18,18,842.616,5523.816
,9234,,2000089,BM9F1H2,No Supplier Details,2,07-Jul-2017,-0.03,-2.84,1600,1600,,,,0.18,18,576,3776
,9234,,2000089,BM9F1H3,No Supplier Details,4,07-Jul-2017,-0.03,-2.83,1680,1680,,,,0.18,18,1209.6,7929.6
,9234,,2000089,BM9F1H4,No Supplier Details,1,07-Jul-2017,-0.03,-2.8,1500,1500,,,,0.18,18,270,1770
,9234,,2000089,BM9F1H5,No Supplier Details,14,07-Jul-2017,-0.03,-2.83,240,240,,,,0.18,18,604.8,3964.8
,9234,,2000089,BM9F1H6,No Supplier Details,3,07-Jul-2017,-0.03,-2.83,1200,1200,,,,0.18,18,648,4248
,9234,,2000089,BM9F1H7,No Supplier Details,1,07-Jul-2017,-0.03,-2.85,2000,2000,,,,0.18,18,360,2360
,9261,,2000088-1,BM9F2E5,Uk Exchangers Ltd.,2,07-Jul-2017,0.5,49.9,52052,25973.5,,,,0.28,28,29149.12,133253.12
,9344,,2000133,BM9E8J3,RS Components and Controls India Ltd.,30,07-Jul-2017,0.08,8.13,1030,900,,,,0.28,28,8652,39552
,9344,,2000133,BM9E8J3,RS Components and Controls India Ltd.,30,07-Jul-2017,0.08,8.13,1030,900,,,,0.28,28,8652,39552
,9464,,2000093-1,BM9F3Y4,Royal Tools & Hardware Mart,2,07-Jul-2017,0.14,13.82,2265,1850,,,,0.28,28,1268.4,5798.4
,9623,,2000108,BM9F6G4,K K FILTER SYSTEMS,10,07-Jul-2017,0.19,18.73,7190,5520,,,,0.12,12,8628,80528
,9623,,2000108,BM9F6G5,K K FILTER SYSTEMS,10,07-Jul-2017,0.39,39.15,3407,1920,,,,0.12,12,4088.4,38158.4
,9631,,2000115,BM0C4R8,Valisons and Co.,3,07-Jul-2017,0.5,50.09,136.25,62,,,,0.18,18,73.575,482.325
,9631,,2000115,BM0C4R9,Valisons and Co.,3,07-Jul-2017,0.5,50.09,136.25,62,,,,0.18,18,73.575,482.325
,9631,,2000115,BM0C4S0,Valisons and Co.,3,07-Jul-2017,0.5,50.09,136.25,62,,,,0.18,18,73.575,482.325
,9631,,2000115,BM1G1K9,Valisons and Co.,1,07-Jul-2017,0.29,29.02,664.96,442,,,,0.18,18,119.6928,784.6528
,9631,,2000115,BM9F9W1,Valisons and Co.,3,07-Jul-2017,0.5,50.09,136.25,62,,,,0.18,18,73.575,482.325
,9730,,2000147,BM9F7V3,Fuchs Lubricants India Pvt. Ltd.,12,07-Jul-2017,0.17,16.5,18243,15233,,,,0.28,28,61296.48,280212.48
,9731,,2000107,BM9F7V4,Sharpex Engineering Works,2,07-Jul-2017,0,0.29,1529,1456,,,,0.12,12,366.96,3424.96
,9731,,2000107,BM9F7V5,Sharpex Engineering Works,2,07-Jul-2017,0,0.26,1176,1120,,,,0.12,12,282.24,2634.24
,9741,,2000116,BM9F8S2,Dev Valves and Boiler Mountings,5,07-Jul-2017,0.07,6.51,3632,3232.4,,,,0.18,18,3268.8,21428.8
,9741,,2000116,BM9F8S3,Dev Valves and Boiler Mountings,3,07-Jul-2017,0.07,6.5,7997,7117.66666666667,,,,0.18,18,4318.38,28309.38
,9741,,2000116,BM9F8S4,Dev Valves and Boiler Mountings,3,07-Jul-2017,0.07,6.51,10215,9091,,,,0.18,18,5516.1,36161.1
,9741,,2000116,BM9F8S6,Dev Valves and Boiler Mountings,2,07-Jul-2017,0.07,6.5,10308,9174,,,,0.18,18,3710.88,24326.88
,9771,,2000067,BM9F9C4,International Tools Syndicate,1,07-Jul-2017,0.25,25.33,14069,9873,,,,0.18,18,2532.42,16601.42
,9771,,2000067,BM9F9C5,Bombay Tools Supplying Agency,1,07-Jul-2017,0.19,18.84,978.26,750,,,,0.18,18,176.0868,1154.3468
,9781,,2000038,BM9F3D7,S.P. Air Tools Pvt. Ltd.,5,07-Jul-2017,0.34,34.2,6208,3806,,,,0.18,18,5587.2,36627.2
,9800,,2000085,BM9F9H4,Ganesh Moldss,1,07-Jul-2017,0.16,16.3,101553,85000,,,,0.18,18,18279.54,119832.54
,9800,,2000085,BM9F9H5,Ganesh Moldss,3000,07-Jul-2017,0.16,16.28,23.89,20,,,,0.18,18,12900.6,84570.6
,9864,,2000170,BM9G2Q1,"Famous Engineering,",1,07-Jul-2017,0.08,8.26,35419,30900,,,,0.28,28,9917.32,45336.32
,9864,,2000170,BM9G2Q2,Himanshu Industries,1,07-Jul-2017,0.13,13.06,21226,17500,,,,0.28,28,5943.28,27169.28
,9864,,2000170,BM9G2Q3,Volga Agency,1,07-Jul-2017,0.1,10.46,338.4,288,,,,0.18,18,60.912,399.312
,9864,,2000170,BM9G2Q4,Volga Agency,1,07-Jul-2017,0.11,10.54,165.44,140,,,,0.18,18,29.7792,195.2192
,9864,,2000170,BM9G2Q5,Himanshu Industries,1,07-Jul-2017,0.11,10.8,46042,39000,,,,0.28,28,12891.76,58933.76
,9869,,2000268,BM9G1L1,Vivek Trading Co.,48,07-Jul-2017,0.09,8.56,230.02,200,,,,0.28,28,3091.4688,14132.4288
,9879,,2000161-1,BM9G4B2,Bostan Engineering.,2,07-Jul-2017,0.13,12.98,3938,3250,,,,0.18,18,1417.68,9293.68
,9879,,2000161-1,BM9G4B4,Bostan Engineering.,1,07-Jul-2017,0.13,12.99,5550,4580,,,,0.18,18,999,6549
,9879,,2000161-1,BM9G4B5,Bostan Engineering.,1,07-Jul-2017,0.08,8.13,6432,5620,,,,0.18,18,1157.76,7589.76
,9879,,2000161-1,BM9G4B6,Bostan Engineering.,1,07-Jul-2017,0.13,12.98,10130,8360,,,,0.18,18,1823.4,11953.4
,9879,,2000161-1,BM9G4B7,Bostan Engineering.,2,07-Jul-2017,0.13,12.95,1490,1230,,,,0.18,18,536.4,3516.4
,9879,,2000161-1,BM9G4B8,Bostan Engineering.,1,07-Jul-2017,0.13,12.95,1490,1230,,,,0.18,18,268.2,1758.2
,9879,,2000161-1,BM9G4B9,Bostan Engineering.,1,07-Jul-2017,0.13,13,1915,1580,,,,0.18,18,344.7,2259.7
,9879,,2000161-1,BM9G4C1,Bostan Engineering.,2,07-Jul-2017,0.13,12.97,2205,1820,,,,0.18,18,793.8,5203.8
,9893,,2000086,BM9C8D5,Karcher Cleaning Systems Pvt. Ltd.,1,07-Jul-2017,0.25,24.55,26569,18853,,,,0.28,28,7439.32,34008.32
,9898,,2000001-1,BM9G2N4,Saibaba Electricals,1,07-Jul-2017,0.36,35.85,11175,6667,,,,0.12,12,1341,12516
,9909,,2000644,BM0C0U7,Valisons and Co.,2,07-Jul-2017,0.26,26.39,188.15,130,,,,0.18,18,67.734,444.034
,9909,,2000644,BM0C7G7,No Supplier Details,1,07-Jul-2017,-0.29,-28.63,276.76,344,,,,0.18,18,49.8168,326.5768
,9909,,2000644,BM0C7U5,No Supplier Details,1,07-Jul-2017,-0.26,-25.5,284.47,344,,,,0.18,18,51.2046,335.6746
,9909,,2000644,BM0C7U9,No Supplier Details,1,07-Jul-2017,-0.22,-22.08,2355,2769,,,,0.18,18,423.9,2778.9
,9909,,2000644,BM0O6G4,No Supplier Details,1,07-Jul-2017,-0.29,-28.6,298.6,371,,,,0.18,18,53.748,352.348
,9909,,2000644,BM0O7C8,No Supplier Details,1,07-Jul-2017,-0.29,-28.79,556.74,692,,,,0.18,18,100.2132,656.9532
,9909,,2000644,BM0Q6S3,No Supplier Details,2,07-Jul-2017,-0.29,-28.82,1452,1805,,,,0.18,18,522.72,3426.72
,9909,,2000644,BM9A3E6,No Supplier Details,1,07-Jul-2017,-0.29,-28.88,1880,2338,,,,0.18,18,338.4,2218.4
,9909,,2000644,BM9A4R6,Sagar Office Automation,2,07-Jul-2017,0.19,18.84,45.59,35,,,,0.12,12,10.9416,102.1216
,9909,,2000644,BM9A7D5,No Supplier Details,1,07-Jul-2017,-0.29,-28.77,983.13,1222,,,,0.18,18,176.9634,1160.0934
,9909,,2000644,BM9B6P3,No Supplier Details,1,07-Jul-2017,0.34,33.6,165.67,103,,,,0.18,18,29.8206,195.4906
,9909,,2000644,BM9C2R7,No Supplier Details,1,07-Jul-2017,-0.29,-28.81,965.79,1201,,,,0.18,18,173.8422,1139.6322
,9909,,2000644,BM9C5Z1,Bombay Tools Supplying Agency,1,07-Jul-2017,0.18,18.42,23092,17800,,,,0.18,18,4156.56,27248.56
,9909,,2000644,BM9G3K3,Sagar Office Automation,1,07-Jul-2017,0.18,18.28,285.11,220,,,,0.18,18,51.3198,336.4298
,9909,,2000644,BM9G3K4,Sagar Office Automation,1,07-Jul-2017,0.19,18.58,253.01,195,,,,0.18,18,45.5418,298.5518
,9909,,2000644,BM9G3K5,No Supplier Details,1,07-Jul-2017,-0.29,-28.71,358.96,446,,,,0.18,18,64.6128,423.5728
,9909,,2000644,BM9G3K6,Valisons and Co.,1,07-Jul-2017,0.36,35.7,298.6,179,,,,0.12,12,35.832,334.432
,9909,,2000644,BM9G3K7,Sagar Office Automation,1,07-Jul-2017,0.18,18.39,240.16,185,,,,0.28,28,67.2448,307.4048
,9909,,2000644,BM9G3K8,Starlite Engineer Co.,1,07-Jul-2017,0.18,18.29,104.03,80,,,,0.18,18,18.7254,122.7554
,9909,,2000644,BME2Q9H,Amazon.com,1,07-Jul-2017,0.55,55.48,4367,1748,,,,0.18,18,786.06,5153.06
,10003,,2000040,BM0H2Z7,Krm Corporation,6,07-Jul-2017,0.21,21.3,1725,1280,,,,0.18,18,1863,12213
,10043,,2000215,BM9G3K2,Mahalaxmi Furniture,1,07-Jul-2017,0.25,25.18,6111,4297,,,,0.28,28,1711.08,7822.08
,10072,,2000105,BM9G4Y4,Rajesh Trade Centre,2,07-Jul-2017,0.05,4.66,106222,96500,,,,0.18,18,38239.92,250683.92
,10078,,2000036,BM9A6U8,Dhiren Traders,100,07-Jul-2017,0.06,6.21,28,25,,,,0.18,18,504,3304
,10080,,2000119,BM0Y9N6,Dhiren Traders,5,07-Jul-2017,0.05,5.18,3875,3500,,,,0.18,18,3487.5,22862.5
,10089,,2000039-1,BM9D3V6,Victor Imports,20000,07-Jul-2017,0.24,24.4,2.25,1.6,,,,0.18,18,8100,53100
,10100,,2000090,BM9G4E2,Seed Enterprises,1,07-Jul-2017,0.05,5,74737,71000,,,,0.28,28,20926.36,95663.36
,10117,,2000072,BM0K9V3,Chirag Traders,10,07-Jul-2017,0.11,11.41,332.76,279.8,,,,0.18,18,598.968,3926.568
,10131,,2003612,BM1A3S7,Rajesh Trade Centre,1,07-Jul-2017,0.04,4.35,37500,32500,,,,0.28,28,10500,48000
,10131,,2000084,BM1A3S7,Rajesh Trade Centre,2,07-Jul-2017,0.09,8.84,37500,32500,,,,0.28,28,21000,96000
,10138,,2000415,BM9G4S7,Festo India Pvt. Ltd.,6,07-Jul-2017,0.09,8.75,1374,1253.83333333333,,,,0.28,28,2308.32,10552.32
,10140,,2000106-1,BM9G4S8,Festo India Pvt. Ltd.,1,07-Jul-2017,0.09,8.73,13704,12507,,,,0.18,18,2466.72,16170.72
,10142,,2000438,BM9G4U2,Fairdeal Rubber,120,07-Jul-2017,0.05,5,52.63,50,,,,0.28,28,1768.368,8083.968
,10142,,2000438,BM9G4U3,Fairdeal Rubber,30,07-Jul-2017,0.05,5,94.74,90,,,,0.28,28,795.816,3638.016
,10142,,2000438,BM9G4U3,Fairdeal Rubber,30,07-Jul-2017,0.05,5,94.74,90,,,,0.28,28,795.816,3638.016
,10142,,2000438,BM9G4U4,Fairdeal Rubber,60,07-Jul-2017,0.05,5,94.74,90,,,,0.28,28,1591.632,7276.032
,10142,,2000438,BM9G4U5,Fairdeal Rubber,1,07-Jul-2017,0.05,5,4421,4200,,,,0.28,28,1237.88,5658.88
,10142,,2000438,BM9H2L3,Fairdeal Rubber,120,07-Jul-2017,0.05,5,52.63,50,,,,0.28,28,1768.368,8083.968
,10142,,2000438,BM9H2L4,Fairdeal Rubber,13,07-Jul-2017,0.05,5,94.74,90,,,,0.28,28,344.8536,1576.4736
,10142,,2000438,BM9H2L4,Fairdeal Rubber,47,07-Jul-2017,0.05,5,94.74,90,,,,0.28,28,1246.7784,5699.5584
,10142,,2000438,BM9H2L5,Fairdeal Rubber,25,07-Jul-2017,0.05,5,94.74,90,,,,0.28,28,663.18,3031.68
,10142,,2000438,BM9H2L5,Fairdeal Rubber,35,07-Jul-2017,0.05,5,94.74,90,,,,0.28,28,928.452,4244.352
,10143,,2000669,BM9G4Y5,Innovative Technologies,1,07-Jul-2017,0,0.27,14994,14280,,,,0.18,18,2698.92,17692.92
,10165,,2000104,BM9G3U4,B & R Industrial Automation Pvt Ltd,1,07-Jul-2017,0.06,5.51,43633,39270,,,,0.28,28,12217.24,55850.24
,10170,,2000273,BM9G5T8,Hadeed Corporation,2,07-Jul-2017,0.19,18.58,6500,5000,,,,0.18,18,2340,15340
,10176,,2000110,BM0K8J3,Vardhman Distributors,150,07-Jul-2017,0.14,14.18,16.6,13.5,,,,0.18,18,448.2,2938.2
,10176,,2000110,BM0K8J3,Vardhman Distributors,250,07-Jul-2017,0.16,15.98,16.6,13.5,,,,0.18,18,747,4897
,10176,,2000110,BM0K8Q5,Kohinoor Paints Mart,400,07-Jul-2017,-0.09,-9.26,10.5,11,,,,0.18,18,756,4956
,10176,,2000110,BM0K8Y0,Shah Dharamchand Chhaganlal,200,07-Jul-2017,0.08,7.78,34.2,30,,,,0.05,5,342,7182
,10185,,2000118,BM9G2K8,Kampanwala Industries,5,07-Jul-2017,0.58,58.47,3885,1439,,,,0.18,18,3496.5,22921.5
,10185,,2000118,BM9G2K8,Kampanwala Industries,5,07-Jul-2017,0.58,58.47,3885,1439,,,,0.18,18,3496.5,22921.5
,10195,,2000122,BM9G5D1,Ambika Paints,20,07-Jul-2017,0.26,25.89,158,110,,,,0.28,28,884.8,4044.8
,10195,,2000122,BM9G5D1,Ambika Paints,20,07-Jul-2017,0.26,25.89,158,110,,,,0.28,28,884.8,4044.8
,10195,,2000122,BM9G5D1,Ambika Paints,20,07-Jul-2017,0.26,25.89,158,110,,,,0.28,28,884.8,4044.8
,10195,,2000122,BM9G5D1,Ambika Paints,20,07-Jul-2017,0.26,25.89,158,110,,,,0.28,28,884.8,4044.8
,10195,,2000122,BM9G5D1,Ambika Paints,20,07-Jul-2017,0.26,25.89,158,110,,,,0.28,28,884.8,4044.8
,10195,,2000122,BM9G5D1,Ambika Paints,40,07-Jul-2017,0.28,28.13,158,110,,,,0.28,28,1769.6,8089.6
,10195,,2000122,BM9G5D1,Ambika Paints,60,07-Jul-2017,0.29,28.88,158,110,,,,0.28,28,2654.4,12134.4
,10198,,2000190,BM9G5T1,Jai Ambe Enterprise,200,07-Jul-2017,0.23,22.77,22,16,,,,0.18,18,792,5192
,10198,,2000190,BM9G5T2,Jai Ambe Enterprise,25,07-Jul-2017,0.15,14.65,68,55,,,,0.18,18,306,2006
,10203,,2000182,BM9G6B8,Mumbai Hospital Chemist,1,07-Jul-2017,0.52,52.28,6000,2593,,,,0.12,12,720,6720
,10206,,2000139,BM9G5K2,Cameron,1,07-Jul-2017,0.46,46.19,20598,11084,,,,0.18,18,3707.64,24305.64
,10206,,2000139,BM9G5K3,Cameron,1,07-Jul-2017,0.45,45.48,10525,5738,,,,0.18,18,1894.5,12419.5
,10206,,2000139,BM9G5K4,Cameron,1,07-Jul-2017,0.23,23.22,29637,22755,,,,0.18,18,5334.66,34971.66
,10206,,2000139,BM9G5K5,Cameron,1,07-Jul-2017,0.22,22.32,31980,24841,,,,0.18,18,5756.4,37736.4
,10223,,2000152,BM9G5M9,Local Purchase,1,07-Jul-2017,0.27,26.75,3200,2200,,,,0.28,28,896,4096
,10223,,2000152,BM9G5N1,Lucky Pen House,5,07-Jul-2017,0.17,16.75,400,315,,,,0.12,12,240,2240
,10224,,2000169,BM9G5K1,Kohinoor Paints Mart,400,07-Jul-2017,0.12,11.93,11.15,9.32,,,,0.18,18,802.8,5262.8
,10227,,2000138,BM9G2K7,Replete Industries,20,07-Jul-2017,-0.45,-45.26,63.92,90,,,,0.18,18,230.112,1508.512
,10228,,2000144,BM0K8H6,Shreenathji Welding And Safety Pvt. Ltd.,200,07-Jul-2017,0.06,6.15,123.1,110,,,,0.18,18,4431.6,29051.6
,10228,,2000144,BM0K8M6,Shreenathji Welding And Safety Pvt. Ltd.,300,07-Jul-2017,0.09,8.99,8.9,7.7,,,,0.28,28,747.6,3417.6
,10228,,2000144,BM0K9A3,Shreenathji Welding And Safety Pvt. Ltd.,100,07-Jul-2017,0.02,1.62,42.6,40,,,,0.28,28,1192.8,5452.8
,10252,,2000159,BM9G2K9,Evergreen Sales,20,07-Jul-2017,0.08,7.82,216.69,190,,,,0.18,18,780.084,5113.884
,10252,,99999081,BM9G2K9,Evergreen Sales,280,07-Jul-2017,0.12,12,216.69,190,,,,0.18,18,10921.176,71594.376
,10278,,2000160-2,BM9G4A4,Bostan Engineering.,2,07-Jul-2017,0.17,17.48,218.12,180,,,,0.28,28,122.1472,558.3872
,10278,,2000160-2,BM9G4A5,Bostan Engineering.,5,07-Jul-2017,0.17,17.48,581.65,480,,,,0.28,28,814.31,3722.56
,10278,,2000160-2,BM9G4A6,Bostan Engineering.,1,07-Jul-2017,0.17,17.48,1636,1350,,,,0.28,28,458.08,2094.08
