Inquiry number,company id,company name
6673,106,Emerson Process Management Chennai Pvt. Ltd.
4624,111,Fairfield Marriott
8920,305,Soham Energy Systems
27865,267,Rail Coach Factory
6872,93,Directorate Of Purchase And Stores
8937,331,Unison Engineering and Construction Pvt. Ltd.
4697,24,Allison Transmission India Pvt. Ltd.
4698,128,GerOil Oil and Gas Products
27945,7,Cipla Ltd.
6601,203,Lovely Professional University
6574,398,Tata Consultancy Services Ltd.
4744,296,Shreeji Trading Co.
8967,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7759,273,Renishaw Metrology Systems Ltd.
7783,141,HAL Offshore Ltd.
6471,138,Gruppe Littlesilver
6417,158,"INS Hansa, Indian Navy"
6411,61,Cello Stationery Products Pvt. Ltd.
6000,408,Vikram Sarabhai Space Center
4861,138,Gruppe Littlesilver
4858,407,V.M. Products
6016,52,Bharat Wire Ropes Ltd.
26218,1742,The Suryaa
5094,168,Ingersoll Rand Climate Solutions Pvt. Ltd.
10770,452,R.P. Polymers
6017,236,National Aluminium Co. Ltd.
6377,158,"INS Hansa, Indian Navy"
4891,97,Dr B.R. Ambedkar National Institute of Technology
2754,174,ITC Grand Central - A Luxury Collection Hotel
11563,671,Bureau Veritas Construction Services
10755,443,Max Machinery and Automation
9025,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
6031,15,Accuramech Industrial Engineering Pvt. Ltd.
8708,121,Wipro GE Healthcare Pvt. Ltd.
8051,213,Mahindra Comviva
8358,130,GlaxoSmithKline Pharmaceuticals Ltd.
16063,1349,Sterling Submersible Pump
26256,1785,Division of Plant Physiology
26266,1392,GHCL Ltd.
6049,158,"INS Hansa, Indian Navy"
4974,24,Allison Transmission India Pvt. Ltd.
9058,367,Hyphen Exports
9059,33,Arya Electronics and Controls Pvt. Ltd.
8111,170,"INS Garuda, Indian Navy"
8712,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
6059,284,Scada System and Tech Services
6062,29,APM Terminals India Pvt. Ltd.
6061,29,APM Terminals India Pvt. Ltd.
11621,611,Demosha Chemicals Pvt. Ltd.
16065,471,Jyoti Cnc Automation Ltd.
5858,256,PNP Maritime Services Pvt. Ltd.
16066,1649,Bangur Cement
26330,1392,GHCL Ltd.
5084,356,Crossways Vertical Solutions Pvt. Ltd.
8216,273,Renishaw Metrology Systems Ltd.
9080,59,Cairn India Ltd.
5136,375,"Ministry of Defence, WESEE"
5181,108,ESK Telecom India
5176,369,The Indian Agricultural Research Institute
8078,15,Accuramech Industrial Engineering Pvt. Ltd.
6942,118,Galiakotwala Engineering Co. Pvt. Ltd.
5230,272,Reliance Infrastructure Ltd.
5238,370,Department of Mechanical Engineering
7932,22,Alfa Tech Corporation
5247,50,Bharat Foils Ltd.
4915,105,Emerson Innovation Center
7868,379,Ion Exchange India Ltd.
7859,3,Ingersoll Rand Technologies and Services Pvt. Ltd.
7841,213,Mahindra Comviva
5329,101,Dynasty Oil and Gas Pvt. Ltd.
16070,1650,L and T - STEC JV (Mumbai metro)
