increment_id,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
27328,65543,27328,2,765279,2,0,0,0.00,0.00,1,372.34,"Sab Style Speak Magazine Satin Proof D/S",0.00,0.00,0,0,350.00,BM9Q8W1,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,0,15,"CGST + SGST 12%",0,9989,NULL,NULL,0,0
27328,65544,27328,3,765278,2,0,0,0.00,0.00,1,372.34,"Sab Hair Magazine Satin Proof S/S",0.00,0.00,0,0,350.00,BM9Q6E4,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,0,15,"CGST + SGST 12%",0,9989,NULL,NULL,0,0
27328,65545,27328,4,765283,2,0,0,0.00,0.00,1,372.34,"Sab Hair Magazine Satin Proof D/S",0.00,0.00,0,0,350.00,BM9V2V9,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,0,15,"CGST + SGST 12%",0,9989,NULL,NULL,0,0
27328,65546,27328,5,765281,2,0,0,0.00,0.00,1,372.34,"Sab Salon International Mag AD Satin Proof S/S",0.00,0.00,0,0,350.00,BM9S4D6,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,0,15,"CGST + SGST 12%",0,9989,NULL,NULL,0,0
27328,65547,27328,6,765285,2,0,0,0.00,0.00,1,372.34,"Sab Salon International Mag AD Satin Proof D/S",0.00,0.00,0,0,350.00,BM9S6P7,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,0,15,"CGST + SGST 12%",0,9989,NULL,NULL,0,0
27328,65548,27328,7,765284,10,0,0,0.00,0.00,1,372.34,"Style Speak,hair Magzine,Salon Internch, Beauty Launchpad,Femina Salon and Spa Satin Proof",0.00,0.00,0,0,350.00,BM9T5L3,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,0,15,"CGST + SGST 12%",0,9989,NULL,NULL,0,0
27328,65549,27328,8,765280,5,0,0,0.00,0.00,1,265.96,"Conveyance charges",0.00,0.00,0,0,250.00,BM9R8A5,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 days",0,0,0,15,"CGST + SGST 12%",0,9989,NULL,NULL,0,0
27326,65473,27326,1,765228,2,0,0,0.00,0.00,1,24035.33,"Fenner Taper Lock Pulley. Size :- 8 C 355",0.00,0.00,0,0,21151.09,BM9Q1Q2,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 week",0,0,326,17,"CGST + SGST 28%",0,8483,NULL,NULL,0,0
27325,65380,27325,1,765157,30,0,0,0.00,0.00,1,20.50,"M12 X 1.5 X 30MM HEX BOLT 8.8 GRADE (TVS - MAKE)",0.00,0.00,0,0,17.86,BM9T2W2,a%3A0%3A%7B%7D,NULL,0.00,Null,ea,"1-2 weeks",0,0,1277,16,"IGST 18%",0,7318,NULL,NULL,0,0
27325,65381,27325,2,765158,30,0,0,0.00,0.00,1,12.00,"M12 X 1.5 NUT 8.8 GRADE (TVS - MAKE)",0.00,0.00,0,0,10.05,BM9Y9Z8,a%3A0%3A%7B%7D,NULL,0.00,Null,ea,"1-2 weeks",0,0,1277,16,"IGST 18%",0,7318,NULL,NULL,0,0
27323,65283,27323,1,763952,10,0,0,0.00,0.00,1,1194.44,"Drip collector after drumming / Scoop - SS -1 kgs",0.00,0.00,0,0,1075.00,BM9Q5Q3,a%3A0%3A%7B%7D,NULL,0.00,,ea,"2-3 week",0,0,6123,16,"CGST + SGST 18%",0,7326,NULL,NULL,0,0
27322,65280,27322,1,720900,20,0,0,0.00,0.00,1,3780.00,"HINDWARE Waterless Urinal Cartridge ",0.00,0.00,0,0,3500.00,BM9C7V6,a%3A0%3A%7B%7D,NULL,3780.00,,ea,"4 weeks",0,0,1234,16,"CGST + SGST 18%",0,3922,NULL,NULL,0,0
27321,65593,27321,1,765321,1,0,0,0.00,0.00,1,42500.00,"Wagner MMC220 Extended Range Wood Moisture Meter",0.00,0.00,0,0,35700.00,BM9Q1V7,a%3A0%3A%7B%7D,NULL,0.00,MMC220,ea,"2 weeks",0,0,4825,16,"CGST + SGST 18%",0,9027,NULL,NULL,0,0
