inquiry_no,alias,order_number,mis_date,report_total
26842,Cummins,10210905,12-Sep-2018,57341.00
26843,GHCL,10610381,14-Sep-2018,9500.00
26844,Cummins,10211009,27-Sep-2018,33833.86
26845,Piramal,11410011,7-Sep-2018,26334.00
26846,Cummins,10210900,12-Sep-2018,8994.00
26850,Henkel,10210872,6-Sep-2018,135786.26
26855,Inarco,10610358,6-Sep-2018,7500.00
26856,Raymond,10210884,10-Sep-2018,575000.00
26876,AMAT,10210854,3-Sep-2018,64229.00
26878,Beckman Coulter,10210849,1-Sep-2018,4000.00
26880,Piramal,11210060,3-Sep-2018,895
26882,GE,10210929,18-Sep-2018,42192.00
26883,Henkel,10210852,3-Sep-2018,94500.00
26891,Godrej,10210859,4-Sep-2018,10000.00
26892,Godrej,10210913,12-Sep-2018,85625.00
26894,Bharti Airtel,10910102,4-Sep-2018,2175.00
26895,Bharti Airtel,10910097,4-Sep-2018,2175.00
26896,Bharti Airtel,10910100,4-Sep-2018,2175.00
26897,Bharti Airtel,10910101,4-Sep-2018,2175.00
26899,Bharti Airtel,10910098,4-Sep-2018,2175.00
26900,Bharti Airtel,10910099,4-Sep-2018,2175.00
26901,Delhivery,10910110,10-Sep-2018,765000.00
26901,Delhivery,10910110,18-Sep-2018,-765000.00
26901,Delhivery,10910112,18-Sep-2018,780000.00
26904,Beckman Coulter,10210943,20-Sep-2018,31968.00
26918,Henkel,10210895,11-Sep-2018,147368.00
26925,Covestro,10910103,7-Sep-2018,4350.00
26927,Cummins,10210953,20-Sep-2018,50960.00
26933,Hyosung,10210956,21-Sep-2018,11000.00
26938,IR,10610408,24-Sep-2018,1783.72
26940,Value Beverages,10210888,11-Sep-2018,5944.50
26944,Cummins,10210933,19-Sep-2018,13220.00
26945,Henkel,10210938,19-Sep-2018,63157.00
26949,AMAT,10210878,6-Sep-2018,2128.00
26963,Bharti Airtel,10910106,5-Sep-2018,3625.00
26964,Bharti Airtel,10910105,10-Sep-2018,2175.00
26970,Piramal,11210062,6-Sep-2018,13599.00
26977,Reliance,10210917,14-Sep-2018,24500.00
26978,Henkel,10210890,11-Sep-2018,27368.00
26980,GE,10210965,21-Sep-2018,349375.00
26981,Piramal,11210061,5-Sep-2018,921.38
26984,Nivea India,10610407,24-Sep-2018,50000.00
26985,AMAT,10210962,24-Sep-2018,14530.00
26988,Piramal,11410006,5-Sep-2018,31880.00
26989,Henkel,10210868,6-Sep-2018,128325.50
26995,Beckman Coulter,10210906,11-Sep-2018,32000.00
26997,Nivea India,10610377,14-Sep-2018,16500.00
26998,Trident Computer,10210866,5-Sep-2018,267968.00
27013,Piramal,11410018,18-Sep-2018,210656.68
27016,Beckman Coulter,10210942,20-Sep-2018,450000.00
27020,Ayoki Exports,10210916,14-Sep-2018,70275.00
27026,IR,10610367,10-Sep-2018,11145.00
27030,Piramal,11210063,14-Sep-2018,1320.9
27035,IGL,10210875,6-Sep-2018,1440000.00
27039,Covestro,10210983,25-Sep-2018,14364
27042,Cargill,10210898,12-Sep-2018,9950
27044,ABB India,10610383,14-Sep-2018,54743.73
27049,AMAT,10210952,20-Sep-2018,13667.32
27060,Henkel,10210891,11-Sep-2018,58142.00
27070,Beckman Coulter,10210921,17-Sep-2018,43744.64
27075,Cargill,10210902,12-Sep-2018,38024.00
27080,SSI,10210886,10-Sep-2018,138157.50
27090,Kirloskar,10210941,20-Sep-2018,4950.00
27096,IR,10610364,10-Sep-2018,13300.00
27097,ICAR,10210882,7-Sep-2018,1398.30
27106,GHCL,10610395,21-Sep-2018,1059.00
27107,GHCL,10610403,22-Sep-2018,12400.50
27109,Graziano,10910108,10-Sep-2018,3448.54
27110,GHCL,10610399,20-Sep-2018,19666.00
27111,GHCL,10610398,21-Sep-2018,2856.30
27117,GE,10211004,28-Sep-2018,10000.00
27118,Piramal,11410012,11-Sep-2018,24600.00
27120,Hindustan Zinc,10910111,17-Sep-2018,24500.00
27121,Cargill,10210985,25-Sep-2018,559400.00
27122,Henkel,10210932,18-Sep-2018,5100.00
27123,AMAT,10210887,11-Sep-2018,246915.00
27125,GE Power Systems,10610365,10-Sep-2018,15600.00
27126,Cummins,10210901,12-Sep-2018,7787.79
27131,GE Power Systems,10610369,10-Sep-2018,1100.00
27136,Graziano,10910107,10-Sep-2018,144165.00
27138,GE Power Systems,10610370,10-Sep-2018,4750.00
27139,GE Power Systems,10610373,11-Sep-2018,39472.00
27144,GHCL,10610400,22-Sep-2018,13570.98
27145,Rexel India,10210923,17-Sep-2018,1007300.00
27149,GE,10610391,19-Sep-2018,39688.00
27162,Henkel,10210936,19-Sep-2018,77782.32
27163,Cummins,10210894,11-Sep-2018,138840.00
27164,Godrej,10210910,12-Sep-2018,70620.00
27165,Piramal,11210066,21-Sep-2018,22705.96
27166,Henkel,10210930,18-Sep-2018,56250.00
27170,Piramal,11410022,20-Sep-2018,66150.00
27172,IR,10610374,12-Sep-2018,23630.00
27175,Henkel,10210999,27-Sep-2018,112630.57
27182,Piramal,11410014,14-Sep-2018,21329.10
27187,Talis Valves,10210986,25-Sep-2018,4879.23
27187,Talis Valves,10210987,25-Sep-2018,4879.23
27197,Inarco,10610421,28-Sep-2018,4611.00
27201,AMAT,10210908,12-Sep-2018,37282.98
27208,Nivea India,10610405,24-Sep-2018,1418.49
27212,Videojet,10210907,12-Sep-2018,65800.00
27213,Cummins,10210920,17-Sep-2018,18000.00
27216,GE Power Systems,10610420,28-Sep-2018,100245.60
27220,GE Power Systems,10610378,14-Sep-2018,4980.00
27224,Piramal,11410016,14-Sep-2018,14972.00
27227,SSI,10210964,24-Sep-2018,5911.84
27229,ABB India,10610410,25-Sep-2018,17856.88
27230,GHCL,10610417,27-Sep-2018,5700.00
27234,GHCL,10610409,24-Sep-2018,4896.4
27235,Piramal,11210064,14-Sep-2018,141.18
27236,Cummins,10210988,25-Sep-2018,33043.48
27238,SSI,10210940,19-Sep-2018,25068.91
27239,Piramal,11210065,17-Sep-2018,47150
27248,GE,10210976,25-Sep-2018,4800.00
27249,Henkel,10210993,27-Sep-2018,35042.64
27264,GE Power Systems,10610382,17-Sep-2018,37899.00
27265,GHCL,10610419,28-Sep-2018,72800.00
27288,GE Power Systems,10610386,17-Sep-2018,38750.00
27295,Henkel,10210998,27-Sep-2018,10588.53
27303,Husco,10210989,24-Sep-2018,5100.00
27306,Cummins,10210961,24-Sep-2018,5796.27
27314,Henkel,10210937,18-Sep-2018,8000.00
27331,Henkel,10210927,18-Sep-2018,8000.00
27357,Henkel,10210958,21-Sep-2018,119702.00
27363,GE,10211010,28-Sep-2018,26152.00
27368,GE,10610404,24-Sep-2018,376344.00
27372,Beckman Coulter,10210971,24-Sep-2018,1012852.67
27373,GHCL,10610411,25-Sep-2018,3507
27379,GHCL,10610396,21-Sep-2018,7580.00
27382,Hyosung,10210939,19-Sep-2018,3000.00
27387,Godrej,10210969,24-Sep-2018,9900.00
27392,Beckman Coulter,10210950,20-Sep-2018,5800
27403,Piramal,11410019,20-Sep-2018,57375.00
27404,Piramal,11410020,20-Sep-2018,7650.00
27406,Piramal,11410021,20-Sep-2018,286539.00
27407,Henkel,10211007,28-Sep-2018,10638.28
27408,Godrej,10210963,24-Sep-2018,8275.00
27418,Henkel,10210995,27-Sep-2018,8510.63
27420,Henkel,10210951,20-Sep-2018,1831.56
27423,BITUFLEX,10210945,20-Sep-2018,1695540.00
27425,BITUFLEX,10210946,20-Sep-2018,2595320.00
27443,GE,10610412,25-Sep-2018,13200.00
27461,Henkel,10210957,21-Sep-2018,114065.00
27467,AMAT,10211008,28-Sep-2018,4613.97
27468,AMAT,10210966,21-Sep-2018,34042.56
27484,GHCL,10610401,23-Sep-2018,5235.80
27487,GHCL,10610402,23-Sep-2018,961
27489,Piramal,11210067,25-Sep-2018,8296.24
27493,AMAT,10210967,24-Sep-2018,21763.44
27495,Hindustan Zinc,10910114,24-Sep-2018,262290.00
27503,Henkel,10210982,25-Sep-2018,4950.00
27506,Piramal,10210978,25-Sep-2018,126000.00
27507,Henkel,10210991,26-Sep-2018,8379.00
27510,Henkel,10210972,24-Sep-2018,900
27512,Henkel,10210979,25-Sep-2018,192350.00
27514,Henkel,10910117,28-Sep-2018,515789.47
27526,Henkel,10210981,25-Sep-2018,395320.00
27528,BITUFLEX,10210975,25-Sep-2018,1830683.00
27535,Godrej,10211001,28-Sep-2018,30375.00
27543,JSE,10210977,25-Sep-2018,704800.00
27544,IR,10610413,25-Sep-2018,1250.00
27548,KazStroy,10210984,25-Sep-2018,7521000.00
27559,Covestro,10910115,27-Sep-2018,24030
27568,GE Power Systems,10610415,26-Sep-2018,147110.00
27580,GE,10210992,26-Sep-2018,172800.00
27604,GE Power Systems,10610418,27-Sep-2018,28350.00
27609,Henkel,10211003,27-Sep-2018,32490.00
27612,Beckman Coulter,10211014,29-Sep-2018,166978.80
27617,Piramal,10210997,27-Sep-2018,10028.00
27624,Cummins,10211000,27-Sep-2018,93740.00
27651,AMAT,10211011,29-Sep-2018,26595.74
27658,BITUFLEX,10211033,28-Sep-2018,1408359.50
27668,JSE,10211006,28-Sep-2018,931302.75
27692,BITUFLEX,10211012,29-Sep-2018,4622800.00
27692,BITUFLEX,10211030,29-Sep-2018,1807076.00
27694,BITUFLEX,10211013,29-Sep-2018,5692716.75
27768,BITUFLEX,10211033,25-Sep-2018,1003690.00
Bitu1,BITUFLEX,Bitu1,30-Sep-2018,5000000.00
JSE2,JSE,JSE2,30-Sep-2018,5000000.00
TATA1,Tata Project,TATA1,30-Sep-2018,45000000.00
