legacy_id,invoice_number,order_number,original_file_name,original_file_path,duplicate_file_name,duplicate_file_path,triplicate_file_name,triplicate_file_path
848857,20610481,10610389,invoice_Original_20610481.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610481.pdf,invoice_Duplicate_20610481.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610481.pdf,invoice_Triplicate_20610481.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610481.pdf
848855,20210969,10210937,invoice_Original_20210969.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210969.pdf,invoice_Duplicate_20210969.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210969.pdf,invoice_Triplicate_20210969.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210969.pdf
848853,20610480,10610349,invoice_Original_20610480.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610480.pdf,invoice_Duplicate_20610480.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610480.pdf,invoice_Triplicate_20610480.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610480.pdf
848851,20610479,10610370,invoice_Original_20610479.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610479.pdf,invoice_Duplicate_20610479.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610479.pdf,invoice_Triplicate_20610479.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610479.pdf
848849,20610478,10610374,invoice_Original_20610478.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610478.pdf,invoice_Duplicate_20610478.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610478.pdf,invoice_Triplicate_20610478.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610478.pdf
848847,20610477,10610373,invoice_Original_20610477.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610477.pdf,invoice_Duplicate_20610477.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610477.pdf,invoice_Triplicate_20610477.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610477.pdf
848845,21910015,11410013,invoice_Original_21910015.pdf,https://bulkmro.com/media/poattachment/invoice_Original_21910015.pdf,invoice_Duplicate_21910015.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_21910015.pdf,invoice_Triplicate_21910015.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_21910015.pdf
848843,20610476,10610335,invoice_Original_20610476.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610476.pdf,invoice_Duplicate_20610476.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610476.pdf,invoice_Triplicate_20610476.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610476.pdf
848841,20610475,10610187,invoice_Original_20610475.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610475.pdf,invoice_Duplicate_20610475.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610475.pdf,invoice_Triplicate_20610475.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610475.pdf
848839,20610474,10610348,invoice_Original_20610474.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610474.pdf,invoice_Duplicate_20610474.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610474.pdf,invoice_Triplicate_20610474.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610474.pdf
848837,20610473,10610388,invoice_Original_20610473.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610473.pdf,invoice_Duplicate_20610473.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610473.pdf,invoice_Triplicate_20610473.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610473.pdf
848835,21910014,11410014,invoice_Original_21910014.pdf,https://bulkmro.com/media/poattachment/invoice_Original_21910014.pdf,invoice_Duplicate_21910014.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_21910014.pdf,invoice_Triplicate_21910014.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_21910014.pdf
848833,20610471,10610366,invoice_Original_20610471.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610471.pdf,invoice_Duplicate_20610471.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610471.pdf,invoice_Triplicate_20610471.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610471.pdf
848831,20610469,10610249,invoice_Original_20610469.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610469.pdf,invoice_Duplicate_20610469.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610469.pdf,invoice_Triplicate_20610469.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610469.pdf
848829,20610468,10610208,invoice_Original_20610468.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610468.pdf,invoice_Duplicate_20610468.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610468.pdf,invoice_Triplicate_20610468.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610468.pdf
848827,20610465,10610348,invoice_Original_20610465.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20610465.pdf,invoice_Duplicate_20610465.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20610465.pdf,invoice_Triplicate_20610465.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20610465.pdf
848825,20210968,10210544,invoice_Original_20210968.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210968.pdf,invoice_Duplicate_20210968.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210968.pdf,invoice_Triplicate_20210968.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210968.pdf
848823,20210967,10210803,invoice_Original_20210967.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210967.pdf,invoice_Duplicate_20210967.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210967.pdf,invoice_Triplicate_20210967.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210967.pdf
848821,20210966,10210799,invoice_Original_20210966.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210966.pdf,invoice_Duplicate_20210966.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210966.pdf,invoice_Triplicate_20210966.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210966.pdf
848819,20210965,10210608,invoice_Original_20210965.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210965.pdf,invoice_Duplicate_20210965.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210965.pdf,invoice_Triplicate_20210965.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210965.pdf
848817,20210964,10210791,invoice_Original_20210964.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210964.pdf,invoice_Duplicate_20210964.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210964.pdf,invoice_Triplicate_20210964.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210964.pdf
848815,20210963,10210913,invoice_Original_20210963.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210963.pdf,invoice_Duplicate_20210963.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210963.pdf,invoice_Triplicate_20210963.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210963.pdf
848813,20210962,10210852,invoice_Original_20210962.pdf,https://bulkmro.com/media/poattachment/invoice_Original_20210962.pdf,invoice_Duplicate_20210962.pdf,https://bulkmro.com/media/poattachment/invoice_Duplicate_20210962.pdf,invoice_Triplicate_20210962.pdf,https://bulkmro.com/media/poattachment/invoice_Triplicate_20210962.pdf
