legacy_id,inquiry_number,calculation_sheet,calculation_sheet_path,customer_po_sheet,customer_po_sheet_path,email_attachment,email_attachment_path,supplier_quote_attachment,sqa_path,supplier_quote_attachment_additional,sqa_additional_path
18133,15515,15515CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15515CalculationSheet.xlsx,15515POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15515POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18132,15514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18131,15513,15513CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15513CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18130,15512,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18129,15511,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18128,15510,15510CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15510CalculationSheet.xlsx,1712119.pdf,https://bulkmro.com/media/quotation_attachment1/1712119.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18127,15509,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18126,15508,15508CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15508CalculationSheet.xlsx,undefinedPOSheet.pdf,https://bulkmro.com/media/quotation_attachment1/undefinedPOSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18125,15507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18124,15506,15506CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15506CalculationSheet.xlsx,15506POSheet.jpg,https://bulkmro.com/media/quotation_attachment1/15506POSheet.jpg,NULL,NULL,NULL,NULL,NULL,NULL
18123,15505,15505CalculationSheet.pdf,https://bulkmro.com/media/quotation_attachment/15505CalculationSheet.pdf,15505POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15505POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18122,15504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18121,15503,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18120,15502,15502CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15502CalculationSheet.xlsx,15502POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15502POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18119,15501,15501CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15501CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18118,15500,15500CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15500CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18117,15499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18116,15498,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18115,15497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18114,15496,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18113,15495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18112,15494,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18111,15493,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18110,15492,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18109,15491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18108,15490,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18107,15489,15489CalculationSheet.pdf,https://bulkmro.com/media/quotation_attachment/15489CalculationSheet.pdf,15489POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15489POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18106,15488,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18105,15487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18104,15486,15486CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15486CalculationSheet.xlsx,15486POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15486POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18062,15445,15445CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15445CalculationSheet.xlsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18044,15427,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18042,15425,15425CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15425CalculationSheet.xlsx,15425POSheet.PDF,https://bulkmro.com/media/quotation_attachment1/15425POSheet.PDF,NULL,NULL,NULL,NULL,NULL,NULL
18034,15417,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18033,15416,15416CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15416CalculationSheet.xlsx,15416POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15416POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18032,15415,15415CalculationSheet.xlsx,https://bulkmro.com/media/quotation_attachment/15415CalculationSheet.xlsx,15415POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15415POSheet.pdf,NULL,NULL,NULL,NULL,NULL,NULL
18026,15409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18025,15408,15408_Calc_Sheet.xlsx,https://bulkmro.com/media/quotation_attachment/15408_Calc_Sheet.xlsx,15408POSheet.pdf,https://bulkmro.com/media/quotation_attachment1/15408POSheet.pdf,NULL,NULL,15408SupplierQuote.pdf,https://bulkmro.com/media/quotation_attachment3/15408SupplierQuote.pdf,NULL,NULL
