Order Number,Sales Order Row ID,SKU,Old Margin,New Margin,Unit Cost Price with Freight,Unit Selling Price
201681,46787,BM0O4J8,-2.0,2.47,15.0,15.38
201681,46788,BM0O4O5,33.0,32.66,20.0,29.7
201681,46789,BM0O4R3,-28.0,-22.95,15.0,12.2
201681,46792,BM0O4T7,-1.0,4.52,7.6,7.96
201683,46799,BM0O4Q3,-1.0,2.47,15.0,15.38
2000185,46806,BM9E6L4,19.0,19.01,204.42,252.4
2000185,46807,BM9E6L5,19.0,19.01,79.61,98.3
2000185,46808,BM9E6L6,19.0,19.01,106.07,130.97
2000185,46809,BM9E6L7,19.0,19.01,59.09,72.96
201642,46814,BM0O4F0,5.0,4.95,0.96,1.01
201642,46815,BM0O4F1,10.0,13.96,2.28,2.65
201642,46816,BM0O4F2,21.0,24.53,3.6,4.77
201642,46826,BM0O4J6,19.0,22.39,7.0,9.02
201642,46829,BM0O4K2,44.0,46.07,2.4,4.45
201642,46833,BM0O4M7,1.0,5.73,5.1,5.41
201642,46835,BM0O4N2,3.0,7.58,5.0,5.41
201642,46836,BM0O4N3,11.0,14.72,7.24,8.49
201642,46840,BM0O4Q1,7.0,7.26,6.0,6.47
201642,46841,BM0O4Q3,5.0,8.97,14.0,15.38
201642,46842,BM0O4Q4,10.0,14.02,7.3,8.49
201642,46844,BM0O4Q6,5.0,8.97,14.0,15.38
201642,46845,BM0O4Q7,6.0,5.66,3.5,3.71
201642,46846,BM0O4Q8,-131.0,-127.08,53.0,23.34
201642,46848,BM0O4R3,17.0,21.31,9.6,12.2
201642,46854,BM0O4T3,1.0,5.72,14.5,15.38
201642,46856,BM0O4T9,1.0,5.72,15.5,16.44
201642,46862,BM0O4W1,-8.0,-3.1,9.3,9.02
201662,46883,BM9E6C8,16.0,20.09,3.5,4.38
201664,46884,BM0K8M6,16.0,20.21,7.5,9.4
201680,46915,BM0O4E3,8.0,7.59,4.75,5.14
201680,46916,BM0O4K0,-1.0,-1.01,30.0,29.7
201680,46917,BM0O4R2,19.0,18.67,22.0,27.05
201680,46918,BM0O4S1,6.0,5.73,110.0,116.69
201680,46919,BM0O4S5,-76.0,-76.21,60.0,34.05
201694,46942,BM9E4J5,8.0,12.66,8.0,9.16
201704,47014,BM9D3V6,24.0,28.89,1.6,2.25
2000023,47023,BM9C8K4,22.0,26.32,2.8,3.8
2000023,47024,BM9C8K5,22.0,26.32,2.8,3.8
2000024,47025,BM9C8K4,22.0,26.32,2.8,3.8
2000024,47026,BM9C8K5,22.0,26.32,2.8,3.8
2000026,47027,BM9C8K4,22.0,26.32,2.8,3.8
2000026,47028,BM9C8K5,22.0,26.32,2.8,3.8
2000029,47029,BM9C8K4,22.0,26.32,2.8,3.8
2000029,47030,BM9C8K5,-52.0,-47.37,5.6,3.8
2000031,47031,BM9C8K4,22.0,26.32,2.8,3.8
2000031,47032,BM9C8K5,22.0,26.32,2.8,3.8
2000375,47069,BM9E9L9,18.0,18.22,73.6,90.0
202039,47073,BM9B6G8,3.0,3.26,25.5,26.36
202039,47074,BM9B6G9,2.0,2.03,24.65,25.16
202039,47075,BM9B6H1,51.0,51.15,30.88,63.22
201736,47081,BM9E9K5,5.0,4.98,1050.0,1105.0
201736,47083,BM9E9K7,5.0,5.01,1480.0,1558.0
2000350,47142,BM9E9Y4,5.0,5.01,4270.0,4495.0
2000350,47143,BM9E9Y5,5.0,4.99,7000.0,7368.0
2002588,47145,BM9L5K4,6.0,5.89,11.5,12.22
99999017,47146,BM9L5K4,6.0,5.89,11.5,12.22
99999017,47147,BM9L5K5,36.0,36.34,23.0,36.13
2000295,47165,BM1D6A4,52.0,56.42,1.8,4.13
201803,47207,BM9E9A7,14.0,18.37,2.0,2.45
201803,47212,BM9E9B3,8.0,12.61,7.0,8.01
201802,47217,BM9B5U2,10.0,14.11,1.4,1.63
201802,47218,BM9B5U3,10.0,14.11,1.4,1.63
201802,47219,BM9B5U4,1.0,5.0,0.95,1.0
201802,47220,BM9B5U5,10.0,14.89,0.8,0.94
201802,47221,BM9B5U8,6.0,10.0,0.9,1.0
201816,47242,BM9E8D4,39.0,43.85,0.73,1.3
201816,47243,BM9E8D5,17.0,21.88,1.25,1.6
201815,47245,BM9F1D2,17.0,16.67,3.0,3.6
201815,47246,BM9F1D3,26.0,25.93,4.0,5.4
201815,47247,BM9F1D4,17.0,16.67,6.0,7.2
201815,47248,BM9F1D5,22.0,22.22,7.0,9.0
201833,47266,BM9D5X3,24.0,24.03,421.5,554.82
201833,47268,BM9F2V5,69.0,69.23,20.0,65.0
201869,47364,BM9C8K4,22.0,26.32,2.8,3.8
201869,47365,BM9C8K5,22.0,26.32,2.8,3.8
2000429,47366,BM9C8K4,26.0,26.32,2.8,3.8
2000429,47367,BM9C8K5,-52.0,-47.37,5.6,3.8
201871,47368,BM9C8K4,22.0,26.32,2.8,3.8
201871,47369,BM9C8K5,22.0,26.32,2.8,3.8
201872,47370,BM9C8K4,22.0,26.32,2.8,3.8
201872,47371,BM9C8K5,22.0,26.32,2.8,3.8
201873,47372,BM9C8K4,22.0,26.32,2.8,3.8
201873,47373,BM9C8K5,22.0,26.32,2.8,3.8
201891,47398,BM9B4E8,8.0,12.63,0.83,0.95
201891,47399,BM9F3S5,39.0,43.85,0.73,1.3
201891,47400,BM9F3S6,17.0,21.88,1.25,1.6
201891,47401,BM9F3S7,28.0,32.81,2.15,3.2
201885,47404,BM0O4E3,1.0,5.64,4.85,5.14
201885,47405,BM0O4F0,2.0,5.94,0.95,1.01
201885,47406,BM0O4F1,1.0,5.66,2.5,2.65
201885,47408,BM0O4G4,0.0,4.44,18.5,19.36
201885,47415,BM0O4J6,1.0,5.76,8.5,9.02
201885,47417,BM0O4K2,2.0,5.7,4.8,5.09
201885,47422,BM0O4M7,-15.0,-10.54,5.98,5.41
201885,47423,BM0O4N2,1.0,5.73,5.1,5.41
201885,47427,BM0O4O8,1.0,5.8,6.5,6.9
201885,47429,BM0O4Q1,7.0,7.26,6.0,6.47
201885,47430,BM0O4Q3,1.0,5.72,14.5,15.38
201885,47431,BM0O4Q4,1.0,5.77,8.0,8.49
201885,47433,BM0O4Q7,1.0,5.66,3.5,3.71
201885,47434,BM0O4R3,-27.0,-22.95,15.0,12.2
201885,47439,BM0O4T3,1.0,5.79,14.49,15.38
201885,47441,BM0O4T7,1.0,5.78,7.5,7.96
201885,47442,BM0O4T9,1.0,5.78,15.49,16.44
201890,47456,BM9E6C8,16.0,20.09,3.5,4.38
201928,47458,BM0O3Y7,4.0,4.02,168.0,175.03
201928,47459,BM0O4E3,8.0,7.59,4.75,5.14
201928,47460,BM0O4H4,6.0,5.71,18.5,19.62
201928,47461,BM0O4J9,-5.0,-5.46,17.0,16.12
201928,47462,BM0O4K4,41.0,40.74,88.0,148.51
201928,47463,BM0O4K5,-4.0,-3.69,38.5,37.13
201928,47464,BM0O4L2,16.0,15.69,26.38,31.29
201928,47465,BM0O4M2,37.0,37.16,30.0,47.74
201928,47466,BM0O4T9,-34.0,-33.82,22.0,16.44
201928,47467,BM0O4V2,20.0,19.56,32.0,39.78
202000,47480,BM9F9D8,18.0,23.08,0.2,0.26
202000,47483,BM9F9E2,37.0,41.55,1.21,2.07
202000,47484,BM9F9E3,46.0,50.0,0.09,0.18
202000,47485,BM9F9E4,40.0,44.26,0.34,0.61
201922,47520,BM0O4O5,33.0,32.66,20.0,29.7
201922,47521,BM0O4O7,-57.0,-56.64,108.0,68.95
201922,47522,BM0O4Q3,2.0,2.47,15.0,15.38
201922,47524,BM0O4Q5,-16.0,-16.41,10.0,8.59
201922,47525,BM0O4R2,19.0,18.67,22.0,27.05
201922,47526,BM0O4S7,6.0,5.73,140.0,148.51
201922,47527,BM0O4T1,55.0,54.75,60.0,132.6
201922,47528,BM0O4T2,6.0,5.73,86.0,91.23
201922,47529,BM0O4T3,33.0,33.03,10.3,15.38
201922,47530,BM0O4T7,6.0,5.78,7.5,7.96
201922,47531,BM0O4T9,-34.0,-33.82,22.0,16.44
201922,47533,BM0O4U8,6.0,5.71,18.0,19.09
201922,47534,BM0O4V2,20.0,19.56,32.0,39.78
201922,47535,BM0O4V3,31.0,30.73,14.7,21.22
201922,47536,BM9A4E4,6.0,5.76,54.98,58.34
2000194,47539,BM9F5U1,22.0,26.89,7.56,10.34
2000194,47540,BM9F5U2,22.0,26.89,7.56,10.34
201923,47544,BM9D3V6,-42.0,-42.22,3.2,2.25
2000087,47629,BM9F8C1,5.0,4.94,250.0,263.0
99999082,47630,BM9F8C2,5.0,4.94,250.0,263.0
2000087,47631,BM9F8C3,5.0,4.94,250.0,263.0
2000087,47636,BM9F8N5,5.0,4.94,250.0,263.0
99999082,47637,BM9F8N5,5.0,4.94,250.0,263.0
2000087,47638,BM9F8N6,5.0,4.94,250.0,263.0
99999082,47639,BM9F8N6,5.0,4.94,250.0,263.0
2000087,47642,BM9F8N8,5.0,4.94,250.0,263.0
