uom
ea

set
kg
pkt
reel
gram
box
ltr
can
pack
roll
pair
Each
foot
Dozen
bottle
Meter
mtr
"sq ft"
ft
inch
ream
bag
unit
mt
kit
M
"cubic meter"
"sq inch"
case
PK
