LookUp,quote number,order number,inquiry number,product sku,supplier,quantity,created at,margin percentage,unit selling price (INR),unit cost price,converted unit selling price (FC),measurement unit,HSN code,tax rate,tax amount,total,%,minus,divide,selling price is not consistent with margin,ORDER NUMBER is a NUMBER
,,201531-1,8618,BM0M6T2,Prachin Industrial Corporation,200,05-Apr-17,29,0.75,0.53,,,,14.00%,21,171,,,,FALSE,FALSE
,,201531-1,8618,BM0M6T3,Prachin Industrial Corporation,200,05-Apr-17,29,0.75,0.53,,,,14.00%,21,171,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N0,Ravi Enterprises (Pune),600,27-Jan-17,-38,0.42,0.55,,,,14.00%,35,287.28,,,,FALSE,FALSE
,,100000113-1,4661,BM1B2N8,Vraj Sales (Guj),1700,31-May-16,6,0.67,0.58,,,,5.00%,57,1195.95,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N1,Ravi Enterprises (Pune),500,27-Jan-17,-35,0.5,0.64,,,,14.00%,35,285,,,,FALSE,FALSE
,,100000774-2,4009,BM1A9C5,C.Parekh and Co.,100,31-Mar-16,68,2,0.65,,,,13.00%,26,226,,,,FALSE,FALSE
,,201531-1,8618,BM0L6N9,Prachin Industrial Corporation,200,05-Apr-17,1,0.73,0.72,,,,14.00%,20,166.44,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4F1,Embassy Office Automation,20,07-Jun-16,61,2.45,0.8,,,,13.00%,6,55.37,,,,FALSE,FALSE
,,201690-2,8990,BM0O4F1,Embassy Office Automation,12,29-Apr-17,68,2.65,0.85,,,,14.00%,4,36.25,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q2,Prachin Industrial Corporation,200,05-Apr-17,-25,0.76,0.95,,,,14.00%,21,173.28,,,,FALSE,FALSE
,,100000727-1,4124,BM0K8H5,Bhavesh Fastners,2000,19-Apr-16,26,1.47,0.99,,,,5.00%,147,3087,,,,FALSE,FALSE
,,201138-1,7329,BM3E2Z5,Ravi Enterprises (Pune),500,27-Jan-17,-1,1.07,1,,,,14.00%,75,609.9,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N2,Ravi Enterprises (Pune),300,27-Jan-17,-33,0.84,1.06,,,,14.00%,35,287.28,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q6,Prachin Industrial Corporation,200,05-Apr-17,-26,0.85,1.07,,,,14.00%,24,193.8,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q3,Prachin Industrial Corporation,200,05-Apr-17,-43,0.76,1.09,,,,14.00%,21,173.28,,,,FALSE,FALSE
,,201531-1,8618,BM0L7Q5,Prachin Industrial Corporation,200,05-Apr-17,-31,0.83,1.09,,,,14.00%,23,189.24,,,,FALSE,FALSE
,,201138-1,7329,BM3E2Z9,Ravi Enterprises (Pune),500,27-Jan-17,5,1.43,1.25,,,,14.00%,100,815.1,,,,FALSE,FALSE
,,2000039-1,10089,BM9D3V6,Victor Imports,20000,07-Jul-17,24,2.25,1.6,,,,18.00%,8100,53100,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N3,Ravi Enterprises (Pune),400,27-Jan-17,-35,1.26,1.61,,,,14.00%,71,574.56,,,,FALSE,FALSE
,,100000113-1,4661,BM0Z0A1,Vraj Sales,1000,31-May-16,-34,1.3,1.65,,,,5.00%,65,1365,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N4,Ravi Enterprises (Pune),200,27-Jan-17,-36,1.39,1.79,,,,14.00%,39,316.92,,,,FALSE,FALSE
,,100000113-1,4661,BM1B2N9,Inka Traders,3200,31-May-16,13,2.24,1.8,,,,5.00%,358,7526.4,,,,FALSE,FALSE
,,100000355-2,1667,BM1A8C0,C.Parekh and Co.,100,08-Sep-15,49,3.8,2,,,,2.00%,8,387.6,,,,FALSE,FALSE
,,201690-2,8990,BM0O4F0,Embassy Office Automation,12,29-Apr-17,-113,1.01,2.15,,,,14.00%,2,13.82,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4F0,Embassy Office Automation,20,07-Jun-16,-309,0.55,2.2,,,,13.00%,1,12.43,,,,FALSE,FALSE
,,100000140-1,4914,BM9A3R3,Tirupathi Stationery Mart,500,07-Jun-16,18,3,2.25,,,,13.00%,195,1695,,,,FALSE,FALSE
,,100000140-1,4914,BM9A3R4,Tirupathi Stationery Mart,100,07-Jun-16,18,3,2.25,,,,13.00%,39,339,,,,FALSE,FALSE
,,100000355-2,1667,BM1A8C5,C.Parekh and Co.,200,08-Sep-15,50,4.75,2.49,,,,2.00%,21,969,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E6,Embassy Office Automation,40,29-Apr-17,6,2.65,2.5,,,,14.00%,15,120.84,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4E6,Embassy Office Automation,500,07-Jun-16,10,3,2.5,,,,13.00%,195,1695,,,,FALSE,FALSE
,,201335-1,8168,BM9C8K5,Avi Global Plast Pvt. Ltd.,4800,28-Feb-17,13,3.5,2.8,,,,6.00%,1008,17808,,,,FALSE,FALSE
,,201336-1,8172,BM9C8K5,Avi Global Plast Pvt. Ltd.,600,28-Feb-17,13,3.5,2.8,,,,6.00%,126,2226,,,,FALSE,FALSE
,,201338-1,8175,BM9C8K4,Avi Global Plast Pvt. Ltd.,21000,28-Feb-17,13,3.5,2.8,,,,6.00%,4410,77910,,,,FALSE,FALSE
,,201338-1,8175,BM9C8K5,Avi Global Plast Pvt. Ltd.,15600,28-Feb-17,13,3.5,2.8,,,,6.00%,3276,57876,,,,FALSE,FALSE
,,2000028-1,10058,BM9C8K4,Avi Global Plast Pvt. Ltd.,2100,07-May-17,22,3.8,2.8,,,,18.00%,1436,9416.4,,,,FALSE,FALSE
,,2000028-1,10058,BM9C8K5,Avi Global Plast Pvt. Ltd.,1200,07-May-17,22,3.8,2.8,,,,18.00%,821,5380.8,,,,FALSE,FALSE
,,100000727-1,4124,BM0K9C4,Bhavesh Fastners,5000,19-Apr-16,26,4.34,2.9,,,,5.00%,1085,22785,,,,FALSE,FALSE
,,100001068-1,4685,BM0Z0R4,R.B. Enterprise,48,01-Jul-16,91,217.39,3,,,,5.00%,522,10956.46,,,,FALSE,FALSE
,,100000727-1,4124,BM0K8Q6,Bhavesh Fastners,1000,19-Apr-16,59,8.93,3.06,,,,5.00%,447,9376.5,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4T7,Rose Cleanwell,50,06-Jan-16,56,5,3.2,,,,13.00%,51,282.5,,,,FALSE,FALSE
,,201138-1,7329,BM0Z5N5,Ravi Enterprises (Pune),100,27-Jan-17,-36,2.56,3.31,,,,14.00%,36,291.84,,,,FALSE,FALSE
,,201138-1,7329,BM0Z6A3,Ravi Enterprises (Pune),100,27-Jan-17,19,4.6,3.4,,,,14.00%,64,524.4,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4N3,No Supplier Details,50,07-Jun-16,23,5,3.5,,,,13.00%,33,282.5,,,,FALSE,FALSE
,,201020-1,6876,BM9C7Y1,Nexus Corporation,7000,24-Dec-16,-6,3.8,3.75,,,,6.00%,1596,28196,,,,FALSE,FALSE
,,201023-1,7494,BM9C7Y1,Nexus Corporation,7400,24-Dec-16,-6,3.8,3.75,,,,6.00%,1687,29807.2,,,,FALSE,FALSE
,,201025-1,7498,BM9C7Y1,Nexus Corporation,4000,24-Dec-16,-6,3.8,3.75,,,,6.00%,912,16112,,,,FALSE,FALSE
,,201027-1,7501,BM9C7Y1,Nexus Corporation,600,24-Dec-16,-6,3.8,3.75,,,,6.00%,137,2416.8,,,,FALSE,FALSE
,,201028-1,7502,BM9C7Y1,Nexus Corporation,1000,24-Dec-16,-6,3.8,3.75,,,,6.00%,228,4028,,,,FALSE,FALSE
,,201020-1,6876,BM9C7Y1,Nexus Corporation,5000,15-Jan-17,-9,3.8,3.75,,,,6.00%,1140,20140,,,,FALSE,FALSE
,,201023-1,7494,BM9C7Y1,Nexus Corporation,600,15-Jan-17,-87,3.8,3.75,,,,6.00%,137,2416.8,,,,FALSE,FALSE
,,201025-1,7498,BM9C7Y1,Nexus Corporation,1000,15-Jan-17,-27,3.8,3.75,,,,6.00%,228,4028,,,,FALSE,FALSE
,,201027-1,7501,BM9C7Y1,Nexus Corporation,400,15-Jan-17,-9,3.8,3.75,,,,6.00%,91,1611.2,,,,FALSE,FALSE
,,200520-3,6500,BM9C3T5,Bharathi Mro Industrial Products and Solutions Co.,50,19-Oct-16,13,4.88,3.9,,,,14.00%,34,278.16,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4K2,Sundaram Marketing,10,07-Jun-16,0,4.3,4,,,,13.00%,6,48.59,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4K2,Sundaram Marketing,24,06-Jan-16,45,5,4,,,,13.00%,24,135.6,,,,FALSE,FALSE
,,201690-2,8990,BM0O4K2,Sundaram Marketing,20,29-Apr-17,21,5.09,4,,,,14.00%,14,116.05,,,,FALSE,FALSE
,,201138-1,7329,BM0Z6A4,Ravi Enterprises (Pune),100,27-Jan-17,19,5.51,4.05,,,,14.00%,77,628.14,,,,FALSE,FALSE
,,201690-2,8990,BM0O4O2,Benir E Store Solution Pvt. Ltd.,50,29-Apr-17,6,4.35,4.1,,,,14.00%,30,247.95,,,,FALSE,FALSE
,,201690-2,8990,BM0O4I5,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,33,6.47,4.33,,,,14.00%,9,73.76,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E4,Bharathi Mro Industrial Products and Solutions Co.,20,29-Apr-17,-2,4.67,4.75,,,,14.00%,13,106.48,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E4,Bharathi Mro Industrial Products and Solutions Co.,20,29-Apr-17,-2,4.67,4.75,,,,14.00%,13,106.48,,,,FALSE,FALSE
,,100000686-1,4330,BM1B2L8,Arihant Manufacturing Co,300,03-May-16,37,9,5,,,,6.00%,162,2862,,,,FALSE,FALSE
,,200953-1,7343,BM0O4M7,Bharathi Mro Industrial Products and Solutions Co.,100,21-Sep-16,-1,5.41,5.1,,,,14.00%,76,616.74,,,,FALSE,FALSE
,,200437-1,5956,BM9B7J7,TUF KOTE AUTOMOTIVE PVT LTD,50,09-Sep-16,82,45.03,5.1,,,,14.00%,315,2566.71,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E7,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,22,6.9,5.4,,,,14.00%,10,78.66,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E7,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,22,6.9,5.4,,,,14.00%,10,78.66,,,,FALSE,FALSE
,,201690-2,8990,BM0O4E7,Bharathi Mro Industrial Products and Solutions Co.,10,29-Apr-17,22,6.9,5.4,,,,14.00%,10,78.66,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4K1,Freesia InCorporation,6,06-Jan-16,64,13.5,5.5,,,,13.00%,13,91.53,,,,FALSE,FALSE
,,201690-2,8990,BM0O4K1,Freesia InCorporation,10,29-Apr-17,67,16.44,5.5,,,,14.00%,23,187.42,,,,FALSE,FALSE
,,201138-1,7329,BM0Z7Z2,Ravi Enterprises (Pune),100,27-Jan-17,19,7.6,5.61,,,,14.00%,106,866.4,,,,FALSE,FALSE
,,200494-1,6306,BM0O4Q4,Bharathi Mro Industrial Products and Solutions Co.,15,29-Sep-16,-4,5.95,5.8,,,,14.00%,12,101.75,,,,FALSE,FALSE
,,200520-3,6500,BM0O4Q4,Bharathi Mro Industrial Products and Solutions Co.,30,19-Oct-16,-5,5.95,5.83,,,,14.00%,25,203.49,,,,FALSE,FALSE
,,200520-3,6500,BM0O4T7,Bharathi Mro Industrial Products and Solutions Co.,30,19-Oct-16,-5,6,5.87,,,,14.00%,25,205.2,,,,FALSE,FALSE
,,200494-1,6306,BM0O4T7,Bharathi Mro Industrial Products and Solutions Co.,30,29-Sep-16,9,7,5.87,,,,14.00%,29,239.4,,,,FALSE,FALSE
,,201138-1,7329,BM0Z7Z3,Ravi Enterprises (Pune),100,27-Jan-17,20,8.15,5.98,,,,14.00%,114,929.1,,,,FALSE,FALSE
,,201690-2,8990,BM0O4F2,Embassy Office Automation,40,29-Apr-17,-26,4.77,6,,,,14.00%,27,217.51,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4F2,Embassy Office Automation,100,07-Jun-16,-28,4.95,6,,,,13.00%,64,559.35,,,,FALSE,FALSE
,,100000554-1,3452,BM1A5U0,A1 Steel Traders,1000,28-Mar-16,-3,6.24,6.24,,,,6.00%,390,6614.4,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4J6,Embassy Office Automation,24,06-Jan-16,29,7,6.5,,,,13.00%,31,189.84,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4J6,No Supplier Details,24,07-Jun-16,6,7.5,6.5,,,,13.00%,23,203.4,,,,FALSE,FALSE
,,201138-1,7329,BM0Z6B4,Ravi Enterprises (Pune),100,27-Jan-17,19,9.12,6.7,,,,14.00%,128,1039.68,,,,FALSE,FALSE
,,200953-1,7343,BM0O4T7,Bharathi Mro Industrial Products and Solutions Co.,50,21-Sep-16,-1,7.96,7.5,,,,14.00%,56,453.72,,,,FALSE,FALSE
,,201690-2,8990,BM0O4T7,Benir E Store Solution Pvt. Ltd.,40,29-Apr-17,6,7.96,7.5,,,,14.00%,45,362.98,,,,FALSE,FALSE
,,201539-1,8630,BM0O4T7,Chamunda Enterprise,5,31-Mar-17,-1,7.95,7.6,,,,14.00%,6,45.32,,,,FALSE,FALSE
,,100000113-1,4661,BM1B2N7,Monika Agencies,150,31-May-16,-4,8.09,7.85,,,,5.00%,61,1274.18,,,,FALSE,FALSE
,,201690-2,8990,BM0O4L9,Bharathi Mro Industrial Products and Solutions Co.,20,29-Apr-17,13,9.02,7.87,,,,14.00%,25,205.66,,,,FALSE,FALSE
,,200953-1,7343,BM0O4Q4,Bharathi Mro Industrial Products and Solutions Co.,30,21-Sep-16,-1,8.49,8,,,,14.00%,36,290.36,,,,FALSE,FALSE
,,201690-2,8990,BM0O4N3,Benir E Store Solution Pvt. Ltd.,20,29-Apr-17,6,8.49,8,,,,14.00%,24,193.57,,,,FALSE,FALSE
,,201690-2,8990,BM0O4Q4,Benir E Store Solution Pvt. Ltd.,40,29-Apr-17,6,8.49,8,,,,14.00%,48,387.14,,,,FALSE,FALSE
,,201539-1,8630,BM0O4R1,Chamunda Enterprise,7,31-Mar-17,35,13.22,8,,,,14.00%,13,105.5,,,,FALSE,FALSE
,,100000548-1,4702,BM0K8U4,Techmec Electricals (Guj),290,30-May-16,14,10.4,8.25,,,,5.00%,151,3166.8,,,,FALSE,FALSE
,,200305-1,6076,BM0K9W7,R.B.Trading Co.,10,08-Sep-16,14,10.5,8.3,,,,15.00%,16,120.75,,,,FALSE,FALSE
,,201138-1,7329,BM0Z8B7,Ravi Enterprises (Pune),100,27-Jan-17,19,11.32,8.33,,,,14.00%,158,1290.48,,,,FALSE,FALSE
,,200953-1,7343,BM0O4R1,Jafer Coir Ropes Store,30,21-Sep-16,30,13.26,8.33,,,,14.00%,56,453.49,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4G3,Tirupathi Stationery Mart,50,07-Jun-16,46,18,8.5,,,,13.00%,117,1017,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4L8,Tirupathi Stationery Mart,20,07-Jun-16,46,18,8.5,,,,13.00%,47,406.8,,,,FALSE,FALSE
,,201138-1,7329,BM0Z8B6,Ravi Enterprises (Pune),100,27-Jan-17,13,10.72,8.58,,,,14.00%,150,1222.08,,,,FALSE,FALSE
,,201138-1,7329,BM0Z8B6,Ravi Enterprises (Pune),100,27-Jan-17,41,15.7,8.58,,,,14.00%,220,1789.8,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4F7,Embassy Office Automation,50,07-Jun-16,-20,7.95,9,,,,13.00%,52,449.18,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4W1,Embassy Office Automation,200,07-Jun-16,3,10,9,,,,13.00%,260,2260,,,,FALSE,FALSE
,,200499-1,6541,BM0Z0P6,R.B. Enterprise,500,17-Oct-16,3,10,9,,,,5.00%,250,5250,,,,FALSE,FALSE
,,200499-1,6541,BM0Z0P6,R.B. Enterprise,500,17-Oct-16,3,10,9,,,,5.00%,250,5250,,,,FALSE,FALSE
,,100000727-1,4124,BM0K8N2,Bhavesh Fastners,5000,19-Apr-16,25,13.4,9.13,,,,5.00%,3350,70350,,,,FALSE,FALSE
,,100000971-1,4166,BM0P2E0,NULL,100,18-Apr-16,9,11,9.26,,,,15.00%,165,1265,,,,FALSE,FALSE
,,200494-1,6306,BM0O4Q5,Freesia InCorporation,25,29-Sep-16,-74,6,10,,,,14.00%,21,171,,,,FALSE,FALSE
,,200520-3,6500,BM0O4Q5,Freesia InCorporation,30,19-Oct-16,-74,6,10,,,,14.00%,25,205.2,,,,FALSE,FALSE
,,201690-2,8990,BM0O4Q5,Freesia InCorporation,40,29-Apr-17,-16,8.59,10,,,,14.00%,48,391.7,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4Q5,Freesia InCorporation,24,06-Jan-16,16,10,10,,,,13.00%,40,271.2,,,,FALSE,FALSE
,,100000827-1,3285,BM1A5F8,Arihant Manufacturing Co,25,11-Feb-16,43,17.5,10,,,,6.00%,26,463.75,,,,FALSE,FALSE
,,100000827-1,3285,BM1A5F9,Arihant Manufacturing Co,25,11-Feb-16,43,17.5,10,,,,6.00%,26,463.75,,,,FALSE,FALSE
,,100000827-1,3285,BM1A5G1,Arihant Manufacturing Co,25,11-Feb-16,43,17.5,10,,,,6.00%,26,463.75,,,,FALSE,FALSE
,,100000827-1,3285,BM1A5G2,Arihant Manufacturing Co,25,11-Feb-16,43,17.5,10,,,,6.00%,26,463.75,,,,FALSE,FALSE
,,100000896-1,3630,BM1A5X0,No Supplier Details,2,29-Mar-16,79,71.29,10,,,,13.00%,19,161.12,,,,FALSE,FALSE
,,201690-2,8990,BM0O4T3,Freesia InCorporation,30,29-Apr-17,33,15.38,10.3,,,,14.00%,65,526,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4T3,Freesia InCorporation,100,06-Jan-16,20,11,10.31,,,,13.00%,179,1243,,,,FALSE,FALSE
,,100000554-1,3452,BM1A5T8,A1 Steel Traders,1500,28-Mar-16,-3,10.4,10.4,,,,6.00%,976,16536,,,,FALSE,FALSE
,,201774-1,9212,BM9E9Z4,Metro Trading,100,16-May-17,0,11,10.5,,,,14.00%,154,1254,,,,FALSE,FALSE
,,200748-1,6945,BM0K8Q5,Shree Ram Sales Corporation (Guj),150,01-Dec-16,-7,11,11,,,,5.00%,83,1732.5,,,,FALSE,FALSE
,,200520-3,6500,BM9C3T3,Bharathi Mro Industrial Products and Solutions Co.,10,19-Oct-16,13,13.75,11,,,,14.00%,19,156.75,,,,FALSE,FALSE
,,200748-1,6945,BM0K9Z0,Kohinoor Paints Mart,150,01-Dec-16,8,13.6,11.6,,,,5.00%,102,2142,,,,FALSE,FALSE
,,200494-1,6306,BM0O4R3,Bharathi Mro Industrial Products and Solutions Co.,5,29-Sep-16,-5,12,11.8,,,,14.00%,8,68.4,,,,FALSE,FALSE
,,200475-1,6150,BM9B9B5,Airtech,60,27-Sep-16,92,980,11.83,,,,5.00%,2940,61740,,,,FALSE,FALSE
,,201690-2,8990,BM0O4J5,Benir E Store Solution Pvt. Ltd.,10,29-Apr-17,6,12.73,12,,,,14.00%,18,145.12,,,,FALSE,FALSE
,,100000383-1,4606,BM0P0K2,Arihant Manufacturing Co,250,26-May-16,36,21.23,12,,,,6.00%,318,5625.95,,,,FALSE,FALSE
,,200953-1,7343,BM0O4Q0,Lucky Plastics,20,21-Sep-16,39,22.38,12,,,,14.00%,63,510.26,,,,FALSE,FALSE
,,201138-1,7329,BM0Z8B5,Ravi Enterprises (Pune),100,27-Jan-17,20,16.5,12.1,,,,14.00%,231,1881,,,,FALSE,FALSE
,,2000160-2,10278,BM9G4A9,Bostan Engineering.,200,07-Jul-17,15,14.54,12.36,,,,28.00%,814,3722.24,,,,FALSE,FALSE
,,200520-3,6500,BM0O4I7,Bharathi Mro Industrial Products and Solutions Co.,25,19-Oct-16,-5,13.2,12.92,,,,14.00%,46,376.2,,,,FALSE,FALSE
,,200748-1,6945,BM0K8H8,Vardhman Distributors,100,01-Dec-16,6,14.88,13,,,,5.00%,74,1562.4,,,,FALSE,FALSE
,,201925-1,9619,BM9F6F5,Adinath Equipments Pvt. Ltd.,200,12-Jun-17,9,15,13,,,,5.00%,150,3150,,,,FALSE,FALSE
,,100000971-1,4166,BM0P0Y8,Vardhman Distributors,200,18-Apr-16,19,17.5,13,,,,15.00%,525,4025,,,,FALSE,FALSE
,,200305-1,6076,BM0K8J3,Vardhman Distributors,50,08-Sep-16,19,17.5,13,,,,5.00%,44,918.75,,,,FALSE,FALSE
,,200312-1,6010,BM9B8F4,Engent Graphics Pvt. Ltd.,500,01-Sep-16,65,47,13,,,,14.00%,3290,26790,,,,FALSE,FALSE
,,200312-1,6010,BM9B8F5,Engent Graphics Pvt. Ltd.,500,01-Sep-16,65,47,13,,,,14.00%,3290,26790,,,,FALSE,FALSE
,,200312-1,6010,BM9B8F6,Engent Graphics Pvt. Ltd.,500,01-Sep-16,65,47,13,,,,14.00%,3290,26790,,,,FALSE,FALSE
,,200312-1,6010,BM9B8F7,Engent Graphics Pvt. Ltd.,500,01-Sep-16,65,47,13,,,,14.00%,3290,26790,,,,FALSE,FALSE
,,200312-1,6010,BM9B8F8,Engent Graphics Pvt. Ltd.,500,01-Sep-16,65,47,13,,,,14.00%,3290,26790,,,,FALSE,FALSE
,,200312-1,6010,BM9B8F9,Engent Graphics Pvt. Ltd.,500,01-Sep-16,65,47,13,,,,14.00%,3290,26790,,,,FALSE,FALSE
,,200312-1,6010,BM9B8G1,Engent Graphics Pvt. Ltd.,500,01-Sep-16,65,47,13,,,,14.00%,3290,26790,,,,FALSE,FALSE
,,100000548-1,4702,BM0K8L1,Techmec Electricals (Guj),200,30-May-16,14,17.2,13.6,,,,5.00%,172,3612,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4J8,No Supplier Details,24,07-Jun-16,-7,14.02,14,,,,13.00%,44,380.22,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4J9,No Supplier Details,24,07-Jun-16,-7,14.02,14,,,,13.00%,44,380.22,,,,FALSE,FALSE
,,100000140-1,4914,BM9A3Q9,Embassy Office Automation,100,07-Jun-16,8,16.5,14,,,,13.00%,215,1864.5,,,,FALSE,FALSE
,,100000140-1,4914,BM9A3R1,Embassy Office Automation,100,07-Jun-16,8,16.5,14,,,,13.00%,215,1864.5,,,,FALSE,FALSE
,,100000140-1,4914,BM9A3R2,Embassy Office Automation,100,07-Jun-16,8,16.5,14,,,,13.00%,215,1864.5,,,,FALSE,FALSE
,,201138-1,7329,BM0Z8E4,Ravi Enterprises (Pune),100,27-Jan-17,19,19.26,14.14,,,,14.00%,270,2195.64,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4J5,Embassy Office Automation,100,07-Jun-16,-4,15,14.5,,,,13.00%,195,1695,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4V3,J K Paper Conversion Products,600,07-Jun-16,-7,14.7,14.7,,,,13.00%,1147,9966.6,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4V3,J K Paper Conversion Products,600,06-Jan-16,16,16,14.7,,,,13.00%,1467,10848,,,,FALSE,FALSE
,,201690-2,8990,BM0O4V3,J K Paper Conversion Products,300,29-Apr-17,31,21.22,14.7,,,,14.00%,891,7257.24,,,,FALSE,FALSE
,,201690-2,8990,BM0O4V3,J K Paper Conversion Products,4,29-Apr-17,34,22.38,14.75,,,,14.00%,13,102.05,,,,FALSE,FALSE
,,200494-1,6306,BM0O4V3,J K Paper Conversion Products,5,29-Sep-16,-5,15,14.8,,,,14.00%,11,85.5,,,,FALSE,FALSE
,,200494-1,6306,BM0O4Q3,Rose Cleanwell,30,29-Sep-16,-38,11.5,15,,,,14.00%,48,393.3,,,,FALSE,FALSE
,,200520-3,6500,BM0O4Q3,Rose Cleanwell,30,19-Oct-16,-38,11.5,15,,,,14.00%,48,393.3,,,,FALSE,FALSE
,,200953-1,7343,BM0O4Q3,Rose Cleanwell,30,21-Sep-16,-5,15.38,15,,,,14.00%,65,526,,,,FALSE,FALSE
,,201690-2,8990,BM0O4Q3,Rose Cleanwell,40,29-Apr-17,2,15.38,15,,,,14.00%,86,701.33,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4H3,No Supplier Details,20,07-Jun-16,-4,15.41,15,,,,13.00%,40,348.27,,,,FALSE,FALSE
,,100000352-1,4434,BM0O7Y8,Gayatri Abrasives,20,31-May-16,5,17,15,,,,5.00%,17,357,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4Q3,Rose Cleanwell,24,06-Jan-16,21,17.6,15,,,,13.00%,64,477.31,,,,FALSE,FALSE
,,200275-2,5897,BM9B6L7,Aim Safety,150,22-Aug-16,24,20,15,,,,6.00%,195,3180,,,,FALSE,FALSE
,,200275-2,5897,BM9B6L9,Aim Safety,50,22-Aug-16,33,20,15,,,,6.00%,75,1060,,,,FALSE,FALSE
,,100000383-1,4606,BM9A2Y2,Arihant Enterprise,250,09-Jun-16,22,21.23,15,,,,13.00%,690,5997.48,,,,FALSE,FALSE
,,100000896-1,3630,BM1A5W9,No Supplier Details,2,29-Mar-16,73,76.95,15,,,,13.00%,20,173.91,,,,FALSE,FALSE
,,201138-1,7329,BM0Z8E5,Ravi Enterprises (Pune),100,27-Jan-17,19,20.62,15.13,,,,14.00%,289,2350.68,,,,FALSE,FALSE
,,100000113-1,4661,BM0Y9Z9,R.B. Enterprise,600,31-May-16,-2,16,15.2,,,,5.00%,480,10080,,,,FALSE,FALSE
,,200499-1,6541,BM0Y9Z9,R.B. Enterprise,510,17-Oct-16,-2,16,15.2,,,,15.00%,1224,9384,,,,FALSE,FALSE
,,201308-1,8161,BM0Y9Z9,R.B. Enterprise,600,31-Jan-17,-2,16,15.2,,,,5.00%,480,10080,,,,FALSE,FALSE
,,100000554-1,3452,BM1A5T9,A1 Steel Traders,2700,28-Mar-16,-3,15.6,15.6,,,,6.00%,2635,44647.2,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4G7,Freesia InCorporation,100,06-Jan-16,9,15.95,15.95,,,,13.00%,244,1802.35,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4G7,Freesia InCorporation,100,07-Jun-16,-4,16.5,15.95,,,,13.00%,215,1864.5,,,,FALSE,FALSE
,,201690-2,8990,BM0O4G7,Freesia InCorporation,20,29-Apr-17,9,17.5,15.95,,,,14.00%,49,399,,,,FALSE,FALSE
,,201690-2,8990,BM0O4G7,Freesia InCorporation,20,29-Apr-17,9,17.5,15.95,,,,14.00%,49,399,,,,FALSE,FALSE
,,201690-2,8990,BM0O4G7,Freesia InCorporation,20,29-Apr-17,9,17.5,15.95,,,,14.00%,49,399,,,,FALSE,FALSE
,,201690-2,8990,BM0O4G7,Freesia InCorporation,20,29-Apr-17,9,17.5,15.95,,,,14.00%,49,399,,,,FALSE,FALSE
,,201774-1,9212,BM9E9Z1,Metro Trading,50,16-May-17,1,17,16,,,,14.00%,119,969,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4G9,Freesia InCorporation,24,06-Jan-16,8,16.5,16.5,,,,13.00%,60,447.48,,,,FALSE,FALSE
,,100000140-1,4914,BM0O4G9,Freesia InCorporation,50,07-Jun-16,-7,16.51,16.5,,,,13.00%,107,932.82,,,,FALSE,FALSE
,,100000960-1,2505,BM0O4J5,Freesia InCorporation,1,06-Jan-16,95,330,17,,,,13.00%,44,372.9,,,,FALSE,FALSE
