increment_id,doc_entry,sup_code,quotation_item_id,quotation_id,order,product_id,qty,qty_requested,qty_ordered,discount_purcent,discount_amount,display_in_front,price_ht,caption,eco_tax,weight,exclude,name,cost,sku,options,description,original_price,mpn,uom,leadtime,source,currency,supplier_id,tax_class_id,tax_code,product_brand,hsncode,bpcat,line_num,is_locked,is_kit
20289,NULL,SC-00029,56371,22925,1,95840,1,0,0,0.00,0.00,1,367.80,"STANLEY Crimping Plier Set, Length 230 mm/9"" - 84-253-22",0.00,0.00,0,0,311.90,BM0C7B3,NULL,NULL,367.80,84-253-22,EA,,0,0,135,16,"IGST 18%",0,8203,NULL,NULL,0,0
20289,NULL,SC-00029,56372,22925,2,678151,1,0,0,0.00,0.00,1,42.37,"Packing and Forwarding (Deleted)",0.00,0.00,0,0,42.37,BM99999,NULL,NULL,42.37,,Ea,,0,0,135,16,"IGST 18%",0,9967,NULL,NULL,0,0
20290,NULL,SC-00029,56373,22926,1,645480,1,0,0,0.00,0.00,1,173.72,"STANLEY Combination Plier, Double Color Sleeve, Length 205mm/8"" - 70-482",0.00,0.00,0,0,150.80,BM0C7Q5,NULL,NULL,173.73,70-482,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20291,NULL,SC-00029,56374,22927,1,646200,1,0,0,0.00,0.00,1,1991.53,"STANLEY Combination Spanner Set, 23 Piece - 70-965E - BM0C8W6",0.00,0.00,0,0,1283.15,BM0C8W6,NULL,NULL,1991.53,70-965E,SET,,0,0,135,16,"IGST 18%",0,82041110,NULL,NULL,0,0
20292,NULL,SC-00029,56375,22928,1,645880,2,0,0,0.00,0.00,1,137.71,"STANLEY Wood Handle Nail Hammer, 450 gms/16 - 51-159",0.00,0.45,0,0,199.52,BM0C7G7,NULL,NULL,275.42,51-159,EA,,0,0,135,16,"IGST 18%",0,8467,NULL,NULL,0,0
20293,NULL,SC-00029,56376,22929,1,95840,1,0,0,0.00,0.00,1,367.80,"STANLEY Crimping Plier Set, Length 230 mm/9"" - 84-253-22",0.00,0.00,0,0,311.90,BM0C7B3,NULL,NULL,367.80,84-253-22,EA,,0,0,135,16,"IGST 18%",0,8203,NULL,NULL,0,0
20294,NULL,SC-00029,56377,22930,1,95582,1,0,0,0.00,0.00,1,639.83,"STANLEY Rubber Grip Hacksaw, Adjustable Frame - 15-265-23",0.00,0.00,0,0,466.90,BM0C7I5,NULL,NULL,627.12,15-265-23,EA,,0,0,135,16,"IGST 18%",0,82021010,NULL,NULL,0,0
20295,NULL,SC-00029,56378,22931,1,698424,1,0,0,0.00,0.00,1,351.69,"STANLEY Plier Linesman, Length 205mm/8"" - STHT84113-8",0.00,0.00,0,0,241.28,BM1G0B7,NULL,NULL,351.69,STHT84113-8,EA,,0,0,135,16,"IGST 18%",0,82032000,NULL,NULL,0,0
20296,NULL,SC-00029,56379,22932,1,645563,1,0,0,0.00,0.00,1,1016.95,"STANLEY Hacksaw Steelframe, Length 305 mm/12"" - 15-166",0.00,0.00,0,0,683.65,BM0C7I4,NULL,NULL,1004.24,15-166,EA,,0,0,135,16,"IGST 18%",0,82021010,NULL,NULL,0,0
20297,NULL,SC-00029,56380,22933,1,95582,1,0,0,0.00,0.00,1,639.83,"STANLEY Rubber Grip Hacksaw, Adjustable Frame - 15-265-23",0.00,0.00,0,0,466.90,BM0C7I5,NULL,NULL,639.83,15-265-23,EA,,0,0,135,16,"IGST 18%",0,82021010,NULL,NULL,0,0
