Inside Sales Name,Client Order Date,Price Currency,Document Rate,Magento Company Name,Company Alias,Inquiry Number,So #,Order Date,Bm #,Description,Order Qty,Unit Selling Price,Freight,Tax Type,Tax Rate,Tax Amount,Total Selling Price,Total Landed Cost,Unit cost price,Margin,Margin (In %),Kit,AE,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,Abs. Mismatch,Mismatch
Sukriti Ranjan,8-Nov-15,INR,1,Palm Grove Beach Hotel Pvt. Ltd.,Palm Grove Beach Hotel,2058,200213,8-Nov-15,BM1A8L5,Part # STXH2000-IN - Hot Air Blower,2,1785,0,12.5% VAT,13.00%,464.1,3570,3054,1527,516,14.45%,No,No,3500,3955,3570,4034.1,79.0999999999999,-79.0999999999999
Sukriti Ranjan,8-Nov-15,INR,1,Palm Grove Beach Hotel Pvt. Ltd.,Palm Grove Beach Hotel,2058,200213,8-Nov-15,BM1A8L6,Part # STHT72992-812 - Line Tester,30,43.8666666666667,0,12.5% VAT,13.00%,171.08,1316,1140,38,176,13.37%,No,No,1290,1457.7,1316,1487.08,29.3799999999999,-29.3799999999999
Sukriti Ranjan,8-Nov-15,INR,1,Palm Grove Beach Hotel Pvt. Ltd.,Palm Grove Beach Hotel,2058,200213,8-Nov-15,BM1A8L7,Part # STSP125-IN -,2,2913,0,12.5% VAT,13.00%,757.38,5826,5619,2809.5,207,3.55%,No,No,5712,6454.56,5826,6583.38,128.82,-128.82
Nisha Patil,23-Sep-15,INR,1,Cytec India Specialty Chemicals and Materials Pvt. Ltd.,Cytec India,1775,200226,23-Sep-15,BM1A8F0,Non Return Valve 25 NB SS316LÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹ ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹1ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€šÃ‚Â_x009d_ NPT (F X F) - Make: powerflex,2,3092,0,12.5% VAT,13.00%,803.92,6184,5144,2572,1040,16.82%,No,No,5984,6761.92,6184,6987.92,226,-226
Nisha Patil,23-Sep-15,INR,1,Cytec India Specialty Chemicals and Materials Pvt. Ltd.,Cytec India,1775,200226,23-Sep-15,BM1A8F1,"ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¹MS PTFE, NRV size 40 NB F/E Rating 150# - Make: powerflex",2,5350,0,12.5% VAT,13.00%,1391,10700,9029,4514.5,1671,15.62%,No,No,10500,11865,10700,12091,226,-226
Others,1-Mar-16,INR,1,Survival Systems India,SSI,3234,200227,1-Mar-16,BM0P0P2,Foil blanket (adult size),3,1349,0,12.5% VAT,13.00%,175.37,1349,1196,398.666666666667,153,11.34%,No,No,4047,4573.11,1349,1524.37,3048.74,3048.74
Lavanya Jamma,2-Feb-16,INR,1,APM Terminals India Pvt. Ltd.,APM Terminals,3225,200228,2-Feb-16,BM0C7G0,Ball Pein Hammer 220gms-8,15,90.2,0,12.5% VAT,13.00%,175.89,1353,2974.7,198.313333333333,-1621.7,-119.86%,No,No,2088,2359.44,1353,1528.89,830.55,830.55
Swati Bhosale,2-Feb-16,INR,1,APM Terminals India Pvt. Ltd.,APM Terminals,3225,200228,2-Feb-16,BM0C8D6,"Fix Bar 'Screwdriver, Phillips #2 X 300mm",44,6.36363636363636,0,12.5% VAT,13.00%,36.4,280,164.28,3.73363636363636,115.72,41.33%,No,No,1680,1898.4,280,316.4,1582,1582
Swati Bhosale,2-Feb-16,INR,1,APM Terminals India Pvt. Ltd.,APM Terminals,3225,200228,2-Feb-16,BM1A3W6,COMBINATION WRENCH 1',7,65.4285714285714,0,12.5% VAT,13.00%,59.54,458,170.59,24.37,287.41,62.75%,No,No,980,1107.4,458,517.54,589.86,589.86
Davinder Singh,23-Oct-15,INR,1,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),GE,2514,200234,16-Nov-15,BM0Z1F5,"Aluminium Rotary Drum Pump Diesel Fuel Kero Oil Petrol 44 Gallon Drum Hand Pump
Size- 1""
Suction tube: Rigid",10,3710,0,12.5% VAT,13.00%,4823,37100,19265,1926.5,17835,48.07%,No,No,31500,35595,37100,41923,6328,-6328
Shailender Agarwal,4-Jan-16,INR,1,Gruppe Littlesilver,ONGC,3033,200237,4-Feb-16,BM1A4U6,"DGMS Approved Flp Wp Junction Box - Suitable Cable Gland : 6 Nos , Suitable Plug : 5 Nos",3,53030.0461027346,0,14.0% VAT,14.00%,22272.6193631485,159090.138308204,43855,14618.3333333333,115235.138308204,72.43%,No,No,132390.99,150925.73,159090.14,181362.76,30437.03,-30437.03
Shailender Agarwal,4-Jan-16,INR,1,Gruppe Littlesilver,ONGC,3033,200237,4-Feb-16,BM1A8X2,"DGMS Approved Flp Wp Junction Box - With 4 No of suitable cable gland, 3 Plug &
1 No : 3/4"" NPT(M) To 3/4"" NPT (M) connector ( Ex- Proof)",3,5222.05723059877,0,14.0% VAT,14.00%,2193.26403685148,15666.1716917963,3870,1290,11796.1716917963,75.30%,No,No,13037.01,14862.19,15666.17,17859.43,2997.24,-2997.24
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM0C8U4,Part # 70-395E - ShalOfsetBi-HxRngSPANNER12Set6X7-30X32mm Make: Stanley,10,1490.008,0,2.0% VAT,2.00%,298.0016,14900.08,8712,871.2,6188.08,41.53%,No,No,13345,13611.9,14900.08,15198.08,1586.18,-1586.18
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3O0,"PUNCH TYPE: NUMBER, POINT SIZE: 3/16 IN",4,230.285,0,2.0% VAT,2.00%,18.4228,921.14,602,150.5,319.14,34.65%,No,No,825,841.5,921.14,939.56,98.0599999999999,-98.0599999999999
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3O1,"PLIERS, RETAINING RING TYPE: INTERNAL, JAW OPENING CAPACITY: 85 ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œ 165 MM, LENGTH: 600 MM, MATERIAL: CHROME VANADIUM STEEL",6,1357.69833333333,0,2.0% VAT,2.00%,162.9238,8146.19,5321,886.833333333333,2825.19,34.68%,No,No,7296,7441.92,8146.19,8309.11,867.19,-867.19
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3O3,"Heavy Duty Bench Vice (Double Ribbed)ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â - Size: 8"" / 200 mm",2,14919.615,0,2.0% VAT,2.00%,596.7846,29839.23,18692,9346,11147.23,37.36%,No,No,26725,27259.5,29839.23,30436.01,3176.51,-3176.51
Shailender Agarwal,7-Jan-16,INR,1,Cairn India Ltd.,Cairn,2119,200256,7-Jan-16,BM1A3O7,"SHCKL D,80,2T,SCRW,1/2IN",12,123.3825,0,2.0% VAT,2.00%,29.6118,1480.59,938,78.1666666666667,542.59,36.65%,No,No,1326.96,1353.5,1480.59,1510.2,156.7,-156.7
