invoice_number,commited date,delivery date
202001557,8/21/2018,8/31/2018
202001652,8/1/2019,8/21/2019
202001535,7/31/2019,8/23/2019
202001532,8/6/2019,8/10/2019
205000208,8/30/2019,8/7/2019
202001454,3/1/2019,3/11/2019
205000244,7/20/2019,8/21/2019
202001587,8/12/2019,8/16/2019
208000071,8/8/2019,8/12/2019
202001584,9/2/2019,8/17/2019
208000072,8/5/2019,8/12/2019
202001579,4/19/2019,6/2/2019
204000569,8/28/2019,8/16/2019
202001597,12/15/2018,8/13/2019
208000070,8/13/2019,8/12/2019
208000069,8/13/2019,8/9/2019
202001599,8/25/2019,8/16/2019
202001600,8/2/2019,8/19/2019
202001603,9/1/2019,8/16/2019
202001608,9/6/2019,8/16/2019
202001601,8/15/2019,8/16/2019
202001607,8/4/2019,8/16/2019
202001610,6/7/2019,6/24/2019
202001611,6/1/2019,8/13/2019
202001615,7/10/2019,8/16/2019
202001613,8/17/2019,8/16/2019
202001612,8/10/2019,8/13/2019
205000236,9/30/2019,8/12/2019
202001618,8/3/2019,8/11/2019
204000574,8/14/2019,8/14/2019
202001621,8/29/2019,8/19/2019
202001620,6/24/2019,8/8/2019
202001622,4/25/2019,8/17/2019
202001623,6/21/2019,8/17/2019
202001625,7/31/2019,8/13/2019
202001626,3/30/2019,8/14/2019
202001633,8/10/2019,8/14/2019
202001632,11/9/2018,8/14/2019
208000074,7/25/2019,8/3/2019
202001575,4/20/2019,8/12/2019
205000229,8/10/2019,8/21/2019
202001643,8/26/2019,8/19/2019
202001639,5/8/2019,8/13/2019
202001604,8/10/2019,8/20/2019
202001507,8/1/2019,8/3/2019
202001644,8/10/2019,8/16/2019
202001646,4/22/2019,8/16/2019
202001648,9/30/2019,8/19/2019
202001617,8/10/2019,8/11/2019
205000234,7/30/2019,8/23/2019
205000238,7/30/2019,8/17/2019
202001501,8/20/2019,8/9/2019
202001662,8/15/2019,8/23/2019
204000581,8/12/2019,8/19/2019
205000239,8/10/2019,8/17/2019
202001664,8/3/2019,8/19/2019
205000242,8/5/2019,8/23/2019
202001668,8/8/2019,8/22/2019
202001670,9/12/2019,8/22/2019
208000075,8/22/2019,8/16/2019
202001673,1/26/2019,2/25/2019
202001665,8/13/2019,8/20/2019
202001676,6/19/2019,8/14/2019
202001677,5/1/2019,8/23/2019
202001678,5/1/2019,8/23/2019
202001680,8/17/2019,8/23/2019
