Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
Yes,Hindustan Zinc Ltd,Hindustan Zinc Ltd,No-Yes,HZL,Hindustan Zinc,Customer
Yes,Hindustan Zinc Ltd,Hindustan Zinc Ltd.,Yes-Yes,HZL,Hindustan Zinc,Customer
,HMT Machine Tools Ltd.,HMT Machine Tools Ltd.,No-Yes,HMT,HMT Machine,Customer
,HN Hospital,HN HOSPITAL,No-Yes,HN Hospital,HNH,Customer
,HPCL Mittal Energy Ltd.,HPCL Mittal Energy Ltd.,No-Yes,HMEL,HPCL Mittal Energy Ltd.,Customer
,HPCL Mittal Pipelines Ltd.,HPCL Mittal Pipelines Ltd.,No-Yes,HMPL,HPCL Mittal Energy Ltd.,Customer
,HPL Additives Ltd.,HPL Additives Ltd.,No-Yes,HPL Additives,HPL,Customer
,Husco Hydraulics Pvt. Ltd.,Husco Hydraulics Pvt. Ltd.,No-Yes,Husco Hydraulics,Husco,Customer
,Hyosung T&D India Pvt. Ltd.,Hyosung T and D India Pvt. Ltd.,Yes-No,Hyosung,Hyosung,Customer
,I3PL India Pvt. Ltd.,I3PL India Pvt. Ltd.,No-Yes,I3PL,I3PL India,Customer
,IAC International Automotive India Pvt. Ltd.,IAC International Automotive India Pvt. Ltd.,No-Yes,IAC,IAC International,Customer
,I-CHESS Chemicals Pvt. Ltd.,I-CHESS Chemicals Pvt. Ltd.,No-Yes,I-CHESS Chemicals,I-Chess,Customer
,IEEC Power Electronics Pvt. Ltd.,IEEC Power Electronics Pvt. Ltd.,No-Yes,IEEC Power Electronics,IEEC Power Electronics Pvt. Ltd.,Customer
,Indeed India Operations Pvt. Ltd.,Indeed India Operations Pvt. Ltd..,Yes-Yes,Indeed,Indeed India,Customer
,India Crank Manufacturing Co.,India Crank Manufacturing Co.,No-Yes,India Crank,India Crank Mfg,Customer
,India Metal One Steel Plate Processing Pvt. Ltd.,India Metal One Steel Plate Processing Pvt. Ltd.,No-Yes,India Metal One,Metal One,Customer
,Indian Immunologicals Ltd.,Indian Immunologicals Ltd.,No-Yes,Indian Immunologicals,Indian Immunological,Customer
,Indian Institute Of Science Education & Research,Indian Institute Of Science Education & Research,No-Yes,IISER,Legacy Account,Customer
,India Nippon Electrical Ltd.,India Nippon Electrical Ltd.,No-Yes,India Nippon Electrical,India Nippon Elec.,Customer
,Indian Railway Board,Indian Railway Board,No-Yes,Indian Railways,Indian Railway,Customer
,Indian Transformers and Electrical,Indian Transformers and Electrical,No-Yes,Indian Transformers,Indian Transformer,Customer
Yes,Indraprastha Gas Ltd.,Indraprashta Gas Ltd.,Yes-Yes,IGL,Indraprashta Gas,Customer
,Industrial Metal Powders India Pvt. Ltd.,Industrial Metal Powders India Pvt. Ltd.,No-Yes,Industrial Metal Powders,Industrial Metal Pow,Customer
,IndustrialSource Technologies,IndustrialSource Technologies,No-Yes,IndustrialSource Tech,IndustrialSource Tec,Customer
,Innovation Electronics Pvt. Ltd.,Innovation Electronics Pvt. Ltd.,No-Yes,Innovation Electronics,Innovation Elec,Customer
,Instakart Services Pvt. Ltd.,Instakart Services Pvt. Ltd.,No-Yes,Instakart,Instakart Services,Customer
,Institute for Plasma Research,Institute for Plasma Research,No-Yes,Institute for Plasma Research,Institute for Plasma,Customer
,International Print-O-Pac Ltd.,International Print-O-Pac Ltd.,No-Yes,International Print-O-Pac,International Pac,Customer
,Inventia Healthcare Ltd.,Inventia Healthcare Ltd.,No-Yes,Inventia Healthcare,Inventia Healthcare Ltd.,Customer
,IPEM Group of Institutions,IPEM Group of Institutions,No-Yes,IPEM,IPEM Group,Customer
,Jabil Circuit India Pvt. Ltd.,Jabil Circuit India Pvt. Ltd.,No-Yes,Jabil Circuit,Jabil Circuit India,Customer
,Jacliz Nigeria Ltd.,Jacliz Nigeria Ltd.,No-Yes,Jacliz Nigeria,Jacliz Nigeria Ltd.,Customer
,Jadid Technology India Pvt. Ltd.,Jadid Technology India Pvt. Ltd.,No-Yes,Jadid Technology,JADID,Customer
,Jain Trading Co.,Jain Trading Co.,No-Yes,Jain Trading,Jain Trading Co.,Customer
,J.B. Chemicals and Pharmaceuticals Ltd.,J.B. Chemicals and Pharmaceuticals Ltd.,No-Yes,JB Chemicals,J.B. Chem and Pharma,Customer
,J. H. Parabia Transport Pvt. Ltd.,J. H. Parabia Transport Pvt. Ltd.,No-Yes,JH Parabia Transport,Parabia Transport,Customer
,John Crane Sealing System India Pvt. Ltd.,John Crane Sealing System India Pvt. Ltd.,No-Yes,John Crane Steeling System,John Crane Steeling System India Pvt. Ltd.,Customer
,John Deere India Pvt. Ltd.,John Deere India Pvt. Ltd.,No-Yes,John Deere,John Deere India Pvt. Ltd.,Customer
,Johnson Controls India Pvt. Ltd.,Johnson Controls India Pvt. Ltd.,No-Yes,Johnson Controls,Johnson Matthey Chem,Customer
,Johnson Matthey Chemicals India Pvt. Ltd.,Johnson Matthey Chemicals India Pvt. Ltd.,No-Yes,Johnson Matthey,Johnson Matthey Chem. India,Customer
Yes,Jones Lang Lasalle Property Consultants India Pvt. Ltd.,Jones Lang Lasalle Property Consultants India Pvt. Ltd.,No-Yes,JLL,Shell,Customer
Yes,Jones Lang Lasalle Property Consultants India Pvt. Ltd.,Jones Lang LaSalle Property Consultants (India) Pvt. Ltd.,Yes-Yes,JLL,Shell,Customer
,JSW Global Business Solutions,JSW Global Business Solutions,No-Yes,Jindal,JSW Global Business Solutions,Customer
,JSW Infrastructure Ltd.,JSW Infrastructure Ltd.,No-Yes,Jindal,JSW,Customer
,JSW Steel Coated Products Ltd.,JSW Steel Coated Products Ltd.,No-Yes,Jindal,JSW Steel,Customer
Yes,Jubilant Life Sciences Ltd.,Jubailant Life Sciences Ltd.,Yes-No,Jubilant,Jubilant,Customer
,Kadakia Sales Corporation,Kadakia Sales Corporation,No-Yes,Kadakia Sales,Kadakia Sales Corp.,Customer
,Kalpataru Power Transmission Ltd.,Kalpataru Power Transmission Ltd.,No-Yes,Kalpataru Power,Kalpataru,Customer
,Kamax International Corporate Ltd.,Kamax International Corporate Ltd.,No-Yes,Kamax International,Kamax International Corporate Ltd.,Customer
,Kankai Pipes and Fittings Pvt. Ltd.,Kankai Pipes and Fittings Pvt. Ltd.,No-Yes,Kankai Pipes,KankaiPipes,Customer
,Kapsons Industries Pvt. Ltd.,Kapsons Industries Pvt. Ltd.,No-Yes,Kapsons,Kapsons Industries,Customer
,Karam Industries,Karam Industries,No-Yes,Karam,Karam Industries,Customer
,KBS Creations,KBS Creations,No-Yes,KBS,KBS Creations,Customer
,KEC Bearings Pvt.Ltd.,KEC Bearings Pvt.Ltd.,No-Yes,KEC,KEC Bearings,Customer
,KEC International Ltd.,KEC International Ltd.,No-Yes,KEC,KEC International,Customer
,KEM Hospital,KEM Hospital,No-Yes,KEM Hospital,KEM,Customer
,Kerala Minerals and Metals Ltd.,Kerala Minerals and Metals Limited,Yes-No,Kerala Minerals,Kerala Minerals,Customer
,K-Flex India Pvt. Ltd.,K-Flex India Pvt. Ltd.,No-Yes,K-Flex,K-Flex India,Customer
,KG Offshore Services Pvt. Ltd.,KG Offshore Services Pvt. Ltd.,No-Yes,KG Offshore,KG Offshore Services,Customer
,Khusheim Co.,Khusheim Co.,No-Yes,Khusheim,Khusheim Co.,Customer
,Kider India Pvt. Ltd.,Kider India Pvt. Ltd.,No-Yes,Kider,Kider India,Customer
,KION India Pvt. Ltd.,KION India Pvt. Ltd.,No-Yes,KION,KION India,Customer
,K. J. Hospital Pvt. Ltd.,K. J. Hospital Pvt. Ltd.,No-Yes,KJ Hospital,K.J. Hospital,Customer
,K. K. Nag Pvt. Ltd.,K. K. Nag Pvt. Ltd.,No-Yes,KK Nag,K. K. Nag Pvt. Ltd.,Customer
,K. K. Spun India Ltd.,KK Spun India Ltd.,Yes-No,KK Spun,KK Spun,Customer
,K. L. Project Pvt. Ltd.,K. L. Project Pvt. Ltd.,No-Yes,KL Project,K. L. Project,Customer
,K. M. Enterprise,K. M. Enterprise,No-Yes,KM Enterprise,K. M. Enterprise,Customer
,Koch Chemical Technology Group India Pvt. Ltd.,Koch Chemical Technology Group India Pvt. Ltd.,No-Yes,Koch Chemical Group,Koch Chemical Tech,Customer
,Kolhapur Zilla Sahakari Dudh Utpadak Sangh Ltd.,Kolhapur Zilla Sahakari Dudh Utpadak Sangh Ltd.,No-Yes,Kolhapur Zilla Sangh,Kolhapur Zilla,Customer
,Korea Business Development Center,Korea Business Development Center,No-Yes,Korea Business Dev,Korea Business Dev.,Customer
,K. R. Enterprises,K. R. Enterprises,No-Yes,KR Enterprises,K. R. Enterprises,Customer
Yes,K R Industries,K R Industries,No-Yes,KR Industries,K R Industries,Customer
Yes,K R Industries,K. R. Industries,Yes-Yes,KR Industries,K. R. Industries,Customer
,K. R. Rubberite Ltd.,K. R. Rubberite Ltd.,No-Yes,KR Rubberite,K. R. Rubberite,Customer
,Labard Instruchem Pvt. Ltd.,Labard Instruchem Pvt. Ltd.,No-Yes,Labard Instruchem,Legacy Account,Customer
,Lakeway Industries INC,Lakeway Industries INC,No-Yes,Lakeway Industries,Lakeway Industries INC,Customer
,Lakshya Powertech Pvt. Ltd.,Lakshya Powertech Private Limited,Yes-Yes,Lakshya Powertech,Lakshya Powertech Private Limited,Customer
,L&T Construction,L and T Construction,Yes-Yes,L&T,L and T,Customer
,L&T Electrical and Automation,L and T Electrical and Automation,Yes-Yes,L&T,L and T,Customer
,L&T Heavy Civil Structure Ltd.,L and T Heavy Civil Structure Ltd.,Yes-Yes,L&T,L and T,Customer
,L&T Heavy Enginering,L and T Heavy Enginering,Yes-Yes,L&T,L and T,Customer
,L&T Infotech Ltd.,L and T Infotech Ltd.,Yes-Yes,L&T,L and T,Customer
,L&T-MHPS Boilers Pvt. Ltd.,L and T-MHPS Boilers Pvt. Ltd.,Yes-Yes,L&T,L and T,Customer
,L&T - STEC JV (Mumbai metro),L and T - STEC JV (Mumbai metro),Yes-Yes,L&T,L and T,Customer
,L&T Ltd.,Larsen and Toubro Ltd.,Yes-Yes,L&T,L and T,Customer
,Lechler India Pvt. Ltd.,Lechler India Pvt. Ltd.,No-Yes,Lechler,Lechler India,Customer
,LeeBoy India Construction Equipment Pvt. Ltd.,LeeBoy India Construction Equipment Pvt. Ltd.,No-Yes,LeeBoy,LEEBOY Construction,Customer
,Legacy Company,Legacy Company,No-Yes,Legacy Company,Legacy Account,Customer
,Linde Engineering,Linde Engineering,No-Yes,Linde,Legacy Account,Customer
,Liugong India Pvt. Ltd.,Liugong India Pvt. Ltd.,No-Yes,Liugong,Liugong India,Customer
,L. K. Machinery India Pvt. Ltd.,L. K. Machinery India Pvt. Ltd.,No-Yes,LK Machinery,L. K. Machinery,Customer
Yes,L.M. Wind Power Blades India Pvt. Ltd.,LM Wind Power,Yes-Yes,LM Wind Power,LM Wind,Customer
Yes,L.M. Wind Power Blades India Pvt. Ltd.,L.M. Wind Power Blades India Pvt. Ltd.,No-Yes,LM Wind Power,L.M. Wind Power,Customer
,Lovely Professional University,Lovely Professional University,No-Yes,LPU,Lovely Professional,Customer
,L. P. Gas Engineers and Consultants,L. P. Gas Engineers and Consultants,No-Yes,LP Gas,L. P. Gas,Customer
,L.P.S Services,L.P.S Services,No-Yes,LPS Services,L.P.S Services,Customer
,L&T - MHPS Turbine Generators Pvt. Ltd.,L & T-MHPS Turbine Generators Pvt. Ltd.,Yes-Yes,L&T,L and T,Customer
,Lumitronic Industries B.V.,Lumitronic Industries B.V.,No-Yes,Lumitronic Industries,Lumitronic,Customer
,M3M India Pvt. Ltd.,M3M India Pvt. Ltd.,No-Yes,M3M,M3M India,Customer
,Macleods Pharmaceuticals Ltd.,Macleods Pharmaceuticals Ltd.,No-Yes,Macleods,Macleods Pharma,Customer
,Madhu Subtronic Components Pvt. Ltd.,Madhu Subtronic Components Pvt. Ltd.,No-Yes,Madhu Subtronic,Madhu Subtronic Components Pvt. Ltd.,Customer
,Magneti Marelli SKH Exhaust Systems Pvt. Ltd.,Magneti Marelli SKH Exhaust Systems Pvt. Ltd.,No-Yes,Magnetti Marelli,Magneti Marelli SKH Exhaust Systems Pvt. Ltd.,Customer
,Magus Customer Dialog Pvt. Ltd.,Magus Customer Dialog Pvt. Ltd.,No-Yes,Magus,Magus Customer,Customer
,Maharashtra Natural Gas Ltd.,Maharashtra Natural Gas Ltd.,No-Yes,MNG,"Maharashtra N, Gas",Customer
,Mahindra Comviva,Mahindra Comviva,No-Yes,Mahindra,Comviva,Customer
,Mahindra Gears and Transmissions Pvt. Ltd.,Mahindra Gears and Transmissions Pvt. Ltd.,No-Yes,Mahindra,Mahindra Gears,Customer
,Mahindra Stiller Auto Trucks Ltd.,Mahindra Stiller Auto Trucks Ltd.,No-Yes,Mahindra,Mahindra Stiller,Customer
,Mamata Machinery Pvt. Ltd.,Mamata Machinery Pvt. Ltd.,No-Yes,Mamta Machinery,MAMATA,Customer
,Mangalore Refinery And Petrochemicals Ltd.,Mangalore Refinery And Petrochemicals Ltd.,No-Yes,Mangalore Refinery,MRPL,Customer
,Manlift India Pvt. Ltd.,Manlift India Pvt. Ltd.,No-Yes,Manlift,Manlift India,Customer
,Manpro Equipments Pvt. Ltd.,Manpro Equipments Pvt. Ltd.,No-Yes,Manpro Equipments,MANPRO,Customer
,Mars International India Pvt. Ltd.,Mars International India Private Limited,Yes-Yes,Mars International,Mars International India Private Limited,Customer
,Mavani Engineering and Die Maker,Mavani Engineering and Die Maker,No-Yes,Mavani Engg,Mavani Engg and Die,Customer
,Mavani Engineering Works,Mavani Engineering Works,No-Yes,Mavani Engg,Mavani Engineering,Customer
,Maxxis Rubber India Pvt. Ltd.,Maxxis Rubber India Pvt. Ltd.,No-Yes,Maxxis Rubber,Maxxis Rubber India,Customer
,M.B.A. Consulting India Pvt. Ltd.,M.B.A. Consulting India Pvt. Ltd.,No-Yes,MBA Consulting,M.B.A. Consulting,Customer
,MD Electricals,MD Electricals,No-Yes,MD Electricals,MD Elec.,Customer
,Medispray Laboratories Pvt. Ltd.,Medispray Laboratories Pvt. Ltd.,No-Yes,Medispray Laboratories,Medispray Lab.,Customer
,Meluha - The Fern,Meluha - The Fern,No-Yes,The Fern,Meluha - The Fern,Customer
,MEP International,MEP International,No-Yes,MEP,MEP International,Customer
,Merino Industries Ltd.,MERINO INDUSTRIES LIMITED,Yes-Yes,Merino,MERINO INDUSTRIES LIMITED,Customer
,Metal Blaz (M) SDN BHD,Metal Blaz (M) Sdn Bhd,No-Yes,Metal Blaz,Metal Blaz (M) Sdn Bhd,Customer
,Metal Home Engineering,Metal Home Engineering,No-Yes,Metal Home Engineering,Metal Home,Customer
,M.H. Enterprises,M.H. Enterprises,No-Yes,MH Enterprises,M.H. Enterprises,Customer
,Michelin India Tamilnadu Tyres Pvt. Ltd.,Michelin India Tamilnadu Tyres Pvt. Ltd.,No-Yes,Michelin,Michelin India,Customer
,Midas Safety Pvt. Ltd.,Midas Safety Pvt. Ltd.,No-Yes,Midas,Midas Safety,Customer
,Mita India Pvt. Ltd..,Mita India Pvt. Ltd..,No-Yes,Mita,Mita India,Customer
,Mitsubishi Hitachi Power Systems India Pvt. Ltd.,Mitsubishi Hitachi Power Systems India Pvt. Ltd.,No-Yes,Mitsubishi Hitachi,Mitsubishi Hitachi Power Systems India Pvt. Ltd.,Customer
,Mittal Corp Ltd.,Mittal Corp Ltd.,No-Yes,Mittal Corp,MITTAL,Customer
,MK LIDE Auto Clutch Industries Pvt. Ltd.,MK LIDE Auto Clutch Industries Pvt. Ltd.,No-Yes,MK LIDE,MK LIDE Auto Clutch,Customer
,MNR Marketing LLP,MNR Marketing LLP,No-Yes,MNR,MNR Marketing LLP,Customer
,Modern Display Product Making LLC,Modern Display Product Making LLC,No-Yes,Modern Display,Modern Display Product,Customer
,Mondelez India Foods Pvt. Ltd.,Mondelez India Foods Pvt. Ltd.,No-Yes,Mondelez,Mondelez India Foods,Customer
,Moon Engineering Services,Moon Engineering Services,No-Yes,Moon Engg,Moon Engg Services,Customer
,Motherson Sumi Systems Ltd.,Motherson Sumi Systems Ltd.,No-Yes,Motherson Sumi,Motherson Sumi Sys,Customer
,MP Jain and Co.,MP Jain and Co.,No-Yes,MP Jain,MP Jain and Co.,Customer
,MRK Engineers,MRK Engineers,No-Yes,MRK Engineers,MRK,Customer
,MSR India Ltd.,MSR India Ltd.,No-Yes,MSR,MSR India,Customer
,Multi Dimensional Solutions,Multi Dimensional Solutions,No-Yes,Multi Dimension Solutions,Multi Dimension Sol,Customer
,Multitex Filtration Engineers Ltd.,Multitex Filtration Engineers Ltd.,No-Yes,Multitex Engineers,Multitex,Customer
,Myntra Jabong India Pvt. Ltd.,Myntra Jabong India Pvt. Ltd.,No-Yes,Myntra,Myntra Jabong India,Customer
,NADI Airtechnics Pvt. Ltd.,NADI Airtechnics Pvt. Ltd.,No-Yes,NADI,NADI Airtechnics,Customer
,NALCO Water India Ltd.,Nalco Water India Ltd.,No-Yes,NALCO,Nalco Water India,Customer
,Narendra International,Narendra International,No-Yes,Narendra International,Narendra,Customer
,Narinder Mohan Hospital and Heart Centre,Narinder Mohan Hospital and Heart Centre,No-Yes,Narender Mohan Hospital,Narender Mohan Hosp,Customer
,National Aluminium Co. Ltd.,National Aluminium Co. Ltd.,No-Yes,NALCO,National Aluminium,Customer
,National Bureau of Plant Genetic Resources,National Bureau of Plant Genetic Resources,No-Yes,National Bureau-Plant Genetic,National Bureau Res.,Customer
Yes,National Fertilizer Ltd.,National Fertilizers Limited,Yes-Yes,National Fertilizer,National Fertilizers Limited,Customer
,National Hydroelectric Power Corporation Ltd.,National Hydroelectric Power Corporation Ltd.,No-Yes,NHPC,NHPC Ltd.,Customer
,Neosym Industry Ltd.,Neosym Industry Ltd.,No-Yes,Neosym,Neosym Industries,Customer
,Netsol Water Solutions Pvt. Ltd.,Netsol Water Solutions Pvt. Ltd.,No-Yes,Netsol,Netsol Water Soln,Customer
,Neutrik India Pvt. Ltd.,Neutrik India Pvt. Ltd.,No-Yes,Neutrik,Neutrik India,Customer
,New Delhi Television Ltd,New Delhi Television Ltd,No-Yes,NDTV,New Delhi Television,Customer
,Nilkamal Ltd.,Nilkamal Ltd.,No-Yes,Nilkamal,Nilkamal Ltd.,Customer
,Nivea India Pvt. Ltd.,Nivea India Pvt. Ltd.,No-Yes,Nivea,Nivea India,Customer
,NOCIL Ltd.,Nocil Ltd.,No-Yes,NOCIL,Nocil Ltd.,Customer
,N. R. Enterprises,N. R. Enterprises,No-Yes,NR Enterprises,N. R. Enterprises,Customer
,NSK ABC Bearings Ltd.,NSK ABC Bearings Ltd.,No-Yes,NSK Bearings,NSK ABC,Customer
,NSW India Ltd.,NSW India Ltd.,No-Yes,NSW,NSW India Ltd.,Customer
,NTPC Ltd.,NTPC Ltd.,No-Yes,NTPC,NTPC Ltd.,Customer
,Nuclear Power Corporation India Ltd.,Nuclear Power Coporation India Ltd.,Yes-Yes,Nuclear Power Corp,Nuclear Power,Customer
,Nutech Print Services India,Nutech Print Services India,No-Yes,Nutech,Nutech Print,Customer
,NXP India Pvt. Ltd.,NXP India Pvt. Ltd.,No-Yes,NXP,NXP India Pvt. Ltd.,Customer
,Oil India Ltd.,Oil India Ltd.,No-Yes,OIL,Oil India,Customer
,Olam Agro India Pvt. Ltd.,Olam Agro India Pvt. Ltd.,No-Yes,Olam,Olam Agro India,Customer
,Olx India Pvt Ltd,Olx India Pvt Ltd,No-Yes,Olx,Olx India Pvt Ltd,Customer
,Om irritech Ltd.,Om irritech Ltd.,No-Yes,Om irritech,Om irritech Ltd.,Customer
,Om Metals Infraprojects Ltd.,Om Metals Infraprojects Ltd.,No-Yes,Om Metals,Om Metals Infra,Customer
,Omnipotent Industries Pvt. Ltd.,Omnipotent Industries Pvt. Ltd.,No-Yes,Omnipotent Industries,Omnipotent Industries Pvt. Ltd.,Customer
,Omron Healthcare India Pvt. Ltd.,OMRON HEALTHCARE INDIA PRIVATE LIMITED,Yes-Yes,Omron,OMRON HEALTHCARE INDIA PRIVATE LIMITED,Customer
,Omya India,Omya India,No-Yes,Omya,Omya India,Customer
,One97 Communications Ltd,One97 Communications Ltd,No-Yes,Paytm,One97 Communications,Customer
,Orchid Chemicals and Pharmaceuticals Ltd.,Orchid Chemicals and Pharmaceuticals Ltd.,No-Yes,Orchid Chemicals and Pharm,Orchid Chemicals and Pharmaceuticals,Customer
,Oriental Rubber Industries Pvt. ltd.,Oriental Rubber Industries Pvt. ltd.,No-Yes,Oriental Rubber Industry,Oriental Rubber,Customer
,Orient Electric,Orient Electric,No-Yes,Orient Electric,Orient Elec.,Customer
,Owens Corning India Pvt. Ltd.,Owens Corning India Pvt. Ltd.,No-Yes,Owens Corning,Owens Corning India,Customer
,Paracoat Products Ltd,PARACOAT PRODUCTS LTD,No-Yes,Paracoat Products,PARACOAT PRODUCTS LTD,Customer
,Paras Colours And Pigments,Paras Colours And Pigments,No-Yes,Paras Colours and Pigments,Paras Colours Pig.,Customer
,Parenteral Drugs India Ltd.,Parenteral Drugs India Ltd.,No-Yes,Parenteral Drugs,Parenteral Drugs India Ltd.,Customer
,Pashupatinath Enterprises,Pashupatinath Enterprises,No-Yes,Pashupatinath Enterprises,Pashupatinath Ent.,Customer
,PCA Motors Pvt. Ltd.,PCA Motors Pvt. Ltd.,No-Yes,PCA Motors,PCA Motors Pvt. Ltd.,Customer
,Pegasus Engineering & Commercial Corporation,Pegasus Engineering & Commercial Corporation,No-Yes,Pegasus,Pegasus Engineering & Commercial Corporation,Customer
,Pentair Water India Pvt. Ltd.,Pentair Water India Pvt. Ltd.,No-Yes,Pentair Water,Pentair Water India,Customer
,Perfetti Van Melle India Pvt. Ltd.,Perfetti Van Melle India Pvt. Ltd.,No-Yes,Perfetti,Perfetti Van Melle,Customer
,PERI India Pvt. Ltd.,PERI India Pvt. Ltd.,No-Yes,PERI,PERI India,Customer
,Perkins India Pvt. Ltd.,Perkins India Pvt. Ltd.,No-Yes,Perkins,Perkins India,Customer
Yes,Petronet LNG Ltd.,Petronet LNG Limited,Yes-Yes,Petronet,Legacy Account,Customer
,Philip Morris International,Philip Morris International,No-Yes,Philip Morris,Philip Morris International,Customer
,Philips India Ltd.,Philips India Ltd.,No-Yes,Philips,Philips India Ltd.,Customer
,PIEM Hotels Ltd. Unit Taj Swarna Amritsar,PIEM Hotels Ltd. Unit Taj Swarna Amritsar,No-Yes,Tata,TAJ,Customer
,PISC International Inc.,Pisc International Inc.,No-Yes,Pisc International,Pisc International Inc.,Customer
,Plasser India Pvt. Ltd.,Plasser India Pvt. Ltd.,No-Yes,Plasser,Plasser India,Customer
,P. M. Diesels Pvt. Ltd.,P. M. Diesels Pvt. Ltd.,No-Yes,PM Diesels,P. M. Diesels,Customer
,PNB MetLife,PNB MetLife,No-Yes,PNB,PNB MetLife,Customer
,Polybond India Pvt. Ltd.,Polybond India Pvt. Ltd.,No-Yes,Polybond,Polybond India,Customer
,Poshs Metal Industries Pvt.Ltd.,Poshs Metal Industries Pvt.Ltd.,No-Yes,Poshs,Poshs Metal Industry,Customer
,Pranav Vikas India Ltd.,Pranav Vikas India Ltd.,No-Yes,Pranav Vikas,Pranav Vikas India,Customer
,Prasol Chemicals Ltd.,Prasol Chemicals Ltd.,No-Yes,Prasol Chemicals,Prasol,Customer
,Pratik Ready Mix Concrete,Pratik Ready Mix Concrete,No-Yes,Pratik Ready Concrete,Pratik Ready Mix,Customer
,Pratyarpana Services Pvt. Ltd.,Pratyarpana Services Pvt. Ltd.,No-Yes,Pratyarpana Services,PRATYARPANA,Customer
,Premji Sales Co Pvt. Ltd.,Premji Sales Co Pvt. Ltd.,No-Yes,Premji Sales,Premji Sales Co,Customer
,Prince Pipes and Fittings Pvt. Ltd.,Prince Pipes and Fittings Pvt. Ltd.,No-Yes,Prince Pipes,Prince Pipes-Fitting,Customer
,Prism Johnson Ltd.,Prism Johnson Ltd.,No-Yes,Prism Johnson,PRISM,Customer
,Pritech Automation Pvt. Ltd.,PRITECH,Yes-No,Pritech,PRITECH,Customer
,Process Construction and Technical Services Pvt. Ltd.,Process Construction and Technical Services Pvt. Ltd.,No-Yes,Process Construction,PCTS,Customer
,Procter & Gamble Home Products Pvt. Ltd.,Procter & Gamble Home Products Pvt. Ltd.,No-Yes,P&G,Procter & Gamble Home Products Pvt. Ltd.,Customer
,Procter & Gamble Hygiene and Health Care Ltd,Procter & Gamble Hygiene and Health Care Ltd,No-Yes,P&G,Procter & Gamble Hygiene,Customer
,Project Supply Systems,Project Supply Systems,No-Yes,Project Supply,Project Supply Sys,Customer
,Pro-Pack Materials India Pvt. Ltd.,Pro-Pack Materials India Pvt. Ltd.,No-Yes,Pro-Pack,Pro-Pack Materials,Customer
,PSV Infrastructures Ltd.,PSV Infrastructures Ltd.,No-Yes,PSV,PSV Infrastructure,Customer
,QRG Health City,QRG Health City,No-Yes,QRG Health City,QRG,Customer
,Quess Corp Ltd.,Quess Corp Ltd.,No-Yes,Quess Corp,Quess,Customer
,Radhe Shyam Industries,Radhe Shyam Industries,No-Yes,Radhe Shyam Industries,Radhe Shyam Industry,Customer
,Rahi Systems Pvt. Ltd.,Rahi Systems Pvt. Ltd.,No-Yes,Rahi Systems,Rahi Sys,Customer
,Rail Coach Factory,Rail Coach Factory,No-Yes,Rail Coach Factory,Railcoach,Customer
,Rajashree International,Rajashree International,No-Yes,Rajashree International,Rajashree Intl.,Customer
,Raj Dies and Engineering,Raj Dies and Engineering,No-Yes,Raj Dies and Engineering,Raj Dies Engineering,Customer
,Raj Petro Specialties Pvt. Ltd.,Raj Petro Specialties Pvt. Ltd.,No-Yes,Raj Petro Specialties,Raj Petro Speciality,Customer
,Rallis India,Rallis India,No-Yes,Rallis,Rallis India,Customer
,Rama Hospital and Research Center,Rama Hospital and Research Center,No-Yes,Rama Hospital and Research Center,Rama Hospital Res.,Customer
,"Ramakrishna Services, Energy & OMP Partners","Ramakrishna Services, Energy & OMP Partners",No-Yes,Ramakrishna Services,"Ramakrishna Services, Energy & OMP Partners",Customer
,Rama Phosphate Ltd.,Rama Phosphate Ltd.,No-Yes,Rama Phosphate,Rama Phosphate Ltd.,Customer
,Ramnatasha System and Solutions,Ramnatasha System and Solutions,No-Yes,Ramnatasha System and Solutions,Ramnatasha System,Customer
,Rane TRW Steering Systems Ltd.,Rane TRW Steering Systems Ltd.,No-Yes,Rane,Rane Group,Customer
,Rashtriya Chemicals and Fertilizers Ltd.,Rashtriya Chemicals and Fertilizers Ltd.,No-Yes,RCF,RCFL,Customer
,Rathi Steel And Power Ltd.,Rathi Steel And Power Ltd.,No-Yes,Rathi Steel,Rathi Steel Power,Customer
,Ray Offshore and Marine Supply,Ray Offshore and Marine Supply,No-Yes,Ray Offshore,Ray Offshore Marine,Customer
,Reliance Corporate Park,RCP MUM,Yes-Yes,Reliance,RCP,Customer
,RDC Concrete India Pvt. Ltd.,RDC Concrete India Pvt. Ltd.,No-Yes,RDC Concrete,RDC Concrete India,Customer
,Remi Elektrotechnik Ltd.,Remi Elektrotechnik Ltd.,No-Yes,Remi,Remi Elektrotechnik,Customer
,Remsons Industries Ltd.,Remsons Industries Ltd.,No-Yes,Remsons,Remsons Industries,Customer
,Renaissance Mumbai Convention Centre Hotel,Renaissance Mumbai Convention Centre Hotel,No-Yes,Renaissance Hotel,Marriott International,Customer
,Renfro India Pvt. Ltd.,Renfro India Pvt. Ltd.,No-Yes,Renfro,Renfro India,Customer
,Repro India Ltd.,Repro India Ltd.,No-Yes,Repro,Repro India,Customer
,Resins And Plastics Ltd.,Resins And Plastics Ltd.,No-Yes,Resins & Plastics,Resins And Plastics,Customer
