Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Atishay Indenture Pvt. Ltd.,Atishay Indenture Private Limited,Yes-Yes,Atishay Indenture,Atishay Indenture Pvt. Ltd.,Customer
,Aurobindo Pharma Ltd.,Aurobindo Pharma Ltd.,No-Yes,Aurobindo Pharma,Aurobindo,Customer
,Aviation Overseas Supply Logistics Pvt. Ltd.,Aviation Overseas Supply Logistics Pvt. Ltd.,No-Yes,Aviation Overseas,Aviation Overseas Supply,Customer
,Avon Facility Management Services,Avon Facility Management Services (A Division of Quess Corp Limited),Yes-No,Avon FMS,Avon FMS,Customer
,Balkrishna Industries Ltd.,Balkrishna Industries Ltd.,No-Yes,Balkrishna Industries,BKT Tyres,Customer
,Ball Beverage Packing India Pvt. Ltd.,Ball Beverage Packing India Pvt. Ltd.,No-Yes,Ball Beverage Packing,Ball Bev. Packing,Customer
,Bando India Pvt. Ltd.,Bando India Pvt. Ltd.,No-Yes,Bando,Bando India,Customer
,Baosteel India Co. Pvt. Ltd.,Baosteel India Co. Pvt. Ltd.,No-Yes,Baosteel,Baosteel India,Customer
,Bar Code India Ltd,Bar Code India Ltd,No-Yes,Bar Code India,BCIL,Customer
,Bartec India Pvt. Ltd.,Bartec India Pvt. Ltd.,No-Yes,Bartec,Bartec India,Customer
,BASF India Ltd.(Construction Chemicals Division),BASF India Ltd.(Construction Chemicals Division),No-Yes,BASF,BASF India,Customer
,Bayer CropScience Ltd.,Bayer CropScience Ltd.,No-Yes,Bayer,Bayer CropScience,Customer
,Bayer India Ltd.,Bayer India Ltd.,No-Yes,Bayer,Bayer India,Customer
,BDI India Pvt. Ltd.,BDI India Pvt. Ltd.,No-Yes,BDI,BDI (GE Healthcare),Customer
,Beico Industries Pvt. Ltd.,Beico Industries Pvt. Ltd.,No-Yes,Beico Industries,Beico,Customer
Yes,"Bennett, Coleman and Co. Ltd.",Bennett Coleman and Co. Ltd.,Yes-No,Bennett Coleman,Bennett Coleman,Customer
Yes,"Bennett, Coleman and Co. Ltd.","Bennett, Coleman and Co. Ltd.",No-Yes,Bennett Coleman,"Bennett, Coleman and Co. Ltd.",Customer
,Bennett Institute of Higher Education,Bennett Institute of Higher Education,No-Yes,Bennett Coleman,Bennett Institute,Customer
,Bennett University,Bennett University,No-Yes,Bennett Coleman,Bennett University,Customer
,Best Exports Centre Pvt. Ltd.,Best Exports Centre Pvt. Ltd.,No-Yes,Best Exports,Best Exports Centre Pvt. Ltd.,Customer
,Bhabha atomic research center,Bhabha atomic research center,No-Yes,BARC,Atomic Energy,Customer
,Bharat Hotels Ltd. Unit : The Lalit Mumbai,Bharat Hotels Ltd.; Unit : The Lalit Mumbai,Yes-No,The Lalit,The Lalit,Customer
,Bharti Airtel Ltd.,Bharti Airtel Ltd.,No-Yes,Airtel,Bharti Airtel,Customer
,Bharti Hexacom Ltd,Bharti Hexacom Ltd,No-Yes,Bharti Hexacom,Bharti Hexacom Ltd,Customer
,Bhushan Steel Ltd.,Bhushan Steel Ltd.,No-Yes,Bhushan Steel,Bhushan Steel Ltd.,Customer
,Bitumen Corporation India Pvt. Ltd.,Bitumen Corporation India Pvt. Ltd.,No-Yes,Bitumen Corporation,Bitumen Corporation India Pvt. Ltd.,Customer
,Black and Veatch,Black and Veatch,No-Yes,Black and Veatch,B&V,Customer
,BML Munjal,BML Munjal,No-Yes,BML Munjal,Compass Group,Customer
Yes,Bombardier Transportation India Pvt. Ltd.,Bombardiar Transportation India Pvt. Ltd.,Yes-Yes,Bombardiar,Bombardiar Transportation India,Customer
Yes,Bombardier Transportation India Pvt. Ltd.,Bombardier Transportation India Pvt. Ltd.,No-Yes,Bombardiar,Bombardier Transportation India Pvt. Ltd.,Customer
,Brahmaputra Cracker and Polymer Ltd.,Brahmaputra Cracker and Polymer Ltd.,No-Yes,Brahmaputra Cracker & Polymer,Brahmaputra,Customer
,Brahmaputra Infrastructure Ltd.,Brahmaputra Infrastructure Ltd.,No-Yes,Brahmaputra Infrastructure,Brahmaputra Infra,Customer
,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific Equipment Pvt. Ltd.,No-Yes,Brand Scientific Equipment,Brand Scientific,Customer
,Brihans Laboratories Pvt. Ltd.,Brihans Laboratories Pvt. Ltd.,No-Yes,Brihans Labs,Brihans Lab.,Customer
,Building Blocks Learning Solution Pvt. Ltd.,Building Blocks Learning Solution Pvt. Ltd.,No-Yes,Building Blocks Learning Solution,Building Blocks Learning Solution Pvt. Ltd.,Customer
Yes,Bulk MRO Industrial Supply Pvt. Ltd.,Bulk MRO Inside Sales,Yes-No,Bulk MRO,Bulk MRO,Customer
Yes,Bulk MRO Industrial Supply Pvt. Ltd.,Bulkmro Online Orders,Yes-Yes,Bulk MRO,BulkMRO.com,Customer
,Cameron Middle East FZE,Cameron Middle East FZE,No-Yes,Cameron,Cameron Middle East FZE,Customer
Yes,C and E Ltd.,C and E Ltd.,No-Yes,C and E,C and E Ltd.,Customer
,Canon India Pvt. Ltd.,Canon India Pvt. Ltd.,No-Yes,Canon,Canon India,Customer
,Casio India Co. Pvt. Ltd.,Casio India Co. Pvt. Ltd.,No-Yes,Casio,Casio India,Customer
,Cataler India Auto Parts Pvt. Ltd.,Cataler India Auto Parts Pvt. Ltd.,No-Yes,Cataler,Cataler India,Customer
,Caterpillar India Pvt. Ltd.,Caterpillar India Pvt. Ltd.,No-Yes,Caterpillar,Caterpillar India,Customer
Yes,C & E Ltd.,C & E Limited,Yes-Yes,C & E,C & E Limited,Customer
,Cello Electricals Pvt. Ltd.,Cello Electricals Pvt. Ltd.,No-Yes,Cello,Cello Electricals,Customer
,Cenlub Industries Ltd.,Cenlub Industries Ltd.,No-Yes,Cenlub,Cenlub Industries,Customer
,Central Reserve Police Force,Central Reserve Police Force,No-Yes,CRPF,Central Police Force,Customer
Yes,Central UP Gas Ltd.,Central UP Gas,Yes-No,Central UP Gas,Central UP Gas,Customer
Yes,Central UP Gas Ltd.,Central U P Gas Ltd.,Yes-Yes,Central UP Gas,Central U P Gas Ltd.,Customer
,Chemix Specialty Gases and Equipment,Chemix Specialty Gases and Equipment,No-Yes,Chemix,Chemix Specialty Gas,Customer
,Chemprojects Consulting Pvt. Ltd.,Chemprojects Consulting Pvt. Ltd.,No-Yes,Chemprojects Consulting,Chemprojects,Customer
,Chennai Petroleum Corporation Ltd.,CHENNAI PETROLEUM CORPORATION LIMITED,Yes-Yes,Chennai Petroleum,Legacy Account,Customer
,Chris Garrod Global India Pvt. Ltd.,Chris Garrod Global India Pvt. Ltd.,No-Yes,Chris Garrod,Chris Garrod Global,Customer
,CHT India Pvt. Ltd.,CHT India Pvt. Ltd.,No-Yes,CHT,CHT India,Customer
,Ch Veeraraghavulu Construction Pvt. Ltd.,Ch Veeraraghavulu Construction Pvt. Ltd.,No-Yes,Ch Veeraraghavulu Construction,Ch Veeraraghavulu Construction Pvt. Ltd.,Customer
,CHW Forge Pvt. Ltd.,CHW Forge Pvt. Ltd.,No-Yes,CHW Forge,CHW Forge Pvt. Ltd.,Customer
,Cinda Engineering and Construction Pvt. Ltd.,Cinda Engineering and Construction Pvt. Ltd.,No-Yes,Cinda,Cinda Engineering,Customer
,Citrus Processing India Pvt. Ltd.,Citrus processing India Pvt. Ltd.,No-Yes,Citrus,Citrus processing,Customer
,Clariant Chemical India Ltd.,Clariant Chemical India Ltd.,No-Yes,Clariant,Clariant Chemical India Ltd.,Customer
,CM&D Sila Development Services India Pvt. Ltd.,CM&D Sila Development Services India Pvt. Ltd.,No-Yes,CM&D Sila Development Services,CM&D Sila Development Services India Pvt. Ltd.,Customer
,COEO Labs Pvt. Ltd.,COEO Labs Pvt. Ltd.,No-Yes,COEO Labs,COEO Labs Pvt. Ltd.,Customer
,Columbia Asia Hospitals Pvt. Ltd.,Columbia Asia Hospitals Pvt. Ltd.,No-Yes,Columbia Asia Hospital,Columbia Asia Hosp.,Customer
,Commercial Auto Sales Pvt. Ltd.,Commercial Auto Sales Pvt. Ltd.,No-Yes,Commercial Auto Sales,CASPL,Customer
,Compass Group India Support Services Pvt. Ltd.,Compass Group India Support Services Pvt. Ltd.,No-Yes,Compass,Compass Group,Customer
,Compass India Support Services Pvt. Ltd.,Compass India Support Services Pvt. Ltd.,No-Yes,Compass,Compass Group,Customer
,Consortium For Educational Communication,Consortium For Educational Communication,No-Yes,Consortium for Education,Consortium for Edu,Customer
,Core LogC,CORE LOG C,Yes-No,CORE LOG C,CORE LOG C,Customer
,Coslight India technology Pvt. Ltd.,Coslight India technology Pvt. Ltd.,No-Yes,Coslight,Coslight India,Customer
,Croda India Company Pvt. Ltd.,Croda India Company Pvt. Ltd.,No-Yes,Croda,Croda India,Customer
,Crompton Greaves,Crompton Greaves,No-Yes,Crompton Greaves,Crompton,Customer
