invoice_number,created_at,inquiry_number,created_at,customer_committed_date,delivery_date,Date Difference,Cat,Delivery Date
204000540,2019-08-02 18:29:46,33249,2019-04-01 14:53:01,5/31/2019,5/30/2019,-1,ON OR BEFORE TIME,5/30/2019
209000067,2019-08-10 16:47:02,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
202001473,2019-08-02 18:55:37,36561,2019-07-18 17:12:34,7/29/2019,7/26/2019,-3,ON OR BEFORE TIME,7/26/2019
204000554,2019-08-08 13:26:16,36889,2019-07-28 20:14:32,7/31/2019,7/29/2019,-2,ON OR BEFORE TIME,7/29/2019
202001472,2019-08-02 18:50:12,36556,2019-07-18 16:24:48,8/10/2019,8/8/2019,-2,ON OR BEFORE TIME,8/8/2019
202001475,2019-08-02 19:09:07,36559,2019-07-18 16:52:53,7/27/2019,7/24/2019,-3,ON OR BEFORE TIME,7/24/2019
202001471,2019-08-02 18:44:19,35698,2019-06-20 10:54:55,7/13/2019,7/11/2019,-2,ON OR BEFORE TIME,7/11/2019
202001474,2019-08-02 19:04:01,35651,2019-06-18 16:02:33,7/11/2019,8/8/2019,28,DELAYED BY >28 DAYS,8/8/2019
202001539,2019-08-08 14:09:33,36456,2019-07-16 14:24:54,8/5/2019,7/11/2019,-25,ON OR BEFORE TIME,7/11/2019
202001540,2019-08-08 14:13:02,34347,2019-05-07 21:04:38,6/7/2019,6/6/2019,-1,ON OR BEFORE TIME,6/6/2019
209000069,2019-08-10 16:47:10,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
209000070,2019-08-10 16:47:25,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
209000073,2019-08-10 16:48:12,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
209000074,2019-08-10 16:48:24,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
209000075,2019-08-10 16:48:42,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
202001672,2019-08-19 19:17:59,33673,2019-04-16 16:07:02,4/28/2019,4/27/2019,-1,ON OR BEFORE TIME,4/27/2019
209000078,2019-08-10 16:49:05,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
209000079,2019-08-10 16:49:16,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
202001480,2019-08-03 11:02:21,34336,2019-05-07 16:49:13,8/7/2019,8/4/2019,-3,ON OR BEFORE TIME,8/4/2019
209000081,2019-08-10 16:50:09,37134,2019-08-02 18:38:47,7/19/2019,7/17/2019,-2,ON OR BEFORE TIME,7/17/2019
202001476,2019-08-03 10:39:58,36700,2019-07-23 11:59:15,7/22/2019,7/20/2019,-2,ON OR BEFORE TIME,7/20/2019
202001478,2019-08-03 10:48:19,36849,2019-07-26 12:03:43,8/17/2019,8/6/2019,-11,ON OR BEFORE TIME,8/6/2019
