inquiry_number,client order date,order_number,old_order_number,order date,SKU,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,mismatch(total with tax),,total with tax mismatch(sprint - bible),Analysis notes,Kit order
1358,3-Jul-2015,100000793,nil,3-Jul-2015,BM0L8J4,21200.00,23956.00,21200.00,23850.00,106.00,,106.00,,
4044,5-Apr-2016,100000794,nil,31-Mar-2016,BM0O7W3,2286.00,2583.18,2286.00,2571.75,11.43,,11.43,,
1398,4-Jan-2016,100000795,nil,26-Feb-2016,BM1A4V0,1600.00,1680.00,68544.00,71971.20,70291.20,,-70291.20,,
4029,12-Apr-2016,100000796,nil,12-Apr-2016,BM1A9Y7,99072.00,104025.60,182097.00,191201.85,87176.25,,-87176.25,,
3627,1-Apr-2016,100000798,nil,1-Apr-2016,BM1A9O1,29146.67,32935.74,29146.67,32790.00,145.73,,145.73,,
1406,31-Jul-2015,100000802,nil,21-Aug-2015,BM0O4B4,18824.00,18824.00,202933.00,202933.00,184109.00,,-184109.00,,
3419,1-Mar-2016,100000803,nil,1-Mar-2016,BM1A5O3,3057.00,3484.98,3702.44,4220.78,735.80,,-735.80,,
1420,13-Jul-2015,100000804,nil,13-Jul-2015,BM1A7C4,2550.00,2881.50,2550.00,2868.75,12.75,,12.75,,
3403,10-Mar-2016,100000805,nil,10-Mar-2016,BM1A5P2,6192.00,6996.96,12384.00,13932.00,6935.04,,-6935.04,,
3391,11-Mar-2016,100000808,nil,11-Mar-2016,BM1A9R2,19250.00,21752.50,26875.00,30234.38,8481.88,,-8481.88,,
1431,8-Jul-2015,100000809,nil,8-Jul-2015,BM1A7N0,1885.00,2130.05,2773.88,3120.62,990.57,,-990.57,,
1432,22-Jul-2015,100000810,nil,1-Aug-2015,BM1A7D0,2000.00,2100.00,99154.00,104111.70,102011.70,,-102011.70,,
1443,9-Jul-2015,100000811,nil,9-Jul-2015,BM1A7N0,12470.00,14091.10,12470.00,14028.75,62.35,,62.35,,
1451,13-Jul-2015,100000812,nil,13-Jul-2015,BM1A7N0,9860.00,11141.80,10500.00,11812.50,670.70,,-670.70,,
5102,14-Jun-2016,100000813,nil,14-Jun-2016,BM9A5J5,11325.00,12797.25,11325.00,12740.63,56.63,,56.63,,
1487,15-Jul-2015,100000814,nil,15-Jul-2015,BM1A7N0,2900.00,3277.00,3540.00,3982.50,705.50,,-705.50,,
1494,8-Sep-2015,100000815,nil,8-Sep-2015,BM0O4E0,60000.00,67800.00,60000.00,67500.00,300.00,,300.00,,
3347,9-Apr-2016,100000817,nil,9-Apr-2016,BM1A9M6,2800.00,3164.00,39176.00,44073.00,40909.00,,-40909.00,,
1574,31-Jul-2015,100000818,nil,28-Aug-2015,BM0L8J2,42465.00,47985.45,42465.00,47773.13,212.32,,212.32,,
1591,25-Aug-2015,100000819,nil,25-Aug-2015,BM0O3Z9,3188.00,3602.44,3188.00,3586.50,15.94,,15.94,,
3333,1-Mar-2016,100000820,nil,1-Mar-2016,BM1A5I3,7420.00,8384.60,7420.00,8347.50,37.10,,37.10,,
3333,4-Apr-2016,100000820,nil,4-Apr-2016,BM0O8J2,124632.17,140834.35,124632.17,140211.19,623.16,,623.16,,
3308,11-Feb-2016,100000822,nil,11-Feb-2016,BM0Z1F2,104000.00,106080.00,187800.00,191556.00,85476.00,,-85476.00,,
1671,29-Oct-2015,100000824,nil,29-Oct-2015,BM0Z1G1,238275.00,243040.50,895295.00,913200.90,670160.40,,-670160.40,,
1674,6-Aug-2015,100000825,nil,6-Aug-2015,BM0C9D0,9856.00,10348.80,60324.00,63340.20,52991.40,,-52991.40,,
3291,12-Feb-2016,100000826,nil,12-Feb-2016,BM1A5G4,9425.00,10650.25,12487.00,14047.88,3397.63,,-3397.63,,
3263,10-Feb-2016,100000829,nil,10-Feb-2016,BM1A5E8,6725.00,7061.25,17120.00,17976.00,10914.75,,-10914.75,,
3261,2-Mar-2016,100000830,nil,2-Mar-2016,BM0Z1I9,90876.00,92693.52,120666.00,123079.32,30385.80,,-30385.80,,
1740,18-Sep-2015,100000831,nil,18-Sep-2015,BM1A5Y8,154.00,174.02,46186.00,51959.25,51785.23,,-51785.23,,
1742,27-Jul-2015,100000833,nil,8-Aug-2015,BM1A7N0,87000.00,98310.00,87000.00,97875.00,435.00,,435.00,,
1760,23-Jan-2016,100000835,nil,29-Mar-2016,BM1A8E9,115000.00,129950.00,130500.00,146812.50,16862.50,,-16862.50,,
3245,2-Apr-2016,100000838,nil,2-Apr-2016,BM0O4V2,22400.00,25312.00,34595.00,38919.38,13607.38,,-13607.38,,
1788,19-Aug-2015,100000839,nil,19-Aug-2015,BM1A8F2,9986.00,11284.18,33593.00,37792.13,26507.95,,-26507.95,,
3228,3-Mar-2016,100000840,nil,3-Mar-2016,BM0P0R0,21370.00,24148.10,21370.00,24041.25,106.85,,106.85,,
1824,14-Aug-2015,100000841,nil,1-Sep-2015,BM1A6G1,18375.00,20763.75,114591.18,128915.08,108151.33,,-108151.33,,
1885,14-Aug-2015,100000842,nil,5-Oct-2015,BM1A8H6,27182.00,27725.64,83627.00,85299.54,57573.90,,-57573.90,,
3186,10-Feb-2016,100000846,nil,10-Feb-2016,BM0Z1F4,343123.00,349985.46,1096186.00,1118109.72,768124.26,,-768124.26,,
3169,1-Apr-2016,100000847,nil,1-Apr-2016,BM1A9O2,9444.00,10671.72,9444.00,10624.50,47.22,,47.22,,
2237,5-Nov-2015,100000853,nil,5-Nov-2015,BM1A8Y4,288330.00,325812.90,356454.00,401010.75,75197.85,,-75197.85,,
2237,4-Jan-2016,100000853,nil,4-Jan-2016,BM1A3T7,5250.00,5932.50,16050.00,18056.25,12123.75,,-12123.75,,
2237,3-Mar-2016,100000853,nil,3-Mar-2016,BM1A5F2,245555.00,277477.15,245555.00,276249.38,1227.78,,1227.78,,
2239,22-Sep-2015,100000854,nil,22-Sep-2015,BM1A7N0,80500.00,90965.00,80500.00,90562.50,402.50,,402.50,,
2298,24-Sep-2015,100000855,nil,24-Sep-2015,BM1A7N0,161000.00,181930.00,161000.00,181125.00,805.00,,805.00,,
2349,23-Oct-2015,100000858,nil,31-Dec-2015,BM1A8V6,18716.00,21149.08,34564.42,38884.97,17735.89,,-17735.89,,
2367,5-Oct-2015,100000860,nil,5-Oct-2015,BM0C7F5,1485.00,1678.05,2915.00,3279.38,1601.33,,-1601.33,,
3086,12-Jan-2016,100000861,nil,12-Jan-2016,BM1A6V1,104.00,104.00,234.00,234.00,130.00,,-130.00,,
3083,3-Feb-2016,100000862,nil,3-Feb-2016,BM1A3Y8,4880.00,5514.40,4880.00,5490.00,24.40,,24.40,,
3073,4-Feb-2016,100000863,nil,4-Feb-2016,BM1A3Y7,97808.00,110523.04,97808.00,110034.00,489.04,,489.04,,
2534,8-Dec-2015,100000873,nil,8-Dec-2015,BM1A9A4,13200.00,14916.00,71350.01,80268.76,65352.76,,-65352.76,,
