Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,Dr. B.R. Ambedkar National Institute of Technology,Dr B.R. Ambedkar National Institute of Technology,Ambedkar - NIT,NIT,Customer
,Dr. D. Y. Patil College of Ayurved & Research Center,Dr. D. Y. Patil College of Ayurved & Research Center,DY Patil College,Dr. D. Y. Patil College of Ayurved & Research Center,Customer
,Dresser-Rand India Pvt. Ltd.,Dresser-Rand India Pvt. Ltd.,Dresser-Rand,Dresser-Rand,Customer
,Dress Master Apparel Pvt. Ltd.,Dress Master Apparel Pvt. Ltd.,Dress Master Apparel,Dress Master Apparel,Customer
,Dr. Lal PathLabs Ltd.,Dr. Lal PathLabs Ltd.,Dr. Lal PathLabs,Dr. Lal PathLabs,Customer
,Dr. Reddy's Laboratories Ltd.,Dr. Reddy's Laboratories Ltd.,Dr. Reddys,Dr Reddys,Customer
,DS Namah Hospitality Pvt. Ltd.,DS Namah Hospitality Pvt. Ltd.,DS Namah,DS Namah,Customer
,DSW Group Of Companies,DSW Group Of Companies,DSW Group,DSW Group,Customer
,Duke Offshore,Duke Offshore,Duke Offshore,Duke Offshore,Customer
,DuPont India Pvt. Ltd.,DuPont India Pvt. Ltd.,DuPont,DuPont,Customer
,Dura-Line India Pvt. Ltd.,Dura-Line India Pvt. Ltd.,Dura-Line,Dura-Line,Customer
,Durga Forge Pvt. Ltd.,Durga Forge Pvt. Ltd.,Durga Forge,Durga Forge,Customer
,Duroshox Pvt. Ltd.,Duroshox Pvt. Ltd.,Duroshox,Duroshox,Customer
,Durr India Pvt. Ltd.,Durr India Pvt. Ltd.,Durr,Durr India,Customer
,Dutt Engicon,Dutt Engicon,Dutt Engicon,Dutt Engicon,Customer
,Duvall Holding LLP,Duvall Holding LLP,Duvall Holding,Duvall Holding,Customer
,Dyanamic Valves Pvt. Ltd.,Dyanamic Valves Pvt. Ltd.,Dyanamic Valves,Dyanamic Valves Pvt. Ltd.,Customer
,Dyna Biotech,Dyna Biotech,Dyna Biotech,Dyna Biotech,Customer
,Dyna Filters Pvt. Ltd.,Dyna Filters Pvt. Ltd.,Dyna,Dyna Filters,Customer
,Dynamatic Aerospace,Dynamatic Aerospace,Dynamatic Aerospace,Dynamatic Aerospace,Customer
,Dynamic Drilling & Services Pvt. Ltd.,Dynamic Drilling & Services Pvt. Ltd.,Dynamic Drilling & Services,Dynamic Drilling & Services Pvt. Ltd.,Customer
,Dynasty Oil and Gas Pvt. Ltd.,Dynasty Oil and Gas Pvt. Ltd.,Dynasty Oil and Gas,Dynasty Oil and Gas,Customer
,Dyok Systems,Dyok Systems,Dyok Systems,Dyok Systems,Customer
,Eagle System,Eagle System,Eagle System,Eagle Sys,Customer
,East West Pipeline Ltd.,East West Pipeline Ltd.,East West Pipeline,Reliance,Customer
,Eaton India Innovation Center LLP,Eaton India Innovation Center LLP,Eaton,Eaton Technologies,Customer
,Eaton Technologies Pvt. Ltd.,Eaton Technologies Pvt. Ltd.,Eaton,Eaton Technologies,Customer
,Ebex Empowering Businesses,Ebex Empowering Businesses,Essel Ebex Empower,Essel Ebex Empower,Customer
,Echelon India LLP,Echelon India LLP,Echelon,Echelon India,Customer
,Ecolab Food Safety and Hygiene Solutions Pvt. Ltd.,Ecolab Food Safety and Hygiene Solutions Pvt. Ltd.,Ecolab Food Safety,Ecolab Food Safety,Customer
,E. C. Packtech Machines Pvt. Ltd.,E. C. Packtech Machines Pvt. Ltd.,E. C. Packtech,E. C. Packtech,Customer
,Edelweiss Securities Pvt. Ltd.,Edelweiss Securities Pvt. Ltd.,Edelweiss,Edelweiss,Customer
,E industrial Suppliers,E industrial Suppliers,E industrial Supply,E industrial Supply,Customer
,Eirich India Pvt. Ltd.,Eirich India Pvt. Ltd.,Eirich,Eirich India,Customer
,Eisenmann India Pvt. Ltd,Eisenmann India Pvt. Ltd,Eisenmann,Eisenmann India Pvt. Ltd,Customer
,Electro Flux Equipments Pvt. Ltd.,Electro Flux Equipments Pvt. Ltd.,Electro Flux Equipments,Electro Flux Equipments,Customer
,Electrotherm (India) Ltd.,Electrotherm (India) Ltd.,Electrotherm,Electrotherm (India) Ltd.,Customer
,Elektromatics,Elektromatics,Elektromatics,Elektromatics,Customer
,Elentec India Technologies Pvt. Ltd.,Elentec India Technologies Pvt. Ltd.,Elentec,Elentec India Tech,Customer
,Elica Vitrified Pvt. Ltd.,Elica Vitrified Pvt. Ltd.,Elica Vitrified,Elica Vitrified,Customer
,Elixir India and Co.,Elixir India and Co.,Elixir,Elixir India,Customer
,Emaar MGF Emerald Hills,Emaar MGF Emerald Hills,Emaar MGF,Emaar MGF Emerald,Customer
,Emerson Automation Solution,Emerson Automation Solution,Emerson,Emerson,Customer
,Emerson Electric Manufacturing Co.,Emerson Electric Manufacturing Co.,Emerson,Emerson,Customer
,Emerson Innovation Center,Emerson Innovation Center,Emerson,Emerson,Customer
,Emerson Process Management,Emerson Process Management,Emerson,Emerson,Customer
,Emerson Process Management Chennai Pvt. Ltd.,Emerson Process Management Chennai Pvt. Ltd.,Emerson,Emerson,Customer
,Empire Industrial Equipment,Empire Industrial Equipment,Empire Industrial,Empire Industrial,Customer
,Empire Technical Services Pvt Ltd.,Empire Technical Services Pvt Ltd.,Empire Industrial,Empire Industrial,Customer
,Engineering Trade Syndicate,Engineering Trade Syndicate,Engineering Trade,Engineering Trade,Customer
,Engineers India Ltd.,Engineers India Ltd.,EIL,Engineers India,Customer
,Entertainment City Ltd.,Entertainment City Ltd.,Entertainment City,Entertainment City,Customer
,Entrepreneurship Development and Resources Support Trust,Entrepreneurship Development and Resources Support Trust,Entrepreneurship Dev,Entrepreneurship Dev,Customer
,Entrues Business Services India Pvt. Ltd.,Entrues Business Services India Pvt. Ltd.,Entrues Business,Entrues Business,Customer
,Enzene Biosciences Ltd.,Enzene Biosciences Ltd,Enzene Biosciences,Enzene Biosciences,Customer
,EPP Composites Pvt. Ltd.,EPP Composites Pvt. Ltd.,EPP Composites,EPP Composites,Customer
,Erection Instrumentation Pvt. Ltd.,Erection Instrumentation Pvt. Ltd.,Erection Instrumentation,ERECTION INSTRUMENTATION,Customer
,Erica McManaman,Erica McManaman,Erica McManaman,Erica McManaman,Customer
,Escorts Railway Equipment Division,Escorts Railway Equipment Division,Escorts Railway,Escorts Railway,Customer
,ESK India Commerce & Trade Pvt. Ltd.,ESK India Commerce & Trade Pvt. Ltd.,ESK,ESK India Commerce & Trade Pvt. Ltd.,Customer
,ESK Telecom India,ESK Telecom India,ESK,ESK Telecom,Customer
,ESP Safety Pvt. Ltd.,ESP Safety Pvt. Ltd.,ESP Safety,ESP Safety,Customer
,E-Square Systems,E-Square Systems,E-Square Systems,E-Square Systems,Customer
,Essar Oilfield Services India Ltd.,Essar Oilfield Services India Ltd.,Essar,Essar,Customer
,Essar Oil Ltd.,Essar Oil Ltd.,Essar,Essar,Customer
,Essar Steel India Ltd.,Essar Steel India Ltd.,Essar,Essar,Customer
,Esteem Auto Pvt. Ltd.,Esteem Auto Pvt. Ltd.,Esteem Auto,Esteem Auto,Customer
,Estique Decor Productions,Estique Decor Productions,Estique Decor,Estique Decor,Customer
,Eternis Fine Chemicals Ltd.,Eternis Fine Chemicals Ltd.,Eternis Chemicals,Eternis,Customer
,Everest Spices Pvt. Ltd.,Everest Spices Pvt. Ltd.,Everest Spices,Everest Spices,Customer
,Evergreen Enterprises,Evergreen Enterprises,Evergreen Enterprise,Evergreen Enterprise,Customer
,Evergreen Sales,Evergreen Sales,Evergreen Sales,Evergreen Sales,Customer
,Excel Ceramic Pvt. Ltd.,Excel Ceramic Pvt. Ltd.,Excel Ceramic,Excel Ceramic,Customer
,Exel Rubber Ltd.,Exel Rubber Ltd.,Exel Rubber,Exel Rubber,Customer
,Exotech Zanini Industries Pvt. Ltd.,Exotech Zanini Industries Pvt. Ltd.,Exotech Zanini,Exotech Zanini,Customer
,ExxonMobil Company India Pvt. Ltd.,ExxonMobil Company India Pvt. Ltd.,ExxonMobil,Exxon,Customer
,ExxonMobil Service and Technology Pvt. Ltd.,ExxonMobil Service and Technology Pvt. Ltd.,ExxonMobil,Exxon,Customer
,Ezhomz Solutions,Ezhomz Solutions,Ezhomz Solutions,Ezhomz Solutions,Customer
,Fairfield Atlas Ltd.,Fairfield Atlas Ltd.,Oerlikon,Oerlikon,Customer
,Fairfield Marriott,Fairfield Marriott,Fairfield Marriott,Fairfield Marriott,Customer
,Fairflow & Controls,Fairflow & Controls,Fairflow & Controls,Fairflow & Controls,Customer
,Faiveley Transport Rail Technologies India Ltd.,Faiveley Transport Rail Technologies India Limited,Faiveley Transport,Faiveley Transport,Customer
,Falcon Pipes Pvt. Ltd.,Falcon Pipes Pvt. Ltd.,Falcon,Falcon,Customer
,Falcon Pumps Pvt. Ltd.,Falcon Pumps Pvt. Ltd.,Falcon,Falcon,Customer
,Falcon Yarns Pvt. Ltd.,Falcon Yarns Pvt. Ltd.,Falcon,Falcon,Customer
,Farco Shimi Co,Farco Shimi Co,Farco Shimi Co,Farco Shimi Co,Customer
,Faridabad Control Electricals Pvt. Ltd.,Faridabad Control Electricals Pvt. Ltd.,Faridabad Control,Faridabad Control,Customer
,FDC Ltd.,FDC Ltd.,FDC,FDC Ltd.,Customer
,Felder Group India,Felder Group India,Felder,Felder,Customer
,Fernas Construction Co. Inc.,Fernas Construction Co. Inc.,Fernas Construction,Fernas,Customer
,Ferreterro India Pvt. Ltd.,Ferreterro India Pvt. Ltd.,Ferreterro,Ferreterro,Customer
,Ferro Foundries Pvt. Ltd.,Ferro Foundries Pvt. Ltd.,Ferro Foundries,Ferro Foundries,Customer
,Ferroli Heating (South Asia) Pvt. Ltd.,Ferroli Heating (South Asia) Pvt. Ltd.,Ferroli Heating,Ferroli Heating,Customer
,Fidus India,Fidus India,Fidus,Fidus India,Customer
,Fieldman Engineers Pvt. Ltd.,Fieldman Engineers Pvt. Ltd.,Fieldman Engineers,Fieldman Engineers,Customer
,Fine Line Furniture,Fine Line Furniture,Fine Line Furniture,Fine Line Furniture,Customer
,Fine Organic Industries Ltd.,Fine Organic Industries Ltd.,Fine Organic,Fine Organic Industries Ltd.,Customer
,Fine Thread Form Industries,Fine Thread Form Industries,Fine Thread Industry,Fine Thread Industry,Customer
,Firmenich Aromatics India Pvt. Ltd.,Firmenich Aromatics India Pvt. Ltd.,Firmenich Aromatics,Firmenich Aromatics,Customer
,Flexituff International Ltd.,Flexituff International Ltd.,Flexituff International,Flexituff Intl,Customer
Yes,Flextronics International Ltd.,Flextronics International Ltd.,Flex,Flex,Customer
Yes,Flextronics Technologies India Pvt. Ltd.,Flextronics Technologies India Pvt. Ltd.,Flex,Flex,Customer
,Flipkart Internet Pvt. Ltd.,Flipkart Internet Pvt. Ltd.,Flipkart,FlipKart,Customer
,Flowserve India Controls Pvt. Ltd.,FlowServe India Controls Pvt. Ltd.,Flowserve,FlowServe,Customer
,Food Hygiene and Helth Loborotry,Food Hygiene and Helth Loborotry,Food Hygiene Health,Food Hygiene Health,Customer
,Fortis Memorial Research Institute,Fortis Memorial Research Institute,Fortis Memorial,Fortis Memorial,Customer
,Forza Medi India Pvt. Ltd.,Forza Medi India Pvt. Ltd.,Forza Medi,Forza Medi India,Customer
,FPI Industries Pvt. Ltd.,FPI Industries Pvt. Ltd.,FPI Industries,FPI Industries,Customer
,Freecharge Payment Technologies Pvt. Ltd.,Freecharge Payment Technologies Pvt. Ltd.,Freecharge,Freecharge,Customer
,Freight Systems India Pvt. Ltd.,Freight Systems India Pvt. Ltd.,Freight System,Freight System India,Customer
,FTF Pharma Pvt. Ltd.,FTF Pharma Pvt. Ltd.,FTF Pharma,FTF Pharma,Customer
,Fugro Survey India Pvt. Ltd.,Fugro Survey India Pvt. Ltd.,Fugro Survey,Fugro Survey India,Customer
,Fujifilm Sericol India Pvt. Ltd.,Fujifilm Sericol India Pvt. Ltd.,Fujifilm,Fujifilm,Customer
,Futuristic Climate Controls Pvt. Ltd.,Futuristic Climate Controls Pvt. Ltd.,Futuristic Climate,Futuristic Climate,Customer
,Fyre Masq Agencies,Fyre Masq Agencies,Fyre Masq Agencies,Fyre Masq Agencies,Customer
,Gabriel India Ltd.,Gabriel India Ltd.,Gabriel India,Gabriel India,Customer
,Gadre Marine Export Pvt. Ltd.,GADRE MARINE EXPORT PVT. LTD.,Gadre Marine Export,GADRE MARINE EXPORT PVT. LTD.,Customer
,GAIL Gas Ltd.,GAIL Gas Ltd.,GAIL,GAIL,Customer
Yes,GAIL India Ltd.,GAIL India Limited,GAIL,Legacy Account,Customer
Yes,GAIL India Ltd.,GAIL India Ltd.,GAIL,GAIL,Customer
,Gainwell Commosales Pvt. Ltd.,Gainwell Commosales Private Limited,Gainwell Commosales,Gainwell Commosales,Customer
,Galaxy Industrial Equipment Pvt. Ltd.,Galaxy Industrial Equipment Pvt. Ltd.,Galaxy Industrial,Galaxy Industrial,Customer
,Galaxy Surfactants Ltd.,Galaxy Surfactants Ltd.,Galaxy Surfactants,Galaxy Surfactants,Customer
,Galaxy Tools and Hardwares,Galaxy Tools and Hardwares,Galaxy Tools and Hardwares,Galaxy Tools and Hardwares,Customer
,Galiakotwala Engineering Co. Pvt. Ltd.,Galiakotwala Engineering Co. Pvt. Ltd.,Galiakotwala,Galiakotwala,Customer
,G. Amphray Laboratories,G. Amphray Laboratories,G. Amphray Laboratories,G. Amphray Laboratories,Customer
,Ganesh Enterprises,Ganesh Enterprises,Ganesh Enterprises,Ganesh Enterprises,Customer
,Ganga Forging Pvt. Ltd.,Ganga Forging Pvt. Ltd.,Ganga Forging,Ganga Forging,Customer
,Gannon Dunkerley and Co. Ltd.,Gannon dunkerley and Co. Ltd.,Gannon Dunkerley,Gannon Dunkerley,Customer
,Garcem Engineer,Garcem Engineer,Garcem Engineer,Garcem Engineer,Customer
,Gas Transmission Co. Ltd.,Gas Transmission Co. Ltd.,Gas Transmission,Gas Transmission,Customer
,Gates India Pvt. Ltd.,Gates India Pvt. Ltd.,Gates India,Gates India,Customer
,Gauri Polymers,Gauri Polymers,Gauri Polymers,Gauri Polymers,Customer
,Gayatri Engineering And Robotics Solutions,Gayatri Engineering And Robotics Solutions,Gayatri Engineering And Robotics,Gayatri Engg-Robotic,Customer
,Gearspect India Pvt. Ltd.,Gearspect India Pvt. Ltd.,Gearspect,Gearspect,Customer
,GE Diesel Locomotive Pvt. Ltd.,GE Diesel Locomotive Pvt. Ltd.,GE,GE,Customer
,Geekays India,Geekays India,Geekays,Geekay,Customer
,GE Global Research,GE Global Research,GE,GE,Customer
,GE Global Sourcing India Pvt Ltd,GE Global Sourcing India Pvt Ltd,GE,GE,Customer
,GE India Industrial Pvt. Ltd.,GE India Industrial Pvt. Ltd.,GE,GE,Customer
,GE India Industrial Pvt. Ltd. (Division: JFWTC),GE India Industrial Pvt. Ltd. (Division: JFWTC),GE,GE,Customer
,GE India Industrial Pvt. Ltd. (Division: Renewable Energy),GE India Industrial Pvt. Ltd. (Division: Renewable Energy),GE,GE,Customer
,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),GE,GE,Customer
,GE India Industrial Pvt. Ltd. (GE Energy Connections-SRGI),GE India Industrial Pvt. Ltd. (GE Energy Connections-SRGI),GE,GE,Customer
,GE Infrastructure Transportation,GE Infrastructure Transportation,GE,GE,Customer
,Gemco Controls Ltd.,Gemco Controls Ltd.,Gemco,Gemco,Customer
,General Energy Management Systems Pvt. Ltd.,General Energy Management Systems Pvt. Ltd.,General Energy,General Energy Sys.,Customer
,Genpact,Genpact,Genpact,Genpact,Customer
,GeoEnpro Petroleum Ltd.,GeoEnpro Petroleum Ltd.,GeoEnpro Petroleum,GeoEnpro Petroleum Ltd.,Customer
,GE Oil and Gas (Measurement and Control Advanced Systek),GE Oil and Gas (Measurement and Control Advanced Systek),GE,GE,Customer
,Geolife Agritech India Pvt. Ltd.,Geolife Agritech India Pvt. Ltd.,Geolife Agritech,Geolife Agritech,Customer
,GE Power Conversion India Pvt. Ltd.,GE Power Conversion India Pvt. Ltd.,GE,GE,Customer
,GE Power India Ltd.,GE Power India Ltd.,GE,GE,Customer
,GE Power Systems India Pvt. Ltd.,GE Power Systems India Pvt. Ltd.,GE Power Systems,GE Power Systems,Customer
,GerOil Oil and Gas Products,GerOil Oil and Gas Products,GerOil,GerOil,Customer
,Gestamp Sungwoo Automotive Pvt. Ltd.,Gestamp Sungwoo Automotive Pvt. Ltd.,Gestamp,GESTAMP,Customer
,GE T and D India Ltd.,GE T and D India Ltd.,GE,GE,Customer
,GE Transportation Systems,GE Transportation Systems,GE,GE,Customer
,Ghanshyam Engineering Co.,Ghanshyam Engineering Co.,Ghanshyam Engineering,Ghanshyam Engg,Customer
,Ghatge Patil Industries Pvt. Ltd.,Ghatge Patil Industries Pvt. Ltd.,Ghatge Patil,Ghatge Patil Indus,Customer
,GHCL Ltd.,GHCL Ltd.,GHCL,GHCL,Customer
,GIA India Laboratory Pvt. Ltd.,GIA India Laboratory Pvt. Ltd.,GIA India Lab.,GIA India Lab.,Customer
,Gifting Xpress,Gifting Xpress,Gifting Xpress,Gifting Xpress,Customer
,Gillette India Ltd.,Gillette India Ltd.,P&G,Gillette India Ltd.,Customer
,Gionee India Pvt. Ltd.,Gionee India Pvt. Ltd.,Gionee,Gionee,Customer
,Gits Food Products Pvt. Ltd.,Gits Food Products Pvt. Ltd.,Gits Food Products,Gits Food Products,Customer
,Givaudan India Pvt. Ltd.,Givaudan India Pvt. Ltd.,Givaudan,Givaudan India,Customer
,GKN Driveline,GKN Driveline,GKN Driveline,GKN Driveline,Customer
,Glam Quotient,Glam Quotient,Glam Quotient,Glam Quotient,Customer
,GL and V India Pvt. Ltd.,GL and V India Pvt. Ltd.,GL and V,GL and V India,Customer
,GlaxoSmithKline Consumer Healthcare Ltd.,GlaxoSmithKline Consumer Healthcare Ltd.,GSK,GlaxoSmithKline,Customer
,GlaxoSmithKline Pharmaceuticals Ltd.,GlaxoSmithKline Pharmaceuticals Ltd.,GSK,GlaxoSmithKline,Customer
,Glenmark Pharmaceuticals Ltd.,Glenmark Pharmaceuticals Ltd.,Glenmark,Glenmark,Customer
,Global Healthline,Global Healthline,Global Healthline,Global Healthline,Customer
,Global Marketing,Global Marketing,Global Marketing,Global Marketing,Customer
,Globe Broadcasting Pvt. Ltd.,Globe Broadcasting Pvt. Ltd.,Globe Broadcasting,Globe Broadcasting,Customer
,Globus Oilfield and Chemical Supply,Globus Oilfield and Chemical Supply,Globus,GLOBUS,Customer
,Glulam Technologies Pvt. Ltd.,Glulam Technologies Pvt. Ltd.,Glulam Technologies,Glulam Technologies,Customer
,G M Engineering Pvt. Ltd.,G M Engineering Pvt. Ltd.,GM Engineering,G M Engineering,Customer
,GMI Zarhak Moulders Pvt. Ltd.,GMI Zarhak Moulders Pvt. Ltd.,GMI Zarhak,GMI Zarhak,Customer
,GMM Pfaudler,GMM Pfaudler,GMM Pfaudler,GMM Pfaudler,Customer
,GMR Energy,GMR Energy,GMR,GMR Group,Customer
,GMR Group,GMR Group,GMR,GMR Group,Customer
,G.N. Altech,G.N Altech,G.N Altech,G.N Altech,Customer
,Godavari Pipes Pvt. Ltd.,Godavari Pipes Pvt. Ltd.,Godavari Pipes,Godavari Pipes,Customer
,Godfrey Phillips India Ltd,Godfrey Phillips India Ltd,Godfrey Phillips,Godfrey Phillips,Customer
,Godrej Agrovet Ltd.,Godrej Agrovet Ltd.,Godrej,Godrej,Customer
,Godrej and Boyce Manufacturing Co. Ltd.,Godrej and Boyce Manufacturing Co. Ltd.,Godrej,Godrej,Customer
,Goldcoin Industries Pvt. Ltd.,Goldcoin Industries Pvt. Ltd.,Goldcoin Industries,Goldcoin Industries,Customer
,GOL Offshore Ltd.,GOL Offshore Ltd.,GOL Offshore,GOL Offshore,Customer
,Goma Engineering Pvt. Ltd.,Goma Engineering Pvt. Ltd.,Goma Engineering,Goma Engineering,Customer
,Goodluck Multiservices Hospitality Pvt. Ltd.,Goodluck Multiservices Hospitality Pvt. Ltd.,Goodluck Hospitality,Goodluck Hospitality,Customer
,Google,Google,Google,Google,Customer
,Goyal Group,Goyal Group,Goyal Group,Goyal Group,Customer
,Grand Hyatt,Grand Hyatt,Hyatt,HYATT,Customer
,Grand Prix Engineering Pvt. Ltd.,Grand Prix Engineering Pvt. Ltd.,Grand Prix Engg,Grand Prix Engg,Customer
,Grasim Industries Ltd.,Grasim Industries Ltd.,Grasim,Grasim,Customer
,Graziano Trasmissioni India Pvt. Ltd.,Graziano Trasmissioni India Pvt. Ltd.,Graziano,Sparsh Welfare Trust,Customer
,Great Eastern Energy Corporation Ltd.,Great Eastern Energy Corporation Ltd.,Great Eastern Energy,Great Eastern Energy,Customer
,Greatship India Ltd.,Greatship India Ltd.,Greatship India,Greatship India,Customer
,Greaves Cotton Ltd.,Greaves Cotton Ltd.,Greaves Cotton,Greaves Cotton,Customer
,Greenfuel Energy Solutions Pvt. Ltd.,Greenfuel Energy Solutions Pvt. Ltd.,Greenfuel Energy,Greenfuel Energy,Customer
,Green Gas Ltd.,Green Gas Ltd.,Green Gas,Green Gas,Customer
,Greenko Group,Greenko Group,Greenko,Greenko,Customer
,Green Planet Machines Pvt. Ltd.,Green Planet Machines Pvt. Ltd.,Green Planet Machines,Green Planet Machine,Customer
,Greenply Industries Ltd.,Greenply Industries Ltd.,Greenply,Greenply Industries,Customer
,Greiner Engineering Products,Greiner Engineering Products,Greiner,Greiner Engineering,Customer
,Greiner Packaging India Pvt. Ltd.,Greiner Packaging India Pvt. Ltd.,Greiner,Greiner Packaging India,Customer
,Grindwell Norton Ltd.,Grindwell Norton Ltd.,Grindwell Norton,Grindwell Norton,Customer
,Grossmacht Engineers Pvt. Ltd.,Grossmacht Engineers Pvt. Ltd.,Grossmacht Engg,Grossmacht Engg,Customer
,Grover Sales Corporation,Grover Sales Corporation,Grover Sales,Grover Sales Corp,Customer
,GRP Ltd.,GRP Ltd.,GRP,GRP,Customer
,Gruppe Littlesilver,Gruppe Littlesilver,GLS,GLS,Customer
,GSH Facilities Management Services Pvt. Ltd.,GSH Facilities Management Services Pvt. Ltd.,GSH,GSH Group,Customer
,GSH Utilities Services Pvt. Ltd.,GSH Utilities Services Pvt. Ltd.,GSH,GSH Group,Customer
,G S Medical College and Hospital,G S Medical College and Hospital,GS Medical College,G S Medical College,Customer
,GTC Oil Field Services Pvt. Ltd.,GTC Oil Field Services Pvt. Ltd.,GTC Oil Field,GTC Oil Field,Customer
,Gufic Biosciences Ltd.,Gufic Biosciences Ltd.,Gufic,Gufic Ltd.,Customer
,Gufic Lifescience Pvt. Ltd.,Gufic Lifescience Pvt. Ltd.,Gufic,Gufic Ltd.,Customer
,Gujarat Alloys Cast Pvt. Ltd.,Gujarat Alloys Cast Pvt. Ltd.,Gujarat Alloys Cast,Gujarat Alloys Cast,Customer
,Gujarat Fluorochemicals Ltd.,Gujarat Fluorochemicals Ltd.,Guj Flurochemicals,Guj Flurochemicals,Customer
,Gujarat Forgings Pvt. Ltd.,Gujarat Forgings Pvt. Ltd.,Gujarat Forgings,Gujarat Forgings,Customer
,Gujarat Gas Ltd.,Gujarat Gas Ltd.,Gujarat Gas,Gujarat Gas,Customer
,Gujarat Guardian Ltd.,Gujarat Guardian Ltd.,Gujarat Guardian,Gujarat Guardian,Customer
,Gujarat Nippon International Pvt. Ltd.,Gujarat Nippon International Pvt. Ltd.,Gujarat Nippon,Gujarat Nippon,Customer
,Gujarat Precision Cast Pvt. Ltd.,Gujarat Precision Cast Pvt. Ltd.,Gujarat Precision,Gujarat Precision,Customer
,Gujrat Lathe Manufacturer Pvt. Ltd.,Gujrat Lathe Manufacturer Pvt. Ltd.,Gujrat Lathe,Gujrat Lathe Mfg,Customer
,Gulf Oil Lubricants India Ltd.,Gulf Oil Lubricants India Ltd.,Gulf Oil,Gulf Oil,Customer
,GWS Engineers and Fabricators Pvt. Ltd.,GWS Engineers and Fabricators Pvt. Ltd.,GWS Engg Fabricator,GWS Engg Fabricator,Customer
,Habasit Iakoka Pvt. Ltd.,Habasit Iakoka Pvt. Ltd.,Habasit Lakoka,Habasit Iakoka,Customer
,Hager Electro Pvt. Ltd.,Hager Electro Pvt. Ltd.,Hager Electro,Hager Electro,Customer
,Haier Appliances India Pvt. Ltd.,Haier Appliances India Pvt. Ltd.,Haier,Haier Appliances,Customer
,Haitian Huayuan Machinery India Pvt. Ltd.,Haitian Huayuan Machinery India Pvt. Ltd.,Haitian Huayuan,Haitian Huayuan,Customer
,Halliburton Technology India Pvt. Ltd.,Halliburton Technology India Pvt. Ltd.,Halliburton,Halliburton,Customer
,HAL Offshore Ltd.,HAL Offshore Ltd.,HAL,HAL Offshore,Customer
,Hanaprotech Moulding and Tools Pvt. Ltd.,Hanaprotech Moulding and Tools Pvt. Ltd.,Hanaprotech Moulding,Hanaprotech Moulding,Customer
,Hanuman Paints Co.,Hanuman Paints Co.,Hanuman Paints,Hanuman Paints,Customer
,Harman Finochem Ltd.,Harman Finochem Ltd.,Harman Finochem,Harman Finochem,Customer
,Harsh Enterprise,Harsh Enterprise,Harsh Enterprise,Harsh Enterprise,Customer
,Hartex Rubber Pvt. Ltd.,Hartex Rubber Pvt. Ltd.,Hartex Rubber,Hartex Rubber,Customer
,HCL Technologies Ltd.,HCL Technologies Ltd.,HCL,HCL,Customer
,H-D Motor Co. India Pvt. Ltd.,H-D Motor Co. India Pvt. Ltd.,H-D Motor,H-D Motor,Customer
,HD Wires Pvt. Ltd.,HD Wires Pvt. Ltd.,HD Wires,HD Wires,Customer
,Heer Technologies Pvt. Ltd.,Heer Technologies Pvt. Ltd.,Heer Technologies,Heer Technologies,Customer
,Hella India Automotive Pvt. Ltd.,Hella India Automotive Pvt. Ltd.,Hella Automotive,Hella Automotive,Customer
,Helmtech Engineering (M) Sdn Bhd,Helmtech Engineering (M) Sdn Bhd,Helmtech Engineering,Helmtech Engineering,Customer
,Hemla Embroidery Mills Pvt. Ltd.,Hemla Embroidery Mills Pvt. Ltd.,Hemla,Hemla,Customer
,Hemmo Pharmaceuticals Pvt. Ltd.,Hemmo Pharmaceuticals Pvt. Ltd.,Hemmo Pharma,Hemmo Pharma,Customer
,H-Energy Pvt. Ltd.,H-Energy Pvt. Ltd.,H-Energy,H Energy,Customer
,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel Adhesive Technologies India Pvt. Ltd.,Henkel,Henkel,Customer
,Henkel Anand India Pvt. Ltd.,Henkel Anand India Pvt. Ltd.,Henkel,Henkel,Customer
,Henkel Jebel Ali FZCO,Henkel Jebel Ali FZCO,Henkel,Henkel Jebel Ali FZCO,Customer
,Henkel Polybit Industries Ltd.,Henkel Polybit Industries Ltd.,Henkel,Henkel,Customer
,Hero Agro Plast Pvt. Ltd.,Hero Agro Plast Pvt. Ltd.,Hero Agro,Hero Agro,Customer
,Hero Fasteners,Hero Fasteners,Hero,Hero Fasteners,Customer
,Hetal International,Hetal International,Hetal International,Hetal International,Customer
,Heurtey Petrochem India Pvt. Ltd.,Heurtey Petrochem India Pvt. Ltd.,Heurtey,Heurtey,Customer
,Hi-Bond Bearing Pvt. Ltd.,Hi-Bond Bearing Pvt. Ltd.,Hi-Bond,Hi-Bond,Customer
,Hi-Con Technocast Pvt. Ltd.,Hi-Con Technocast Pvt. Ltd.,Hi-Con Technocast,Hi-Con Technocast,Customer
,Hicotronics Devices Pvt. Ltd.,Hicotronics Devices Pvt. Ltd.,Hicotronics,Hicotronics,Customer
