Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,A.K. Engineering,A.K. Engineering,A.K. Engineering,A.K. Engineering,Customer
,Aker Solutions,Aker Solutions,Aker,AKER SOLUTIONS,Customer
,Akshar Plastic Corporation,Akshar Plastic Corporation,Akshar Plastic,Akshar Plastic Corp,Customer
,Akzo Nobel India Ltd.,Akzo Nobel India Ltd.,Akzo Nobel,AkzoNobel,Customer
,Alba Sales Corporation,Alba Sales Corporation,Alba Sales,Alba Sales Corp.,Customer
,Alchemy Media Marketing,Alchemy Media Marketing,Alchemy Media,Alchemy Media,Customer
,Alcomex Springs Pvt. Ltd.,Alcomex Springs Pvt. Ltd.,Alcomex Springs,Alcomex Springs,Customer
,Alembic Pharmaceuticals Pvt. Ltd.,Alembic Pharmaceuticals Pvt. Ltd.,Alembic Pharma,Alembic Pharma,Customer
,Alexis Global Pvt. Ltd.,Alexis Global Pvt. Ltd.,Alexis Global,Alexis Global,Customer
,Alfa Tech Corporation,Alfa Tech Corporation,Alfa Tech,Alfa Tech,Customer
,ALFA Therm Ltd.,ALFA Therm Ltd.,ALFA Therm,ALFA Therm,Customer
,Allegion India Pvt. Ltd.,Allegion India Pvt. Ltd.,Allegion,Allegion India,Customer
,"Allied Services International, Inc.","Allied Services International, Inc.",ASI,A.S.I.,Customer
,Allison Transmission India Pvt. Ltd.,Allison Transmission India Pvt. Ltd.,Allison Transmission,Allison Transmission,Customer
,Almdarij International Marketing Co. Ltd.,Almdarij International Marketing Co. Ltd.,Almdarij International,Almdarij Intl.,Customer
,Al-Nasir Exports Pvt. Ltd.,Al-Nasir Exports Pvt. Ltd.,Al-Nasir Export,Al-Nasir Export,Customer
,Alpha Engineering Co.,Alpha Engineering Co.,Alpha Engineering,Alpha Engineering,Customer
,Al Shirawi Equipment Company LLC,Al Shirawi Equipment Company LLC,Al Shirawi,BORL,Customer
,Alstom Bharat Forge Power Pvt. Ltd.,Alstom Bharat Forge Power Pvt. Ltd.,Alstom Bharat Forge Power,Alstom,Customer
,Amaze Tech Solutions,Amaze Tech Solutions,Amaze Tech,Amaze Tech,Customer
Yes,Amazon Online Sales,Amazon Online Sales,Amazon,Amazon Online Sales,Customer
Yes,Amazon Seller Services Pvt. Ltd.,Amazon Seller Services Pvt. Ltd.,Amazon,Amazon Seller,Customer
,Amber Enterprises India Pvt. Ltd.,Amber Enterprises India Pvt. Ltd.,Amber Enterprises,Amber Enterprise,Customer
,Ambit Switchgear Pvt. Ltd.,Ambit Switchgear Pvt. Ltd.,Ambit Switchgear,Ambit Switchgear,Customer
,Ambuja Cements Ltd.,Ambuja Cements Ltd.,Ambuja Cements,Ambuja Cements,Customer
,Amcor Rigid Plastics India Pvt. Ltd.,Amcor Rigid Plastics India Pvt. Ltd.,Amcor Rigid Plastics,Amcor Rigid Plastics,Customer
,American Embassy,American Embassy,American Embassy,American Embassy,Customer
,Amity University Noida,Amity University Noida,Amity University,Amity University,Customer
,Ampacet,Ampacet,Ampacet,Ampacet,Customer
,Amrish Fluid Controls Pvt. Ltd.,Amrish Fluid Controls Pvt. Ltd.,Amrish Fluid,Amrish Fluid,Customer
,AMS Chasys Automotive India Pvt. Ltd.,AMS Chasys Automotive India Pvt. Ltd.,AMS Chasys,AMS Chasys,Customer
,Amtek Auto Ltd.,Amtek Auto Ltd.,Amtek Auto,Amtek Auto,Customer
,Amwaj International,Amwaj International,Amwaj International,Amwaj International,Customer
,Anchor Offshore Services Ltd.,Anchor Offshore Services Ltd.,Anchor Offshore,Anchor Offshore,Customer
,Andhra Electronics Ltd.,Andhra Electronics Ltd.,Andhra Electronics,Andhra Electronics,Customer
,Aniba Solutions Pvt. Ltd.,Aniba Solutions Pvt. Ltd.,Aniba Solutions,Aniba Solutions,Customer
,Ankita Plast Industries,Ankita Plast Industries,Ankita Plast,Ankita Plast Ind,Customer
,Annicett Nig. Ltd.,Annicett Nig. Ltd.,Annicett,Annicett Nig. Ltd.,Customer
,Anwar Al Ganat Al Aalamiya FZCo,Anwar Al Ganat Al Aalamiya FZCo,Anwar Al Ganat Al,Anwar Al Ganat Al,Customer
,A- One Machineries,A- One Machineries,A-One Machineries,A-One Machineries,Customer
,Apana Traders,Apana Traders,Apana Traders,Apana Traders,Customer
,Apar Industries,Apar Industries,Apar Industries,Apar,Customer
,Apcotex Industries Ltd.,Apcotex Industries Ltd.,Apcotex,Apcotex,Customer
,Apex Life Sciences,Apex Life Sciences,Apex Life Sciences,Apex Life,Customer
,Apicore Pharmaceticals Pvt. Ltd.,Apicore Pharmaceticals Pvt. Ltd.,Apicore Pharma,Apicore Pharma,Customer
,A Plus Components Pvt. Ltd.,A Plus Components Pvt. Ltd.,A Plus Components,A Plus Components,Customer
,APM Terminals India Pvt. Ltd.,APM Terminals India Pvt. Ltd.,APM Terminals,APM Terminals,Customer
,Apollo Hospitals,Apollo Hospitals,Apollo,Apollo Hospitals,Customer
,Apollo MedSkills,Apollo MedSkills,Apollo,Apollo MedSkills,Customer
,Apollo Pharmacy,Apollo Pharmacy,Apollo,Apollo Pharmacy,Customer
,"Applied Analytics, Inc. (UK)","Applied Analytics, Inc. (UK)",Applied Analytics,Applied Analytics,Customer
Yes,Applied Materials Inc.,Applied Materials Inc.,AMAT,AMAT,Customer
Yes,Applied Materials India Pvt. Ltd.,Applied Materials India Pvt. Ltd.,AMAT,AMAT,Customer
,APPL Industries Ltd.,APPL Industries Ltd.,APPL,APPL Industries,Customer
,Appolo Cranes Pvt. Ltd.,Appolo Cranes Pvt. Ltd.,Appolo Cranes,Appolo Cranes,Customer
,Aquaproof and Anchoring Systems,Aquaproof and Anchoring Systems,Aquaproof & Anchoring,Aquaproof Anchoring,Customer
,Arabian Ocean Drilling Supplies and Services Pvt. Ltd.,Arabian Ocean Drilling Supplies and Services Pvt. Ltd.,Arabian Ocean Drilling Supplies,Arabian Ocean Drill,Customer
,Aravon Services Pvt. Ltd.,Aravon Services Pvt. Ltd. (Formerly known as Aramark India Pvt. Ltd.),Aravon,Aravon Services,Customer
,ARB Buildcon Pvt. Ltd.,ARB Buildcon Pvt. Ltd.,ARB Buildcon,ARB Buildcon,Customer
,Arbro Pharmaceuticals Pvt. Ltd.,"Arbro Pharmaceuticals Pvt. Ltd,",Arbro Pharma,Arbro Pharma,Customer
,Arcesium India Pvt. Ltd.,Arcesium India Pvt. Ltd.,Arcesium,Arcesium,Customer
,Archana Enterprises,Archana Enterprises,Archana Enterprises,Archana Enterprises,Customer
,Arjun Chemicals Pvt. Ltd.,Arjun Chemicals Pvt. Ltd,Arjun Chemicals,Legacy Account,Customer
,Arkema Chemicals Pvt. Ltd.,Arkema Chemicals Pvt. Ltd.,Arkema,Arkema Chemicals,Customer
,Arkema Peroxides India Pvt. Ltd.,Arkema Peroxides India Pvt. Ltd.,Arkema,Arkema,Customer
,Armacell India Pvt. Ltd.,Armacell India Pvt. Ltd.,Armacell,Armacell,Customer
,Armament Research and Development Establishment,Armament Research and Development Establishment,Armament R&D,Armament R and D,Customer
,Armstrong World Industries,Armstrong World Industries,Armstrong World,Armstrong World Ind,Customer
,Aroma Treasures Pvt. Ltd.,Aroma Treasures Pvt. Ltd.,Aroma Treasures,Aroma Treasures,Customer
,ARS – Industria E Comércio De Parafusos E Ferragens Ltda,ARS – INDUSTRIA E COMÉRCIO DE PARAFUSOS E FERRAGENS LTDA,ARS,ARS – INDUSTRIA E COMÉRCIO DE PARAFUSOS E FERRAGENS LTDA,Customer
,Arya Electronics and Controls Pvt. Ltd.,Arya Electronics and Controls Pvt. Ltd.,Arya Electronics,Arya Electronics,Customer
,Asahi India Glass Ltd.,Asahi India Glass Ltd.,Asahi,Asahi India Glass,Customer
,ASB International Pvt. Ltd.,ASB International Pvt. Ltd.,ASB,ASB International Pvt. Ltd.,Customer
,Ascent Precision India Pvt. Ltd.,Ascent Precision India Pvt. Ltd.,Ascent Precision,Ascent Precision,Customer
Yes,Ascott Beverly Park Hospitality (India) Pvt. Ltd.,Ascott Beverly Park Hospitality (India) Pvt Ltd,Ascott Beverly Park Hospitality,Ascott Beverly Park Hospitality,Customer
Yes,Ascott Beverly Park Hospitality (India) Pvt. Ltd.,Ascott Beverly Park Hospitality (India) Pvt. Ltd.,Ascott Beverly Park Hospitality,Ascott Beverly Park Hospitality,Customer
,Ashapura Aluminium Ltd.,Ashapura Aluminium Ltd.,Ashapura Aluminium,Ashapura Aluminium,Customer
,Ashirvad Pipes Pvt. Ltd.,Ashirvad Pipes Pvt. Ltd.,Ashirvad Pipes,Ashirvad Pipes Pvt. Ltd.,Customer
,Ashland India Pvt. Ltd.,Ashland India Pvt. Ltd.,Ashland India,Ashland India,Customer
,Ashok Leyland Ltd.,Ashok Leyland Ltd.,Ashok Leyland,Ashok Leyland,Customer
,Ashruly Engineering Pvt. Ltd.,Ashruly Engineering Pvt. Ltd.,Ashruly Engineering,Ashruly Engineering,Customer
