Inside Sales Owner,BP Reference No.,Document Date,Price Currency,Document Rate,Customer/Vendor Name,Customer Alias,Project Code,Document Number,Posting Date,MIS Date,Item No.,Item/Service Description,Quantity,USP(positive),Unit Selling Price,Freight,Tax Code,Tax Rate,TA(positive),Tax Amount,Total Selling Price,Unit cost price(positive),Unit cost price,Buying Cost,Margin,Margin (In %),Month Code
Rahul Sonawane,4502295084,12-Sep-18,INR,1,Cargill India Pvt. Ltd.,,26771,10210897,01-Jan-19,01-Jan-19,BM9T8X7,"STEAM TRAP TWO ORIFICE SINGLE FLOAT 20N float trap 50 kl tank oil hitting require, steam temp 1",3,24430,-24430,,IG@18,18.00%,13192.2,-13192.2,-73290,21750,-21750,65250,-138540,189%,201901
Rahul Sonawane,4502295084,12-Sep-18,INR,1,Cargill India Pvt. Ltd.,,26771,10210897,01-Jan-19,01-Jan-19,BM9V7R3,"BALL FLOAT TRAP 2IN flot trap 50 kl tank oil hitting require ,steam temp 150c, oil temp increas",8,25630,-25630,,IG@18,18.00%,36907.2,-36907.2,-205040,23750,-23750,190000,-395040,193%,201901
Rahul Sonawane,4502295084,12-Sep-18,INR,1,Cargill India Pvt. Ltd.,,26771,10210897,01-Jan-19,01-Jan-19,BM00008,Freight.,1,5423.72,-5423.72,,IG@18,18.00%,976.27,-976.27,-5423.72,5423.72,-5423.72,5423.72,-10847.44,200%,201901
Komal Nagar,WH|AGO|506|1819,06-Aug-18,INR,1,Entertainment City Ltd.,,21447,10910064,01-Oct-18,01-Oct-18,BM9K9K8,"Desktop hp -280 with TFT,CORE I3-7100.7TH,280 G3 MT/1TB HDD/4 GB RAM /DVD RW/MONITOR WINDO 10PRO,64",3,37712,-37712,,IG@18,18.00%,20364.48,-20364.48,-113136,36440,-36440,109320,-222456,197%,201810
Komal Nagar,"2011806222,0",10-Sep-18,INR,1,Delhivery Pvt. Ltd.,,26901,10910110,01-Mar-19,01-Mar-19,BM0O7G3,Century Terra Copier A4 GSM 75,5000,156,-156,,IG@12,12.00%,91800,-91800,-780000,147.5,-147.5,737500,-1517500,195%,201903
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9X7B8,"LN Key set. 1.5mm to 10mm. -set of 9 pc-1.5,2,2.5,3,4,5,6,8,10 mm set)Taparia Make",1,513.4,-513.4,,IG@18,18.00%,92.41,-92.41,-513.4,308,-308,308,-821.4,160%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9V6B1,INSIDE CIRCLIP PLIER -160MM,1,304.64,-304.64,,IG@18,18.00%,54.84,-54.84,-304.64,269,-269,269,-573.64,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9Z3A5,Pipe Wrench Taparia-product-2014-1777691,1,615.5,-615.5,,IG@18,18.00%,110.79,-110.79,-615.5,543,-543,543,-1158.5,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9R5N6,TAPARIA MAKE SCREW DRIVER NO-725,5,56.44,-56.44,,IG@18,18.00%,50.8,-50.8,-282.2,50,-50,250,-532.2,189%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9W3K2,combination spanner 17mm,2,37.44,-37.44,,IG@18,18.00%,13.48,-13.48,-74.88,33,-33,66,-140.88,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM0C4U7,"TAPARIA 1/2"" Square Drive Socket Extension Bar Accessories, 125 mm - 1753",1,119.68,-119.68,,IG@18,18.00%,21.54,-21.54,-119.68,106,-106,106,-225.68,189%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM0C4U8,"TAPARIA 1/2"" Square Drive Socket Extension Bar Accessories, 250 mm - 1763",1,167.96,-167.96,,IG@18,18.00%,30.23,-30.23,-167.96,148,-148,148,-315.96,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9R2X7,Plier for cable cutting,2,189.72,-189.72,,IG@18,18.00%,68.3,-68.3,-379.44,224,-224,448,-827.44,218%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9W3W7,Hexagonal Socket 27 mm heavy duty long,1,174.08,-174.08,,IG@18,18.00%,31.33,-31.33,-174.08,154,-154,154,-328.08,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9X1G9,Hexagonal socket 30 mm heavy duty long,1,209.4,-209.4,,IG@18,18.00%,37.69,-37.69,-209.4,185,-185,185,-394.4,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9X5U1,Hexagonal Socket 32 mm heavy duty long,1,225.08,-225.08,,IG@18,18.00%,40.51,-40.51,-225.08,199,-199,199,-424.08,188%,201810
Rajani Kyatham,4591463231,08-Oct-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,,26062,10211065,08-Oct-18,08-Oct-18,BM9W5Q8,Total Plate Count (IS 5402-2012) MWO- Service,1,539.47,-539.47,,CSG@18,18.00%,97.1,-97.1,-539.47,512.5,-512.5,512.5,-1051.97,195%,201810
Rajani Kyatham,4591463231,08-Oct-18,INR,1,Henkel Adhesive Technologies India Pvt. Ltd.,,26062,10211065,08-Oct-18,08-Oct-18,BM9V6X4,Total Yeast and Mold Count (IS 5403-2005) MWO- Service,1,539.47,-539.47,,CSG@18,18.00%,97.1,-97.1,-539.47,512.5,-512.5,512.5,-1051.97,195%,201810
Dipali Ghanvat,4300029550,03-Oct-18,INR,1,Piramal Enterprises Ltd.,,27013,11410026,03-Oct-18,03-Oct-18,BM9M5D3,VALVE BALL A351GRCF8 2PC F/E CL150 25NB Make - Microfinish,6,2186,-2186,,CSG@18,18.00%,3564,-3564,-13116,0,0,0,-13116,100%,201810
