sr_no,name,brand,mpn,sku,quantity,tax_code,tax_rate,is_service,category_id
1,HONEYWELL PVC Gum Boot S5 Yellow - KV20Y,HONEYWELL,KV20Y,,1,64033120,18,no,3129
2,HONEYWELL PVC Gum Boot S4 Yellow - KV20YX,HONEYWELL,KV20YX,,1,64033120,18,no,3129
3,HONEYWELL PVC Gum Boot Non Safety Yellow - KV30YZ,HONEYWELL,KV30YZ,,1,64033120,5,no,3129
4,HONEYWELL PVC Gum Boot Non Safety Black - KV30Z,HONEYWELL,KV30Z,,1,64033120,5,no,3129
5,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-39/5,HONEYWELL,9542IN-39/5,,1,64033120,18,no,3129
6,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-40/6,HONEYWELL,9542IN-40/6,,1,64033120,18,no,3129
7,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-41/7,HONEYWELL,9542IN-41/7,,1,64033120,18,no,3129
8,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-42/8,HONEYWELL,9542IN-42/8,,1,64033120,18,no,3129
9,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-43/9,HONEYWELL,9542IN-43/9,,1,64033120,18,no,3129
10,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-44/10,HONEYWELL,9542IN-44/10,,1,64033120,18,no,3129
11,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-45/11,HONEYWELL,9542IN-45/11,,1,64033120,18,no,3129
12,HONEYWELL Heavy Duty Ankle Laced Boot S1 - 9542IN-46/12,HONEYWELL,9542IN-46/12,,1,64033120,18,no,3129
13,HONEYWELL Low Ankle safety shoes - 9541IN-39/5,HONEYWELL,9541IN-39/5,,1,64033120,18,no,3129
14,HONEYWELL Heavy Duty Low Ankle Safety Shoe S1 Sz 6 - 9541IN-40/6,HONEYWELL,9541IN-40/6,,1,64033120,18,no,3129
15,HONEYWELL Heavy Duty Low Ankle Safety Shoe S1 Sz 7 - 9541IN-41/7,HONEYWELL,9541IN-41/7,,1,64033120,18,no,3129
16,HONEYWELL Heavy Duty Low Ankle Safety Shoe S1 Sz 8 - 9541IN-42/8,HONEYWELL,9541IN-42/8,,1,64033120,18,no,3129
17,HONEYWELL Heavy Duty Low Ankle Safety Shoe S1 Sz 9 - 9541IN-43/9,HONEYWELL,9541IN-43/9,,1,64033120,18,no,3129
18,HONEYWELL Heavy Duty Low Ankle Safety Shoe S1 Sz 1 - 9541IN-44/10,HONEYWELL,9541IN-44/10,,1,64033120,18,no,3129
19,HONEYWELL Heavy Duty Low Ankle Safety Shoe S1 Sz 1 - 9541IN-45/11,HONEYWELL,9541IN-45/11,,1,64033120,18,no,3129
20,HONEYWELL Heavy Duty Low Ankle Safety Shoe S1 Sz 1 - 9541IN-46/12,HONEYWELL,9541IN-46/12,,1,64033120,18,no,3129
21,HONEYWELL Rubber Nitrile S1 HRO Safety Footwear - HRN100X,HONEYWELL,HRN100X,,1,64033120,5,no,3129
22,HONEYWELL Brown grain leather laced boot - TE2003KX,HONEYWELL,TE2003KX,,1,64033120,18,no,3129
23,HONEYWELL Brown grain leather laced boot - TE2004KX,HONEYWELL,TE2004KX,,1,64033120,18,no,3129
24,HONEYWELL Black grain leather laced shoe - TE600X,HONEYWELL,TE600X,,1,64033120,18,no,3129
25,HONEYWELL Black grain leather laced ankle shoe - TE601X,HONEYWELL,TE601X,,1,64033120,18,no,3129
26,HONEYWELL BACOU EXONO S3 HRO SRC - 6245858,HONEYWELL,6245858,,1,64033120,18,no,3129
27,HONEYWELL BACOU ARGONO S3 HRO SRC - 6245868,HONEYWELL,6245868,,1,64033120,18,no,3129
28,HONEYWELL KI PETER HIKER ST BROWN        9 - KEXT06-BRN-090,HONEYWELL,KEXT06-BRN-090,,1,64033120,18,no,3129
29,HONEYWELL KI HENRY HIKER ST GRAY         9 - KEXT07-GRY-090,HONEYWELL,KEXT07-GRY-090,,1,64033120,18,no,3129
30,HONEYWELL SV 14 AS IN       BLACK MEDIUM 9 - 18822-BLM-090,HONEYWELL,18822-BLM-090,,1,64033120,18,no,3129
31,HONEYWELL SV 14 AS IN       BLACK MEDIUM 10 - 18822-BLM-100,HONEYWELL,18822-BLM-100,,1,64033120,18,no,3129
32,HONEYWELL BACOU SILUO S1P HI CI SRC - 6246109-39/7,HONEYWELL,6246109-39/7,,1,64033120,18,no,3129
33,HONEYWELL BACOU SILUO S1P HI CI SRC - 6246109-41/7,HONEYWELL,6246109-41/7,,1,64033120,18,no,3129
34,HONEYWELL BACOU SILUO S1P HI CI SRC - 6246109-42/7,HONEYWELL,6246109-42/7,,1,64033120,18,no,3129
