sr_no,name,brand,mpn,sku,quantity,tax_code,tax_rate,is_service,category_id
1,HONEYWELL A700 GREY FRAME TSR - 1015351,HONEYWELL,1015351,,1,90044901,18,no,3049
2,HONEYWELL A700 CLEAR FRAME AF - 1015360,HONEYWELL,1015360,,1,90044901,18,no,3049
3,HONEYWELL A700 CLEAR FRAME HC  BULK - 1015361,HONEYWELL,1015361,,1,90044901,18,no,3049
4,HONEYWELL A700 GREY FRAME TSR GREY HC - 1015362,HONEYWELL,1015362,,1,90044901,18,no,3049
5,HONEYWELL A700 CLEAR FRAME AMB TEMPLES AMB HC LENS - 1015441,HONEYWELL,1015441,,1,90044901,18,no,3049
6,HONEYWELL A800 GREY TEMPLES/ I/O SILVER LENS HC - 1015350,HONEYWELL,1015350,,1,40155110,18,no,3049
7,HONEYWELL A800 GREY TEMPLES/TSR GREY LENS FOGBAN - 1015367,HONEYWELL,1015367,,1,90044901,18,no,3049
8,HONEYWELL A800 CLEAR TEMPLES/CLEAR LENS FOGBAN - 1015369,HONEYWELL,1015369,,1,90044901,18,no,3049
9,HONEYWELL A800 GREY TEMPLES/TSR GREY LENS HC - 1015368-H6,HONEYWELL,1015368-H6,,1,90044901,18,no,3049
10,HONEYWELL A800 CLEAR TEMPLES/CLEAR LENS HC - 1015370-H6,HONEYWELL,1015370-H6,,1,90044901,18,no,3049
11,HONEYWELL ADAPTEC N BLUE/GREY CLEAR 4A+ - 1030740,HONEYWELL,1030740,,1,90044901,18,no,3049
12,HONEYWELL ADAPTEC R BLACK/RED CLEAR 4A+ - 1030749,HONEYWELL,1030749,,1,90044901,18,no,3049
13,HONEYWELL HW ADAPTEC BLUE/GREY CLR 4A(10Each) - 1030750,HONEYWELL,1030750,,1,90044901,18,no,3049
14,HONEYWELL SPERIAN ADAPTEC BLACK/RED I/O 4A+(10EA) - 1030751,HONEYWELL,1030751,,1,90044901,18,no,3049
15,HONEYWELL WIDE BL FRAME CLEAR LENS - 1030760,HONEYWELL,1030760,,1,90044901,18,no,3049
16,HONEYWELL HONEYWELL ADAPTEC BLACK/RED CLR 4A(10EA) - 1030749-H5,HONEYWELL,1030749-H5,,1,90044901,18,no,3049
17,HONEYWELL HW ADAPTEC REG BK FR CLR HS - 1030749HS,HONEYWELL,1030749HS,,1,90044901,18,no,3049
18,HONEYWELL Honeywell Avatar Black / HydroShield coating/ Clear lens - 1034831,HONEYWELL,1034831,,1,90044901,18,no,3049
19,HONEYWELL Honeywell Avatar Black / HydroShield coating/ Grey lens - 1034832,HONEYWELL,1034832,,1,90044901,18,no,3049
20,HONEYWELL Honeywell Avatar Black / HydroShield coating/ Amber lens - 1034833,HONEYWELL,1034833,,1,90044901,18,no,3049
21,HONEYWELL Honeywell Avatar Black / Hard Coating/ I/O lens I/O Hard Coat - 1034834,HONEYWELL,1034834,,1,90044901,18,no,3049
22,HONEYWELL Honeywell Avatar Black / Hard Coating/ Blue mirror lens - 1034835,HONEYWELL,1034835,,1,90044901,18,no,3049
23,HONEYWELL Honeywell Avatar Black&Red / HydroShield coating/ Clear lens - 1034836,HONEYWELL,1034836,,1,90044901,18,no,3049
24,HONEYWELL Honeywell Avatar Black&Red / HydroShield coating/ Grey lens - 1034837,HONEYWELL,1034837,,1,90044901,18,no,3049
25,HONEYWELL Honeywell Avatar Black&Red / Hard Coating/ I/O lens - 1034838,HONEYWELL,1034838,,1,90044901,18,no,3049
26,"HONEYWELL TRIMRING,BLACK,TR-3-G - 18447",HONEYWELL,18447,,1,90044902,12,no,3049
27,"HONEYWELL SHEET METAL,CHASSIS,RM-1 - 18448",HONEYWELL,18448,,1,90044903,12,no,3049
28,HONEYWELL SPERIAN SW06E - 18893,HONEYWELL,18893,,1,90044904,12,no,3049
29,"HONEYWELL SHT MTL,BRACKET,AUDIOSUP-MB-PCA - 18934",HONEYWELL,18934,,1,90044905,12,no,3049
30,HONEYWELL SW07 T GML 6013 127 INST/STRP - 18940,HONEYWELL,18940,,1,90044906,12,no,3049
31,HONEYWELL PROTEGE BLACK TSR-GRAY HSAF - 1015353HS,HONEYWELL,1015353HS,,1,90044901,18,no,3049
32,HONEYWELL PROTEGE BLACK CLEAR HSAF - 1015364HS,HONEYWELL,1015364HS,,1,90044901,18,no,3049
33,HONEYWELL PROTEGE BLACK HDL-YELLOW HSAF - 1016342HS,HONEYWELL,1016342HS,,1,90044901,18,no,3049
34,HONEYWELL The  Over The Glass  Spectacle - Pc Lens - 906500,HONEYWELL,906500,,1,90044901,18,no,3049
35,HONEYWELL T2400 TACTILE CLEAR 3A - 908730,HONEYWELL,908730,,1,90044901,18,no,3049
36,"HONEYWELL 90S VISITOR, PC, TRP FRAME - 909110",HONEYWELL,909110,,1,90044901,18,no,3049
37,"HONEYWELL OPTEMA, BLACK FRAME, CLEAR LENS - 1000016",HONEYWELL,1000016,,1,90044901,18,no,3049
38,HONEYWELL MILLENNIA BLACK FRAME CLEAR FOGBAN PLUS - 1002781,HONEYWELL,1002781,,1,90044901,18,no,3049
39,"HONEYWELL OPTEMA, BLUE FRAME, CLEAR ANTI-FOG LENS - 1004949",HONEYWELL,1004949,,1,90044901,18,no,3049
40,HONEYWELL SP1000 2G CLEAR DURASTREME - 1028640,HONEYWELL,1028640,,1,90044901,18,no,3049
41,HONEYWELL Clear Fog Ban Plus INSTINCT - 1031540,HONEYWELL,1031540,,1,90044901,18,no,3049
42,HONEYWELL MILLENNIA 2G BLACK FRAME CLEAR FOGBAN - 1032179,HONEYWELL,1032179,,1,90044901,18,no,3049
43,HONEYWELL AL-1302T1 VISITOR'S OVER SPECTACLE - AL-1302T1-AF,HONEYWELL,AL-1302T1-AF,,1,90044901,18,no,3049
44,HONEYWELL AL-1951 ADJUSTABLE SPECTACLE - AL-1951-HC,HONEYWELL,AL-1951-HC,,1,90044901,18,no,3049
45,HONEYWELL AL-2016 LIGHTWEIGHT NYLON FRAME SPECTACL - AL-2016-HC,HONEYWELL,AL-2016-HC,,1,90044901,18,no,3049
