sr_no,name,brand,mpn,sku,quantity,tax_code,tax_rate,is_service,category_id
1,HONEYWELL ELECTROSOFT LATEX CL00 36CM - 2091903-10,HONEYWELL,2091903-10,,1,40155110,18,no,3115
2,HONEYWELL ELECTROSOFT LATEX CL00 36CM - 2091903-11,HONEYWELL,2091903-11,,1,40155110,18,no,3115
3,HONEYWELL ELECTROSOFT LATEX CL0 36CM - 2091907-08,HONEYWELL,2091907-08,,1,40155110,18,no,3115
4,HONEYWELL ELECTROSOFT LATEX CL0 36CM - 2091907-09,HONEYWELL,2091907-09,,1,40155110,18,no,3115
5,HONEYWELL ELECTROSOFT LATEX CL0 36CM - 2091907-10,HONEYWELL,2091907-10,,1,40155110,18,no,3115
6,HONEYWELL ELECTROSOFT LATEX CL0 36CM - 2091907-11,HONEYWELL,2091907-11,,1,40155110,18,no,3115
7,HONEYWELL ELECTROSOFT LATEX CL1 41CM - 2091911-09,HONEYWELL,2091911-09,,1,40155110,18,no,3115
8,HONEYWELL ELECTROSOFT LATEX CL1 41CM - 2091911-10,HONEYWELL,2091911-10,,1,40155110,18,no,3115
9,HONEYWELL ELECTROSOFT LATEX CL1 36CM - 2091912-08,HONEYWELL,2091912-08,,1,40155110,18,no,3115
10,HONEYWELL ELECTROSOFT LATEX CL1 36CM - 2091912-09,HONEYWELL,2091912-09,,1,40155110,18,no,3115
11,HONEYWELL ELECTROSOFT LATEX CL1 36CM - 2091912-10,HONEYWELL,2091912-10,,1,40155110,18,no,3115
12,HONEYWELL ELECTROSOFT LATEX CL1 36CM - 2091912-11,HONEYWELL,2091912-11,,1,40155110,18,no,3115
13,HONEYWELL ELECTROSOFT LATEX CL2 36CM - 2091921-08,HONEYWELL,2091921-08,,1,40155110,18,no,3115
14,HONEYWELL ELECTROSOFT LATEX CL2 36CM - 2091921-09,HONEYWELL,2091921-09,,1,40155110,18,no,3115
15,HONEYWELL ELECTROSOFT LATEX CL2 36CM - 2091921-10,HONEYWELL,2091921-10,,1,40155110,18,no,3115
16,HONEYWELL ELECTROSOFT LATEX CL2 36CM - 2091921-11,HONEYWELL,2091921-11,,1,40155110,18,no,3115
17,HONEYWELL ELECTROSOFT LATEX CL3 36CM - 2091931-09,HONEYWELL,2091931-09,,1,40155110,18,no,3115
18,HONEYWELL ELECTROSOFT LATEX CL3 36CM - 2091931-10,HONEYWELL,2091931-10,,1,40155110,18,no,3115
19,HONEYWELL ELECTROSOFT LATEX CL4 41CM - 2091941-10,HONEYWELL,2091941-10,,1,40155110,18,no,3115
20,HONEYWELL ELECTROSOFT LATEX CL4 41CM - 2091941-11,HONEYWELL,2091941-11,,1,40155110,18,no,3115
21,HONEYWELL Electrosoft ISOARC Class 0- 360 mm Sz 7 - 2092002-07,HONEYWELL,2092002-07,,1,40155110,18,no,3115
22,HONEYWELL Electrosoft ISOARC Class 0-360 mm Sz 8 - 2092002-08,HONEYWELL,2092002-08,,1,40155110,18,no,3115
23,HONEYWELL Electrosoft ISOARC Class 0-360 mm Sz 9 - 2092002-09,HONEYWELL,2092002-09,,1,40155110,18,no,3115
24,HONEYWELL Electrosoft ISOARC Class 0-360 mm Sz 10 - 2092002-10,HONEYWELL,2092002-10,,1,40155110,18,no,3115
25,HONEYWELL Electrosoft ISOARC Class 0-360 mm Sz 11 - 2092002-11,HONEYWELL,2092002-11,,1,40155110,18,no,3115
26,HONEYWELL SPERIAN COMPOSITE CHLORINATE Class00 Sz7 - 2092011-07,HONEYWELL,2092011-07,,1,40155110,18,no,3115
27,HONEYWELL SPERIAN COMPOSITE CHLORINATE Class00 Sz8 - 2092011-08,HONEYWELL,2092011-08,,1,40155110,18,no,3115
28,HONEYWELL ELECTRO COMPOSITE CL00 CHLORINATED 2500V - 2092011-09,HONEYWELL,2092011-09,,1,40155110,18,no,3115
29,HONEYWELL ELECTRO COMPOSITE CL00 CHLORINATED 2500V - 2092011-10,HONEYWELL,2092011-10,,1,40155110,18,no,3115
30,HONEYWELL ELECTROSOFT COMPOSITE CL00 36CM - 2092012-07,HONEYWELL,2092012-07,,1,40155110,18,no,3115
31,HONEYWELL ELECTROSOFT COMPOSITE CL00 36CM - 2092012-08,HONEYWELL,2092012-08,,1,40155110,18,no,3115
32,HONEYWELL ELECTROSOFT COMPOSITE CL00 36CM - 2092012-09,HONEYWELL,2092012-09,,1,40155110,18,no,3115
33,HONEYWELL ELECTROSOFT COMPOSITE CL0 36CM - 2092015-09,HONEYWELL,2092015-09,,1,40155110,18,no,3115
34,HONEYWELL ELECTROSOFT COMPOSITE CL1 41CM - 2092017-09,HONEYWELL,2092017-09,,1,40155110,18,no,3115
35,HONEYWELL ELECTROSOFT COMPOSITE CL1 41CM - 2092017-10,HONEYWELL,2092017-10,,1,40155110,18,no,3115
36,HONEYWELL ELECTROSOFT COMPOSITE CL2 41CM - 2092027-10,HONEYWELL,2092027-10,,1,40155110,18,no,3115
37,HONEYWELL Slv Molded C4T1 L Mar - 4LM,HONEYWELL,4LM,,1,40155110,18,no,3115
38,HONEYWELL ARC FLASH GLOVES-100CAL/CM2 - AFG100,HONEYWELL,AFG100,,1,62160090,12,no,3115
39,HONEYWELL ARC FLASH GLOVES-20CAL/CM2 - AFG20,HONEYWELL,AFG20,,1,62160090,12,no,3115
40,HONEYWELL ARC FLASH GLOVES-31CAL/CM2 - AFG31,HONEYWELL,AFG31,,1,62160090,12,no,3115
41,HONEYWELL ARC FLASH GLOVES-40CAL/CM2 - AFG40,HONEYWELL,AFG40,,1,62160090,12,no,3115
42,HONEYWELL LINEMAN GLOVES CLASS 00 LOW V - E0011B/10,HONEYWELL,E0011B/10,,1,40155110,18,no,3115
