category_legacy_id,product_legacy_id
2946,648358
225,743326
269,743326
3900,743326
5059,754504
5060,754504
5061,754509
5062,754509
5059,756424
5060,756424
5059,756425
5060,756425
2,762203
2335,762203
5067,762938
5105,763088
5106,763088
536,765914
552,765914
536,765915
552,765915
536,765916
552,765916
536,765917
552,765917
536,765919
552,765919
5059,766341
5060,766341
5103,766342
5104,766342
3489,766504
4971,766504
536,766538
552,766538
2963,766542
3098,766542
1874,766546
1974,766546
2963,766643
3130,766643
5103,766685
5103,766686
1580,766689
1605,766689
930,766699
964,766699
930,766700
964,766700
930,766701
964,766701
930,766702
964,766702
930,766703
964,766703
930,766704
964,766704
1580,766705
1605,766705
1874,766706
2015,766706
107,766707
159,766707
225,766708
269,766708
930,766709
989,766709
567,766710
622,766710
930,766711
1017,766711
1713,766712
1762,766712
1713,766713
1762,766713
1713,766714
1762,766714
1713,766715
1762,766715
5063,766716
5064,766716
1713,766717
1762,766717
1241,766718
1311,766718
1241,766721
1311,766721
2937,766722
2938,766722
2937,766723
2938,766723
2937,766724
2938,766724
